Ref,x1,y1,x2,y2,Choice,Choice R3,Choice R7,Choice [Connectivity Wgt],Choice [Connectivity Wgt] R3,Choice [Connectivity Wgt] R7,Choice [Connectivity Wgt][Norm],Choice [Connectivity Wgt][Norm] R3,Choice [Connectivity Wgt][Norm] R7,Choice [Norm],Choice [Norm] R3,Choice [Norm] R7,Connectivity,Control,Controllability,Entropy,Entropy R3,Entropy R7,Harmonic Mean Depth,Harmonic Mean Depth R3,Harmonic Mean Depth R7,Integration [HH],Integration [HH] R3,Integration [HH] R7,Integration [P-value],Integration [P-value] R3,Integration [P-value] R7,Integration [Tekl],Integration [Tekl] R3,Integration [Tekl] R7,Intensity,Intensity R3,Intensity R7,Line Length,Mean Depth,Mean Depth R3,Mean Depth R7,Mean Depth [Connectivity Wgt],Mean Depth [Connectivity Wgt] R3,Mean Depth [Connectivity Wgt] R7,Node Count,Node Count R3,Node Count R7,RA,RA R3,RA R7,RA [Penn],RA [Penn] R3,RA [Penn] R7,RRA,RRA R3,RRA R7,Relativised Entropy,Relativised Entropy R3,Relativised Entropy R7,Total Connectivity,Total Connectivity R3,Total Connectivity R7,Total Depth,Total Depth R3,Total Depth R7
0,4033.27605844,1579.15633082,4066.27276937,982.635681119,0,0,0,1582,223,939,0.0012390332,0.0078079863,0.002059154,0,0,0,1,0.06666667,0.06666667,4.4124427,0.95043623,2.405164,5.231813,3.6482084,6.8930202,0.67523181,1.9605217,1.547256,0.67523181,1.9605217,1.547256,0.65744489,0.72542882,0.71672535,0.44386354,0.57230568,0.63910806,597.43256,10.958467,2.7090909,4.7774482,9.9148932,2.6108787,4.4921465,627,56,338,0.031867094,0.063299663,0.022484809,0.72950923,0.12149533,0.36381808,1.4809729,0.5100683,0.6463055,5.9904037,2.5711,2.5634186,1598,239,955,6860,149,1610
1,3435.49327841,4024.81079086,4041.43409588,1495.2299367,46739,1198,20696,294491,21014,159007,0.23064736,0.18394285,0.32057345,0.2389214,0.11635587,0.3220616,15,5.7909093,0.27272728,4.4039888,1.2833527,2.5750456,5.8728118,38.8717,39.744251,0.75047153,3.0740042,1.9928513,0.75047153,3.0740042,1.9928513,0.6654911,0.79296154,0.74376678,0.49238607,0.85753989,0.86799294,2601.1428,9.9600639,2.5138888,3.977716,8.9161453,2.3096235,3.6385543,627,145,360,0.028672205,0.02117327,0.016635284,0.750256,0.23508772,0.49882793,1.3324956,0.32530859,0.50179356,6.1822147,2.181437,2.1232646,1598,478,996,6235,362,1428
2,3211.35893362,4303.28570943,3464.19143608,3949.33371844,5206,32,1380,31491,808,11206,0.024663964,0.026922116,0.02436932,0.02661214,0.020050125,0.024087554,2,0.56666666,0.11764706,4.4097071,1.0418006,2.4189036,5.568367,6.7605634,12.179733,0.67948264,2.0386508,1.5660478,0.67948264,2.0386508,1.5660478,0.65791744,0.73172915,0.71802998,0.44638139,0.64281315,0.64962655,434.97849,10.896166,2.6666667,4.737463,9.8623276,2.5877552,4.4588113,627,58,340,0.031667732,0.05952381,0.022115167,0.73120147,0.14414415,0.37059116,1.4717079,0.49052048,0.6385501,6.0191302,2.4626751,2.5390952,1598,245,959,6821,152,1606
3,3187.07553067,4478.83447614,3225.64322017,4267.60506457,4073,6,822,25639,254,7772,0.020080639,0.061345249,0.019756751,0.020820448,0.028571429,0.017847838,2,1,0.5,4.4261155,0.91641796,2.2282362,5.3163919,3.7777777,7.1376324,0.62333703,1.25,1.2968004,0.62333703,1.25,1.2968004,0.65148246,0.64254862,0.69755203,0.41101515,0.57603419,0.50907266,214.72153,11.787539,2.7142856,5.3947368,10.770964,2.6373627,5.1871476,627,22,305,0.034520127,0.17142858,0.029008163,0.71426755,0.07692308,0.25901276,1.6042686,0.80000001,0.77112865,5.8956928,2.5525532,2.9429448,1598,91,887,7379,57,1640
4,3032.80477268,4668.65553065,3215.64423245,4403.19152497,3057,10,411,20345,122,4998,0.015934343,0.16042078,0.017489713,0.015626837,0.18181819,0.012791385,2,0.75,0.33333334,4.4414468,1.4854122,2.005883,5.4706807,4.2105265,7.5841169,0.57781672,1.1191936,1.1092774,0.57781672,1.1191936,1.1092774,0.64592767,0.60985333,0.67899913,0.38231567,1.3711498,0.41051379,322.3374,12.637381,2.2727273,5.9094486,11.632666,2.3076923,5.7208996,627,12,255,0.037239615,0.25454545,0.038809873,0.69921553,0.2631579,0.17032601,1.7306526,0.89350057,0.90148783,5.855794,1.5487748,3.3451891,1598,39,756,7911,25,1501
5,4010.06845196,1573.35937811,4043.0651629,976.838728404,0,0,0,1586,172,939,0.0012421659,0.010160681,0.0020765124,0,0,0,1,0.090909094,0.090909094,4.3801208,0.96807182,2.3587945,5.1889315,3.5294118,6.7077317,0.6757738,1.7389672,1.4568913,0.6757738,1.7389672,1.4568913,0.65750527,0.70512784,0.71064335,0.44096592,0.58926111,0.59101784,597.43256,10.95048,2.7073171,5.00597,9.9474344,2.6141305,4.7150369,627,42,336,0.031841535,0.085365854,0.023987845,0.7297262,0.11392405,0.3252891,1.4797851,0.57505399,0.68639302,5.8404846,2.5344889,2.6891716,1598,184,951,6855,111,1677
6,3412.28567193,4019.01383814,4018.2264894,1489.43298399,76308,648,15057,452249,12269,126469,0.35420448,0.1541322,0.24600174,0.39007285,0.10240202,0.2241926,11,4.2909093,0.2682927,4.3724103,1.2510659,2.5664167,5.8212214,28.957952,37.241753,0.75114113,2.805311,1.8244019,0.75114113,2.805311,1.8244019,0.66555989,0.78024977,0.73475736,0.4892917,0.8244018,0.78769088,2601.1428,9.9520769,2.5398231,4.2697549,8.9486856,2.3659148,3.9211044,627,114,368,0.028646646,0.027496839,0.017867513,0.75047863,0.21973094,0.44979367,1.3313078,0.35646671,0.54812485,6.0044317,2.2242684,2.2621982,1598,399,1014,6230,287,1567
7,3188.15132714,4297.48875671,3440.98382961,3943.53676572,5653,24,1167,32986,618,9940,0.025834858,0.034238227,0.021797648,0.028897125,0.026578072,0.020612547,2,0.59090906,0.15384616,4.3756227,1.0794339,2.3789313,5.4909768,6.4077668,11.695928,0.68003148,1.8351884,1.4742941,0.68003148,1.8351884,1.4742941,0.65797824,0.71422732,0.71191525,0.44328898,0.67850137,0.60230619,434.97849,10.888179,2.6511629,4.9643917,9.8948689,2.5842106,4.6806283,627,44,338,0.031642172,0.078626797,0.02359757,0.73141843,0.14457831,0.33233383,1.4705201,0.54490316,0.67829072,5.8709021,2.4011505,2.6612236,1598,190,955,6816,114,1673
8,3163.86792419,4473.03752343,3202.43561369,4261.80811186,4530,6,625,27164,202,6540,0.021275029,0.075811595,0.017281014,0.02315655,0.044117648,0.014315163,2,1,0.5,4.3917398,1.0435004,2.1761332,5.2480578,3.7142856,6.9910002,0.62379891,1.152335,1.2312965,0.62379891,1.152335,1.2312965,0.65153718,0.62404382,0.69205177,0.40812525,0.69566697,0.47522911,214.72153,11.779552,2.6470587,5.5979729,10.803504,2.6027398,5.3873563,627,18,297,0.034494568,0.20588236,0.031172698,0.71447915,0.096774191,0.22450143,1.6030807,0.86780316,0.81215203,5.7678914,2.3566585,3.0695193,1598,73,870,7374,45,1657
9,3009.5971662,4662.85857793,3192.43662597,4397.39457225,3566,10,300,22162,114,4152,0.017357429,0.18612245,0.016380507,0.018228754,0.18181819,0.011293055,2,0.75,0.33333334,4.4074841,1.4854122,1.951164,5.4103699,4.2105265,7.3913994,0.57869053,1.1191936,1.0606856,0.57869053,1.1191936,1.0606856,0.6460374,0.60985333,0.6726979,0.37996596,1.3711498,0.39158309,322.3374,12.619808,2.2727273,6.0086579,11.657071,2.2285714,5.8581462,627,12,232,0.037183385,0.25454545,0.043553546,0.69966972,0.2631579,0.15238096,1.7280393,0.89350057,0.9427864,5.747736,1.5487748,3.4419255,1598,35,712,7900,25,1388
