Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3 normal,Integration [HH] R3 normal,Total Connectivity R3 normal
0,0,1.9605217,239,0,0.469337461,0.353120244
1,1198,3.0740042,478,0.25592822,0.790504366,0.716894977
2,32,2.0386508,245,0.006836146,0.491872599,0.362252664
3,6,1.25,91,0.001281777,0.264398403,0.127853881
4,10,1.1191936,39,0.002136296,0.226669308,0.04870624
5,0,1.7389672,184,0,0.405433473,0.269406393
6,648,2.805311,399,0.138431959,0.713003945,0.596651446
7,24,1.8351884,190,0.00512711,0.433186998,0.278538813
8,6,1.152335,73,0.001281777,0.236228435,0.100456621
9,10,1.1191936,35,0.002136296,0.226669308,0.04261796
10,42,1.6008096,30,0.008972442,0.365584037,0.03500761
11,10,1.1191936,26,0.002136296,0.226669308,0.02891933
12,6,0.8870222,23,0.001281777,0.159703038,0.02435312
13,6,0.8870222,23,0.001281777,0.159703038,0.02435312
14,10,1.1191936,27,0.002136296,0.226669308,0.0304414
15,42,1.569167,31,0.008972442,0.356457216,0.03652968
16,10,1.1058542,24,0.002136296,0.222821763,0.02587519
17,4,0.72781962,16,0.000854518,0.113783501,0.01369863
18,0,0.33333334,9,0,0,0.00304414
19,0,0.42239243,10,0,0.025687725,0.00456621
20,6,0.84912294,16,0.001281777,0.148771579,0.01369863
21,18,1.2063863,26,0.003845332,0.251818701,0.02891933
22,14,1.3304729,47,0.002990814,0.287609573,0.060882801
23,76,1.7914909,91,0.016235847,0.420583126,0.127853881
24,12,1.238816,45,0.002563555,0.26117255,0.057838661
25,6,0.91666669,25,0.001281777,0.168253535,0.02739726
26,6,0.84912294,17,0.001281777,0.148771579,0.0152207
27,6,0.84912294,14,0.001281777,0.148771579,0.01065449
28,6,0.84912294,14,0.001281777,0.148771579,0.01065449
29,6,0.84912294,15,0.001281777,0.148771579,0.01217656
30,6,0.8619656,17,0.001281777,0.152475847,0.0152207
31,8,0.98558021,19,0.001709037,0.18813058,0.01826484
32,46,1.7700537,111,0.00982696,0.414399895,0.158295282
33,123,2.1424189,137,0.026276437,0.521802912,0.197869102
34,12,1.3815587,85,0.002563555,0.302344487,0.118721461
35,6,0.91666669,34,0.001281777,0.168253535,0.04109589
36,6,0.84912294,17,0.001281777,0.148771579,0.0152207
37,6,0.84912294,14,0.001281777,0.148771579,0.01065449
38,6,0.84912294,14,0.001281777,0.148771579,0.01065449
39,6,0.84912294,14,0.001281777,0.148771579,0.01065449
40,6,0.84912294,14,0.001281777,0.148771579,0.01065449
41,6,0.84912294,14,0.001281777,0.148771579,0.01065449
42,6,0.84912294,14,0.001281777,0.148771579,0.01065449
43,6,0.84912294,14,0.001281777,0.148771579,0.01065449
44,6,0.84912294,15,0.001281777,0.148771579,0.01217656
45,6,0.8619656,17,0.001281777,0.152475847,0.0152207
46,8,0.98558021,19,0.001709037,0.18813058,0.01826484
47,18,1.2222222,23,0.003845332,0.256386323,0.02435312
48,8,1,22,0.001709037,0.192289747,0.02283105
49,8,1,22,0.001709037,0.192289747,0.02283105
50,18,1.2222222,23,0.003845332,0.256386323,0.02435312
51,8,0.98558021,19,0.001709037,0.18813058,0.01826484
52,6,0.8619656,17,0.001281777,0.152475847,0.0152207
53,6,0.84912294,14,0.001281777,0.148771579,0.01065449
54,6,0.87255627,11,0.001281777,0.155530563,0.00608828
55,4,0.70398736,9,0.000854518,0.106909453,0.00304414
56,0,0.33333334,7,0,0,0
57,18,1.2222222,22,0.003845332,0.256386323,0.02283105
58,8,0.98558021,19,0.001709037,0.18813058,0.01826484
59,6,0.8619656,17,0.001281777,0.152475847,0.0152207
60,6,0.84912294,15,0.001281777,0.148771579,0.01217656
61,6,0.84912294,14,0.001281777,0.148771579,0.01065449
62,6,0.84912294,14,0.001281777,0.148771579,0.01065449
63,6,0.84912294,14,0.001281777,0.148771579,0.01065449
64,6,0.84912294,14,0.001281777,0.148771579,0.01065449
65,6,0.84912294,13,0.001281777,0.148771579,0.00913242
66,6,0.87255627,11,0.001281777,0.155530563,0.00608828
67,4,0.70398736,9,0.000854518,0.106909453,0.00304414
68,0,0.33333334,7,0,0,0
69,45,1.8518485,104,0.00961333,0.437992348,0.147640791
70,182,2.2791982,104,0.038880581,0.561254797,0.147640791
71,15,1.5226898,74,0.003204443,0.343051582,0.101978691
72,9,1.3088794,64,0.001922666,0.28138126,0.086757991
73,58,1.7265038,87,0.012390515,0.401838597,0.121765601
74,411,2.8367348,133,0.087801752,0.722067657,0.191780822
75,108,2.0999382,123,0.023071993,0.509550007,0.176560122
76,14,1.4221928,82,0.002990814,0.314064768,0.114155251
77,10,1.1058542,38,0.002136296,0.222821763,0.04718417
78,14,1.1087778,23,0.002990814,0.223665031,0.02435312
79,0,0.58170414,13,0,0.071638738,0.00913242
80,182,2.3864861,284,0.038880581,0.592200342,0.421613394
81,55,1.8572819,175,0.011749626,0.439559528,0.255707763
82,18,1.9196775,236,0.003845332,0.45755658,0.348554033
83,565,2.8476307,462,0.120700705,0.725210411,0.692541857
84,74,2.0319118,232,0.015808588,0.489928838,0.342465753
85,38,1.9481215,229,0.008117924,0.465760814,0.337899543
86,49,1.8077145,158,0.010467849,0.425262574,0.229832572
87,35,1.7704608,150,0.007477035,0.414517317,0.217656012
88,64,1.9587247,227,0.013672292,0.468819144,0.334855403
89,110,1.9912097,87,0.023499252,0.478188943,0.121765601
90,16,1.4028426,44,0.003418073,0.3084835,0.056316591
91,10,1.1191936,32,0.002136296,0.226669308,0.03805175
92,10,1.1492875,22,0.002136296,0.235349431,0.02283105
93,8,0.98510355,31,0.001709037,0.187993095,0.03652968
94,6,1.226782,88,0.001281777,0.257701527,0.123287671
95,32,2.0386508,244,0.006836146,0.491872599,0.360730594
96,203,2.3674295,257,0.043366802,0.586703759,0.380517504
97,30,1.6092162,113,0.006408887,0.368008792,0.161339422
98,12,1.3455029,97,0.002563555,0.291944746,0.136986301
99,14,1.3304729,42,0.002990814,0.287609573,0.053272451
100,6,0.9792943,30,0.001281777,0.186317506,0.03500761
101,8,0.98510355,21,0.001709037,0.187993095,0.02130898
102,4681,3.8003235,664,1,1,1
103,60,2.5486274,423,0.012817774,0.638967507,0.633181126
104,1023,3.1930256,568,0.218543046,0.824834259,0.853881279
105,258,2.468569,348,0.055116428,0.615875893,0.519025875
106,14,1.7051717,176,0.002990814,0.39568568,0.257229833
107,25,1.820729,114,0.005340739,0.429016407,0.162861492
108,315,2.7274668,136,0.067293313,0.690550982,0.196347032
109,55,2.5612402,445,0.011749626,0.642605475,0.666666667
110,89,2.1697667,269,0.019013031,0.529690964,0.398782344
111,73,1.9916406,203,0.015594958,0.478313229,0.298325723
112,22,1.7081656,125,0.00469985,0.396549225,0.179604262
113,96,1.9876175,167,0.020508438,0.477152828,0.243531202
114,1432,3.1879826,501,0.305917539,0.823379683,0.751902588
115,90,2.3173306,296,0.019226661,0.572253502,0.439878234
116,153,2.5743663,403,0.032685324,0.646391497,0.602739726
117,64,2.1592584,257,0.013672292,0.526660006,0.380517504
118,6,1.3235294,113,0.001281777,0.285606827,0.161339422
119,6,1.5623667,170,0.001281777,0.354495774,0.248097412
120,96,2.1537156,209,0.020508438,0.525061271,0.307458143
121,66,1.7963344,106,0.014099551,0.421980159,0.150684932
122,26,1.4028426,55,0.005554369,0.3084835,0.073059361
123,22,1.3006579,37,0.00469985,0.279009895,0.0456621
124,26,1.3845592,36,0.005554369,0.303209935,0.04414003
125,26,1.3873369,36,0.005554369,0.30401112,0.04414003
126,10,1.1561403,34,0.002136296,0.237326015,0.04109589
127,22,1.2989333,31,0.00469985,0.278512461,0.03652968
128,10,1.1191936,27,0.002136296,0.226669308,0.0304414
129,18,1.2222222,23,0.003845332,0.256386323,0.02435312
130,0,0.63684219,15,0,0.087542461,0.01217656
131,18,1.2063863,25,0.003845332,0.251818701,0.02739726
132,8,0.98558021,19,0.001709037,0.18813058,0.01826484
133,6,0.84912294,14,0.001281777,0.148771579,0.01065449
134,4,0.70398736,10,0.000854518,0.106909453,0.00456621
135,0,0.33333334,7,0,0,0
136,8,0.98558021,19,0.001709037,0.18813058,0.01826484
137,6,0.8619656,17,0.001281777,0.152475847,0.0152207
138,6,0.84912294,15,0.001281777,0.148771579,0.01217656
139,6,0.84912294,14,0.001281777,0.148771579,0.01065449
140,6,0.84912294,14,0.001281777,0.148771579,0.01065449
141,6,0.84912294,14,0.001281777,0.148771579,0.01065449
142,6,0.84912294,14,0.001281777,0.148771579,0.01065449
143,6,0.84912294,14,0.001281777,0.148771579,0.01065449
144,6,0.84912294,14,0.001281777,0.148771579,0.01065449
145,6,0.84912294,14,0.001281777,0.148771579,0.01065449
146,6,0.84912294,14,0.001281777,0.148771579,0.01065449
147,6,0.84912294,14,0.001281777,0.148771579,0.01065449
148,6,0.84912294,14,0.001281777,0.148771579,0.01065449
149,6,0.84912294,14,0.001281777,0.148771579,0.01065449
150,6,0.84912294,14,0.001281777,0.148771579,0.01065449
151,6,0.84912294,15,0.001281777,0.148771579,0.01217656
152,6,0.8619656,17,0.001281777,0.152475847,0.0152207
153,8,0.98558021,20,0.001709037,0.18813058,0.01978691
154,22,1.3270249,25,0.00469985,0.286615051,0.02739726
155,6,0.8619656,17,0.001281777,0.152475847,0.0152207
156,0,0.42239243,11,0,0.025687725,0.00608828
157,6,0.8619656,17,0.001281777,0.152475847,0.0152207
158,0,0.42239243,11,0,0.025687725,0.00608828
159,8,1.0207884,26,0.001709037,0.198285841,0.02891933
160,6,0.8619656,19,0.001281777,0.152475847,0.01826484
161,6,0.84912294,15,0.001281777,0.148771579,0.01217656
162,6,0.84912294,14,0.001281777,0.148771579,0.01065449
163,6,0.84912294,15,0.001281777,0.148771579,0.01217656
