Ref,x1,y1,x2,y2,Choice,Choice R3,Choice R7,Choice [Connectivity Wgt],Choice [Connectivity Wgt] R3,Choice [Connectivity Wgt] R7,Choice [Connectivity Wgt][Norm],Choice [Connectivity Wgt][Norm] R3,Choice [Connectivity Wgt][Norm] R7,Choice [Norm],Choice [Norm] R3,Choice [Norm] R7,Connectivity,Control,Controllability,Entropy,Entropy R3,Entropy R7,Harmonic Mean Depth,Harmonic Mean Depth R3,Harmonic Mean Depth R7,Integration [HH],Integration [HH] R3,Integration [HH] R7,Integration [P-value],Integration [P-value] R3,Integration [P-value] R7,Integration [Tekl],Integration [Tekl] R3,Integration [Tekl] R7,Intensity,Intensity R3,Intensity R7,Line Length,Mean Depth,Mean Depth R3,Mean Depth R7,Mean Depth [Connectivity Wgt],Mean Depth [Connectivity Wgt] R3,Mean Depth [Connectivity Wgt] R7,Node Count,Node Count R3,Node Count R7,RA,RA R3,RA R7,RA [Penn],RA [Penn] R3,RA [Penn] R7,RRA,RRA R3,RRA R7,Relativised Entropy,Relativised Entropy R3,Relativised Entropy R7,Total Connectivity,Total Connectivity R3,Total Connectivity R7,Total Depth,Total Depth R3,Total Depth R7
0,13527726.1041,3641589.72513,13529744.4819,3642476.02083,817224,4011,183326,8628364,138427,2832997,0.25366536,0.13113528,0.12637036,0.24929959,0.072126016,0.097069994,25,7.4255342,0.1953125,3.1178417,1.2339483,2.503921,21.035765,73.309608,123.13426,1.7361306,3.7823305,2.0064716,1.7361306,3.7823305,2.0064716,0.75592226,0.8191638,0.76448447,0.61940992,0.80422705,0.60229117,2204.3977,6.0359235,2.5419161,5.1599793,5.6363969,2.384033,4.9230886,2562,335,1945,0.0039343154,0.0092607578,0.0042820168,0.61155957,0.22556391,0.30541956,0.57599354,0.26438728,0.49838734,2.637393,2.2502408,2.733259,8248,1453,6696,15458,849,10031
1,13529677.2361,3642443.83604,13530465.9943,3642847.83124,1763093,1972,276654,18734886,111656,4777797,0.55078709,0.079784803,0.17960821,0.53784317,0.031561594,0.11788256,13,2.579318,0.13402061,2.9543834,1.0041327,2.4695737,6.2878699,43.141155,78.673668,1.9121158,3.5011041,2.1203434,1.9121158,3.5011041,2.1203434,0.76371306,0.8091417,0.77040195,0.64643699,0.5970974,0.61618555,886.20062,5.5724325,2.6892655,5.0101523,5.1759214,2.5558877,4.7316971,2562,355,2168,0.003572213,0.0095709097,0.0037028184,0.67243838,0.15177305,0.33056006,0.52298087,0.28562418,0.47162172,2.5417573,2.5685661,2.6490119,8248,1673,7294,14271,952,10857
2,13531668.0788,3643358.93868,13532703.3362,3643629.08379,394648,1026,77619,4280330,35765,1293324,0.12583746,0.10929271,0.064128801,0.12038998,0.074020632,0.046994738,12,2.8040617,0.20689656,3.0118034,1.1885805,2.3134334,6.0405369,35.011929,64.00441,1.6113181,3.0738788,1.8479315,1.6113181,3.0738788,1.8479315,0.75001031,0.79248226,0.75672185,0.55532497,0.75924534,0.51849872,1069.9235,6.4260054,2.5808384,5.4647965,6.0231571,2.5043263,5.2251616,2562,168,1819,0.004239067,0.019046245,0.0049144705,0.63713276,0.20241691,0.2544319,0.62060994,0.32532188,0.54114556,2.7710476,2.3141146,2.9481008,8248,809,6351,16457,431,9935
3,13532672.2403,3643619.85065,13533314.7902,3643824.22688,16001,55,3603,152049,1627,49739,0.0044700899,0.032586925,0.0040533589,0.0048812111,0.029085141,0.0039922614,3,1.0833334,0.1875,3.0216074,1.0102683,2.0284312,5.7298346,9.2593546,17.77721,1.3616441,2.0719669,1.5908872,1.3616441,2.0719669,1.5908872,0.73700297,0.73436952,0.74010175,0.47079962,0.61198944,0.41318187,674.27008,7.4209294,2.6935484,5.9136906,7.0190349,2.636076,5.717804,2562,63,1345,0.0050163511,0.055526178,0.0073174839,0.59735554,0.1322314,0.17891334,0.73440623,0.48263317,0.62858009,3.0205636,2.5252874,3.3323548,8248,316,4954,19005,167,7948
4,13527736.7078,3641644.25844,13527904.1158,3640941.33785,59005,409,18015,628325,21393,280018,0.018472133,0.035232097,0.015792556,0.017999865,0.014749369,0.012652512,9,1.9618615,0.16666667,3.1398637,0.92684418,2.4049518,16.848063,28.812664,53.204636,1.5803838,3.0828102,1.8870641,1.5803838,3.0828102,1.8870641,0.74848926,0.79259461,0.75757629,0.56782174,0.53838742,0.55765563,722.58069,6.5322142,2.7330508,5.3157582,6.1337295,2.5426497,5.1140218,2562,237,1689,0.0043220422,0.014749369,0.0051164888,0.60368121,0.12793177,0.27921242,0.63275772,0.32437938,0.52992374,2.7631276,2.6712232,2.8443353,8248,1102,5955,16729,645,8973
5,13527895.1866,3640990.47251,13527929.0361,3640716.68084,6222,74,2131,73160,3874,35178,0.0021508315,0.026277857,0.0033954445,0.0018980623,0.021227768,0.0027740893,4,1.3472222,0.18181819,3.1867471,1.0137649,2.2397232,14.933833,12.434541,23.762505,1.3515347,2.3163972,1.6778036,1.3515347,2.3163972,1.6778036,0.73643762,0.75178033,0.74350047,0.49284354,0.61113489,0.48840213,275.87616,7.4689574,2.6904762,5.5903225,7.0624394,2.6261511,5.4130054,2562,85,1241,0.0050538732,0.040734366,0.0074097216,0.56738478,0.13939394,0.23278069,0.73989958,0.43170491,0.5960173,2.971005,2.5340047,3.0464203,8248,543,4552,19128,226,6932
6,13528009.8996,3643893.30544,13528713.7584,3641946.04089,66215,491,20598,786076,23390,332574,0.023109855,0.048808429,0.019153379,0.020199323,0.023028938,0.014797987,8,1.6138095,0.14035088,3.1379194,1.0122473,2.38219,33.742924,26.302841,48.866623,1.557843,3.0598593,1.8570024,1.557843,3.0598593,1.8570024,0.74736607,0.79157507,0.75606966,0.55937582,0.60502136,0.54466826,2070.5691,6.6122608,2.6859903,5.3768725,6.2150826,2.5158324,5.1712203,2562,208,1670,0.0043845787,0.016368838,0.0052480483,0.5671044,0.15085158,0.26898828,0.64191324,0.32681242,0.53850228,2.7785671,2.5521727,2.8789999,8248,979,5893,16934,556,8974
7,13528857.4631,3640950.08967,13529425.1318,3641125.14373,90251,309,17321,975959,13320,277433,0.028692227,0.0487804,0.023549873,0.027531665,0.035201639,0.019335983,9,2.5428572,0.23684211,3.2312109,1.0913643,2.3479035,30.188406,25.621286,47.058647,1.4049618,2.7595208,1.7671864,1.4049618,2.7595208,1.7671864,0.73938823,0.7774353,0.74900323,0.51947558,0.67083853,0.53163075,594.04681,7.22296,2.6466165,5.4204631,6.8165617,2.585927,5.2437167,2562,134,1340,0.0048616873,0.024948735,0.0066075679,0.55419731,0.16730037,0.26132536,0.71176308,0.36238176,0.56587124,2.9061289,2.4526017,2.9112606,8248,739,4854,18498,352,7258
8,13528419.31,3643556.55695,13529737.5931,3644084.41591,160498,332,25544,1551040,12915,400663,0.04559904,0.041916508,0.027127523,0.048960976,0.023952097,0.021611689,9,2.7916667,0.19565217,3.1870008,1.0479492,2.3598945,47.466934,27.321918,50.395237,1.490539,2.9086163,1.8203628,1.490539,2.9086163,1.8203628,0.74393404,0.7847051,0.75334126,0.54357874,0.63329303,0.53670424,1420.0371,6.8656774,2.6706586,5.4005203,6.4793887,2.5337579,5.2018399,2562,168,1539,0.0045825606,0.020128418,0.0057261162,0.54755735,0.15709969,0.26490712,0.67089826,0.34380609,0.54934102,2.8262465,2.5105321,2.8951414,8248,785,5435,17583,446,8306
9,13528735.7477,3643948.01157,13529334.0505,3641917.05887,304540,1529,70923,2867346,47338,932208,0.084297128,0.087701857,0.053234465,0.092901945,0.064052619,0.049693633,15,4.0098414,0.19736843,3.1856117,1.1812629,2.4278686,47.676361,44.418228,78.940468,1.5756018,3.3057053,1.8956792,1.5756018,3.3057053,1.8956792,0.74825209,0.80203235,0.75797904,0.57435167,0.75109202,0.56542158,2117.2471,6.5490041,2.5844748,5.2970414,6.1564016,2.4802694,5.0851641,2562,220,1691,0.0043351594,0.014536466,0.0050882669,0.57198364,0.20229885,0.28234014,0.63467813,0.30250731,0.52751541,2.7474568,2.3272359,2.8205483,8248,1039,5918,16772,566,8952
