Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3 normal,Integration [HH] R3 normal,Total Connectivity R3 normal
0,4011,3.7823305,1453,0.832503113,1,0.867947179
1,1972,3.5011041,1673,0.409298464,0.9184614,1
2,1026,3.0738788,809,0.212951432,0.794591974,0.481392557
3,55,2.0719669,316,0.011415525,0.504098287,0.18547419
4,409,3.0828102,1102,0.084889996,0.797181538,0.657262905
5,74,2.3163972,543,0.01535907,0.57496825,0.321728691
6,491,3.0598593,979,0.101909506,0.790527169,0.583433373
7,309,2.7595208,739,0.064134496,0.703447219,0.43937575
8,332,2.9086163,785,0.068908261,0.746675871,0.466986795
9,1529,3.3057053,1039,0.317351598,0.861807599,0.619447779
10,249,2.5607634,495,0.051681196,0.645819627,0.292917167
11,584,2.8994737,772,0.121212121,0.744025072,0.459183673
12,233,2.498687,412,0.048360315,0.627821236,0.243097239
13,127,2.458164,481,0.026359485,0.616072024,0.284513806
14,57,2.1902361,369,0.011830635,0.538389182,0.217286915
15,161,2.211148,259,0.033416355,0.544452365,0.151260504
16,67,2.55809,634,0.013906185,0.645044503,0.37635054
17,534,2.7133036,545,0.110834371,0.690047034,0.322929172
18,322,2.6793015,678,0.066832711,0.680188487,0.402761104
19,50,1.911975,199,0.01037775,0.457710339,0.115246098
20,26,1.5212561,98,0.00539643,0.344425555,0.054621849
21,43,1.7325417,101,0.008924865,0.405685565,0.056422569
22,74,1.8391043,107,0.01535907,0.436582256,0.06002401
23,10,1.1561403,47,0.00207555,0.238564116,0.024009604
24,0,0.56608194,20,0,0.067482978,0.007803121
25,318,2.7528985,738,0.066002491,0.701527153,0.43877551
26,692,2.8421078,505,0.143628061,0.72739244,0.298919568
27,126,2.5580876,549,0.02615193,0.645043807,0.325330132
28,81,2.3857312,459,0.016811955,0.595070905,0.271308523
29,141,2.3081322,318,0.029265255,0.572571901,0.18667467
30,47,2.1760879,289,0.009755085,0.534287062,0.169267707
31,52,2.1358438,287,0.01079286,0.522618714,0.168067227
32,601,2.854527,439,0.124740556,0.730993255,0.259303721
33,22,1.9959557,227,0.00456621,0.482059649,0.132052821
34,94,2.0485446,208,0.01951017,0.49730724,0.120648259
35,100,2.3094733,355,0.0207555,0.572960739,0.208883553
36,44,1.7251066,143,0.00913242,0.403529836,0.081632653
37,0,0.9216888,50,0,0.170587401,0.025810324
38,144,2.3974042,372,0.02988792,0.598455367,0.219087635
39,49,1.9999412,208,0.010170195,0.483215202,0.120648259
40,19,1.632839,125,0.003943545,0.376777828,0.070828331
41,18,1.31797,62,0.00373599,0.285484915,0.033013205
42,0,0.68957245,27,0,0.103287737,0.012004802
43,1127,3.2101336,701,0.233914487,0.834097602,0.416566627
44,307,2.6135321,451,0.063719386,0.66111935,0.266506603
45,26,1.872734,191,0.00539643,0.446332829,0.110444178
46,231,2.4967279,375,0.047945205,0.627253216,0.220888355
47,164,2.5882037,422,0.03403902,0.65377565,0.24909964
48,49,2.0099213,254,0.010170195,0.486108826,0.148259304
49,647,2.8404739,500,0.134288086,0.726918708,0.295918367
50,291,2.8779411,748,0.060398506,0.737781924,0.444777911
51,227,2.4444554,289,0.047114985,0.612097361,0.169267707
52,54,1.9596733,268,0.01120797,0.471539953,0.156662665
53,12,1.5594513,173,0.00249066,0.355499846,0.099639856
54,166,2.1739249,231,0.03445413,0.533659923,0.134453782
55,121,2.4546385,499,0.025114155,0.615049842,0.295318127
56,90,2.0991912,233,0.01867995,0.511991683,0.135654262
57,145,2.5057769,432,0.030095475,0.629876877,0.255102041
58,894,2.9985402,461,0.185554172,0.772748349,0.272509004
59,7,1.3592209,82,0.001452885,0.297445174,0.045018007
60,275,2.4637816,186,0.057077626,0.617700787,0.107442977
61,318,2.5991421,220,0.066002491,0.656947123,0.12785114
62,81,2.1760879,198,0.016811955,0.534287062,0.114645858
63,146,2.2761607,187,0.03030303,0.563302105,0.108043217
64,73,1.9145788,148,0.015151515,0.458465283,0.084633854
65,15,1.5717616,109,0.003113325,0.359069087,0.06122449
66,103,1.975305,127,0.021378165,0.476072198,0.072028812
67,0,1.2906152,67,0,0.277553682,0.036014406
68,14,1.799947,177,0.00290577,0.425229014,0.102040816
69,29,1.5226898,85,0.006019095,0.344841241,0.046818727
70,20,1.5,82,0.0041511,0.338262575,0.045018007
71,45,2.0045905,166,0.009339975,0.484563217,0.095438175
72,612,2.7780473,281,0.127023661,0.70881878,0.164465786
73,63,2.1240489,261,0.013075965,0.519198908,0.152460984
74,56,1.9912452,207,0.01162308,0.48069389,0.120048019
75,83,2.1642892,183,0.017227065,0.530866155,0.105642257
76,214,2.2819183,158,0.04441677,0.56497146,0.090636255
77,64,2.1273232,262,0.01328352,0.520148257,0.153061224
78,52,1.9777361,186,0.01079286,0.47677707,0.107442977
79,169,2.2438865,155,0.035076795,0.553944544,0.088835534
80,83,2.1716397,158,0.017227065,0.532997354,0.090636255
81,30,1.7001897,125,0.00622665,0.396305447,0.070828331
82,98,2.3333049,372,0.02034039,0.579870457,0.219087635
83,0,0.73918515,40,0,0.117672411,0.019807923
84,26,1.5763751,147,0.00539643,0.360406722,0.084033613
85,1031,3.1567829,802,0.213989207,0.818629135,0.477190876
86,220,2.4307446,396,0.0456621,0.608122061,0.233493397
87,63,1.9787503,165,0.013075965,0.477071126,0.094837935
88,18,1.5,79,0.00373599,0.338262575,0.043217287
89,74,1.9310595,117,0.01535907,0.463243687,0.066026411
90,59,2.0094504,172,0.012245745,0.485972293,0.099039616
91,169,2.3377178,303,0.035076795,0.581149931,0.177671068
92,76,2.4074891,547,0.01577418,0.601379376,0.324129652
93,46,2.028795,157,0.00954753,0.491581054,0.090036014
94,0,1.5302317,117,0,0.347027934,0.066026411
95,240,2.3636925,231,0.0498132,0.588681018,0.134453782
96,22,1.7612134,131,0.00456621,0.413998619,0.074429772
97,91,2.4684308,453,0.018887505,0.619048773,0.267707083
98,386,2.6263249,224,0.080116231,0.664828486,0.130252101
99,52,2.1802278,203,0.01079286,0.535487382,0.117647059
100,28,1.8805417,163,0.00581154,0.448596589,0.093637455
101,8,1.0445806,44,0.00166044,0.206218569,0.022208884
102,10,1.1561403,41,0.00207555,0.238564116,0.020408163
103,40,1.606352,64,0.0083022,0.369098205,0.034213685
104,19,1.3076391,47,0.003943545,0.28248958,0.024009604
105,2,1.3304729,54,0.00041511,0.289109997,0.028211285
106,57,1.7379411,60,0.011830635,0.407251063,0.031812725
107,37,1.911975,229,0.007679535,0.457710339,0.133253301
108,136,2.1783681,92,0.02822748,0.534948182,0.051020408
109,47,1.7372102,93,0.009755085,0.407039146,0.051620648
110,69,1.8993479,141,0.014321295,0.454049246,0.080432173
111,8,1.0697098,49,0.00166044,0.213504513,0.025210084
112,24,1.6503496,111,0.00498132,0.38185484,0.06242497
113,4,0.69804502,19,0.00083022,0.105744268,0.007202881
114,0,0.33333334,8,0,0,0.00060024
115,40,2.3896151,418,0.0083022,0.596197,0.246698679
116,114,2.182054,229,0.02366127,0.536016869,0.133253301
117,14,1.469555,105,0.00290577,0.329435371,0.058823529
118,17,1.238816,102,0.003528435,0.262535055,0.057022809
119,6,1.0207884,61,0.00124533,0.199320274,0.032412965
120,16,1.7051717,175,0.00332088,0.397749925,0.100840336
121,16,1.31797,86,0.00332088,0.285484915,0.047418968
122,20,1.5717616,124,0.0041511,0.359069087,0.070228091
123,8,1.1191936,65,0.00166044,0.227851814,0.034813926
124,24,1.7499485,264,0.00498132,0.410732481,0.154261705
125,172,2.7584794,748,0.03569946,0.703145276,0.444777911
126,47,2.1384635,300,0.009755085,0.523378268,0.175870348
127,1595,3.246016,737,0.331050228,0.844501322,0.43817527
128,55,1.8140556,165,0.011415525,0.429319652,0.094837935
129,7,1.4669775,124,0.001452885,0.328688053,0.070228091
130,31,2.2299953,350,0.006434205,0.549916939,0.205882353
131,14,1.390353,87,0.00290577,0.306471595,0.048019208
132,18,1.2241485,50,0.00373599,0.25828237,0.025810324
133,6,0.84912294,19,0.00124533,0.149547702,0.007202881
134,0,0.42239243,10,0,0.025821735,0.00180072
135,16,1.8140556,116,0.00332088,0.429319652,0.06542617
136,28,1.872734,195,0.00581154,0.446332829,0.112845138
137,18,1.5763751,188,0.00373599,0.360406722,0.108643457
138,31,1.7612134,216,0.006434205,0.413998619,0.12545018
139,191,2.4062207,425,0.039643005,0.601011617,0.25090036
140,83,2.0609944,169,0.017227065,0.500916927,0.097238896
141,0,0.88468331,41,0,0.159858053,0.020408163
142,18,1.6071428,86,0.00373599,0.369327489,0.047418968
143,23,1.6700469,90,0.004773765,0.387565863,0.049819928
144,12,1.390353,95,0.00249066,0.306471595,0.052821128
145,57,1.8344558,106,0.011830635,0.435234473,0.05942377
146,29,1.6926663,95,0.006019095,0.394124117,0.052821128
147,71,1.8912494,115,0.014736405,0.451701172,0.06482593
148,68,1.9582232,141,0.01411374,0.471119512,0.080432173
149,7,1.3636364,84,0.001452885,0.298725401,0.046218487
150,24,1.5887082,94,0.00498132,0.363982573,0.052220888
151,24,1.5785179,97,0.00498132,0.361028004,0.054021609
152,47,1.7081656,127,0.009755085,0.398617974,0.072028812
153,116,2.3992646,551,0.02407638,0.59899477,0.326530612
154,14,1.5592309,186,0.00290577,0.355435944,0.107442977
155,18,1.863327,284,0.00373599,0.44360537,0.166266507
156,10,1.3455029,93,0.00207555,0.293467786,0.051620648
157,67,1.7812788,172,0.013906185,0.419816368,0.099039616
158,0,0.33333334,10,0,0,0.00180072
159,52,2.5252719,646,0.01079286,0.635529245,0.383553421
160,16,1.6161586,230,0.00332088,0.371941524,0.133853541
161,135,2.7648554,822,0.028019925,0.704993929,0.489195678
162,62,1.9305556,274,0.01286841,0.463097586,0.160264106
163,0,0.49860358,58,0,0.047918346,0.030612245
164,140,2.3626034,135,0.0290577,0.588365245,0.076830732
165,49,2.1775017,358,0.010170195,0.534696978,0.210684274
166,68,1.9202406,205,0.01411374,0.460106862,0.118847539
167,46,2.0524201,378,0.00954753,0.4984309,0.222689076
168,169,2.7476609,777,0.035076795,0.700008567,0.462184874
169,17,1.8328506,275,0.003528435,0.434769062,0.160864346
170,87,2.0678315,240,0.018057285,0.502899272,0.139855942
171,69,1.8416041,90,0.014321295,0.437307046,0.049819928
172,10,1.1561403,45,0.00207555,0.238564116,0.022809124
173,14,1.5598243,86,0.00290577,0.355607994,0.047418968
174,196,2.2396266,250,0.04068078,0.552709432,0.145858343
175,60,1.7288883,86,0.0124533,0.4046263,0.047418968
176,0,0.95710868,40,0,0.180857018,0.019807923
177,4,1.6092162,125,0.00083022,0.369928649,0.070828331
178,188,2.2465236,162,0.03902034,0.554709143,0.093037215
179,18,1.5717616,123,0.00373599,0.359069087,0.069627851
180,12,1.3272201,97,0.00249066,0.288166883,0.054021609
181,22,1.6413553,114,0.00456621,0.379247039,0.06422569
182,167,2.4105148,161,0.034661685,0.602256646,0.092436975
183,10,1.3443909,76,0.00207555,0.293145373,0.041416567
184,27,1.7265038,94,0.005603985,0.40393494,0.052220888
185,110,2.1723499,170,0.02283105,0.533203269,0.097839136
186,69,1.8077145,118,0.014321295,0.427481117,0.066626651
187,14,1.3443909,68,0.00290577,0.293145373,0.036614646
188,4,0.80638385,28,0.00083022,0.137155958,0.012605042
189,0,0.33333334,11,0,0,0.00240096
190,0,1.4724894,65,0,0.330286169,0.034813926
191,23,1.6037242,73,0.004773765,0.368336302,0.039615846
192,33,1.6249448,91,0.006849315,0.374488989,0.050420168
193,94,1.9914135,153,0.01951017,0.480742686,0.087635054
194,62,1.9633501,163,0.01286841,0.472606002,0.093637455
195,12,1.2241485,46,0.00249066,0.25828237,0.023409364
196,6,1.3873369,55,0.00124533,0.305597109,0.028811525
197,2,1.3088794,53,0.00041511,0.282849192,0.027611044
198,0,1.4175341,135,0,0.314352465,0.076830732
199,14,1.7555087,151,0.00290577,0.412344602,0.086434574
200,31,1.9740222,298,0.006434205,0.475700264,0.174669868
201,21,2.0545578,333,0.004358655,0.499050704,0.195678271
202,74,2.2343061,339,0.01535907,0.551166809,0.199279712
203,14,1.469555,135,0.00290577,0.329435371,0.076830732
204,2,1.632839,115,0.00041511,0.376777828,0.06482593
205,243,2.763273,147,0.050435866,0.704535129,0.084033613
206,2,1.6597091,105,0.00041511,0.384568528,0.058823529
207,2,1.6211112,105,0.00041511,0.373377478,0.058823529
208,12,1.4669775,175,0.00249066,0.328688053,0.100840336
209,10,1.1087778,39,0.00207555,0.224831864,0.019207683
210,2,0.87255627,15,0.00041511,0.156341947,0.004801921
211,2,0.70398736,11,0.00041511,0.107467186,0.00240096
212,2,0.87255627,15,0.00041511,0.156341947,0.004801921
213,2,1.5226898,92,0.00041511,0.344841241,0.051020408
214,93,2.1087959,200,0.019302615,0.514776463,0.115846339
215,17,1.6741856,93,0.003528435,0.388765835,0.051620648
216,14,1.4850357,113,0.00290577,0.333923835,0.06362545
217,5,0.91666669,42,0.001037775,0.169131293,0.021008403
218,3,0.9792943,41,0.000622665,0.187289502,0.020408163
219,14,1.5110798,77,0.00290577,0.341475045,0.042016807
220,7,1.4803609,74,0.001452885,0.332568427,0.040216086
221,65,1.8135039,63,0.013491075,0.429159692,0.033613445
222,71,2.0183253,129,0.014736405,0.488545476,0.073229292
223,65,1.8518485,140,0.013491075,0.440277301,0.079831933
224,69,2.2157826,465,0.014321295,0.545796118,0.274909964
225,0,1.5623667,188,0,0.356345135,0.108643457
226,16,1.6667411,193,0.00332088,0.386607381,0.111644658
227,6,1.0102814,57,0.00124533,0.196273882,0.030012005
228,31,2.6071641,674,0.006434205,0.659273016,0.400360144
229,26,2.3328953,573,0.00539643,0.579751698,0.339735894
230,60,2.5029695,652,0.0124533,0.629062901,0.387154862
231,293,2.9517741,867,0.060813616,0.759189016,0.516206483
232,621,2.8965094,831,0.128891656,0.743165605,0.494597839
233,178,2.5574899,536,0.03694479,0.644870511,0.317527011
234,153,2.3657341,300,0.031755915,0.589272958,0.175870348
235,16,1.6161586,137,0.00332088,0.371941524,0.078031212
236,42,1.5448366,87,0.00871731,0.35126247,0.048019208
237,30,1.5110798,91,0.00622665,0.341475045,0.050420168
238,12,1.2726263,58,0.00249066,0.272337992,0.030612245
239,8,1.0697098,52,0.00166044,0.213504513,0.027010804
240,8,1.1708162,102,0.00166044,0.242819237,0.057022809
241,42,1.9684145,320,0.00871731,0.474074371,0.18787515
242,225,2.8076084,753,0.046699875,0.717389706,0.447779112
243,20,1.8712084,312,0.0041511,0.445890498,0.183073229
244,26,1.7251066,124,0.00539643,0.403529836,0.070228091
245,176,2.272085,217,0.03652968,0.562120399,0.12605042
246,28,1.7812788,94,0.00581154,0.419816368,0.052220888
247,8,1.0952908,50,0.00166044,0.220921452,0.025810324
248,0,0.49860358,24,0,0.047918346,0.010204082
249,26,1.5226898,126,0.00539643,0.344841241,0.071428571
250,54,2.1483474,378,0.01120797,0.526244,0.222689076
251,318,2.8337638,839,0.066002491,0.724973186,0.49939976
252,50,2.024497,315,0.01037775,0.490334895,0.18487395
253,57,1.7777745,146,0.011830635,0.418800333,0.083433373
254,14,1.469555,93,0.00290577,0.329435371,0.051620648
255,64,1.8839941,108,0.01328352,0.449597575,0.06062425
256,47,1.6474625,48,0.009755085,0.381017756,0.024609844
257,28,1.5110798,91,0.00581154,0.341475045,0.050420168
258,82,2.2392876,307,0.01701951,0.552611142,0.180072029
259,144,2.3358655,360,0.02988792,0.580612876,0.211884754
260,57,2.2102714,400,0.011830635,0.544198204,0.235894358
261,93,2.3553197,382,0.019302615,0.586253414,0.225090036
262,37,2.1768863,404,0.007679535,0.53451855,0.238295318
263,45,1.9161526,204,0.009339975,0.45892159,0.118247299
264,165,2.1737089,178,0.034246575,0.533597296,0.102641056
265,11,1.2552096,76,0.002283105,0.267288205,0.041416567
266,466,2.9888687,835,0.096720631,0.7699442,0.4969988
267,634,3.1623669,964,0.131589871,0.820248156,0.574429772
268,81,2.5953898,590,0.016811955,0.655859183,0.349939976
269,145,2.2662139,313,0.030095475,0.560418136,0.183673469
270,112,2.2177286,285,0.02324616,0.54636034,0.166866747
271,63,2.1496761,370,0.013075965,0.526629242,0.217887155
272,216,2.8517711,801,0.04483188,0.730194211,0.476590636
273,19,2.3498795,446,0.003943545,0.584676086,0.263505402
274,15,1.3006579,49,0.003113325,0.280465456,0.025210084
275,12,1.3992285,122,0.00249066,0.309044951,0.069027611
276,63,2.0590754,165,0.013075965,0.500360534,0.094837935
277,16,1.5352089,122,0.00332088,0.34847102,0.069027611
278,22,1.31797,51,0.00456621,0.285484915,0.026410564
279,8,1,26,0.00166044,0.193292899,0.011404562
280,6,0.8619656,19,0.00124533,0.153271295,0.007202881
281,6,0.8619656,27,0.00124533,0.153271295,0.012004802
282,8,1.0952908,47,0.00166044,0.220921452,0.024009604
283,23,1.6118186,88,0.004773765,0.370683187,0.048619448
284,0,1.3034559,80,0,0.281276706,0.043817527
285,30,1.5346701,111,0.00622665,0.348314801,0.06242497
286,34,1.7641696,236,0.00705687,0.414855737,0.137454982
287,81,1.9851656,113,0.016811955,0.478931174,0.06362545
288,12,1.3636364,86,0.00249066,0.298725401,0.047418968
289,12,1.4990026,129,0.00249066,0.337973389,0.073229292
290,132,2.2767203,215,0.02739726,0.563464355,0.12484994
291,89,2.0398967,187,0.018472395,0.494799874,0.108043217
292,74,2.0485446,216,0.01535907,0.49730724,0.12545018
293,178,2.4002912,371,0.03694479,0.599292422,0.218487395
294,446,3.0204203,1081,0.092569531,0.779092251,0.644657863
295,123,2.5987225,619,0.025529265,0.656825464,0.367346939
296,573,3.0192466,808,0.118929016,0.778751949,0.480792317
297,73,2.313566,512,0.015151515,0.574147373,0.303121248
298,9,1.5738505,247,0.001867995,0.359674741,0.144057623
299,37,2.2887852,465,0.007679535,0.566962444,0.274909964
