Ref,x1,y1,x2,y2,Choice,Choice R3,Choice R7,Choice [Connectivity Wgt],Choice [Connectivity Wgt] R3,Choice [Connectivity Wgt] R7,Choice [Connectivity Wgt][Norm],Choice [Connectivity Wgt][Norm] R3,Choice [Connectivity Wgt][Norm] R7,Choice [Norm],Choice [Norm] R3,Choice [Norm] R7,Connectivity,Control,Controllability,Entropy,Entropy R3,Entropy R7,Harmonic Mean Depth,Harmonic Mean Depth R3,Harmonic Mean Depth R7,Integration [HH],Integration [HH] R3,Integration [HH] R7,Integration [P-value],Integration [P-value] R3,Integration [P-value] R7,Integration [Tekl],Integration [Tekl] R3,Integration [Tekl] R7,Intensity,Intensity R3,Intensity R7,Line Length,Mean Depth,Mean Depth R3,Mean Depth R7,Mean Depth [Connectivity Wgt],Mean Depth [Connectivity Wgt] R3,Mean Depth [Connectivity Wgt] R7,Node Count,Node Count R3,Node Count R7,RA,RA R3,RA R7,RA [Penn],RA [Penn] R3,RA [Penn] R7,RRA,RRA R3,RRA R7,Relativised Entropy,Relativised Entropy R3,Relativised Entropy R7,Total Connectivity,Total Connectivity R3,Total Connectivity R7,Total Depth,Total Depth R3,Total Depth R7
0,1957.82737509,1628.14482895,2002.0490428,1458.96426285,124521,132,1103,988663,3364,13135,0.11855143,0.34822214,0.31236622,0.1371561,0.17813765,0.23206396,7,1.2440476,0.30434781,5.2450066,1.4975928,2.7388301,10.700085,14.933333,14.477558,0.36936772,2.3602958,1.2593509,0.36936772,2.3602958,1.2593509,0.63479477,0.76060092,0.67254674,0.24788962,1.2745471,0.84732556,174.86458,22.175074,2.2307692,4.2755103,21.820765,1.8776978,3.8620689,1349,40,99,0.031440347,0.06477733,0.067536294,0.54129976,0.36000001,0.43386245,2.7073293,0.42367572,0.79405981,6.0040541,1.6852044,2.3126886,4084,139,290,29892,87,419
1,2002.0490428,1458.96426285,2364.14574287,73.9627301478,163403,158,1313,1240316,2322,11845,0.14872736,0.24742927,0.2856144,0.17998344,0.22475107,0.28793859,8,3.4761906,0.44444445,5.2591801,1.4663446,2.7274585,12.906119,14.545455,14.250145,0.36302143,2.1826198,1.229082,0.36302143,2.1826198,1.229082,0.63372427,0.74584705,0.66929871,0.24428876,1.1670907,0.82935262,1431.5527,22.545252,2.3157895,4.3333335,22.240206,2.1313868,4.0451388,1349,39,97,0.03198998,0.071123756,0.070175439,0.53328085,0.31506848,0.42342341,2.7546582,0.45816499,0.81361538,6.0559368,1.8177888,2.3410347,4084,137,288,30391,88,416
2,2364.14574287,73.9627301478,2376.00493121,30.164541829,0,0,0,4075,69,225,0.00048863678,0.022682445,0.0082182772,0,0,0,1,0.125,0.125,5.262404,1.2416805,2.5641918,10.385282,3.2183907,5.2403231,0.34693095,1.3088794,1.0371749,0.34693095,1.3088794,1.0371749,0.63094079,0.64932406,0.6447441,0.2336037,0.90738189,0.71176851,45.375343,23.54451,2.5,4.6623378,23.239716,2.4487178,4.354701,1349,19,78,0.033473659,0.17647059,0.096377306,0.52162826,0.18181819,0.3605442,2.8824179,0.76401234,0.96415758,5.9791055,2.0256271,2.4285655,4084,78,234,31738,45,359
3,748.552614649,1492.94119999,1253.73270901,1560.39691951,14283,6,70,136260,44,590,0.016339054,0.34375,0.18907227,0.01573229,0.40000001,0.23333333,2,1,0.5,5.306294,1.5491613,2.6304452,8.9654503,2.6666667,3.3802817,0.28378639,0.84912294,0.62534261,0.28378639,0.84912294,0.62534261,0.61889464,0.51139158,0.54693931,0.19267827,2.1688259,0.73539329,509.66382,28.560831,2,4.7600002,28.225025,1.875,4.886076,1349,7,26,0.040921796,0.40000001,0.31333333,0.4693557,0.33333334,0.27131784,3.5237772,1.1776857,1.5991235,6.0208383,1.0911623,2.4425244,4084,16,79,38500,12,119
4,1620.18422756,3576.15330624,1630.37552694,3484.94830926,5612,8,158,58032,134,2058,0.0069586672,0.15192744,0.16078125,0.0061814473,0.14545454,0.13435374,2,0.83333331,0.40000001,5.5475211,1.4308271,2.5893688,14.602408,4,5.5478406,0.26666749,1.0445806,0.80396849,0.26666749,1.0445806,0.80396849,0.61525679,0.59431612,0.60270321,0.18928586,1.2264233,0.66736311,91.772621,30.330118,2.3636363,4.9795918,29.882957,2.3571429,4.8562498,1349,12,50,0.043548804,0.27272728,0.16581632,0.45541322,0.21052632,0.2857143,3.7499886,0.957322,1.2438298,7.0939436,1.6862333,2.5801339,4084,42,160,40885,26,244
5,1611.94435885,3634.67151201,1620.18422756,3576.15330624,3503,14,139,42759,159,1898,0.0051272684,0.29201102,0.17330168,0.003858448,0.31111112,0.14693446,3,1.0833334,0.42857143,5.5603719,1.5531402,2.5830133,14.389151,4.3636365,5.5265489,0.25840622,1.3270249,0.7649613,0.25840622,1.3270249,0.7649613,0.613433,0.65321249,0.59337831,0.18384661,1.8982824,0.66420341,59.095482,31.267805,2,5,30.829088,1.8181819,4.9121623,1349,11,45,0.04494106,0.22222222,0.18604651,0.44782928,0.41176471,0.27572018,3.8698759,0.75356531,1.3072557,7.1141644,1.229477,2.685384,4084,33,148,42149,20,220
6,1597.5707862,3736.67705005,1611.94435885,3634.67151201,1174,5,42,21284,96,827,0.0025521829,0.19979188,0.077594295,0.0012931253,0.11111111,0.044397462,3,0.91666669,0.42857143,5.5665326,1.5531402,2.5263619,14.311636,4.3636365,5.1297708,0.25569889,1.3270249,0.7521407,0.25569889,1.3270249,0.7521407,0.61282504,0.65321249,0.59144491,0.18212196,1.8982824,0.63868701,103.01325,31.58828,2,5.068182,31.127815,1.6774193,4.9315066,1349,11,45,0.045416895,0.22222222,0.18921776,0.4419829,0.41176471,0.26337448,3.91085,0.75356531,1.3295385,7.1005106,1.229477,2.7613916,4084,31,146,42581,20,223
7,1591.34913986,3784.36420925,1597.5707862,3736.67705005,504,6,53,15740,114,899,0.001887397,0.2093664,0.084349781,0.00055514066,0.13333334,0.053535353,3,0.91666669,0.42857143,5.5757422,1.5531402,2.5807846,14.787096,4.3636365,5.57971,0.25357717,1.3270249,0.77222222,0.25357717,1.3270249,0.77222222,0.61234492,0.65321249,0.59523743,0.18090954,1.8982824,0.66321838,48.091309,31.844213,2,5,31.3619,1.7575758,4.8630137,1349,11,46,0.045796901,0.22222222,0.18181819,0.43731391,0.41176471,0.27710843,3.9435725,0.75356531,1.2949641,7.0919037,1.229477,2.6733055,4084,33,146,42926,20,225
8,1580.63686526,3866.44042756,1591.34913986,3784.36420925,31611,14,246,274486,223,2731,0.032913852,0.22024691,0.28269759,0.034818556,0.21212122,0.24848485,3,1.0833334,0.42857143,5.5817065,1.5415961,2.6770475,15.382543,5.1063828,6.2492251,0.25162244,1.2989333,0.82738096,0.25162244,1.2989333,0.82738096,0.61189967,0.64596856,0.60325217,0.17970698,1.5415961,0.73739034,82.772331,32.083828,2.1666667,4.7333331,31.580069,2.0888889,4.561151,1349,13,46,0.046152677,0.21212122,0.16969697,0.43294266,0.33333334,0.3253012,3.9742084,0.76986253,1.2086331,7.1050663,1.4444195,2.4594893,4084,45,139,43249,26,213
9,1560.4947166,3978.05156372,1580.63686526,3866.44042756,29286,12,262,256253,258,2736,0.030727519,0.16454081,0.38,0.032257639,0.11428571,0.30429733,2,0.58333331,0.2857143,5.5960445,1.3993975,2.6937034,14.596183,4.848485,5.6328583,0.24441274,1.2552096,0.88729787,0.24441274,1.2552096,0.88729787,0.61023283,0.63915122,0.60946941,0.17500612,1.1195179,0.82148403,113.41407,33.00074,2.4000001,4.3809524,32.511017,2.2678571,4.0916667,1349,16,43,0.047514092,0.2,0.1649245,0.42623997,0.22222222,0.38528138,4.0914397,0.79667974,1.1270173,7.1614757,1.7939149,2.2362363,4084,56,120,44485,36,184
