Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3 normal,Integration [HH] R3 normal,Total Connectivity R3 normal
0,132,2.3602958,139,0.262425447,0.444292567,0.44
1,158,2.1826198,137,0.314115308,0.405347531,0.433333333
2,0,1.3088794,78,0,0.213831224,0.236666667
3,6,0.84912294,16,0.011928429,0.113056601,0.03
4,8,1.0445806,42,0.015904573,0.155899222,0.116666667
5,14,1.3270249,33,0.027833002,0.21780856,0.086666667
6,5,1.3270249,31,0.009940358,0.21780856,0.08
7,6,1.3270249,33,0.011928429,0.21780856,0.086666667
8,14,1.2989333,45,0.027833002,0.211651125,0.126666667
9,12,1.2552096,56,0.023856859,0.20206727,0.163333333
10,22,1.6132691,56,0.043737575,0.280550802,0.163333333
11,22,1.6261337,50,0.043737575,0.283370611,0.143333333
12,10,1.1191936,39,0.019880716,0.172253744,0.106666667
13,4,0.72781962,23,0.007952286,0.086467966,0.053333333
14,0,0.33333334,9,0,0,0.006666667
15,0,0.33333334,9,0,0,0.006666667
16,4,0.72781962,23,0.007952286,0.086467966,0.053333333
17,10,1.1191936,39,0.019880716,0.172253744,0.106666667
18,22,1.6261337,49,0.043737575,0.283370611,0.14
19,22,1.6261337,50,0.043737575,0.283370611,0.143333333
20,10,1.1365665,42,0.019880716,0.176061732,0.116666667
21,6,0.8870222,30,0.011928429,0.121363789,0.076666667
22,6,0.8870222,30,0.011928429,0.121363789,0.076666667
23,0,0.33333334,8,0,0,0.003333333
24,4,0.69804502,11,0.007952286,0.079941633,0.013333333
25,8,1.0189475,15,0.015904573,0.150280669,0.026666667
26,14,1.1,29,0.027833002,0.168046673,0.073333333
27,12,1.2241485,47,0.023856859,0.195258946,0.133333333
28,22,1.6042534,70,0.043737575,0.278574639,0.21
29,78,2.062937,97,0.155069583,0.3791141,0.3
30,68,2.0229185,110,0.135188867,0.370342393,0.343333333
31,20,1.6857162,100,0.039761431,0.296430577,0.31
32,33,1.6071428,81,0.065606362,0.27920797,0.246666667
33,20,1.4666082,62,0.039761431,0.248404007,0.183333333
34,16,1.3076391,45,0.031809145,0.213559361,0.126666667
35,12,1.2052853,34,0.023856859,0.191124297,0.09
36,8,0.98558021,23,0.015904573,0.142966849,0.053333333
37,6,0.8619656,19,0.011928429,0.1158716,0.04
38,6,0.84912294,16,0.011928429,0.113056601,0.03
39,20,1.6100973,112,0.039761431,0.279855571,0.35
40,8,1.0952908,60,0.015904573,0.167014458,0.176666667
41,8,1.0207884,37,0.015904573,0.150684179,0.1
42,20,1.3304729,59,0.039761431,0.218564331,0.173333333
43,27,1.5110798,86,0.053677932,0.258151795,0.263333333
44,38,1.9345245,129,0.07554672,0.350967196,0.406666667
45,38,1.9323636,127,0.07554672,0.350493545,0.4
46,26,1.4516129,81,0.051689861,0.245117167,0.246666667
47,8,1.0207884,40,0.015904573,0.150684179,0.11
48,6,0.8870222,27,0.011928429,0.121363789,0.066666667
49,8,1.0445806,51,0.015904573,0.155899222,0.146666667
50,18,1.5110798,98,0.035785288,0.258151795,0.303333333
51,66,1.9731473,84,0.131212724,0.359432978,0.256666667
52,30,1.7265038,83,0.059642147,0.305370865,0.253333333
53,24,1.5448366,78,0.047713718,0.265550993,0.236666667
54,48,1.6741856,115,0.095427435,0.29390317,0.36
