Ref,x1,y1,x2,y2,Choice,Choice R3,Choice R7,Choice [Connectivity Wgt],Choice [Connectivity Wgt] R3,Choice [Connectivity Wgt] R7,Choice [Connectivity Wgt][Norm],Choice [Connectivity Wgt][Norm] R3,Choice [Connectivity Wgt][Norm] R7,Choice [Norm],Choice [Norm] R3,Choice [Norm] R7,Connectivity,Control,Controllability,Entropy,Entropy R3,Entropy R7,Harmonic Mean Depth,Harmonic Mean Depth R3,Harmonic Mean Depth R7,Integration [HH],Integration [HH] R3,Integration [HH] R7,Integration [P-value],Integration [P-value] R3,Integration [P-value] R7,Integration [Tekl],Integration [Tekl] R3,Integration [Tekl] R7,Intensity,Intensity R3,Intensity R7,Line Length,Mean Depth,Mean Depth R3,Mean Depth R7,Mean Depth [Connectivity Wgt],Mean Depth [Connectivity Wgt] R3,Mean Depth [Connectivity Wgt] R7,Node Count,Node Count R3,Node Count R7,RA,RA R3,RA R7,RA [Penn],RA [Penn] R3,RA [Penn] R7,RRA,RRA R3,RRA R7,Relativised Entropy,Relativised Entropy R3,Relativised Entropy R7,Total Connectivity,Total Connectivity R3,Total Connectivity R7,Total Depth,Total Depth R3,Total Depth R7
0,15028.4821196,4821.58930574,15038.6264313,4632.97730121,0,0,0,13350,138,474,0.0013362762,0.063360885,0.029920464,0,0,0,3,0.55952382,0.27272728,4.4879117,1.4680873,2.7067795,9.2518845,6.8571429,7.2152271,0.434598,1.6037242,0.94225055,0.434598,1.6037242,0.94225055,0.64491469,0.69137424,0.62254828,0.24977271,1.2765976,0.80430019,188.88461,18.982117,2.2631578,4.4509802,18.71991,1.9090909,4.4775281,1343,20,52,0.026818965,0.14035088,0.13803922,0.49351466,0.31428573,0.38245615,2.300977,0.62354857,1.0612888,4.5194697,1.6536874,2.372642,4470,66,178,25474,43,227
1,15038.6264313,4632.97730121,15039.2386885,4619.10990572,4429,51,258,73530,958,3810,0.007360029,0.33171746,0.16182123,0.0049221446,0.18478261,0.13210446,6,1.3690476,0.375,4.4720039,1.5489397,2.7286861,9.7974491,10.212766,9.483283,0.45561141,2.124928,1.0392693,0.45561141,2.124928,1.0392693,0.64794654,0.74962389,0.63995576,0.26092196,1.5489397,0.81988686,13.880905,18.152758,2.0833333,4.3968253,17.890156,1.6447369,4.3732719,1343,25,64,0.02558204,0.094202898,0.10957501,0.50325853,0.42222223,0.40056023,2.1948528,0.47060421,0.96221453,4.4877543,1.462389,2.4222538,4470,76,217,24361,50,277
2,15039.2386885,4619.10990572,15043.1014749,4530.87736338,6863,28,230,97260,456,3114,0.0097352974,0.16654493,0.12523879,0.007627157,0.12121212,0.1072261,4,1.0595238,0.30769232,4.4308748,1.4982483,2.7128572,9.714179,8.4705887,9.3898458,0.47595727,1.7909094,1.0175049,0.47595727,1.7909094,1.0175049,0.65077716,0.71343797,0.63863796,0.27006739,1.3253735,0.78345448,88.317055,17.419523,2.2272727,4.530303,17.140045,1.9054054,4.4080715,1343,23,67,0.024488475,0.11688311,0.10862471,0.51069218,0.34146342,0.37866667,2.1010289,0.55837554,0.98279619,4.391571,1.6219345,2.3917243,4470,74,223,23377,49,299
3,15043.1014749,4530.87736338,15052.874213,4308.93439242,8535,10,192,114070,204,2780,0.011417904,0.11333334,0.1079004,0.0094853248,0.095238097,0.084284462,2,0.75,0.33333334,4.3912148,1.3419172,2.5881908,8.94664,4.6451612,6.8471675,0.49493718,1.1981546,0.94263411,0.49493718,1.1981546,0.94263411,0.65333176,0.62953198,0.6306265,0.27832374,1.0224131,0.68423432,222.15802,16.789865,2.4666667,4.852941,16.482775,2.3833334,4.6519823,1343,16,69,0.023549389,0.20952381,0.11501317,0.5153802,0.18518518,0.32299742,2.0204585,0.8346169,1.0608571,4.2894297,1.9073327,2.4918311,4470,60,227,22532,37,330
4,15052.874213,4308.93439242,15076.913657,4034.06616522,10521,6,195,127738,126,2832,0.01278601,0.10495627,0.10083854,0.011692455,0.13333334,0.074200913,2,1,0.5,4.3698974,1.3713219,2.4618127,8.8186789,3.4285715,5.6082363,0.51927114,0.94787496,0.93813592,0.51927114,0.94787496,0.93813592,0.65649486,0.56992978,0.63202721,0.29059082,1.1603494,0.63036036,275.91745,16.049925,2.4000001,4.9726028,15.718568,2.5510204,4.7172995,1343,11,74,0.022445824,0.31111112,0.11035007,0.52383536,0.17647059,0.30455637,1.9257762,1.0549915,1.0659436,4.2026367,1.7606758,2.6044848,4470,49,237,21539,24,363
5,12725.6990697,2128.88906942,12748.4193778,2119.18290477,593,17,109,19319,283,3275,0.0019337467,0.25622454,0.012848277,0.00065902731,0.18681319,0.0077701737,3,0.86666667,0.33333334,4.0980773,1.5214777,2.0499499,11.125479,5.7142859,8.8325529,0.6950112,1.471094,0.99363112,0.6950112,1.471094,0.99363112,0.67638403,0.67510992,0.65915024,0.36475036,1.5214777,0.42146173,24.70672,12.244411,2.1428571,5.8988094,11.79396,2,5.9327731,1343,15,169,0.016770188,0.17582418,0.058668379,0.52707785,0.36000001,0.16616008,1.4388257,0.67976618,1.0064096,3.7562377,1.4527285,3.3781986,4470,47,714,16432,30,991
6,12748.4193778,2119.18290477,12761.7643583,2100.77738995,649,16,117,19850,331,3800,0.0019868976,0.18388888,0.012333157,0.00072126259,0.13333334,0.006949394,3,0.91666669,0.375,4.1357284,1.4726398,1.9845186,10.922345,6.0759492,9.4862213,0.68975461,1.3938289,1.0032287,0.68975461,1.3938289,1.0032287,0.67585081,0.66181248,0.66221821,0.36531723,1.2517439,0.40124148,22.734367,12.330104,2.3125,5.978261,11.901566,2.2166667,5.9872613,1343,17,185,0.016897993,0.175,0.054407224,0.54236269,0.27586207,0.1542013,1.449791,0.71744823,0.99678177,3.7493527,1.6838834,3.4749165,4470,60,785,16547,37,1100
7,13214.7011025,509.540224449,13215.6150355,494.711861163,2682,4,12,17864,16,50,0.0017881077,0.39506173,0.30864197,0.002980626,0.66666669,0.42857143,2,1.5,0.66666669,4.252274,1.4575424,2.5954888,3.9528422,1.6,1.2307693,0.38233089,0.70398736,0.42239153,0.38233089,0.70398736,0.42239153,0.63682848,0.36907023,0.41148093,0.20819557,3.6438563,1.1679699,14.856502,21.440388,1.75,3.625,21.052126,1.4444444,3.5555556,1343,5,9,0.030485291,0.5,0.75,0.42427486,0.40000001,0.22222222,2.6155355,1.42048,2.3674717,4.4872751,0.79481012,1.8143369,4470,9,18,28773,7,29
8,13196.213309,145.340200995,13215.6150355,494.711861163,0,0,0,4467,4,12,0.00044712701,0.1632653,0.10666667,0,0,0,1,0.5,0.5,4.2537637,1.5,2.625,3.5092974,1.3333334,1.1428572,0.36451128,0.33333334,0.32836786,0.36451128,0.33333334,0.32836786,0.6338681,0,0.36084881,0.19856121,3,1.05,349.90997,22.439642,2,4,22.051678,1.7142857,3.7333333,1343,4,8,0.031975605,1,1,0.41222855,0,0,2.7433994,3,3.0453651,4.5484715,0.81028318,1.7829173,4470,7,15,30114,6,28
9,12366.8707099,2177.47922741,12725.6990697,2128.88906942,8928,40,1025,89243,534,14683,0.0089328308,0.20601852,0.028392451,0.0099220835,0.29411766,0.034574647,5,2.3333333,0.55555558,4.0767055,1.5155047,2.1825445,12.052443,6.9565215,11.985265,0.75137693,1.6132691,1.1385577,0.75137693,1.6132691,1.1385577,0.68191057,0.69413465,0.68065977,0.39227736,1.4357413,0.46336514,362.1033,11.400894,2.1764705,5.7336063,10.950111,2.2638888,5.737463,1343,18,245,0.015512146,0.14705883,0.038959723,0.54370707,0.3548387,0.1995842,1.3308899,0.6198594,0.87830418,3.68975,1.5744734,3.1823363,4470,72,1017,15300,37,1399
