Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3,Integration [HH] R3,Total Connectivity R3
0,0,1.6037242,66,0,0.457053509,0.10137457
1,51,2.124928,76,0.037946429,0.644569047,0.118556701
2,28,1.7909094,74,0.020833333,0.524397864,0.115120275
3,10,1.1981546,60,0.007440476,0.311140141,0.091065292
4,6,0.94787496,49,0.004464286,0.221096052,0.072164948
5,17,1.471094,47,0.01264881,0.409336621,0.068728522
6,16,1.3938289,60,0.011904762,0.381538653,0.091065292
7,4,0.70398736,9,0.00297619,0.133351653,0.003436426
8,0,0.33333334,7,0,0,0
9,40,1.6132691,72,0.029761905,0.460487515,0.111683849
10,13,1.3873683,43,0.009672619,0.379214297,0.06185567
11,8,1.1365665,38,0.005952381,0.288982349,0.053264605
12,13,1.3057258,40,0.009672619,0.349841454,0.056701031
13,71,2.0531211,206,0.052827381,0.618734797,0.341924399
14,53,1.8391043,129,0.039434524,0.541737132,0.209621993
15,30,1.5592874,108,0.022321429,0.441066307,0.173539519
16,42,1.8975395,211,0.03125,0.562760594,0.350515464
17,446,2.764513,454,0.331845238,0.874675055,0.768041237
18,244,2.5706289,382,0.181547619,0.804920611,0.644329897
19,52,2.0386508,239,0.038690476,0.61352876,0.39862543
20,25,1.8276744,156,0.01860119,0.537624952,0.256013746
21,64,1.9309677,125,0.047619048,0.574787189,0.202749141
22,34,1.7265038,88,0.025297619,0.501226408,0.139175258
23,54,1.6700469,81,0.040178571,0.480914688,0.127147766
24,12,1.2726263,61,0.008928571,0.337933117,0.092783505
25,14,1.40625,77,0.010416667,0.386007441,0.120274914
26,74,1.9345245,114,0.055059524,0.576066832,0.183848797
27,60,1.8833622,103,0.044642857,0.557659971,0.164948454
28,54,1.9304764,136,0.040178571,0.574610432,0.221649485
29,108,2.2658839,185,0.080357143,0.695281305,0.305841924
30,192,2.3843048,213,0.142857143,0.737886057,0.35395189
31,77,2.1398234,176,0.057291667,0.649928024,0.290378007
32,57,1.8839605,131,0.042410714,0.557875224,0.213058419
33,22,1.606352,76,0.016369048,0.457998923,0.118556701
34,0,1.2241485,44,0,0.320492069,0.063573883
35,66,1.8599865,53,0.049107143,0.549250003,0.079037801
36,70,1.9244691,54,0.052083333,0.572449162,0.080756014
37,18,1.4644111,47,0.013392857,0.406932288,0.068728522
38,8,0.98558021,29,0.005952381,0.234661418,0.037800687
39,0,0.49860358,19,0,0.059459923,0.020618557
40,30,1.8,89,0.022321429,0.527668425,0.140893471
41,32,1.8861139,109,0.023809524,0.558649961,0.175257732
42,0,1.2906152,78,0,0.344405055,0.121993127
43,20,1.6037242,85,0.014880952,0.457053509,0.134020619
44,30,1.6037242,82,0.022321429,0.457053509,0.128865979
45,18,1.4028426,67,0.013392857,0.384781547,0.103092784
46,16,1.2989333,40,0.011904762,0.34739769,0.056701031
47,12,1.2052853,36,0.008928571,0.313705581,0.049828179
48,10,1.1365665,46,0.007440476,0.288982349,0.067010309
49,16,1.3873369,63,0.011904762,0.379203,0.096219931
50,6,1.4724894,80,0.004464286,0.40983865,0.125429553
51,18,1.8369439,117,0.013392857,0.540959877,0.189003436
52,35,2.0201983,149,0.026041667,0.606890032,0.243986254
53,20,1.5598243,76,0.014880952,0.44125947,0.118556701
54,22,1.6700469,80,0.016369048,0.480914688,0.125429553
55,23,1.6673985,81,0.017113095,0.479961862,0.127147766
56,22,1.6118186,88,0.016369048,0.459965663,0.139175258
57,14,1.4221928,98,0.010416667,0.391743244,0.156357388
58,30,1.8344153,107,0.022321429,0.540050152,0.171821306
59,102,1.9955361,180,0.075892857,0.598017215,0.297250859
60,0,0.80638385,25,0,0.17019124,0.030927835
61,34,1.4644111,50,0.025297619,0.406932288,0.073883162
62,34,1.6249448,86,0.025297619,0.464688128,0.135738832
63,49,1.8337219,116,0.036458333,0.539800685,0.187285223
64,29,2.0589156,174,0.021577381,0.620819507,0.286941581
65,68,2.3073587,233,0.050595238,0.710202857,0.388316151
66,62,2.2438865,212,0.046130952,0.687367214,0.352233677
67,30,1.8571436,174,0.022321429,0.548227202,0.286941581
68,11,1.3592209,61,0.008184524,0.369087597,0.092783505
69,34,1.6666666,104,0.025297619,0.479698544,0.166666667
70,26,1.7601773,168,0.019345238,0.513341256,0.276632302
71,94,2.3217521,295,0.069940476,0.715381227,0.494845361
72,90,2.1161878,261,0.066964286,0.641424551,0.436426117
73,14,1.7028028,202,0.010416667,0.492699406,0.335051546
74,136,2.3587365,322,0.101190476,0.72868725,0.541237113
75,81,2.1681063,230,0.060267857,0.660103474,0.383161512
76,0,0.33333334,7,0,0,0
77,16,1.5898042,158,0.011904762,0.452045456,0.259450172
78,65,2.2249563,324,0.048363095,0.680556622,0.54467354
79,494,2.8650911,551,0.367559524,0.910860433,0.934707904
80,402,2.7089083,461,0.299107143,0.854669934,0.780068729
81,449,2.6797094,325,0.334077381,0.844164931,0.546391753
82,92,2.0903182,203,0.068452381,0.632117344,0.336769759
83,52,1.8470125,126,0.038690476,0.544582296,0.204467354
84,6,0.91666669,42,0.004464286,0.20986813,0.060137457
85,8,1.0952908,53,0.005952381,0.274132428,0.079037801
86,22,1.6042534,70,0.016369048,0.457243902,0.108247423
87,18,1.8597906,72,0.013392857,0.549179524,0.111683849
88,0,1.4028426,62,0,0.384781547,0.094501718
89,0,0.68957245,26,0,0.128165544,0.032646048
90,18,1.3443909,58,0.013392857,0.363752149,0.087628866
91,44,1.7821976,95,0.032738095,0.521263585,0.151202749
92,27,1.7700537,136,0.020089286,0.516894527,0.221649485
93,27,1.7914909,132,0.020089286,0.524607072,0.214776632
94,25,1.7963344,147,0.01860119,0.526349637,0.240549828
95,34,1.7963344,146,0.025297619,0.526349637,0.238831615
96,32,1.7257152,101,0.023809524,0.50094269,0.161512027
97,22,1.6118186,99,0.016369048,0.459965663,0.158075601
98,14,1.4221928,94,0.010416667,0.391743244,0.149484536
99,30,1.8362781,126,0.022321429,0.540720339,0.204467354
100,46,1.8839941,123,0.03422619,0.557887312,0.199312715
101,15,1.4931926,116,0.011160714,0.417287121,0.187285223
102,26,1.7963344,159,0.019345238,0.526349637,0.261168385
103,70,2.1362436,217,0.052083333,0.648640105,0.360824742
104,63,2.063493,175,0.046875,0.622466336,0.288659794
105,24,1.6666666,98,0.017857143,0.479698544,0.156357388
106,12,1.2906152,81,0.008928571,0.344405055,0.127147766
107,16,1.4382962,83,0.011904762,0.397536828,0.130584192
108,16,1.4382962,82,0.011904762,0.397536828,0.128865979
109,12,1.2726263,67,0.008928571,0.337933117,0.103092784
110,22,1.606352,68,0.016369048,0.457998923,0.104810997
111,25,1.6734514,74,0.01860119,0.482139538,0.115120275
112,21,1.5598243,100,0.015625,0.44125947,0.159793814
113,23,1.5598243,101,0.017113095,0.44125947,0.161512027
114,26,1.6684235,84,0.019345238,0.480330631,0.132302405
115,22,1.6132691,70,0.016369048,0.460487515,0.108247423
116,8,1.0207884,39,0.005952381,0.247328407,0.054982818
117,0,0.49860358,21,0,0.059459923,0.024054983
118,119,2.0986035,108,0.088541667,0.635098179,0.173539519
119,0,1.4803609,70,0,0.41267061,0.108247423
120,45,2.0589156,171,0.033482143,0.620819507,0.281786942
121,66,2.1000938,170,0.049107143,0.63563435,0.280068729
122,78,2.0229185,152,0.058035714,0.607868689,0.249140893
123,22,1.6249448,121,0.016369048,0.464688128,0.195876289
124,14,1.4538981,120,0.010416667,0.403149985,0.194158076
125,34,1.9445313,188,0.025297619,0.579667018,0.310996564
126,61,2.1739249,229,0.045386905,0.662196855,0.381443299
127,33,2.0094504,200,0.024553571,0.603023218,0.33161512
128,103,2.1000938,153,0.076636905,0.63563435,0.250859107
129,79,2.0595157,125,0.058779762,0.621035407,0.202749141
130,28,1.7914909,98,0.020833333,0.524607072,0.156357388
131,74,1.9805739,107,0.055059524,0.592634206,0.171821306
