Ref,x1,y1,x2,y2,Choice,Choice R3,Choice R7,Choice [Connectivity Wgt],Choice [Connectivity Wgt] R3,Choice [Connectivity Wgt] R7,Choice [Connectivity Wgt][Norm],Choice [Connectivity Wgt][Norm] R3,Choice [Connectivity Wgt][Norm] R7,Choice [Norm],Choice [Norm] R3,Choice [Norm] R7,Connectivity,Control,Controllability,Entropy,Entropy R3,Entropy R7,Harmonic Mean Depth,Harmonic Mean Depth R3,Harmonic Mean Depth R7,Integration [HH],Integration [HH] R3,Integration [HH] R7,Integration [P-value],Integration [P-value] R3,Integration [P-value] R7,Integration [Tekl],Integration [Tekl] R3,Integration [Tekl] R7,Intensity,Intensity R3,Intensity R7,Line Length,Mean Depth,Mean Depth R3,Mean Depth R7,Mean Depth [Connectivity Wgt],Mean Depth [Connectivity Wgt] R3,Mean Depth [Connectivity Wgt] R7,Node Count,Node Count R3,Node Count R7,RA,RA R3,RA R7,RA [Penn],RA [Penn] R3,RA [Penn] R7,RRA,RRA R3,RRA R7,Relativised Entropy,Relativised Entropy R3,Relativised Entropy R7,Total Connectivity,Total Connectivity R3,Total Connectivity R7,Total Depth,Total Depth R3,Total Depth R7
0,11619.5734449,-512.476733698,11667.8026143,-739.390259495,153290,6,168,889740,94,1068,0.12817621,0.17263545,0.20530565,0.16204017,0.13333334,0.17758985,2,1,0.5,5.1047101,1.3713219,2.5710549,7.2374134,3.4285715,4.7987537,0.34475186,0.94787496,0.8467496,0.34475186,0.94787496,0.8467496,0.63106185,0.56992978,0.60526949,0.22433095,1.1603494,0.73226249,231.98233,23.77253,2.4000001,4.6136365,23.135265,2.3333333,4.3039217,1377,11,45,0.033123679,0.31111112,0.16807611,0.61807543,0.17647059,0.34567901,2.9006369,1.0549915,1.1809866,6.0093751,1.7606758,2.3556502,3726,33,102,32711,24,203
1,11667.8026143,-739.390259495,11754.6384963,-1114.18346737,151496,14,228,879772,202,1352,0.12674022,0.14382343,0.23182441,0.16014376,0.09150327,0.20212767,2,0.66666669,0.25,5.1010633,1.3544021,2.6541271,7.3806744,5.2173915,5.9980526,0.3351576,1.3592209,0.99533123,0.3351576,1.3592209,0.99533123,0.62934601,0.65684551,0.62757963,0.21793193,1.0293455,0.85560679,384.72122,24.424419,2.4444444,4.1875,23.803543,2.2264152,3.8055556,1377,19,49,0.034071881,0.16993465,0.1356383,0.61333507,0.21212122,0.42696628,2.9836709,0.73571557,1.0046906,6.0817351,1.898284,2.1468701,3726,53,108,33608,44,201
2,11754.6384963,-1114.18346737,11790.0091513,-1279.65660394,152328,88,525,871430,792,2978,0.12553847,0.35286257,0.44262782,0.16102326,0.25071225,0.39592761,6,2.5,0.375,5.0966206,1.5362778,2.7337406,7.5253019,11.18644,7.9965382,0.32612225,2.062937,1.1916717,0.32612225,2.062937,1.1916717,0.62769353,0.74008793,0.65258509,0.21187197,1.3876058,1.0203398,169.21124,25.0734,2.1851852,3.75,24.469673,1.8059702,3.3534484,1377,28,53,0.035015855,0.091168091,0.10784314,0.6087845,0.37254903,0.50859106,3.0663347,0.48474577,0.83915728,6.1964149,1.5874871,2.0088484,3726,67,116,34501,59,195
3,11790.0091513,-1279.65660394,11826.1908514,-1448.8859872,0,0,0,3719,42,97,0.00053576025,0.034985423,0.01793639,0,0,0,1,0.16666667,0.16666667,5.099453,1.2100285,2.5948379,6.8246255,3.0769231,4.2847204,0.31312463,1.1708162,0.94340873,0.31312463,1.1708162,0.94340873,0.62525028,0.62596482,0.61974311,0.20354059,0.85710353,0.80766481,173.05403,26.072674,2.5625,4.304348,25.469135,2.3265307,3.9134614,1377,17,47,0.036469344,0.20833333,0.1468599,0.59876257,0.13793103,0.40392157,3.1936166,0.854105,1.059986,6.1486793,2.0876963,2.2126439,3726,49,104,35876,41,198
4,10511.1329924,2139.25291957,10562.2230727,2045.46627083,2846,8,166,21635,102,1162,0.0031167443,0.19921875,0.091926746,0.0030084567,0.14545454,0.090710379,2,0.83333331,0.40000001,5.1110392,1.4308271,2.5482807,8.0231886,4,6.0289855,0.39678249,1.0445806,0.85779166,0.39678249,1.0445806,0.85779166,0.63974816,0.59431612,0.61689335,0.25850877,1.2264233,0.63964939,106.79949,20.786337,2.3636363,5.0655737,20.025229,2.21875,5.0754719,1377,12,62,0.028780127,0.27272728,0.13551913,0.64539784,0.21052632,0.28115943,2.5202725,0.957322,1.1657842,6.4095507,1.6862333,2.6197369,3726,32,159,28602,26,309
5,10418.26916,2298.44497073,10511.1329924,2139.25291957,2129,6,108,18437,58,870,0.0026560395,0.26303855,0.086292401,0.0022505284,0.2857143,0.075471699,2,1,0.5,5.0920334,1.5306391,2.4295926,7.7906003,3,4.6878958,0.39711794,0.8619656,0.76767528,0.39711794,0.8619656,0.76767528,0.63980108,0.52832085,0.60072446,0.25776523,1.7493018,0.57350898,184.29813,20.769623,2.1428571,5.3333335,19.922169,2.0952382,5.253521,1377,8,55,0.028755814,0.38095239,0.16352202,0.64569741,0.27272728,0.22772278,2.5181434,1.1601391,1.3026341,6.5736237,1.2942394,2.8137572,3726,21,142,28579,15,288
6,10287.3607784,2507.6541824,10418.26916,2298.44497073,2965,6,90,23921,56,870,0.0034460663,0.28,0.067968749,0.0031342495,0.2857143,0.060606062,2,1,0.5,5.0992398,1.5306391,2.3108873,7.9393687,3,4.4209251,0.40302938,0.8619656,0.73715615,0.40302938,0.8619656,0.73715615,0.64072829,0.52832085,0.59691393,0.26197264,1.7493018,0.51971763,246.79039,20.47965,2.1428571,5.5454545,19.571926,2.05,5.5187502,1377,8,56,0.028334038,0.38095239,0.16835018,0.64479196,0.27272728,0.19093852,2.4812086,1.1601391,1.3565646,6.722518,1.2942394,3.0106647,3726,20,160,28180,15,305
7,10267.6739265,2536.42577597,10287.3607784,2507.6541824,4230,8,112,31787,80,1214,0.0045792446,0.30245748,0.045109987,0.004471459,0.2857143,0.045070421,2,0.83333331,0.40000001,5.1098161,1.5388472,2.2035975,8.2624197,3.4285715,5.1356182,0.41410664,0.98558021,0.7819801,0.41410664,0.98558021,0.7819801,0.64243662,0.57015699,0.61150122,0.26973152,1.7312031,0.47502702,34.862255,19.958576,2.125,5.7183099,18.973431,1.9565217,5.7629309,1377,9,72,0.027576109,0.32142857,0.13480885,0.64813864,0.30769232,0.17283951,2.4148369,1.0146308,1.2788049,6.7800899,1.293768,3.1908121,3726,23,232,27463,17,406
8,10173.3629407,2674.24998471,10267.6739265,2536.42577597,6154,12,203,46217,147,2394,0.0066580344,0.22685185,0.040935673,0.0065052854,0.21818182,0.02991453,3,1.1666666,0.5,5.115859,1.5262643,2.1164136,8.9357424,4.6153846,7.2522731,0.42892081,1.2052853,0.90280479,0.42892081,1.2052853,0.90280479,0.64466488,0.62747359,0.64059049,0.27971166,1.5262643,0.44201204,167.00322,19.30378,2.1818182,5.8376069,18.263285,2.0833333,5.6812863,1377,12,118,0.026623679,0.23636363,0.083407015,0.65412873,0.31578946,0.16886932,2.3314326,0.82967907,1.1076591,6.9045911,1.4668683,3.3140235,3726,36,342,26562,24,683
9,10096.3777204,2786.73057461,10173.3629407,2674.24998471,16342,20,709,116338,365,7092,0.016759686,0.23278061,0.073598623,0.017274842,0.14705883,0.058643509,3,0.91666669,0.375,5.1128526,1.4441595,2.2955613,9.2992935,6.2068968,10.073589,0.45058602,1.4028426,1.0513204,0.45058602,1.4028426,1.0513204,0.64781487,0.66319418,0.66304797,0.29366806,1.1815851,0.51048601,136.30336,18.423693,2.3529413,5.5320511,17.358829,2.1785715,5.330296,1377,18,157,0.025343552,0.16911764,0.05847808,0.66467124,0.25806451,0.2273224,2.219332,0.71283835,0.95118481,7.0023546,1.7547162,3.0099568,3726,56,439,25351,40,863
