Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3 normal,Integration [HH] R3 normal,Total Connectivity R3 normal
0,6,0.94787496,33,0.00204499,0.186973718,0.027484144
1,14,1.3592209,53,0.004771643,0.312125339,0.048625793
2,88,2.062937,67,0.029993183,0.526230311,0.063424947
3,0,1.1708162,49,0,0.254803384,0.044397463
4,8,1.0445806,32,0.002726653,0.21639632,0.026427061
5,6,0.8619656,21,0.00204499,0.160835875,0.014799154
6,6,0.8619656,20,0.00204499,0.160835875,0.013742072
7,8,0.98558021,23,0.002726653,0.198445506,0.016913319
8,12,1.2052853,36,0.00408998,0.265290576,0.030655391
9,20,1.4028426,56,0.006816633,0.325397201,0.05179704
10,52,1.7841618,93,0.017723245,0.441413214,0.090909091
11,10,1.2196002,57,0.003408316,0.269645871,0.052854123
12,8,1.0697098,40,0.002726653,0.224041855,0.034883721
13,0,1.1708162,49,0,0.254803384,0.044397463
14,100,2.062937,67,0.034083163,0.526230311,0.063424947
15,14,1.3592209,53,0.004771643,0.312125339,0.048625793
16,0,0.33333334,7,0,0,0
17,4,0.70398736,9,0.001363327,0.112771142,0.002114165
18,6,0.87255627,11,0.00204499,0.164058077,0.00422833
19,6,0.84912294,13,0.00204499,0.156928508,0.006342495
20,6,0.84912294,14,0.00204499,0.156928508,0.007399577
21,6,0.84912294,14,0.00204499,0.156928508,0.007399577
22,6,0.84912294,14,0.00204499,0.156928508,0.007399577
23,6,0.84912294,14,0.00204499,0.156928508,0.007399577
24,6,0.84912294,14,0.00204499,0.156928508,0.007399577
25,6,0.84912294,14,0.00204499,0.156928508,0.007399577
26,6,0.84912294,14,0.00204499,0.156928508,0.007399577
27,0,0.33333334,7,0,0,0
28,4,0.70398736,10,0.001363327,0.112771142,0.003171247
29,6,0.84912294,18,0.00204499,0.156928508,0.011627907
30,8,1.0207884,33,0.002726653,0.209157565,0.027484144
31,16,1.3845592,44,0.005453306,0.319834494,0.039112051
32,16,1.3845592,44,0.005453306,0.319834494,0.039112051
33,8,1.0207884,34,0.002726653,0.209157565,0.028541226
34,6,0.8619656,21,0.00204499,0.160835875,0.014799154
35,6,0.84912294,15,0.00204499,0.156928508,0.00845666
36,6,0.84912294,14,0.00204499,0.156928508,0.007399577
37,6,0.84912294,14,0.00204499,0.156928508,0.007399577
38,6,0.84912294,14,0.00204499,0.156928508,0.007399577
39,6,0.84912294,14,0.00204499,0.156928508,0.007399577
40,6,0.84912294,14,0.00204499,0.156928508,0.007399577
41,6,0.84912294,14,0.00204499,0.156928508,0.007399577
42,6,0.84912294,14,0.00204499,0.156928508,0.007399577
43,6,0.84912294,14,0.00204499,0.156928508,0.007399577
44,6,0.84912294,14,0.00204499,0.156928508,0.007399577
45,6,0.84912294,14,0.00204499,0.156928508,0.007399577
46,6,0.84912294,14,0.00204499,0.156928508,0.007399577
47,6,0.84912294,14,0.00204499,0.156928508,0.007399577
48,6,0.84912294,14,0.00204499,0.156928508,0.007399577
49,6,0.84912294,14,0.00204499,0.156928508,0.007399577
50,6,0.84912294,14,0.00204499,0.156928508,0.007399577
51,6,0.84912294,14,0.00204499,0.156928508,0.007399577
52,6,0.84912294,14,0.00204499,0.156928508,0.007399577
53,6,0.84912294,14,0.00204499,0.156928508,0.007399577
54,6,0.84912294,15,0.00204499,0.156928508,0.00845666
55,6,0.8619656,19,0.00204499,0.160835875,0.012684989
56,8,0.98558021,21,0.002726653,0.198445506,0.014799154
57,12,1.2222222,23,0.00408998,0.270443612,0.016913319
