Ref,x1,y1,x2,y2,Choice R3,Choice R7,Choice [Connectivity Wgt] R3,Choice [Connectivity Wgt] R7,Choice [Connectivity Wgt][Norm] R3,Choice [Connectivity Wgt][Norm] R7,Choice [Norm] R3,Choice [Norm] R7,Connectivity,Control,Controllability,Entropy R3,Entropy R7,Harmonic Mean Depth R3,Harmonic Mean Depth R7,Integration [HH] R3,Integration [HH] R7,Integration [P-value] R3,Integration [P-value] R7,Integration [Tekl] R3,Integration [Tekl] R7,Intensity R3,Intensity R7,Line Length,Mean Depth R3,Mean Depth R7,Mean Depth [Connectivity Wgt] R3,Mean Depth [Connectivity Wgt] R7,Node Count R3,Node Count R7,RA R3,RA R7,RA [Penn] R3,RA [Penn] R7,RRA R3,RRA R7,Relativised Entropy R3,Relativised Entropy R7,Total Connectivity R3,Total Connectivity R7,Total Depth R3,Total Depth R7
0,6851.05476473,-1721.7050255,6869.87823424,-1760.59314695,0,0,4,12,0.1632653,0.10666667,0,0,1,0.5,0.5,1.5,2.625,1.3333334,1.1428572,0.33333334,0.32836786,0.33333334,0.32836786,0,0.36084881,3,1.05,43.204269,2,4,1.7142857,3.7333333,4,8,1,1,0,0,3,3.0453651,0.81028318,1.7829173,7,15,6,28
1,6832.97647942,-1681.41428102,6851.05476473,-1721.7050255,4,12,16,48,0.39506173,0.33217993,0.66666669,0.42857143,2,1.5,0.66666669,1.4575424,2.5954888,1.6,1.2307693,0.70398736,0.42239153,0.70398736,0.42239153,0.36907023,0.41148093,3.6438563,1.1679699,44.160713,1.75,3.625,1.4444444,3.3529413,5,9,0.5,0.75,0.40000001,0.22222222,1.42048,2.3674717,0.79481012,1.8143369,9,17,7,29
2,6824.7388371,-1652.76387486,6832.97647942,-1681.41428102,6,22,30,94,0.49586776,0.52077562,0.60000002,0.6111111,2,1,0.5,1.4874687,2.5897353,2,1.3333334,0.87255627,0.5,0.87255627,0.5,0.5,0.44848764,2.9749374,1.2332072,29.811148,1.8,3.4444444,1.4545455,3.1578948,6,10,0.40000001,0.6111111,0.42857143,0.33333334,1.146058,2,0.87540293,1.7440101,11,19,9,31
3,12251.1577776,-1703.3691513,12253.3896529,-1698.08452738,0,0,17,110,0.085000001,0.017229227,0,0,1,0.5,0.5,1.3616542,2.4380298,1.7142857,2.8656716,0.49860358,0.72081834,0.49860358,0.72081834,0.35620719,0.58314884,1.3616542,0.61703223,5.7365947,2.4000001,5.0749998,2.45,4.9469028,6,41,0.69999999,0.20897436,0,0.25570777,2.0056014,1.3873121,1.5093437,2.6081538,20,113,12,203
4,12236.0707994,-1703.52958511,12241.4673355,-1690.36343648,0,0,38,131,0.0411033,0.014165225,0,0,1,0.25,0.25,1.1579572,2.5737977,2.7692308,4.1084166,0.99097741,0.8743788,0.99097741,0.8743788,0.58851904,0.61050922,0.81057006,0.74213797,14.229198,2.6153846,4.5652175,2.4418604,4.5441175,14,47,0.26923078,0.15845411,0.086956523,0.35686275,1.0091047,1.143669,2.1412435,2.3202908,43,136,34,210
5,8135.72621628,-1745.14257627,8136.74441955,-1747.12144113,0,0,9,81,0.125,0.022959184,0,0,1,0.5,0.5,1.4575424,2.4050281,1.6,2.5374448,0.42239243,0.60059267,0.42239243,0.60059267,0.25192964,0.55206901,1.8219281,0.5743351,2.2254536,2.25,5.3548388,2.1666667,5.3333335,5,32,0.83333331,0.29032257,0,0.18181819,2.3674667,1.665022,1.2033685,2.7591085,12,84,9,166
6,8153.20337633,-1735.16137287,8159.11526914,-1746.88355202,0,0,9,81,0.125,0.022959184,0,0,1,0.5,0.5,1.4575424,2.4050281,1.6,2.5374448,0.42239243,0.60059267,0.42239243,0.60059267,0.25192964,0.55206901,1.8219281,0.5743351,13.128593,2.25,5.3548388,2.1666667,5.3333335,5,32,0.83333331,0.29032257,0,0.18181819,2.3674667,1.665022,1.2033685,2.7591085,12,84,9,166
7,8055.65410654,-1650.52984583,8060.61895584,-1629.96630793,22,336,328,2541,0.3100189,0.28302518,0.16176471,0.2857143,3,0.83333331,0.33333334,1.4791145,2.7220697,6.4000001,7.0861158,1.4666082,0.93876565,1.4666082,0.93876565,0.67273146,0.62095696,1.2678125,0.81990051,21.154404,2.2941177,4.4081631,1.9782609,4.4029851,18,50,0.16176471,0.1420068,0.29032257,0.38827839,0.68184537,1.0652286,1.664782,2.2727392,46,134,39,216
8,8053.69488351,-1658.65596115,8055.65410654,-1650.52984583,14,124,154,811,0.23765433,0.1226465,0.21212122,0.13107823,3,1.0833334,0.42857143,1.5415961,2.6910267,5.1063828,6.21455,1.2989333,0.86303324,1.2989333,0.86303324,0.64596856,0.60755253,1.5415961,0.7812658,8.3589659,2.1666667,4.5454545,1.9444444,4.3826089,13,45,0.21212122,0.16490486,0.33333334,0.35802469,0.76986253,1.1587039,1.4444195,2.3215196,36,115,26,200
9,8053.2607375,-1659.53128194,8053.69488351,-1658.65596115,6,56,54,326,0.20415878,0.069295354,0.2857143,0.084084086,2,1.3333334,0.5,1.5306391,2.5599859,3,4.2228737,0.8619656,0.70949119,0.8619656,0.70949119,0.52832085,0.57839686,1.7493018,0.66176504,0.97707176,2.1428571,5,2.0869565,4.8350515,8,38,0.38095239,0.22222222,0.27272728,0.26368159,1.1601391,1.4094608,1.2942394,2.5718138,23,97,15,185
10,8004.63940601,-1748.52623098,8053.2607375,-1659.53128194,0,0,10,72,0.1183432,0.025599999,0,0,1,0.5,0.5,1.4575424,2.3801992,1.6,2.4468989,0.42239243,0.57383692,0.42239243,0.57383692,0.25192964,0.54390782,1.8219281,0.56225175,101.41072,2.25,5.4137931,2.2307692,5.1733332,5,30,0.83333331,0.31527093,0,0.1633987,2.3674667,1.7426554,1.2033685,2.8098073,13,75,9,157
11,8912.66947032,-1678.42251809,8938.78243351,-1738.59265565,0,0,9,25,0.10650887,0.059453033,0,0,1,0.33333334,0.33333334,1.4874687,2.6465597,2,1.7777778,0.58170414,0.46628374,0.58170414,0.46628374,0.3868528,0.46532536,1.7849625,0.905402,65.592163,2.2,4.25,1.8461539,3.8275862,6,13,0.60000002,0.59090906,0.14285715,0.23529412,1.7190869,2.1446171,1.2149562,2.070147,13,29,11,51
12,8978.75985201,-1606.4632129,9027.71816405,-1607.66515104,0,0,9,25,0.10650887,0.059453033,0,0,1,0.33333334,0.33333334,1.4874687,2.6465597,2,1.7777778,0.58170414,0.46628374,0.58170414,0.46628374,0.3868528,0.46532536,1.7849625,0.905402,48.973064,2.2,4.25,1.8461539,3.8275862,6,13,0.60000002,0.59090906,0.14285715,0.23529412,1.7190869,2.1446171,1.2149562,2.070147,13,29,11,51
13,8888.34616158,-1608.85402452,8978.75985201,-1606.4632129,8,22,36,113,0.28125,0.23517169,0.53333336,0.2820513,3,1.6666666,0.60000002,1.4413203,2.6243377,2.1818182,1.8461539,1.2736844,0.61207426,1.2736844,0.61207426,0.66096407,0.50810444,3.3630807,1.1133554,90.445297,1.6666666,3.6153846,1.375,3.1612904,7,14,0.26666668,0.43589744,0.55555558,0.40350878,0.78512388,1.6337887,0.85354406,1.9197466,16,31,10,47
14,10525.7111558,-1428.82329031,10620.1434798,-1429.71169233,0,0,4,12,0.1632653,0.10666667,0,0,1,0.5,0.5,1.5,2.625,1.3333334,1.1428572,0.33333334,0.32836786,0.33333334,0.32836786,0,0.36084881,3,1.05,94.436501,2,4,1.7142857,3.7333333,4,8,1,1,0,0,3,3.0453651,0.81028318,1.7829173,7,15,6,28
15,10619.1750003,-1384.80811471,10620.1434798,-1429.71169233,4,12,16,50,0.39506173,0.30864197,0.66666669,0.42857143,2,1.5,0.66666669,1.4575424,2.5954888,1.6,1.2307693,0.70398736,0.42239153,0.70398736,0.42239153,0.36907023,0.41148093,3.6438563,1.1679699,44.914021,1.75,3.625,1.4444444,3.5555556,5,9,0.5,0.75,0.40000001,0.22222222,1.42048,2.3674717,0.79481012,1.8143369,9,18,7,29
16,10602.833299,-1371.35138044,10619.1750003,-1384.80811471,6,22,30,108,0.49586776,0.375,0.60000002,0.48888889,2,1,0.5,1.4874687,2.5994833,2,1.4545455,0.87255627,0.47393748,0.87255627,0.47393748,0.5,0.45137608,2.9749374,1.0590488,21.169197,1.8,3.8,1.4545455,3.9166667,6,11,0.40000001,0.62222224,0.42857143,0.2820513,1.146058,2.109983,0.87540293,2.0424724,11,24,9,38
17,10601.3972776,-1349.88589879,10602.833299,-1371.35138044,6,32,38,174,0.44970414,0.41379312,0.40000001,0.4848485,2,1,0.5,1.5491613,2.6465597,2.6666667,1.7777778,0.84912294,0.51957327,0.84912294,0.51957327,0.51139158,0.47948837,2.1688259,1.0119199,21.513462,2,3.9166667,1.6153846,3.9655173,7,13,0.40000001,0.530303,0.33333334,0.3137255,1.1776857,1.9246563,1.0911623,2.0544899,13,29,12,47
18,10598.6699501,-1277.96384808,10601.3972776,-1349.88589879,6,42,40,250,0.40816328,0.36523008,0.40000001,0.40000001,2,1,0.5,1.5491613,2.7028196,2.6666667,2.4000001,0.84912294,0.54915416,0.84912294,0.54915416,0.51139158,0.50266314,2.1688259,0.9201088,71.97374,2,4.1999998,1.7142857,4.2162161,7,16,0.40000001,0.45714286,0.33333334,0.30434781,1.1776857,1.8209822,1.0911623,2.1438093,14,37,12,63
19,10598.6699501,-1277.96384808,10600.2729507,-1253.93747714,6,54,42,338,0.37333333,0.36560303,0.40000001,0.35294119,2,1,0.5,1.5491613,2.7075341,2.6666667,2.8235295,0.84912294,0.58899575,0.84912294,0.58899575,0.51139158,0.52268833,2.1688259,0.87191772,24.079786,2,4.3333335,1.8,4.1627908,7,19,0.40000001,0.39215687,0.33333334,0.31034482,1.1776857,1.6978052,1.0911623,2.1672158,15,43,12,78
20,10600.2729507,-1253.93747714,10618.5404792,-1156.8647076,6,68,54,434,0.29916897,0.36151603,0.2857143,0.32380953,2,1,0.5,1.5306391,2.6992455,3,3.2,0.8619656,0.63380283,0.8619656,0.63380283,0.52832085,0.54017311,1.7493018,0.84833431,98.776642,2.1428571,4.3809524,2,4.0816326,8,22,0.38095239,0.33809525,0.27272728,0.32380953,1.1601391,1.5777777,1.2942394,2.1831162,19,49,15,92
21,10618.5404792,-1156.8647076,10635.9953753,-1074.84218725,8,84,78,536,0.32231405,0.35438016,0.2857143,0.30434781,2,0.83333331,0.40000001,1.5388472,2.717711,3.4285715,3.6923077,0.98558021,0.68207562,0.98558021,0.68207562,0.57015699,0.55577999,1.7312031,0.84928465,83.859207,2.125,4.375,1.9090909,3.9818182,9,25,0.32142857,0.29347825,0.30769232,0.34146342,1.0146308,1.4661131,1.293768,2.1981931,22,55,17,105
22,10635.9953753,-1074.84218725,10642.8860518,-1036.56133808,12,104,119,663,0.30357143,0.36833334,0.26666668,0.31999999,3,1.1666666,0.5,1.5531402,2.7450852,4.3636365,4.173913,1.2063863,0.75146383,1.2063863,0.75146383,0.627249,0.57158172,1.7084541,0.90386951,38.896076,2.0999999,4.1923075,1.8571428,3.8,11,27,0.24444444,0.25538462,0.35294119,0.38518518,0.82892185,1.330736,1.3434201,2.1475987,28,60,21,109
23,10962.4175182,-1159.56916804,10968.6514097,-1129.88539541,0,0,4,20,0.1632653,0.07561437,0,0,1,0.5,0.5,1.5,2.5897353,1.3333334,1.3333334,0.33333334,0.34375,0.33333334,0.34375,0,0.40000001,3,0.8353985,30.331301,2,4.5555553,1.7142857,4.6086955,4,10,1,0.8888889,0,0.030303031,3,2.909091,0.81028318,2.1908019,7,23,6,41
24,10959.4786836,-1163.64545512,10962.4175182,-1159.56916804,4,16,16,92,0.39506173,0.19146723,0.66666669,0.24242425,2,1.5,0.66666669,1.4575424,2.5884914,1.6,1.6551725,0.70398736,0.43297774,0.70398736,0.43297774,0.36907023,0.45609918,3.6438563,0.82074118,5.0252228,1.75,4.5,1.4444444,4.5483871,5,13,0.5,0.63636363,0.40000001,0.17647059,1.42048,2.3095875,0.79481012,2.383333,9,31,7,54
25,10954.380251,-1164.66452667,10959.4786836,-1163.64545512,6,34,32,202,0.44444445,0.2951059,0.60000002,0.32380953,2,1,0.5,1.4874687,2.6556392,2,2.1818182,0.87255627,0.51685101,0.87255627,0.51685101,0.5,0.49491262,2.9749374,0.84980452,5.1992807,1.8,4.4000001,1.5833334,4.2702703,6,16,0.40000001,0.48571429,0.42857143,0.26086956,1.146058,1.9347937,0.87540293,2.2910511,12,37,9,66
26,10921.0734593,-1157.53102399,10954.380251,-1164.66452667,6,54,52,322,0.32098764,0.34829637,0.2857143,0.35294119,2,1,0.5,1.5306391,2.7075341,3,2.8235295,0.8619656,0.5989787,0.8619656,0.5989787,0.52832085,0.5248428,1.7493018,0.88695079,34.062138,2.1428571,4.2777777,1.9444444,4.0232558,8,19,0.38095239,0.38562092,0.27272728,0.32183909,1.1601391,1.6695085,1.2942394,2.155169,18,43,15,77
27,10825.817371,-1135.55562869,10921.0734593,-1157.53102399,8,76,78,448,0.32231405,0.37317786,0.2857143,0.36190477,2,0.83333331,0.40000001,1.5388472,2.7215285,3.4285715,3.3103449,0.98558021,0.68181819,0.98558021,0.68181819,0.57015699,0.54958826,1.7312031,0.92113274,97.758072,2.125,4.1428571,1.9090909,3.7959185,9,22,0.32142857,0.31428573,0.30769232,0.37142858,1.0146308,1.4666667,1.293768,2.0676415,22,49,17,87
28,10825.817371,-1135.55562869,10838.6636403,-1072.75176856,12,100,119,605,0.30357143,0.38584185,0.26666668,0.36231884,3,1.1666666,0.5,1.5531402,2.7373199,4.3636365,3.8399999,1.2063863,0.76733506,1.2063863,0.76733506,0.627249,0.5710867,1.7084541,0.96384507,64.104225,2.0999999,4,1.8571428,3.6428571,11,25,0.24444444,0.26086956,0.35294119,0.41463414,0.82892185,1.3032117,1.3434201,2.0298469,28,56,21,96
29,10838.6636403,-1072.75176856,10877.4362189,-1016.93745683,12,104,119,677,0.30357143,0.35223725,0.26666668,0.31999999,3,1.1666666,0.5,1.5531402,2.7450852,4.3636365,4.173913,1.2063863,0.75146383,1.2063863,0.75146383,0.627249,0.57158172,1.7084541,0.90386951,67.959915,2.0999999,4.1923075,1.8571428,3.9032259,11,27,0.24444444,0.25538462,0.35294119,0.38518518,0.82892185,1.330736,1.3434201,2.1475987,28,62,21,109
30,10877.4362189,-1016.93745683,10921.8081679,-956.066641389,8,86,78,592,0.32231405,0.30801249,0.2857143,0.26461539,2,0.83333331,0.40000001,1.5388472,2.6999266,3.4285715,3.8709676,0.98558021,0.6779511,0.98558021,0.6779511,0.57015699,0.55856848,1.7312031,0.80107713,75.326797,2.125,4.5384617,1.9090909,4.2258062,9,27,0.32142857,0.28307691,0.30769232,0.31851852,1.0146308,1.4750327,1.293768,2.3057368,22,62,17,118
31,8060.61895584,-1629.96630793,8080.58967249,-1578.34827814,54,533,498,3628,0.43229166,0.28343749,0.31578946,0.34610391,4,1.5,0.36363637,1.5232575,2.6895938,7.7241378,8.0095348,1.6734514,0.93087584,1.6734514,0.93087584,0.70075864,0.62376386,1.3847796,0.75894481,55.346642,2.2105262,4.625,1.9375,4.7437501,20,57,0.13450292,0.13181818,0.34285715,0.35555556,0.59756738,1.0742571,1.5743387,2.4996016,48,160,42,259
32,7988.13883538,-1586.93170144,8027.05612937,-1591.3997824,14,125,170,977,0.23545706,0.14775047,0.21212122,0.12626262,3,1.0833334,0.42857143,1.5415961,2.6844702,5.1063828,6.282331,1.2989333,0.86335403,1.2989333,0.86335403,0.64596856,0.60830474,1.5415961,0.77178514,39.172943,2.1666667,4.5777779,2,4.2521739,13,46,0.21212122,0.16262627,0.33333334,0.35341364,0.76986253,1.1582733,1.4444195,2.3404126,38,115,26,206
33,7946.33836659,-1587.53267148,7988.13883538,-1586.93170144,8,74,94,619,0.23979592,0.11669337,0.22222222,0.094871797,2,0.83333331,0.40000001,1.5142466,2.6177387,3.6923077,4.9533172,1,0.7531628,1,0.7531628,0.57812965,0.58821768,1.5142466,0.69243407,41.80479,2.2222223,4.9000001,2.1071429,4.5728154,10,41,0.30555555,0.2,0.26666668,0.28767124,1,1.3277342,1.4379251,2.5142536,28,103,20,196
