Cluster_Kmeans_963751,Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,choice_normal,integration_normal,connectivity_normal
3,0,0,0.33333334,7,0,0,0
3,1,4,0.70398736,9,0.011461318,0.164836069,0.009478673
3,2,6,0.87255627,11,0.017191977,0.239801494,0.018957346
3,3,0,0.49860358,20,0,0.073498452,0.061611374
3,4,0,0.99097741,43,0,0.292465364,0.170616114
3,5,0,0.42239243,12,0,0.039606073,0.023696682
3,6,0,0.42239243,12,0,0.039606073,0.023696682
2,7,22,1.4666082,46,0.063037249,0.503986366,0.184834123
3,8,14,1.2989333,36,0.040114613,0.429418521,0.137440758
3,9,6,0.8619656,23,0.017191977,0.235091645,0.075829384
3,10,0,0.42239243,13,0,0.039606073,0.028436019
3,11,0,0.58170414,13,0,0.110454667,0.028436019
3,12,0,0.58170414,13,0,0.110454667,0.028436019
3,13,8,1.2736844,16,0.022922636,0.418189911,0.042654028
3,14,0,0.33333334,7,0,0,0
3,15,4,0.70398736,9,0.011461318,0.164836069,0.009478673
3,16,6,0.87255627,11,0.017191977,0.239801494,0.018957346
3,17,6,0.84912294,13,0.017191977,0.229380299,0.028436019
3,18,6,0.84912294,14,0.017191977,0.229380299,0.033175355
3,19,6,0.84912294,15,0.017191977,0.229380299,0.037914692
3,20,6,0.8619656,19,0.017191977,0.235091645,0.056872038
3,21,8,0.98558021,22,0.022922636,0.290065139,0.071090047
3,22,12,1.2063863,28,0.034383954,0.388261316,0.099526066
3,23,0,0.33333334,7,0,0,0
3,24,4,0.70398736,9,0.011461318,0.164836069,0.009478673
3,25,6,0.87255627,12,0.017191977,0.239801494,0.023696682
3,26,6,0.8619656,18,0.017191977,0.235091645,0.052132701
3,27,8,0.98558021,22,0.022922636,0.290065139,0.071090047
3,28,12,1.2063863,28,0.034383954,0.388261316,0.099526066
3,29,12,1.2063863,28,0.034383954,0.388261316,0.099526066
3,30,8,0.98558021,22,0.022922636,0.290065139,0.071090047
2,31,54,1.6734514,48,0.154727794,0.595973011,0.194312796
3,32,14,1.2989333,38,0.040114613,0.429418521,0.146919431
3,33,8,1,28,0.022922636,0.296477862,0.099526066
3,34,6,0.8870222,25,0.017191977,0.246234736,0.085308057
3,35,8,0.98558021,23,0.022922636,0.290065139,0.075829384
3,36,12,1.2063863,29,0.034383954,0.388261316,0.104265403
3,37,12,1.2671746,21,0.034383954,0.415294894,0.066350711
3,38,6,0.84912294,16,0.017191977,0.229380299,0.042654028
3,39,0,0.42239243,12,0,0.039606073,0.023696682
3,40,14,1.2989333,35,0.040114613,0.429418521,0.132701422
3,41,8,1,27,0.022922636,0.296477862,0.09478673
3,42,6,0.8619656,20,0.017191977,0.235091645,0.061611374
3,43,6,0.84912294,15,0.017191977,0.229380299,0.037914692
3,44,6,0.84912294,14,0.017191977,0.229380299,0.033175355
3,45,6,0.84912294,15,0.017191977,0.229380299,0.037914692
3,46,6,0.8619656,19,0.017191977,0.235091645,0.056872038
3,47,8,0.98558021,21,0.022922636,0.290065139,0.066350711
3,48,12,1.2222222,22,0.034383954,0.395303807,0.071090047
3,49,12,1.2671746,20,0.034383954,0.415294894,0.061611374
3,50,6,0.84912294,16,0.017191977,0.229380299,0.042654028
3,51,0,0.42239243,12,0,0.039606073,0.023696682
2,52,27,1.5110798,75,0.077363897,0.523763633,0.322274882
3,53,8,1.0697098,41,0.022922636,0.327478981,0.161137441
3,54,8,1.0445806,32,0.022922636,0.316303603,0.118483412
2,55,26,1.3845592,38,0.074498567,0.467497797,0.146919431
3,56,6,0.8870222,22,0.017191977,0.246234736,0.071090047
3,57,6,0.8870222,22,0.017191977,0.246234736,0.071090047
2,58,26,1.3845592,38,0.074498567,0.467497797,0.146919431
3,59,8,1.0445806,32,0.022922636,0.316303603,0.118483412
3,60,8,1.0697098,41,0.022922636,0.327478981,0.161137441
2,61,28,1.5110798,75,0.080229226,0.523763633,0.322274882
3,62,12,1.2222222,23,0.034383954,0.395303807,0.075829384
3,63,8,0.98558021,21,0.022922636,0.290065139,0.066350711
3,64,6,0.8619656,19,0.017191977,0.235091645,0.056872038
3,65,6,0.84912294,15,0.017191977,0.229380299,0.037914692
3,66,6,0.84912294,14,0.017191977,0.229380299,0.033175355
3,67,6,0.84912294,14,0.017191977,0.229380299,0.033175355
3,68,6,0.84912294,14,0.017191977,0.229380299,0.033175355
3,69,6,0.84912294,16,0.017191977,0.229380299,0.042654028
3,70,6,0.8870222,23,0.017191977,0.246234736,0.075829384
3,71,10,1.1561403,36,0.028653295,0.365916076,0.137440758
3,72,8,1.0207884,37,0.022922636,0.305722812,0.142180095
3,73,14,1.3076391,44,0.040114613,0.433290137,0.17535545
2,74,28,1.5405476,49,0.080229226,0.536868459,0.199052133
2,75,28,1.5405476,52,0.080229226,0.536868459,0.213270142
2,76,18,1.3938289,52,0.051575931,0.471620189,0.213270142
2,77,18,1.3845592,46,0.051575931,0.467497797,0.184834123
2,78,24,1.4644111,45,0.068767908,0.503009278,0.180094787
3,79,12,1.2671746,20,0.034383954,0.415294894,0.061611374
3,80,8,0.98558021,20,0.022922636,0.290065139,0.061611374
3,81,6,0.8619656,19,0.017191977,0.235091645,0.056872038
3,82,6,0.84912294,15,0.017191977,0.229380299,0.037914692
3,83,6,0.84912294,14,0.017191977,0.229380299,0.033175355
3,84,6,0.84912294,15,0.017191977,0.229380299,0.037914692
3,85,6,0.8619656,21,0.017191977,0.235091645,0.066350711
3,86,8,1.0207884,31,0.022922636,0.305722812,0.113744076
2,87,16,1.3873683,39,0.045845272,0.468747051,0.151658768
3,88,12,1.2063863,29,0.034383954,0.388261316,0.104265403
3,89,8,0.98558021,22,0.022922636,0.290065139,0.071090047
3,90,6,0.8619656,20,0.017191977,0.235091645,0.061611374
3,91,6,0.8619656,20,0.017191977,0.235091645,0.061611374
3,92,8,0.98558021,21,0.022922636,0.290065139,0.066350711
3,93,12,1.2222222,22,0.034383954,0.395303807,0.071090047
2,94,18,1.3873369,48,0.051575931,0.468733087,0.194312796
3,95,16,1.2989333,37,0.045845272,0.429418521,0.142180095
3,96,12,1.2063863,29,0.034383954,0.388261316,0.104265403
3,97,8,0.98558021,22,0.022922636,0.290065139,0.071090047
3,98,6,0.8619656,18,0.017191977,0.235091645,0.052132701
3,99,6,0.87255627,12,0.017191977,0.239801494,0.023696682
3,100,4,0.70398736,9,0.011461318,0.164836069,0.009478673
3,101,0,0.33333334,7,0,0,0
3,102,6,0.84912294,13,0.017191977,0.229380299,0.028436019
3,103,6,0.84912294,14,0.017191977,0.229380299,0.033175355
3,104,6,0.84912294,14,0.017191977,0.229380299,0.033175355
3,105,6,0.84912294,14,0.017191977,0.229380299,0.033175355
3,106,6,0.84912294,14,0.017191977,0.229380299,0.033175355
3,107,6,0.84912294,14,0.017191977,0.229380299,0.033175355
3,108,6,0.84912294,14,0.017191977,0.229380299,0.033175355
3,109,6,0.84912294,15,0.017191977,0.229380299,0.037914692
3,110,6,0.8619656,19,0.017191977,0.235091645,0.056872038
3,111,6,0.84912294,14,0.017191977,0.229380299,0.033175355
3,112,8,1.0207884,31,0.022922636,0.305722812,0.113744076
2,113,16,1.3873683,41,0.045845272,0.468747051,0.161137441
3,114,6,0.8619656,21,0.017191977,0.235091645,0.066350711
2,115,22,1.4724894,53,0.063037249,0.506601834,0.218009479
3,116,12,1.2063863,29,0.034383954,0.388261316,0.104265403
3,117,12,1.2222222,24,0.034383954,0.395303807,0.08056872
3,118,8,0.98558021,21,0.022922636,0.290065139,0.066350711
2,119,51,1.6684235,64,0.146131805,0.59373702,0.27014218
3,120,12,1.2222222,24,0.034383954,0.395303807,0.08056872
3,121,8,0.98558021,21,0.022922636,0.290065139,0.066350711
3,122,6,0.8619656,19,0.017191977,0.235091645,0.056872038
3,123,6,0.84912294,15,0.017191977,0.229380299,0.037914692
3,124,6,0.84912294,14,0.017191977,0.229380299,0.033175355
3,125,6,0.84912294,15,0.017191977,0.229380299,0.037914692
2,126,0,1.3592209,59,0,0.45622943,0.246445498
2,127,25,1.6132691,70,0.071633238,0.569208931,0.298578199
2,128,44,1.7812788,80,0.126074499,0.643925667,0.345971564
2,129,28,1.6734514,70,0.080229226,0.595973011,0.298578199
2,130,16,1.4135897,78,0.045845272,0.480408148,0.336492891
2,131,14,1.390353,86,0.040114613,0.470074397,0.374407583
2,132,32,1.8962001,93,0.091690544,0.6950331,0.407582938
2,133,24,1.6666666,80,0.068767908,0.592955697,0.345971564
2,134,12,1.2726263,67,0.034383954,0.417719357,0.28436019
2,135,14,1.31797,58,0.040114613,0.437884462,0.241706161
2,136,32,1.6042534,65,0.091690544,0.565199498,0.274881517
3,137,14,1.3006579,45,0.040114613,0.43018548,0.180094787
3,138,8,1,28,0.022922636,0.296477862,0.099526066
3,139,6,0.8619656,20,0.017191977,0.235091645,0.061611374
3,140,6,0.84912294,16,0.017191977,0.229380299,0.042654028
3,141,6,0.8619656,19,0.017191977,0.235091645,0.056872038
3,142,8,0.98558021,22,0.022922636,0.290065139,0.071090047
3,143,12,1.2063863,28,0.034383954,0.388261316,0.099526066
3,144,12,1.2063863,28,0.034383954,0.388261316,0.099526066
3,145,8,0.98558021,22,0.022922636,0.290065139,0.071090047
3,146,6,0.8619656,19,0.017191977,0.235091645,0.056872038
3,147,6,0.84912294,16,0.017191977,0.229380299,0.042654028
3,148,6,0.8619656,18,0.017191977,0.235091645,0.052132701
3,149,8,1,23,0.022922636,0.296477862,0.075829384
3,150,10,1.2196002,49,0.028653295,0.394137759,0.199052133
3,151,6,0.8870222,30,0.017191977,0.246234736,0.109004739
3,152,6,0.91666669,41,0.017191977,0.259418139,0.161137441
2,153,12,1.2726263,66,0.034383954,0.417719357,0.279620853
2,154,32,1.9051077,87,0.091690544,0.698994459,0.379146919
2,155,32,1.8962001,91,0.091690544,0.6950331,0.398104265
2,156,14,1.3592209,73,0.040114613,0.45622943,0.312796209
3,157,12,1.2123377,51,0.034383954,0.390908003,0.208530806
3,158,12,1.2123377,45,0.034383954,0.390908003,0.180094787
3,159,12,1.2052853,38,0.034383954,0.387771683,0.146919431
3,160,12,1.2222222,25,0.034383954,0.395303807,0.085308057
3,161,8,0.98558021,23,0.022922636,0.290065139,0.075829384
3,162,6,0.91666669,34,0.017191977,0.259418139,0.127962085
