Ref,x1,y1,x2,y2,Choice,Choice R3,Choice R7,Choice [Connectivity Wgt],Choice [Connectivity Wgt] R3,Choice [Connectivity Wgt] R7,Choice [Connectivity Wgt][Norm],Choice [Connectivity Wgt][Norm] R3,Choice [Connectivity Wgt][Norm] R7,Choice [Norm],Choice [Norm] R3,Choice [Norm] R7,Connectivity,Control,Controllability,Entropy,Entropy R3,Entropy R7,Harmonic Mean Depth,Harmonic Mean Depth R3,Harmonic Mean Depth R7,Integration [HH],Integration [HH] R3,Integration [HH] R7,Integration [P-value],Integration [P-value] R3,Integration [P-value] R7,Integration [Tekl],Integration [Tekl] R3,Integration [Tekl] R7,Intensity,Intensity R3,Intensity R7,Line Length,Mean Depth,Mean Depth R3,Mean Depth R7,Mean Depth [Connectivity Wgt],Mean Depth [Connectivity Wgt] R3,Mean Depth [Connectivity Wgt] R7,Node Count,Node Count R3,Node Count R7,RA,RA R3,RA R7,RA [Penn],RA [Penn] R3,RA [Penn] R7,RRA,RRA R3,RRA R7,Relativised Entropy,Relativised Entropy R3,Relativised Entropy R7,Total Connectivity,Total Connectivity R3,Total Connectivity R7,Total Depth,Total Depth R3,Total Depth R7
0,4883.01030284,2397.55604315,4885.15765582,2628.76205925,64706,274,6053,544411,5388,81632,0.13330071,0.12638393,0.09513665,0.12825514,0.12392583,0.090126708,8,2.9575758,0.2857143,4.712183,1.3425112,2.5431454,3.523335,19.936102,31.275946,0.65340167,2.4695284,1.452742,0.65340167,2.4695284,1.452742,0.66581184,0.76260245,0.71188498,0.4164871,0.9411419,0.6214326,231.21599,12.326368,2.4626865,5.106267,10.703289,2.4349315,4.8946567,1006,68,368,0.022562487,0.044323836,0.022438617,0.75813788,0.25190839,0.30903256,1.5304521,0.4049356,0.68835348,5.7248268,2.0609503,2.6942804,2858,292,1310,12388,165,1874
1,4885.15765582,2628.76205925,4885.16433499,2710.61458597,59870,124,4481,509746,4185,64686,0.12481287,0.096179262,0.087349243,0.1186696,0.052855924,0.080577582,5,1.3825758,0.20833333,4.7005463,1.1923839,2.5181074,3.6263716,14.553191,23.529594,0.64228594,2.3114438,1.40846,0.64228594,2.3114438,1.40846,0.6645909,0.75167322,0.70727158,0.40839016,0.77284145,0.61039507,81.852524,12.522388,2.5797102,5.1407185,10.907628,2.4440677,4.9580936,1006,70,335,0.022952965,0.046462063,0.024869181,0.7488451,0.19259259,0.30257186,1.5569389,0.43263003,0.70999533,5.6822925,2.2804339,2.7455027,2858,295,1217,12585,178,1717
2,4885.16433499,2710.61458597,4885.16878777,2770.96064407,60486,37,2006,543087,1997,38724,0.13297652,0.057742629,0.062296044,0.11989059,0.022383545,0.043270059,3,0.4909091,0.15789473,4.7218642,1.1238598,2.4903784,3.9588959,9.4904947,16.296257,0.62706947,2.110646,1.3665657,0.62706947,2.110646,1.3665657,0.66289234,0.73732924,0.70272601,0.40052238,0.71298629,0.59910047,60.346058,12.801991,2.6206896,5.1737704,11.181246,2.4638784,4.9775786,1006,59,306,0.02350994,0.056866303,0.027459016,0.73729205,0.16814159,0.2962963,1.5947195,0.47378862,0.7317614,5.6198702,2.3583133,2.755959,2858,263,1115,12866,152,1578
3,4885.16878777,2770.96064407,4890.94181656,2946.82089615,60445,54,1966,542155,1921,38033,0.13274832,0.11348063,0.094117679,0.11980932,0.090756305,0.065239757,5,1.2,0.33333334,4.7539001,1.379997,2.479979,4.4920163,11.428572,18.698521,0.5987981,1.9373348,1.2824659,0.5987981,1.9373348,1.2824659,0.65964836,0.72423226,0.69249982,0.38505825,1.0138754,0.59184039,175.95499,13.359204,2.4285715,5.2113819,11.765921,2.4293478,4.9666295,1006,36,247,0.024619928,0.084033616,0.034378629,0.71891832,0.25373134,0.28797251,1.670012,0.51617306,0.77974778,5.4500198,1.9623067,2.7627056,2858,184,899,13426,85,1282
4,4890.94181656,2946.82089615,4898.409128,3231.39138882,56519,83,1541,493649,2362,30175,0.12087147,0.16737528,0.11513308,0.11202751,0.1394958,0.080638409,6,1.2666667,0.35294119,4.7818627,1.4534779,2.555727,5.3119769,12.774194,19.230391,0.57544845,2.0609944,1.2641846,0.57544845,2.0609944,1.2641846,0.65687686,0.73587137,0.68668622,0.37221864,1.1375043,0.63974363,284.66846,13.860697,2.3428571,5.0204082,12.310707,2.3035715,4.7817678,1006,36,197,0.025618918,0.078991599,0.041234955,0.7010178,0.29850745,0.3177489,1.7377751,0.48520267,0.79102373,5.3613324,1.8271242,2.6337552,2858,168,724,13930,82,984
5,4898.409128,3231.39138882,4900.69117756,3318.2049583,5278,22,317,56552,906,6706,0.013846931,0.083853953,0.037505172,0.010461636,0.041666668,0.023716893,4,0.86666667,0.2857143,4.8041492,1.351658,2.5545385,5.821341,9.9346409,15.011693,0.54484445,1.8518485,1.1832722,0.54484445,1.8518485,1.1832722,0.65310675,0.71620893,0.67625868,0.35406405,0.97779512,0.63004315,86.843559,14.583084,2.4545455,5.0853658,13.057733,2.3061225,4.804348,1006,34,165,0.027057938,0.090909094,0.05012719,0.68422389,0.23809524,0.30425754,1.8353863,0.54000098,0.84511405,5.3329353,1.9951274,2.6759899,2858,147,598,14656,81,834
6,4900.69117756,3318.2049583,4908.08390495,3489.49518496,4104,21,215,43486,776,4623,0.010647681,0.094726563,0.036399283,0.0081346259,0.055555556,0.023770038,3,0.61666667,0.23076923,4.7831812,1.3602048,2.5646403,7.1708531,8,12.173684,0.52481455,1.7426945,1.1244606,0.52481455,1.7426945,1.1244606,0.65054762,0.70555019,0.66674739,0.33955827,1.0114343,0.63764369,171.44968,15.101493,2.4285715,5.0592594,13.646606,2.3125,4.8650794,1006,29,136,0.028090622,0.1058201,0.060585961,0.66471881,0.24528302,0.30544993,1.9054351,0.57382405,0.88931525,5.2646828,1.9388773,2.6686473,2858,128,504,15177,68,683
7,3940.9268106,3016.78420565,3971.93596795,3021.01731635,3180,8,67,24616,78,654,0.0060273032,0.27083334,0.07176955,0.0063031456,0.22222222,0.077816494,2,0.83333331,0.40000001,4.8275046,1.5142466,2.5161345,4.2368221,3.6923077,4.782918,0.43751007,1,0.71997881,0.43751007,1,0.71997881,0.6383965,0.57812965,0.58481121,0.2856915,1.5142466,0.62180334,31.296759,17.915422,2.2222223,5.1666665,16.459063,2.0416667,5.2888889,1006,10,43,0.033696063,0.30555555,0.20325203,0.65951651,0.26666668,0.24242425,2.2856617,1,1.3889297,5.2567787,1.4379251,2.7536466,2858,24,135,18005,20,217
8,3971.93596795,3021.01731635,4088.56985124,3031.99440455,8946,22,231,54864,187,2093,0.013433618,0.34343433,0.069737606,0.017732058,0.40000001,0.11458334,3,1.3333334,0.42857143,4.8221469,1.5566417,2.4212291,4.361927,4.8000002,6.6081028,0.46153715,1.3057258,0.81459939,0.46153715,1.3057258,0.81459939,0.64191961,0.64768547,0.61265457,0.30104753,1.6981546,0.56611472,117.1493,17.034826,2.090909,5.359375,15.552835,2,5.6448979,1006,12,65,0.031941883,0.21818182,0.13839285,0.67095459,0.36842105,0.23140496,2.1666727,0.76585758,1.2275972,5.3145452,1.339381,2.9490383,2858,33,245,17120,23,343
9,4088.56985124,3031.99440455,4189.96520942,3030.82508586,10913,18,316,71781,269,3773,0.017575799,0.23350695,0.049107142,0.021630889,0.15000001,0.06257426,3,0.91666669,0.375,4.8124704,1.4726398,2.3860712,4.4018803,6.0759492,8.8663931,0.4918119,1.3938289,0.93506372,0.4918119,1.3938289,0.93506372,0.64615732,0.66181248,0.6403445,0.32015246,1.2517439,0.54204732,101.4021,16.047762,2.3125,5.4554458,14.562632,2.0833333,5.5994897,1006,17,102,0.029975619,0.175,0.089108914,0.68506873,0.27586207,0.23076923,2.0332978,0.71744823,1.0694458,5.330637,1.6838834,2.9781175,2858,48,392,16128,37,551
