Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3 normal,Integration [HH] R3,Total Connectivity R3
0,274,2.4695284,292,0.424148607,0.816148847,0.610278373
1,124,2.3114438,295,0.191950464,0.755751477,0.616702355
2,37,2.110646,263,0.057275542,0.679035218,0.548179872
3,54,1.9373348,184,0.083591331,0.612820415,0.379014989
4,83,2.0609944,168,0.128482972,0.660065463,0.344753747
5,22,1.8518485,147,0.034055728,0.580159752,0.299785867
6,21,1.7426945,128,0.03250774,0.538456673,0.259100642
7,8,1,24,0.012383901,0.254704842,0.03640257
8,22,1.3057258,33,0.034055728,0.371509606,0.055674518
9,18,1.3938289,48,0.027863777,0.405170036,0.087794433
10,22,1.4896638,69,0.034055728,0.441784456,0.132762313
11,60,1.7288883,95,0.092879257,0.533181914,0.188436831
12,91,2.0980964,182,0.140866873,0.674240552,0.374732334
13,24,1.8815688,174,0.037151703,0.591514609,0.357601713
14,10,1.4791844,105,0.015479876,0.437780725,0.209850107
15,43,1.8362781,136,0.066563467,0.574210968,0.276231263
16,20,1.6700469,112,0.030959752,0.51070113,0.2248394
17,28,1.5364467,53,0.043343653,0.459658203,0.098501071
18,130,2.2153063,214,0.20123839,0.719021446,0.443254818
19,84,2.1876149,238,0.13003096,0.708441746,0.494646681
20,243,2.4419932,344,0.376160991,0.805628824,0.721627409
21,78,2.4547832,414,0.120743034,0.810515336,0.871520343
22,321,2.6618931,430,0.496904025,0.889643179,0.905781585
23,131,2.4444146,367,0.202786378,0.806553937,0.770877944
24,612,2.8853366,366,0.947368421,0.975011392,0.768736617
25,193,2.5900636,313,0.29876161,0.862200196,0.655246253
26,180,2.36268,246,0.278637771,0.775326639,0.511777302
27,96,2.1424189,220,0.148606811,0.691174285,0.456102784
28,52,1.9582232,178,0.080495356,0.62080098,0.366167024
29,52,1.8518485,143,0.080495356,0.580159752,0.291220557
30,54,1.7821976,81,0.083591331,0.55354912,0.158458244
31,10,1.40625,79,0.015479876,0.409915607,0.154175589
32,21,1.6926663,97,0.03250774,0.519343036,0.192719486
33,62,1.8839941,96,0.095975232,0.592441212,0.190578158
34,56,1.7269484,75,0.086687307,0.532440761,0.145610278
35,30,1.5110798,71,0.046439628,0.449966594,0.137044968
36,26,1.3938289,49,0.040247678,0.405170036,0.08993576
37,26,1.4028426,55,0.040247678,0.408613785,0.102783726
38,8,1.0445806,36,0.012383901,0.271737185,0.062098501
39,8,1.0952908,45,0.012383901,0.291111385,0.08137045
40,30,1.5688319,69,0.046439628,0.472031204,0.132762313
41,53,1.7852225,67,0.082043344,0.554704805,0.128479657
42,33,1.5448366,60,0.051083591,0.462863625,0.113490364
43,21,1.3746208,87,0.03250774,0.397831441,0.17130621
44,16,1.6543651,165,0.024767802,0.504709784,0.338329764
45,172,2.4945285,296,0.26625387,0.825700317,0.618843683
46,485,2.8784695,340,0.750773994,0.972387766,0.713062099
47,137,2.2168565,142,0.212074303,0.719613711,0.289079229
48,42,1.9533483,148,0.06501548,0.618938489,0.301927195
49,32,1.7612134,157,0.049535604,0.545531954,0.321199143
50,71,2.062814,214,0.109907121,0.660760655,0.443254818
51,553,2.7556121,368,0.856037152,0.925449204,0.773019272
52,6,0.8619656,19,0.009287926,0.201967797,0.025695931
53,6,0.8619656,21,0.009287926,0.201967797,0.029978587
54,8,1,28,0.012383901,0.254704842,0.04496788
55,14,1.3006579,38,0.021671827,0.369573378,0.066381156
56,22,1.4644111,40,0.034055728,0.432136478,0.070663812
57,36,1.4864661,34,0.055727554,0.440562751,0.057815846
58,10,1.1191936,29,0.015479876,0.300243623,0.047109208
59,8,1,23,0.012383901,0.254704842,0.034261242
60,14,1.1087778,21,0.021671827,0.296264191,0.029978587
61,10,1.1,21,0.015479876,0.292910569,0.029978587
62,18,1.2063863,23,0.027863777,0.333556228,0.034261242
63,8,0.98558021,29,0.012383901,0.249195657,0.047109208
64,6,1.1257849,57,0.009287926,0.302761877,0.107066381
65,24,1.7339301,112,0.037151703,0.535108171,0.2248394
66,431,2.6615181,220,0.667182663,0.889499907,0.456102784
67,215,2.5199413,339,0.332817337,0.835409462,0.710920771
68,248,2.5627246,410,0.383900929,0.851755132,0.862955032
69,14,1.31797,43,0.021671827,0.376187592,0.077087794
70,68,1.8,60,0.105263158,0.560350656,0.113490364
71,46,1.7379411,59,0.07120743,0.536640602,0.111349036
72,28,1.5395753,57,0.043343653,0.460853507,0.107066381
73,14,1.3076391,46,0.021671827,0.372240596,0.083511777
74,10,1.1561403,42,0.015479876,0.314359379,0.074946467
75,26,1.3845592,44,0.040247678,0.401628479,0.079229122
76,8,1.0207884,30,0.012383901,0.262647202,0.049250535
77,6,0.8870222,23,0.009287926,0.211540853,0.034261242
78,8,1,24,0.012383901,0.254704842,0.03640257
79,22,1.2989333,33,0.034055728,0.368914482,0.055674518
80,0,0.33333334,7,0,0,0
81,4,0.70398736,9,0.00619195,0.141611062,0.004282655
82,6,0.87255627,11,0.009287926,0.206014039,0.00856531
83,6,0.84912294,14,0.009287926,0.197061165,0.014989293
84,6,0.8619656,18,0.009287926,0.201967797,0.023554604
85,8,1,22,0.012383901,0.254704842,0.032119914
86,22,1.3057258,29,0.034055728,0.371509606,0.047109208
87,22,1.3006579,34,0.034055728,0.369573378,0.057815846
88,10,1.1561403,39,0.015479876,0.314359379,0.068522484
89,26,1.4028426,50,0.040247678,0.408613785,0.092077088
90,18,1.3873369,49,0.027863777,0.40268972,0.08993576
91,18,1.4028426,59,0.027863777,0.408613785,0.111349036
92,30,1.4644111,41,0.046439628,0.432136478,0.072805139
93,36,1.5154221,31,0.055727554,0.451625601,0.051391863
94,10,1.1058542,25,0.015479876,0.295147209,0.038543897
95,6,0.91666669,24,0.009287926,0.222866746,0.03640257
96,8,1,24,0.012383901,0.254704842,0.03640257
97,22,1.3057258,26,0.034055728,0.371509606,0.040685225
98,26,1.3873683,33,0.040247678,0.402701716,0.055674518
99,8,1.0697098,37,0.012383901,0.281337978,0.064239829
100,10,1.1191936,35,0.015479876,0.300243623,0.059957173
101,18,1.5154221,35,0.027863777,0.451625601,0.059957173
102,18,1.5154221,34,0.027863777,0.451625601,0.057815846
103,10,1.1058542,30,0.015479876,0.295147209,0.049250535
104,6,0.8870222,26,0.009287926,0.211540853,0.040685225
105,6,0.84912294,16,0.009287926,0.197061165,0.019271949
106,6,0.84912294,14,0.009287926,0.197061165,0.014989293
107,6,0.84912294,14,0.009287926,0.197061165,0.014989293
108,6,0.84912294,14,0.009287926,0.197061165,0.014989293
109,6,0.84912294,14,0.009287926,0.197061165,0.014989293
110,6,0.84912294,14,0.009287926,0.197061165,0.014989293
111,6,0.84912294,14,0.009287926,0.197061165,0.014989293
112,6,0.84912294,14,0.009287926,0.197061165,0.014989293
113,6,0.84912294,15,0.009287926,0.197061165,0.017130621
114,6,0.8619656,19,0.009287926,0.201967797,0.025695931
115,8,0.98558021,21,0.012383901,0.249195657,0.029978587
116,12,1.2222222,26,0.018575851,0.339606449,0.040685225
117,12,1.2222222,23,0.018575851,0.339606449,0.034261242
118,8,0.98558021,21,0.012383901,0.249195657,0.029978587
119,6,0.8619656,19,0.009287926,0.201967797,0.025695931
120,6,0.84912294,15,0.009287926,0.197061165,0.017130621
121,6,0.84912294,14,0.009287926,0.197061165,0.014989293
122,6,0.84912294,14,0.009287926,0.197061165,0.014989293
123,6,0.84912294,13,0.009287926,0.197061165,0.012847966
124,6,0.87255627,11,0.009287926,0.206014039,0.00856531
125,4,0.70398736,9,0.00619195,0.141611062,0.004282655
126,0,0.33333334,7,0,0,0
127,12,1.2063863,28,0.018575851,0.333556228,0.04496788
128,10,1.1058542,28,0.015479876,0.295147209,0.04496788
129,12,1.2063863,30,0.018575851,0.333556228,0.049250535
130,12,1.2052853,35,0.018575851,0.333135583,0.059957173
131,12,1.2052853,34,0.018575851,0.333135583,0.057815846
132,16,1.4244281,33,0.024767802,0.416860682,0.055674518
133,16,1.5714285,27,0.024767802,0.473023253,0.042826552
134,8,0.98510355,22,0.012383901,0.249013545,0.032119914
