Ref,x1,y1,x2,y2,Choice,Choice R3,Choice R7,Choice [Connectivity Wgt],Choice [Connectivity Wgt] R3,Choice [Connectivity Wgt] R7,Choice [Connectivity Wgt][Norm],Choice [Connectivity Wgt][Norm] R3,Choice [Connectivity Wgt][Norm] R7,Choice [Norm],Choice [Norm] R3,Choice [Norm] R7,Connectivity,Control,Controllability,Entropy,Entropy R3,Entropy R7,Harmonic Mean Depth,Harmonic Mean Depth R3,Harmonic Mean Depth R7,Integration [HH],Integration [HH] R3,Integration [HH] R7,Integration [P-value],Integration [P-value] R3,Integration [P-value] R7,Integration [Tekl],Integration [Tekl] R3,Integration [Tekl] R7,Intensity,Intensity R3,Intensity R7,Line Length,Mean Depth,Mean Depth R3,Mean Depth R7,Mean Depth [Connectivity Wgt],Mean Depth [Connectivity Wgt] R3,Mean Depth [Connectivity Wgt] R7,Node Count,Node Count R3,Node Count R7,RA,RA R3,RA R7,RA [Penn],RA [Penn] R3,RA [Penn] R7,RRA,RRA R3,RRA R7,Relativised Entropy,Relativised Entropy R3,Relativised Entropy R7,Total Connectivity,Total Connectivity R3,Total Connectivity R7,Total Depth,Total Depth R3,Total Depth R7
0,21476.6140192,-1371.77167788,21976.2159074,-1826.63272176,74004,14,130,453744,149,947,0.04200574,0.29101563,0.29593751,0.050705522,0.25454545,0.24621212,3,1,0.42857143,5.3878412,1.5566417,2.7164848,10.984282,4.8000002,5.0224214,0.23259334,1.3057258,0.78662586,0.23259334,1.3057258,0.78662586,0.61354089,0.64768547,0.58649486,0.15363285,1.6981546,0.82464719,675.64832,36.090694,2.090909,4.4242425,36.115318,1.8125,4.0999999,1710,12,34,0.041089807,0.21818182,0.21401516,0.4233931,0.36842105,0.36158192,4.2993493,0.76585758,1.2712524,6.4724221,1.339381,2.3197136,4648,32,80,61679,23,146
1,21976.2159074,-1826.63272176,22149.0617026,-2003.63243005,14489,16,74,101648,150,498,0.0094101513,0.20775624,0.17243767,0.0099274674,0.17582418,0.15913978,4,1.8333334,0.5,5.395319,1.5457796,2.7462683,10.754524,6,4.9484534,0.22643501,1.471094,0.8625533,0.22643501,1.471094,0.8625533,0.61204803,0.67510992,0.59605426,0.14977264,1.5457796,0.94495255,247.39557,37.045055,2.1428571,4.032258,37.078098,1.7894737,3.75,1710,15,32,0.042207327,0.17582418,0.20215054,0.41693878,0.36000001,0.43030304,4.4162784,0.67976618,1.1593486,6.527751,1.4674242,2.1346145,4648,38,76,63310,30,125
2,22149.0617026,-2003.63243005,22219.5077782,-2104.91094268,0,0,0,4643,21,58,0.00042982973,0.062130179,0.029226506,0,0,0,1,0.25,0.25,5.3972168,1.4005014,2.6430523,9.2601671,2.5263157,3.2,0.22032607,0.80638385,0.70080334,0.22032607,0.80638385,0.70080334,0.61053401,0.52244276,0.56269395,0.14578316,1.2604512,0.81093651,123.36931,38.044472,2.375,4.4230771,38.077667,2.1538463,4.0476189,1710,9,27,0.043377601,0.39285713,0.27384615,0.40995938,0.15384616,0.34074074,4.5387278,1.2401042,1.4269338,6.4885583,1.602149,2.1955359,4648,26,63,65018,19,115
3,19359.5065859,4273.63017533,19427.2445163,4084.74499372,27216,6,84,148214,54,712,0.013721039,0.29916897,0.12208505,0.018647661,0.2857143,0.11948791,2,1,0.5,5.0914044,1.5306391,2.4205351,5.4085813,3,3.91468,0.32726344,0.8619656,0.66139996,0.32726344,0.8619656,0.66139996,0.63319433,0.52832085,0.5714457,0.20427258,1.7493018,0.57561505,200.664,25.939732,2.1428571,5.3421054,25.354992,2,5.3055553,1710,8,39,0.029203432,0.38095239,0.2347084,0.53059989,0.27272728,0.20289855,3.0556421,1.1601391,1.5119445,5.3736887,1.2942394,2.8832383,4648,19,108,44331,15,203
4,19268.5251351,4519.86722251,19359.5065859,4273.63017533,23828,6,58,129742,42,458,0.012010978,0.37333333,0.15449485,0.016326295,0.40000001,0.16524217,2,1,0.5,5.0962486,1.5491613,2.4807103,5.2458067,2.6666667,3.2432432,0.31475365,0.84912294,0.5894106,0.31475365,0.84912294,0.5894106,0.63088769,0.51139158,0.54359436,0.19665092,2.1688259,0.62576473,262.50772,26.930954,2,5.1481481,26.348537,1.8,5.2467532,1710,7,28,0.030364115,0.40000001,0.31908831,0.52067494,0.33333334,0.20567375,3.1770878,1.1776857,1.6966102,5.3822365,1.0911623,2.7999127,4648,15,77,46025,12,139
5,18902.1616029,5496.007501,19268.5251351,4519.86722251,20436,6,48,111254,40,310,0.010299435,0.40816328,0.25822574,0.01400219,0.40000001,0.3137255,2,1,0.5,5.0999327,1.5491613,2.6817327,5.0757279,2.6666667,2.7428572,0.30315185,0.84912294,0.56094831,0.30315185,0.84912294,0.56094831,0.62868088,0.51139158,0.51653308,0.18953913,2.1688259,0.82182127,1042.6274,27.923347,2,4.5,27.342943,1.7142857,4.7142859,1710,7,19,0.031526167,0.40000001,0.41176471,0.5110724,0.33333334,0.27586207,3.298677,1.1776857,1.7826954,5.3937531,1.0911623,2.312264,4648,14,49,47721,12,81
6,18758.4146829,5909.82150517,18902.1616029,5496.007501,17040,6,42,92750,40,232,0.0085864114,0.40816328,0.40138409,0.011675343,0.40000001,0.46153846,2,1,0.5,5.1019855,1.5491613,2.7130978,4.8122935,2.6666667,2.2857144,0.29236266,0.84912294,0.56041682,0.29236266,0.84912294,0.56041682,0.62656605,0.51139158,0.50079393,0.18286686,2.1688259,0.99259681,438.06985,28.91691,2,4,28.338209,1.7142857,4.0588236,1710,7,15,0.03268959,0.40000001,0.46153846,0.50177526,0.33333334,0.33333334,3.4204094,1.1776857,1.7843863,5.4078169,1.0911623,1.9886805,4648,14,34,49419,12,56
7,18725.4529834,6014.22380069,18758.4146829,5909.82150517,13640,6,36,74230,40,180,0.0068719061,0.40816328,0.45918366,0.0093457559,0.40000001,0.54545456,2,1,0.5,5.1031547,1.5491613,2.6465597,4.3603806,2.6666667,1.7777778,0.28230363,0.84912294,0.55106258,0.28230363,0.84912294,0.55106258,0.62453634,0.51139158,0.48755738,0.17661549,2.1688259,1.0751649,109.48202,29.911644,2,3.75,29.334337,1.7142857,3.7857144,1710,7,13,0.033854384,0.40000001,0.5,0.49276775,0.33333334,0.35294119,3.5422852,1.1776857,1.8146759,5.4229212,1.0911623,1.9173554,4648,14,28,51119,12,45
8,18679.0439299,6186.16336916,18725.4529834,6014.22380069,10236,6,30,55694,38,136,0.0051559201,0.44970414,0.56198347,0.007013428,0.40000001,0.66666669,2,1,0.5,5.1043243,1.5491613,2.5994833,3.997309,2.6666667,1.4545455,0.27290308,0.84912294,0.55292708,0.27290308,0.84912294,0.55292708,0.62258548,0.51139158,0.47326997,0.17077331,2.1688259,1.2432312,178.09271,30.907549,2,3.4000001,30.331326,1.6153846,3.2727273,1710,7,11,0.035020549,0.40000001,0.53333336,0.48403507,0.33333334,0.38461539,3.6643045,1.1776857,1.8085568,5.4375124,1.0911623,1.6852109,4648,13,22,52821,12,34
9,18652.8838446,6329.92575413,18679.0439299,6186.16336916,6828,6,22,37142,30,94,0.0034384525,0.49586776,0.52077562,0.0046783593,0.60000002,0.6111111,2,1,0.5,5.105494,1.4874687,2.5897353,3.6992252,2,1.3333334,0.26409844,0.87255627,0.5,0.26409844,0.87255627,0.5,0.62070793,0.5,0.44848764,0.16530143,2.9749374,1.2332072,146.12314,31.904623,1.8,3.4444444,31.329174,1.4545455,3.1578948,1710,6,10,0.036188081,0.40000001,0.6111111,0.4755635,0.42857143,0.33333334,3.7864671,1.146058,2,5.4509726,0.87540293,1.7440101,4648,11,19,54525,9,31
