Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3 normal,Integration [HH] R3 normal,Total Connectivity R3 normal
0,14,1.3057258,32,0.016726404,0.360426961,0.058548009
1,16,1.471094,38,0.01911589,0.421722333,0.072599532
2,0,0.80638385,26,0,0.175340888,0.044496487
3,6,0.8619656,19,0.007168459,0.195942818,0.028103044
4,6,0.84912294,15,0.007168459,0.191182558,0.018735363
5,6,0.84912294,14,0.007168459,0.191182558,0.016393443
6,6,0.84912294,14,0.007168459,0.191182558,0.016393443
7,6,0.84912294,14,0.007168459,0.191182558,0.016393443
8,6,0.84912294,13,0.007168459,0.191182558,0.014051522
9,6,0.87255627,11,0.007168459,0.199868356,0.009367681
10,4,0.70398736,9,0.004778973,0.137386608,0.004683841
11,0,0.33333334,7,0,0,0
12,11,1.3938289,52,0.013142174,0.393083254,0.105386417
13,43,1.7821976,74,0.051373955,0.537035985,0.156908665
14,10,1.1981546,49,0.011947431,0.320554623,0.098360656
15,6,0.8870222,27,0.007168459,0.205230297,0.046838407
16,6,0.84912294,16,0.007168459,0.191182558,0.021077283
17,6,0.84912294,14,0.007168459,0.191182558,0.016393443
18,6,0.84912294,14,0.007168459,0.191182558,0.016393443
19,6,0.84912294,14,0.007168459,0.191182558,0.016393443
20,6,0.84912294,14,0.007168459,0.191182558,0.016393443
21,6,0.84912294,14,0.007168459,0.191182558,0.016393443
22,6,0.84912294,17,0.007168459,0.191182558,0.023419204
23,6,0.91666669,30,0.007168459,0.216218323,0.053864169
24,12,1.2906152,56,0.014336918,0.354826067,0.114754098
25,0,0.8870222,26,0,0.205230297,0.044496487
26,14,1.31797,49,0.016726404,0.364965396,0.098360656
27,8,1,28,0.009557945,0.247106645,0.049180328
28,6,0.8619656,21,0.007168459,0.195942818,0.032786885
29,6,0.8619656,20,0.007168459,0.195942818,0.030444965
30,8,0.98558021,24,0.009557945,0.241761806,0.039812646
31,12,1.2123377,38,0.014336918,0.325811731,0.072599532
32,12,1.2123377,39,0.014336918,0.325811731,0.074941452
33,75,1.9363272,88,0.089605735,0.594165658,0.18969555
34,12,1.2241485,43,0.014336918,0.330189521,0.084309133
35,12,1.2123377,40,0.014336918,0.325811731,0.077283372
36,8,1,29,0.009557945,0.247106645,0.051522248
37,8,1,28,0.009557945,0.247106645,0.049180328
38,12,1.2052853,37,0.014336918,0.323197688,0.070257611
39,24,1.4803609,61,0.028673835,0.425157202,0.1264637
40,12,1.2906152,56,0.014336918,0.354826067,0.114754098
41,6,0.91666669,30,0.007168459,0.216218323,0.053864169
42,6,0.84912294,17,0.007168459,0.191182558,0.023419204
43,6,0.84912294,14,0.007168459,0.191182558,0.016393443
44,6,0.84912294,14,0.007168459,0.191182558,0.016393443
45,6,0.84912294,14,0.007168459,0.191182558,0.016393443
46,6,0.84912294,15,0.007168459,0.191182558,0.018735363
47,6,0.8619656,20,0.007168459,0.195942818,0.030444965
48,8,1,28,0.009557945,0.247106645,0.049180328
49,14,1.31797,49,0.016726404,0.364965396,0.098360656
50,83,1.9363272,88,0.09916368,0.594165658,0.18969555
51,24,1.4803609,60,0.028673835,0.425157202,0.12412178
52,26,1.550553,40,0.031063321,0.451174604,0.077283372
53,10,1.1191936,32,0.011947431,0.291286941,0.058548009
54,6,0.8870222,25,0.007168459,0.205230297,0.042154567
55,6,0.84912294,16,0.007168459,0.191182558,0.021077283
56,6,0.84912294,14,0.007168459,0.191182558,0.016393443
57,6,0.84912294,14,0.007168459,0.191182558,0.016393443
58,6,0.84912294,14,0.007168459,0.191182558,0.016393443
59,6,0.84912294,14,0.007168459,0.191182558,0.016393443
60,6,0.84912294,14,0.007168459,0.191182558,0.016393443
61,6,0.84912294,14,0.007168459,0.191182558,0.016393443
62,6,0.84912294,13,0.007168459,0.191182558,0.014051522
63,6,0.87255627,11,0.007168459,0.199868356,0.009367681
64,4,0.70398736,9,0.004778973,0.137386608,0.004683841
65,0,0.33333334,7,0,0,0
66,0,0.33333334,7,0,0,0
67,4,0.70398736,11,0.004778973,0.137386608,0.009367681
