Ref,x1,y1,x2,y2,Choice,Choice R3,Choice R7,Choice [Connectivity Wgt],Choice [Connectivity Wgt] R3,Choice [Connectivity Wgt] R7,Choice [Connectivity Wgt][Norm],Choice [Connectivity Wgt][Norm] R3,Choice [Connectivity Wgt][Norm] R7,Choice [Norm],Choice [Norm] R3,Choice [Norm] R7,Connectivity,Control,Controllability,Entropy,Entropy R3,Entropy R7,Harmonic Mean Depth,Harmonic Mean Depth R3,Harmonic Mean Depth R7,Integration [HH],Integration [HH] R3,Integration [HH] R7,Integration [P-value],Integration [P-value] R3,Integration [P-value] R7,Integration [Tekl],Integration [Tekl] R3,Integration [Tekl] R7,Intensity,Intensity R3,Intensity R7,Line Length,Mean Depth,Mean Depth R3,Mean Depth R7,Mean Depth [Connectivity Wgt],Mean Depth [Connectivity Wgt] R3,Mean Depth [Connectivity Wgt] R7,Node Count,Node Count R3,Node Count R7,RA,RA R3,RA R7,RA [Penn],RA [Penn] R3,RA [Penn] R7,RRA,RRA R3,RRA R7,Relativised Entropy,Relativised Entropy R3,Relativised Entropy R7,Total Connectivity,Total Connectivity R3,Total Connectivity R7,Total Depth,Total Depth R3,Total Depth R7
0,11201.8209351,2350.05685423,11207.3757535,2448.30383194,1067587,35,481,6666802,696,6510,0.26554936,0.28408164,0.1139666,0.26878017,0.20467836,0.081719331,5,1.25,0.41666666,6.4771123,1.5602012,2.4996493,9.2090168,8.2352943,11.562076,0.227415,1.8328277,1.0053201,0.227415,1.8328277,1.0053201,0.62456828,0.72169763,0.64991224,0.16591838,1.5602012,0.59515458,98.403885,40.052147,2.1052632,5.2477064,38.389782,1.8571428,4.9763312,2820,20,110,0.027716214,0.12280702,0.078661233,0.69474524,0.40000001,0.26856241,4.3972473,0.545605,0.99470812,16.047615,1.4522251,2.8411911,7086,70,338,112907,40,572
1,11190.3884368,2147.8488782,11201.8209351,2350.05685423,1062368,18,252,6598560,275,2844,0.26283118,0.18181819,0.080388941,0.26746622,0.17142858,0.075880758,3,0.94999999,0.33333334,6.4783287,1.5140977,2.4743898,9.3930998,6,8.252409,0.22463582,1.4644111,0.90720105,0.22463582,1.4644111,0.90720105,0.62390751,0.67323869,0.63153678,0.16392149,1.4250331,0.58678383,202.5309,40.535297,2.2,5.280488,38.885548,2.0363636,5.0902257,2820,16,83,0.028059117,0.17142858,0.10569106,0.68864799,0.33333334,0.25477707,4.4516497,0.68286836,1.1022915,15.802078,1.5261303,2.8505356,7086,55,266,114269,33,433
2,11184.9560554,2098.44069727,11190.3884368,2147.8488782,1059600,8,174,6580586,128,1946,0.26211524,0.1522903,0.091714583,0.26676932,0.14545454,0.09508197,2,0.83333331,0.40000001,6.4764943,1.4308271,2.4475515,9.3945417,4,5.7682405,0.22188835,1.0445806,0.80580425,0.22188835,1.0445806,0.80580425,0.6232475,0.59431612,0.60997641,0.16187075,1.2264233,0.57698935,49.705925,41.02483,2.3636363,5.3278689,39.391617,2.3414633,5.2475729,2820,12,62,0.028406551,0.27272728,0.1442623,0.68240696,0.21052632,0.23478261,4.5067711,0.957322,1.2409961,15.578957,1.6862333,2.8544707,7086,41,206,115649,26,325
3,11173.4455698,2035.52118797,11184.9560554,2098.44069727,1056887,6,134,6566488,74,1532,0.2615537,0.20301783,0.10602076,0.26608628,0.21428572,0.11394558,2,1,0.5,6.4747262,1.4843777,2.4331603,9.3758326,3.2,4.6993008,0.21924758,0.8870222,0.73949933,0.21924758,0.8870222,0.73949933,0.62260675,0.54406804,0.59329838,0.15990058,1.4843777,0.57657826,63.963707,41.506916,2.25,5.3265305,39.889923,2.2592592,5.3823528,2820,9,50,0.028748699,0.35714287,0.1802721,0.6761294,0.23076923,0.22344323,4.5610538,1.1273675,1.3522662,15.409384,1.47219,2.857661,7086,27,170,117008,18,261
4,11155.1001327,1965.40457146,11173.4455698,2035.52118797,1054227,8,126,6552670,78,1360,0.26100329,0.32231405,0.15376788,0.26541659,0.2857143,0.15365854,2,0.83333331,0.40000001,6.476511,1.5388472,2.5310049,9.5511675,3.4285715,4.6174026,0.21671771,0.98558021,0.72456968,0.21671771,0.98558021,0.72456968,0.62198687,0.57015699,0.58465129,0.15809906,1.7312031,0.63654017,72.47686,41.979778,2.125,5.0975609,40.378494,1.9090909,5.112782,2820,9,42,0.029084301,0.32142857,0.20487805,0.66982865,0.30769232,0.25333333,4.6142979,1.0146308,1.3801296,15.290267,1.293768,2.6715662,7086,22,133,118341,17,209
5,11133.0255208,1906.63017904,11155.1001327,1965.40457146,1051618,12,134,6535771,103,1370,0.26033017,0.3576389,0.15966436,0.26475975,0.33333334,0.15563299,3,1.1666666,0.5,6.4821177,1.563269,2.5602229,9.9331913,4,5.0973454,0.21429138,1.2222222,0.74115467,0.21429138,1.2222222,0.74115467,0.62138671,0.63092977,0.58811206,0.15646432,1.9540863,0.65141767,62.7831,42.443775,2,5.0476189,40.857323,1.7083334,5.0610685,2820,10,43,0.029413609,0.25,0.19744483,0.66350126,0.40000001,0.26406926,4.666543,0.81818181,1.349246,15.220191,1.2090708,2.6994486,7086,24,131,119649,18,212
6,11131.4336388,1902.38187076,11133.0255208,1906.63017904,1033713,12,188,6423151,133,1809,0.25584435,0.29555556,0.1899811,0.26025191,0.26666668,0.18164252,3,1.1666666,0.5,6.492116,1.5531402,2.5746331,10.418007,4.3636365,5.6788731,0.21197441,1.2063863,0.77095765,0.21197441,1.2063863,0.77095765,0.62080836,0.627249,0.59580296,0.15501133,1.7084541,0.65409601,4.5367622,42.89677,2.0999999,5.0434785,41.324162,1.9333333,5.0289855,2820,11,47,0.029735111,0.24444444,0.17971015,0.65716398,0.35294119,0.27058825,4.7175503,0.82892185,1.2970881,15.193046,1.3434201,2.6874256,7086,30,138,120926,21,232
7,11089.1656211,1818.05323573,11131.4336388,1902.38187076,1031332,10,216,6407566,166,2046,0.25522357,0.2075,0.17480457,0.25965244,0.15151516,0.1509434,2,0.66666669,0.33333334,6.5076399,1.4535002,2.5640299,11.131652,4.3636365,5.9504132,0.20989162,1.1365665,0.81652731,0.20989162,1.1365665,0.81652731,0.6202839,0.61485791,0.60759568,0.15385523,1.2597001,0.64393443,94.328705,43.312523,2.3333333,5.0740743,41.751904,2.2,4.9477124,2820,13,55,0.03003018,0.24242425,0.15373865,0.65103304,0.23809524,0.27392739,4.7643638,0.87984288,1.2246988,15.230817,1.650112,2.6610348,7086,40,153,122098,28,274
8,11071.399032,1789.14707577,11089.1656211,1818.05323573,1029335,16,270,6394798,238,2556,0.254715,0.21548212,0.14012773,0.25914967,0.17582418,0.12587413,3,1.0333333,0.375,6.5294442,1.5214777,2.594243,12.329694,5.7142859,7.7858095,0.20795122,1.3845592,0.89463639,0.20795122,1.3845592,0.89463639,0.61979145,0.66066402,0.62390834,0.1529436,1.4263853,0.65838742,33.9296,43.707344,2.2142856,5.0151515,42.158764,2.0212767,4.9267015,2820,15,67,0.030310392,0.18681319,0.12354312,0.64497763,0.31999999,0.29333332,4.8088202,0.72225159,1.1177725,15.330093,1.5276568,2.6338003,7086,47,191,123211,31,331
9,11021.4165782,1718.66803082,11071.399032,1789.14707577,303229,16,216,2000924,210,1975,0.079699993,0.22714981,0.10075503,0.076342195,0.20512821,0.097693354,3,1.0333333,0.375,6.5356565,1.5372461,2.5624135,12.391928,5.4545455,7.5943904,0.2057517,1.3873683,0.88326204,0.2057517,1.3873683,0.88326204,0.6192286,0.6616419,0.62291604,0.15146987,1.5372461,0.63825685,86.403366,44.163887,2.1538463,5.0895524,42.628845,1.9534883,5.0252523,2820,14,68,0.030634413,0.1923077,0.12392583,0.64118236,0.34782609,0.28083989,4.8602271,0.72078913,1.1321669,15.250372,1.4425071,2.689852,7086,43,198,124498,28,341
