Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3 normal,Integration [HH] R3 normal,Total Connectivity R3 normal
0,35,1.8328277,70,0.150214592,0.710112546,0.396226415
1,18,1.4644111,55,0.077253219,0.535642234,0.301886792
2,8,1.0445806,41,0.034334764,0.336823943,0.213836478
3,6,0.8870222,27,0.025751073,0.262209327,0.125786164
4,8,0.98558021,22,0.034334764,0.308883246,0.094339623
5,12,1.2222222,24,0.051502146,0.42094932,0.106918239
6,12,1.2063863,30,0.051502146,0.413449945,0.144654088
7,10,1.1365665,40,0.042918455,0.380385522,0.20754717
8,16,1.3845592,47,0.068669528,0.497826929,0.251572327
9,16,1.3873683,43,0.068669528,0.499157229,0.226415094
10,8,1.0207884,33,0.034334764,0.325556718,0.163522013
11,6,0.8619656,22,0.025751073,0.250343323,0.094339623
12,6,0.8619656,22,0.025751073,0.250343323,0.094339623
13,8,1.0207884,33,0.034334764,0.325556718,0.163522013
14,16,1.3873683,43,0.068669528,0.499157229,0.226415094
15,20,1.4635203,58,0.08583691,0.535220379,0.320754717
16,20,1.4896638,74,0.08583691,0.547601104,0.421383648
17,20,1.4896638,75,0.08583691,0.547601104,0.427672956
18,20,1.4666082,62,0.08583691,0.53668271,0.34591195
19,16,1.3845592,47,0.068669528,0.497826929,0.251572327
20,43,1.9329244,107,0.184549356,0.757515141,0.628930818
21,12,1.2906152,66,0.051502146,0.453338057,0.371069182
22,6,0.91666669,36,0.025751073,0.276248008,0.182389937
23,6,0.84912294,17,0.025751073,0.24426145,0.062893082
24,6,0.84912294,14,0.025751073,0.24426145,0.044025157
25,6,0.84912294,14,0.025751073,0.24426145,0.044025157
26,6,0.84912294,14,0.025751073,0.24426145,0.044025157
27,6,0.84912294,14,0.025751073,0.24426145,0.044025157
28,12,1.2222222,26,0.051502146,0.42094932,0.119496855
29,8,0.98558021,21,0.034334764,0.308883246,0.088050314
30,6,0.8619656,19,0.025751073,0.250343323,0.075471698
31,6,0.84912294,15,0.025751073,0.24426145,0.050314465
32,6,0.84912294,14,0.025751073,0.24426145,0.044025157
33,6,0.84912294,14,0.025751073,0.24426145,0.044025157
34,6,0.84912294,14,0.025751073,0.24426145,0.044025157
35,6,0.84912294,14,0.025751073,0.24426145,0.044025157
36,6,0.84912294,14,0.025751073,0.24426145,0.044025157
37,6,0.84912294,14,0.025751073,0.24426145,0.044025157
38,6,0.84912294,14,0.025751073,0.24426145,0.044025157
39,6,0.84912294,14,0.025751073,0.24426145,0.044025157
40,6,0.84912294,14,0.025751073,0.24426145,0.044025157
41,6,0.84912294,14,0.025751073,0.24426145,0.044025157
42,6,0.84912294,14,0.025751073,0.24426145,0.044025157
43,6,0.84912294,14,0.025751073,0.24426145,0.044025157
44,6,0.84912294,14,0.025751073,0.24426145,0.044025157
45,6,0.84912294,14,0.025751073,0.24426145,0.044025157
46,6,0.84912294,14,0.025751073,0.24426145,0.044025157
47,6,0.84912294,17,0.025751073,0.24426145,0.062893082
48,6,0.91666669,31,0.025751073,0.276248008,0.150943396
49,12,1.2552096,48,0.051502146,0.436571098,0.257861635
50,68,1.8489804,72,0.291845494,0.717761948,0.408805031
51,12,1.2552096,48,0.051502146,0.436571098,0.257861635
52,6,0.91666669,31,0.025751073,0.276248008,0.150943396
53,6,0.84912294,17,0.025751073,0.24426145,0.062893082
54,6,0.84912294,15,0.025751073,0.24426145,0.050314465
55,6,0.8619656,19,0.025751073,0.250343323,0.075471698
56,8,0.98558021,21,0.034334764,0.308883246,0.088050314
57,12,1.2222222,23,0.051502146,0.42094932,0.100628931
58,12,1.2222222,23,0.051502146,0.42094932,0.100628931
59,8,0.98558021,21,0.034334764,0.308883246,0.088050314
60,12,1.2222222,23,0.051502146,0.42094932,0.100628931
61,8,0.98558021,21,0.034334764,0.308883246,0.088050314
62,6,0.8619656,22,0.025751073,0.250343323,0.094339623
63,6,0.91666669,32,0.025751073,0.276248008,0.157232704
64,12,1.2552096,48,0.051502146,0.436571098,0.257861635
65,58,1.8489804,72,0.248927039,0.717761948,0.408805031
66,12,1.2552096,48,0.051502146,0.436571098,0.257861635
67,6,0.91666669,31,0.025751073,0.276248008,0.150943396
68,6,0.84912294,17,0.025751073,0.24426145,0.062893082
69,6,0.84912294,14,0.025751073,0.24426145,0.044025157
70,6,0.84912294,14,0.025751073,0.24426145,0.044025157
71,6,0.84912294,14,0.025751073,0.24426145,0.044025157
72,6,0.84912294,14,0.025751073,0.24426145,0.044025157
73,6,0.84912294,14,0.025751073,0.24426145,0.044025157
74,6,0.84912294,14,0.025751073,0.24426145,0.044025157
75,6,0.84912294,14,0.025751073,0.24426145,0.044025157
76,6,0.84912294,14,0.025751073,0.24426145,0.044025157
77,6,0.84912294,14,0.025751073,0.24426145,0.044025157
