Cluster_Kmeans_740984,Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3,Integration [HH] R3,Total Connectivity R3
3,0,10,1.4028426,62,0.012121212,0.402447051,0.122494432
2,1,51,1.8470125,131,0.061818182,0.569584329,0.276169265
3,2,10,1.2196002,60,0.012121212,0.333494527,0.118040089
3,3,6,0.8870222,28,0.007272727,0.208348312,0.046770601
3,4,6,0.84912294,16,0.007272727,0.194087149,0.020044543
3,5,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,6,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,7,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,8,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,9,6,0.84912294,14,0.007272727,0.194087149,0.0155902
2,10,39,1.9756846,145,0.047272727,0.618002523,0.307349666
2,11,24,1.6741856,114,0.029090909,0.504551067,0.23830735
3,12,10,1.1561403,60,0.012121212,0.309615117,0.118040089
3,13,6,0.8870222,30,0.007272727,0.208348312,0.051224944
3,14,6,0.84912294,16,0.007272727,0.194087149,0.020044543
3,15,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,16,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,17,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,18,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,19,6,0.84912294,15,0.007272727,0.194087149,0.017817372
3,20,6,0.8619656,19,0.007272727,0.198919731,0.026726058
3,21,8,0.98558021,21,0.00969697,0.245434836,0.031180401
3,22,12,1.2222222,25,0.014545455,0.334481162,0.040089087
3,23,12,1.2063863,27,0.014545455,0.328522251,0.04454343
3,24,8,0.98558021,22,0.00969697,0.245434836,0.033407572
3,25,6,0.8619656,19,0.007272727,0.198919731,0.026726058
3,26,6,0.84912294,15,0.007272727,0.194087149,0.017817372
3,27,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,28,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,29,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,30,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,31,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,32,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,33,6,0.84912294,14,0.007272727,0.194087149,0.0155902
2,34,30,1.9174613,90,0.036363636,0.596093601,0.184855234
3,35,26,1.7495173,72,0.031515152,0.532897731,0.144766147
3,36,10,1.1768752,57,0.012121212,0.31741748,0.111358575
3,37,6,0.8870222,31,0.007272727,0.208348312,0.053452116
3,38,6,0.84912294,16,0.007272727,0.194087149,0.020044543
3,39,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,40,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,41,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,42,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,43,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,44,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,45,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,46,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,47,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,48,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,49,8,1.0445806,39,0.00969697,0.26763617,0.071269488
3,50,8,1,26,0.00969697,0.250860877,0.042316258
3,51,12,1.2222222,25,0.014545455,0.334481162,0.040089087
3,52,12,1.2063863,30,0.014545455,0.328522251,0.051224944
3,53,10,1.1365665,44,0.012121212,0.302249666,0.082405345
3,54,16,1.4135897,81,0.019393939,0.406491091,0.16481069
2,55,50,1.8912494,155,0.060606061,0.58623029,0.329621381
2,56,51,2.0729513,210,0.061818182,0.654603138,0.452115813
2,57,31,2.0165863,64,0.037575758,0.633393478,0.126948775
3,58,0,1.471094,58,0,0.42812946,0.113585746
3,59,0,1.1663449,92,0,0.313455019,0.189309577
2,60,36,2.0712798,194,0.043636364,0.653974167,0.416481069
2,61,57,2.172699,199,0.069090909,0.692137332,0.427616927
3,62,0,1.4380959,105,0,0.415712562,0.218262806
3,63,14,1.3938289,74,0.016969697,0.399055274,0.14922049
3,64,6,1.0207884,39,0.007272727,0.258683372,0.071269488
3,65,6,1.0207884,39,0.007272727,0.258683372,0.071269488
3,66,14,1.3938289,75,0.016969697,0.399055274,0.151447661
3,67,17,1.5226898,92,0.020606061,0.447544512,0.189309577
2,68,26,1.7555087,134,0.031515152,0.535152243,0.28285078
2,69,65,2.1342585,231,0.078787879,0.677672505,0.498886414
2,70,145,2.3191147,269,0.175757576,0.747232289,0.583518931
2,71,103,2.2867606,316,0.124848485,0.735057722,0.688195991
2,72,129,2.5426433,357,0.156363636,0.831344161,0.779510022
1,73,313,2.5892975,352,0.379393939,0.848899731,0.768374165
2,74,57,2.1473613,268,0.069090909,0.682602975,0.581291759
2,75,172,2.2094638,243,0.208484848,0.705971607,0.525612472
3,76,0,0.42239243,13,0,0.033512163,0.013363029
3,77,6,0.8619656,21,0.007272727,0.198919731,0.031180401
3,78,14,1.3270249,27,0.016969697,0.373917509,0.04454343
3,79,14,1.3057258,30,0.016969697,0.365902842,0.051224944
3,80,8,1.0207884,33,0.00969697,0.258683372,0.057906459
3,81,8,1.0952908,38,0.00969697,0.286717978,0.069042316
3,82,34,1.5365106,54,0.041212121,0.452745159,0.10467706
3,83,8,1.0697098,34,0.00969697,0.27709207,0.06013363
3,84,6,0.91666669,35,0.007272727,0.219503276,0.062360802
3,85,10,1.1365665,48,0.012121212,0.302249666,0.091314031
3,86,22,1.6042534,86,0.026666667,0.478236187,0.175946548
2,87,72,2.0201983,133,0.087272727,0.634752642,0.280623608
2,88,113,2.3399084,207,0.136969697,0.755056778,0.445434298
1,89,636,2.8709838,297,0.770909091,0.954895841,0.645879733
2,90,130,2.494889,292,0.157575758,0.813374632,0.634743875
3,91,24,1.5154221,31,0.029090909,0.44480974,0.053452116
3,92,14,1.3057258,31,0.016969697,0.365902842,0.053452116
3,93,8,1.0207884,31,0.00969697,0.258683372,0.053452116
3,94,8,1.0445806,33,0.00969697,0.26763617,0.057906459
3,95,26,1.3873369,44,0.031515152,0.396612391,0.082405345
3,96,42,1.550553,39,0.050909091,0.458029192,0.071269488
3,97,10,1.1191936,29,0.012121212,0.295712394,0.048997773
3,98,6,0.91666669,24,0.007272727,0.219503276,0.037861915
3,99,12,1.4337122,115,0.014545455,0.414063014,0.240534521
2,100,30,1.8470125,138,0.036363636,0.569584329,0.291759465
2,101,55,2.0229185,135,0.066666667,0.63577623,0.285077951
2,102,30,1.7265038,99,0.036363636,0.524237951,0.204899777
2,103,42,1.6794915,89,0.050909091,0.506547631,0.182628062
3,104,8,1.1208336,47,0.00969697,0.296329512,0.08908686
3,105,6,0.8619656,23,0.007272727,0.198919731,0.035634744
3,106,6,0.84912294,15,0.007272727,0.194087149,0.017817372
3,107,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,108,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,109,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,110,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,111,6,0.84912294,14,0.007272727,0.194087149,0.0155902
