Depthmap_Ref,Choice_R3,Integration_HH_R3,Total_Connectivity_R3,Choice_R3,Integration_HH_R3,Total_Connectivity_R3
0,40,1.7307693,82,0.3125,0.662205097,0.412087912
1,0,1.1768752,63,0,0.39973046,0.307692308
2,24,1.4635203,67,0.1875,0.535563408,0.32967033
3,0,1.7288883,113,0,0.661313745,0.582417582
4,0,1.6413553,116,0,0.619834349,0.598901099
5,0,1,34,0,0.315914341,0.148351648
6,0,0.33333334,8,0,0,0.005494505
7,4,0.69804502,16,0.03125,0.172826477,0.049450549
8,8,1,29,0.0625,0.315914341,0.120879121
9,0,0.58170414,18,0,0.117695848,0.06043956
10,8,1.1,34,0.0625,0.363301492,0.148351648
11,0,1.1768752,59,0,0.39973046,0.285714286
12,0,0.42239243,16,0,0.042202566,0.049450549
13,6,0.94787496,44,0.046875,0.291213769,0.203296703
14,20,1.5365106,79,0.15625,0.570151432,0.395604396
15,0,1.238816,69,0,0.429082441,0.340659341
16,0,1.4644111,68,0,0.535985533,0.335164835
17,0,0.84615386,41,0,0.243011037,0.186813187
18,16,1.550553,68,0.125,0.576805726,0.335164835
19,28,1.5364467,64,0.21875,0.570121152,0.313186813
20,36,1.6666666,74,0.28125,0.631828653,0.368131868
21,44,1.7812788,91,0.34375,0.68614011,0.461538462
22,32,1.606352,63,0.25,0.603247282,0.307692308
23,16,1.3938289,55,0.125,0.502538639,0.263736264
24,8,1.0445806,39,0.0625,0.337039817,0.175824176
25,8,1,30,0.0625,0.315914341,0.126373626
26,12,1.2671746,25,0.09375,0.442520774,0.098901099
27,16,1.3845592,48,0.125,0.498145992,0.225274725
28,28,1.5365106,71,0.21875,0.570151432,0.351648352
29,36,1.6666666,88,0.28125,0.631828653,0.445054945
30,64,1.9916508,121,0.5,0.785829409,0.626373626
31,73,2.1336844,133,0.5703125,0.853135086,0.692307692
32,80,2.072258,141,0.625,0.824026865,0.736263736
33,25,1.8861139,119,0.1953125,0.735818478,0.615384615
34,19,1.7269484,95,0.1484375,0.660394481,0.483516484
35,60,2.0671797,146,0.46875,0.821620403,0.763736264
36,18,1.6734514,90,0.140625,0.635043777,0.456043956
37,28,1.7812788,116,0.21875,0.68614011,0.598901099
38,90,2.1057987,150,0.703125,0.839920847,0.785714286
39,56,2.0004239,120,0.4375,0.789986731,0.620879121
40,62,1.9775612,137,0.484375,0.779152749,0.714285714
41,66,1.9787503,158,0.515625,0.779716229,0.82967033
42,66,1.9310595,127,0.515625,0.757116918,0.659340659
43,28,1.6684235,79,0.21875,0.632661198,0.395604396
44,20,1.3873683,49,0.15625,0.499477144,0.230769231
45,22,1.6037242,78,0.171875,0.602002043,0.39010989
46,10,1.1561403,50,0.078125,0.389904781,0.236263736
47,8,1.0207884,37,0.0625,0.325765371,0.164835165
48,12,1.2052853,38,0.09375,0.413193197,0.17032967
49,22,1.6042534,82,0.171875,0.602252816,0.412087912
50,12,1.2552096,59,0.09375,0.436850901,0.285714286
51,14,1.31797,56,0.109375,0.466591267,0.269230769
52,0,0.98558021,31,0,0.309081213,0.131868132
53,0,0.87255627,17,0,0.255522387,0.054945055
54,12,1.2671746,31,0.09375,0.442520774,0.131868132
55,0,0.87255627,17,0,0.255522387,0.054945055
56,0,1.3006579,55,0,0.458387556,0.263736264
57,0,1.1191936,43,0,0.372396793,0.197802198
58,0,0.33333334,9,0,0,0.010989011
59,4,0.72781962,27,0.03125,0.186935812,0.10989011
60,10,1.1981546,68,0.078125,0.409814162,0.335164835
61,30,1.8416041,102,0.234375,0.714726552,0.521978022
62,0,0.91666669,36,0,0.276425059,0.159340659
63,18,1.5448366,85,0.140625,0.574096886,0.428571429
64,19,1.550553,59,0.1484375,0.576805726,0.285714286
65,37,1.7257152,101,0.2890625,0.659810103,0.516483516
66,34,1.6926663,120,0.265625,0.64414917,0.620879121
67,17,1.5110798,99,0.1328125,0.5581005,0.505494505
68,11,1.238816,59,0.0859375,0.429082441,0.285714286
69,16,1.471094,55,0.125,0.539152369,0.263736264
70,12,1.3873683,50,0.09375,0.499477144,0.236263736
71,0,0.76619166,26,0,0.205119228,0.104395604
