Ref,x1,y1,x2,y2,Choice,Choice R3,Choice R7,Choice [Connectivity Wgt],Choice [Connectivity Wgt] R3,Choice [Connectivity Wgt] R7,Choice [Connectivity Wgt][Norm],Choice [Connectivity Wgt][Norm] R3,Choice [Connectivity Wgt][Norm] R7,Choice [Norm],Choice [Norm] R3,Choice [Norm] R7,Connectivity,Control,Controllability,Entropy,Entropy R3,Entropy R7,Harmonic Mean Depth,Harmonic Mean Depth R3,Harmonic Mean Depth R7,Integration [HH],Integration [HH] R3,Integration [HH] R7,Integration [P-value],Integration [P-value] R3,Integration [P-value] R7,Integration [Tekl],Integration [Tekl] R3,Integration [Tekl] R7,Intensity,Intensity R3,Intensity R7,Line Length,Mean Depth,Mean Depth R3,Mean Depth R7,Mean Depth [Connectivity Wgt],Mean Depth [Connectivity Wgt] R3,Mean Depth [Connectivity Wgt] R7,Node Count,Node Count R3,Node Count R7,RA,RA R3,RA R7,RA [Penn],RA [Penn] R3,RA [Penn] R7,RRA,RRA R3,RRA R7,Relativised Entropy,Relativised Entropy R3,Relativised Entropy R7,Total Connectivity,Total Connectivity R3,Total Connectivity R7,Total Depth,Total Depth R3,Total Depth R7
0,-5236.47480212,3014.95916453,-5140.10934184,3692.81109641,0,0,0,3323,6,133,0.00060078054,0.14814815,0.014381488,0,0,0,1,0.5,0.5,4.913116,1.5,2.0576856,5.877707,1.3333334,2.2491214,0.36710325,0.33333334,0.67965615,0.36710325,0.33333334,0.67965615,0.63248676,0,0.58555162,0.23417252,3,0.44032779,684.66748,21.998394,2,5.7843137,21.561035,2,5.5955882,1247,4,52,0.033732362,1,0.19137254,0.58740973,0,0.14385965,2.7240293,3,1.4713322,5.5043097,0.81028318,3.2091935,3326,9,136,27410,6,295
1,-5245.66831525,2450.3490813,-5229.93202453,3092.93499784,2490,4,100,13288,46,594,0.002402399,0.19008264,0.041595183,0.0032102729,0.26666668,0.051203277,2,1.5,0.66666669,4.9115119,1.4413203,2.3321512,6.8945274,2.1818182,3.7378325,0.3854444,0.72781962,0.83610386,0.3854444,0.72781962,0.83610386,0.6355328,0.4708803,0.61502451,0.24579242,1.6815404,0.56323653,642.77856,20.999197,2.1666667,5.2222223,20.561636,2.2727273,5.0769229,1247,7,64,0.032127224,0.46666667,0.13620071,0.59950179,0.22222222,0.25490198,2.5944078,1.3739668,1.1960237,5.525228,1.3731915,2.7919674,3326,22,169,26165,13,329
2,-5247.9923172,2538.67551889,-5194.72151455,1749.98857571,4976,10,220,26562,164,1322,0.0048022666,0.12130178,0.059954647,0.0064153885,0.095238097,0.069620252,2,0.75,0.33333334,4.9089098,1.3419172,2.5396752,7.8741078,4.6451612,7.1699495,0.40568042,1.1981546,0.99998778,0.40568042,1.1981546,0.99998778,0.6387614,0.62953198,0.64157706,0.25856009,1.0224131,0.6700772,790.48395,20.001606,2.4666667,4.8499999,19.56344,2.3846154,4.6761904,1247,16,81,0.030524667,0.20952381,0.097468354,0.61202788,0.18518518,0.32897604,2.4649947,0.8346169,1.0000123,5.5518637,1.9073327,2.5295756,3326,52,210,24922,37,388
3,-5217.32462834,1950.81362413,-5045.87304158,1024.40891075,251679,60,1150,1605173,931,8544,0.29020664,0.18998061,0.28701961,0.32448122,0.10084034,0.25219297,4,1.3095238,0.2857143,4.9021015,1.3191508,2.6765697,8.3737917,10.05988,12.03413,0.42812076,1.8628219,1.1954597,0.42812076,1.8628219,1.1954597,0.64219415,0.7170434,0.66609579,0.27248463,0.93116528,0.79154652,942.1366,19.005617,2.4857142,4.4270835,18.566446,2.2525253,4.1803279,1247,36,97,0.028924687,0.08739496,0.07214912,0.6250146,0.2238806,0.40720722,2.3357894,0.53681993,0.83649832,5.5910521,2.0555253,2.3303294,3326,99,244,23681,87,425
4,-5058.00137813,1076.78913806,-4898.6174913,415.305358383,63961,34,886,429523,574,7165,0.07765545,0.16664247,0.2855947,0.082462758,0.10461538,0.23145245,3,1,0.30000001,4.9145079,1.3044705,2.6249669,8.1965179,7.4254146,9.8635368,0.40684891,1.5992693,1.1555513,0.40684891,1.5992693,1.1555513,0.63894385,0.68941891,0.66029704,0.25960061,0.92686063,0.77358294,680.41461,19.947031,2.5,4.443182,19.512327,2.3614457,4.1830359,1247,27,89,0.030436996,0.12,0.079153605,0.61314213,0.20408164,0.40236688,2.4579148,0.62528557,0.86538774,5.6402984,2.0503213,2.3052006,3326,83,224,24854,65,391
5,-4916.83573567,503.531489517,-4828.71339138,-193.704732373,33217,10,371,210233,160,3064,0.038008995,0.15122874,0.15951687,0.042825557,0.12820514,0.13017544,2,0.66666669,0.33333334,4.9182854,1.4174378,2.4384873,7.7737451,4.48,6.6589103,0.38690391,1.1561403,1.0336295,0.38690391,1.1561403,1.0336295,0.63577014,0.61990625,0.64402717,0.24706341,1.1673018,0.67784661,702.78296,20.923756,2.3846154,4.6578946,20.491882,2.3695652,4.4336734,1247,14,77,0.032006033,0.23076923,0.097543858,0.60101253,0.2173913,0.36091954,2.5846212,0.86494696,0.96746463,5.6424804,1.7433239,2.474875,3326,46,196,26071,31,354
6,-4837.14654195,-112.018067314,-4810.20695328,-643.511972069,30810,14,320,194001,157,2542,0.035074338,0.2293645,0.16412707,0.039722294,0.21212122,0.1404741,3,2,0.60000002,4.93576,1.3845311,2.5022948,7.686626,4.0975609,6.2316642,0.36882302,1.1365665,0.91810459,0.36882302,1.1365665,0.91810459,0.63277751,0.61485791,0.62765443,0.23635395,1.199927,0.64424753,532.17621,21.900482,2.3333333,4.9558825,21.471437,2.2432432,4.755682,1247,13,69,0.033575069,0.24242425,0.11808604,0.58933359,0.23809524,0.30490956,2.7113276,0.87984288,1.0892005,5.6447773,1.7640781,2.5990222,3326,37,176,27288,28,337
7,-4830.95940676,-1009.9197685,-4808.67080958,-560.36994623,0,0,0,3322,13,148,0.00060059974,0.089965396,0.012811635,0,0,0,1,0.33333334,0.33333334,4.9379692,1.4874687,2.2787483,6.7139854,2,3.4036283,0.35199505,0.58170414,0.74586737,0.35199505,0.58170414,0.74586737,0.62988442,0.3868528,0.59996533,0.22567059,1.7849625,0.50734395,450.10202,22.899679,2.2,5.5862069,22.470837,2.2352941,5.3881578,1247,6,59,0.035180207,0.60000002,0.16091955,0.57764637,0.14285715,0.18654434,2.8409488,1.7190869,1.340721,5.6169758,1.2149562,2.9900391,3326,17,152,28533,11,324
8,-5206.45981772,3013.62362413,-5110.09435744,3691.47555601,0,0,0,3323,6,124,0.00060078054,0.14814815,0.01537603,0,0,0,1,0.5,0.5,4.9127221,1.5,2.0885725,5.8730197,1.3333334,2.2348511,0.36676681,0.33333334,0.65700841,0.36676681,0.33333334,0.65700841,0.63242978,0,0.57892102,0.23393916,3,0.44755125,684.66748,22.017656,2,5.7872338,21.579975,2,5.6377954,1247,4,48,0.033763304,1,0.20814061,0.58703125,0,0.13793103,2.7265279,3,1.5220505,5.4816775,0.81028318,3.1876819,3326,9,127,27434,6,272
9,-5215.65333084,2449.0135409,-5199.91704013,3091.59945743,2490,4,92,13288,44,558,0.002402399,0.19954649,0.043593749,0.0032102729,0.26666668,0.053769726,2,1.5,0.66666669,4.9111185,1.4413203,2.3540874,6.8879576,2.1818182,3.6985836,0.38507354,0.72781962,0.80937862,0.38507354,0.72781962,0.80937862,0.63547236,0.4708803,0.60941535,0.24553622,1.6815404,0.56498098,642.77856,21.018459,2.1666667,5.2542372,20.580578,2.2380953,5.1374998,1247,7,60,0.032158166,0.46666667,0.14669783,0.59911603,0.22222222,0.24624625,2.5969067,1.3739668,1.2355157,5.500658,1.3731915,2.7923045,3326,21,160,26189,13,310
