Cluster_Kmeans_916395,Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,choice_normal,integration_normal,connect_normal
3,0,0,0.33333334,9,0.0000000 ,0.0000000 ,0.00483092 
3,1,4,0.72781962,22,0.0031646 ,0.0880975 ,0.03623188 
3,2,10,1.1981546,52,0.0079114 ,0.1931336 ,0.10869565 
2,3,60,1.8628219,99,0.0474684 ,0.3415684 ,0.22222222 
2,4,34,1.5992693,83,0.0268987 ,0.2827113 ,0.18357488 
3,5,10,1.1561403,46,0.0079114 ,0.1837509 ,0.09420290 
3,6,14,1.1365665,37,0.0110759 ,0.1793796 ,0.07246377 
3,7,0,0.58170414,17,0.0000000 ,0.0554667 ,0.02415459 
3,8,0,0.33333334,9,0.0000000 ,0.0000000 ,0.00483092 
3,9,4,0.72781962,21,0.0031646 ,0.0880975 ,0.03381643 
3,10,10,1.1768752,47,0.0079114 ,0.1883814 ,0.09661836 
2,11,60,1.8017781,87,0.0474684 ,0.3279360 ,0.19323671 
3,12,10,1.2409762,59,0.0079114 ,0.2026966 ,0.12560386 
3,13,10,1.1365665,40,0.0079114 ,0.1793796 ,0.07971014 
3,14,24,1.5154221,34,0.0189873 ,0.2639864 ,0.06521739 
3,15,0,1.1191936,30,0.0000000 ,0.1754999 ,0.05555556 
3,16,24,1.5517242,64,0.0189873 ,0.2720935 ,0.13768116 
3,17,18,1.2123377,37,0.0142405 ,0.1963010 ,0.07246377 
3,18,8,0.98558021,23,0.0063291 ,0.1456611 ,0.03864734 
3,19,6,0.8619656,17,0.0047468 ,0.1180552 ,0.02415459 
3,20,6,0.84912294,15,0.0047468 ,0.1151872 ,0.01932367 
3,21,6,0.84912294,15,0.0047468 ,0.1151872 ,0.01932367 
3,22,6,0.8619656,20,0.0047468 ,0.1180552 ,0.03140097 
3,23,8,1.0445806,46,0.0063291 ,0.1588371 ,0.09420290 
2,24,30,1.6338958,143,0.0237342 ,0.2904442 ,0.32850242 
2,25,235,2.4105148,108,0.1859177 ,0.4638803 ,0.24396135 
2,26,91,1.9363272,81,0.0719937 ,0.3579838 ,0.17874396 
3,27,12,1.3088794,58,0.0094937 ,0.2178609 ,0.12318841 
3,28,8,1.0697098,40,0.0063291 ,0.1644490 ,0.07971014 
3,29,22,1.3006579,42,0.0174051 ,0.2160248 ,0.08454106 
3,30,10,1.1365665,32,0.0079114 ,0.1793796 ,0.06038647 
3,31,22,1.3006579,33,0.0174051 ,0.2160248 ,0.06280193 
3,32,8,1,24,0.0063291 ,0.1488813 ,0.04106280 
3,33,6,0.8619656,18,0.0047468 ,0.1180552 ,0.02657005 
3,34,8,1.0697098,49,0.0063291 ,0.1644490 ,0.10144928 
3,35,8,1,24,0.0063291 ,0.1488813 ,0.04106280 
3,36,18,1.2671746,19,0.0142405 ,0.2085473 ,0.02898551 
3,37,6,0.84912294,14,0.0047468 ,0.1151872 ,0.01690821 
3,38,6,0.84912294,15,0.0047468 ,0.1151872 ,0.01932367 
3,39,6,0.84912294,15,0.0047468 ,0.1151872 ,0.01932367 
3,40,6,0.8619656,16,0.0047468 ,0.1180552 ,0.02173913 
3,41,8,0.98510355,20,0.0063291 ,0.1455546 ,0.03140097 
2,42,196,2.4394479,316,0.1550633 ,0.4703417 ,0.74637681 
2,43,108,2.099642,229,0.0854430 ,0.3944555 ,0.53623188 
2,44,74,2.1085443,208,0.0585443 ,0.3964436 ,0.48550725 
2,45,562,2.7366571,267,0.4446203 ,0.5367150 ,0.62801932 
2,46,181,2.2401507,185,0.1431962 ,0.4258342 ,0.42995169 
3,47,10,1.5212561,96,0.0079114 ,0.2652893 ,0.21497585 
2,48,311,2.5708916,244,0.2460443 ,0.4996959 ,0.57246377 
2,49,28,1.8168314,146,0.0221519 ,0.3312977 ,0.33574879 
2,50,48,1.6178579,86,0.0379747 ,0.2868626 ,0.19082126 
3,51,0,0.88468331,35,0.0000000 ,0.1231286 ,0.06763285 
3,52,34,1.5365106,52,0.0268987 ,0.2686959 ,0.10869565 
3,53,8,1.0952908,37,0.0063291 ,0.1701618 ,0.07246377 
3,54,8,1.0445806,38,0.0063291 ,0.1588371 ,0.07487923 
3,55,22,1.4028426,59,0.0174051 ,0.2388449 ,0.12560386 
2,56,61,1.8140556,106,0.0482595 ,0.3306778 ,0.23913043 
2,57,108,2.0999382,132,0.0854430 ,0.3945217 ,0.30193237 
3,58,12,1.4505,92,0.0094937 ,0.2494879 ,0.20531401 
3,59,26,1.3938289,61,0.0205696 ,0.2368320 ,0.13043478 
3,60,32,1.6042534,65,0.0253165 ,0.2838244 ,0.14009662 
2,61,319,2.883322,111,0.2523734 ,0.5694685 ,0.25120773 
3,62,26,1.4255327,53,0.0205696 ,0.2439121 ,0.11111111 
2,63,46,1.7288883,64,0.0363924 ,0.3116581 ,0.13768116 
2,64,155,2.1603272,73,0.1226266 ,0.4080079 ,0.15942029 
3,65,18,1.5,56,0.0142405 ,0.2605423 ,0.11835749 
1,66,1264,3.2388017,421,1.0000000 ,0.6488549 ,1.00000000 
2,67,575,2.7507501,353,0.4549051 ,0.5398623 ,0.83574879 
2,68,114,2.27426,191,0.0901899 ,0.4334516 ,0.44444444 
2,69,36,1.8188498,159,0.0284810 ,0.3317485 ,0.36714976 
2,70,24,1.911975,193,0.0189873 ,0.3525454 ,0.44927536 
2,71,50,1.9233313,177,0.0395570 ,0.3550815 ,0.41062802 
2,72,249,2.5199258,143,0.1969937 ,0.4883141 ,0.32850242 
2,73,219,2.4105148,120,0.1732595 ,0.4638803 ,0.27294686 
3,74,16,1.5490618,93,0.0126582 ,0.2714989 ,0.20772947 
3,75,10,1.2409762,60,0.0079114 ,0.2026966 ,0.12801932 
3,76,45,1.6261337,48,0.0356013 ,0.2887107 ,0.09903382 
3,77,5,1.2241485,39,0.0039557 ,0.1989386 ,0.07729469 
3,78,5,1.2241485,39,0.0039557 ,0.1989386 ,0.07729469 
3,79,16,1.507236,81,0.0126582 ,0.2621583 ,0.17874396 
3,80,4,0.84615386,36,0.0031646 ,0.1145241 ,0.07004831 
3,81,0,0.33333334,12,0.0000000 ,0.0000000 ,0.01207729 
2,82,20,1.6211112,89,0.0158228 ,0.2875891 ,0.19806763 
3,83,21,1.3076391,53,0.0166139 ,0.2175839 ,0.11111111 
3,84,0,0.72781962,22,0.0000000 ,0.0880975 ,0.03623188 
2,85,82,2.2583046,265,0.0648734 ,0.4298884 ,0.62318841 
2,86,328,2.5001314,183,0.2594937 ,0.4838936 ,0.42512077 
2,87,100,2.0682282,139,0.0791139 ,0.3874401 ,0.31884058 
2,88,51,1.7081656,95,0.0403481 ,0.3070303 ,0.21256039 
3,89,26,1.3938289,58,0.0205696 ,0.2368320 ,0.12318841 
2,90,52,1.6857162,80,0.0411392 ,0.3020168 ,0.17632850 
3,91,26,1.3873369,46,0.0205696 ,0.2353822 ,0.09420290 
3,92,22,1.2989333,31,0.0174051 ,0.2156397 ,0.05797101 
3,93,8,1,24,0.0063291 ,0.1488813 ,0.04106280 
3,94,6,0.8870222,23,0.0047468 ,0.1236509 ,0.03864734 
3,95,8,1.0207884,26,0.0063291 ,0.1535238 ,0.04589372 
3,96,26,1.3873683,30,0.0205696 ,0.2353892 ,0.05555556 
3,97,8,1.0207884,25,0.0063291 ,0.1535238 ,0.04347826 
3,98,6,0.8619656,19,0.0047468 ,0.1180552 ,0.02898551 
3,99,6,0.84912294,15,0.0047468 ,0.1151872 ,0.01932367 
3,100,6,0.84912294,14,0.0047468 ,0.1151872 ,0.01690821 
3,101,42,1.6008096,30,0.0332278 ,0.2830553 ,0.05555556 
3,102,12,1.2241485,37,0.0094937 ,0.1989386 ,0.07246377 
3,103,18,1.3088794,52,0.0142405 ,0.2178609 ,0.10869565 
3,104,8,0.98558021,28,0.0063291 ,0.1456611 ,0.05072464 
3,105,6,0.8619656,17,0.0047468 ,0.1180552 ,0.02415459 
3,106,6,0.84912294,15,0.0047468 ,0.1151872 ,0.01932367 
3,107,6,0.84912294,14,0.0047468 ,0.1151872 ,0.01690821 
3,108,6,0.84912294,14,0.0047468 ,0.1151872 ,0.01690821 
3,109,6,0.84912294,14,0.0047468 ,0.1151872 ,0.01690821 
3,110,6,0.84912294,14,0.0047468 ,0.1151872 ,0.01690821 
3,111,8,1,22,0.0063291 ,0.1488813 ,0.03623188 
3,112,0,0.49860358,14,0.0000000 ,0.0369085 ,0.01690821 
3,113,22,1.6249448,66,0.0174051 ,0.2884452 ,0.14251208 
2,114,239,2.4275022,87,0.1890823 ,0.4676739 ,0.19323671 
2,115,90,1.975305,88,0.0712025 ,0.3666884 ,0.19565217 
3,116,8,1.1950141,52,0.0063291 ,0.1924322 ,0.10869565 
3,117,0,0.49860358,22,0.0000000 ,0.0369085 ,0.03623188 
2,118,66,1.8391043,81,0.0522152 ,0.3362717 ,0.17874396 
2,119,60,1.7821976,69,0.0474684 ,0.3235632 ,0.14975845 
3,120,37,1.569167,48,0.0292722 ,0.2759888 ,0.09903382 
3,121,4,1.1087778,24,0.0031646 ,0.1731738 ,0.04106280 
3,122,5,1.1208336,48,0.0039557 ,0.1758661 ,0.09903382 
3,123,0,0.8870222,24,0.0000000 ,0.1236509 ,0.04106280 
2,124,360,2.5666354,294,0.2848101 ,0.4987454 ,0.69323671 
2,125,56,1.9582232,166,0.0443038 ,0.3628736 ,0.38405797 
2,126,29,1.6794915,95,0.0229430 ,0.3006267 ,0.21256039 
2,127,74,1.8900454,96,0.0585443 ,0.3476480 ,0.21497585 
2,128,22,1.7297633,128,0.0174051 ,0.3118535 ,0.29227053 
2,129,54,1.7495173,63,0.0427215 ,0.3162650 ,0.13526570 
3,130,9,1.2906152,57,0.0071203 ,0.2137821 ,0.12077295 
3,131,23,1.4791844,90,0.0181962 ,0.2558937 ,0.20048309 
2,132,28,1.5346701,92,0.0221519 ,0.2682849 ,0.20531401 
2,133,44,1.8572819,146,0.0348101 ,0.3403312 ,0.33574879 
2,134,144,2.2662139,213,0.1139241 ,0.4316547 ,0.49758454 
3,135,12,1.4337122,97,0.0094937 ,0.2457388 ,0.21739130 
3,136,6,0.91666669,40,0.0047468 ,0.1302712 ,0.07971014 
3,137,6,0.91666669,37,0.0047468 ,0.1302712 ,0.07246377 
3,138,12,1.3992285,90,0.0094937 ,0.2380378 ,0.20048309 
2,139,131,2.182054,188,0.1036392 ,0.4128600 ,0.43719807 
2,140,11,1.5627899,126,0.0087025 ,0.2745647 ,0.28743961 
2,141,29,1.7777745,161,0.0229430 ,0.3225755 ,0.37198068 
2,142,18,1.7797406,180,0.0142405 ,0.3230145 ,0.41787440 
2,143,77,2.0473592,201,0.0609177 ,0.3827796 ,0.46859903 
2,144,254,2.3914368,219,0.2009494 ,0.4596197 ,0.51207729 
3,145,14,1.4850357,98,0.0110759 ,0.2572004 ,0.21980676 
3,146,14,1.1058542,42,0.0110759 ,0.1725209 ,0.08454106 
3,147,0,0.58170414,15,0.0000000 ,0.0554667 ,0.01932367 
3,148,8,1.0207884,46,0.0063291 ,0.1535238 ,0.09420290 
2,149,12,1.4669775,129,0.0094937 ,0.2531677 ,0.29468599 
2,150,128,2.3182597,272,0.1012658 ,0.4432777 ,0.64009662 
2,151,115,2.3081322,270,0.0909810 ,0.4410160 ,0.63526570 
2,152,109,2.1774147,228,0.0862342 ,0.4118239 ,0.53381643 
2,153,286,2.5498323,329,0.2262658 ,0.4949929 ,0.77777778 
2,154,17,1.8193674,205,0.0134494 ,0.3318641 ,0.47826087 
2,155,9,1.6992515,158,0.0071203 ,0.3050395 ,0.36473430 
3,156,12,1.4382962,92,0.0094937 ,0.2467625 ,0.20531401 
2,157,6,1.4538981,127,0.0047468 ,0.2502467 ,0.28985507 
2,158,101,2.2662139,259,0.0799051 ,0.4316547 ,0.60869565 
2,159,26,1.8348413,161,0.0205696 ,0.3353197 ,0.37198068 
2,160,4,1.5594513,138,0.0031646 ,0.2738191 ,0.31642512 
2,161,100,2.2578673,298,0.0791139 ,0.4297907 ,0.70289855 
2,162,72,2.0991912,223,0.0569620 ,0.3943549 ,0.52173913 
2,163,460,2.7006531,266,0.3639241 ,0.5286745 ,0.62560386 
2,164,124,2.1796062,183,0.0981013 ,0.4123133 ,0.42512077 
2,165,80,1.8427275,106,0.0632911 ,0.3370809 ,0.23913043 
3,166,12,1.2552096,52,0.0094937 ,0.2058752 ,0.10869565 
3,167,6,0.94787496,32,0.0047468 ,0.1372406 ,0.06038647 
3,168,8,1.0207884,37,0.0063291 ,0.1535238 ,0.07246377 
3,169,23,1.4028426,51,0.0181962 ,0.2388449 ,0.10628019 
2,170,54,1.8369439,70,0.0427215 ,0.3357893 ,0.15217391 
2,171,71,1.8597906,68,0.0561709 ,0.3408915 ,0.14734300 
3,172,28,1.4803609,60,0.0221519 ,0.2561565 ,0.12801932 
3,173,9,1.2726263,50,0.0071203 ,0.2097648 ,0.10386473 
3,174,8,1.1561403,46,0.0063291 ,0.1837509 ,0.09420290 
2,175,20,1.6771457,117,0.0158228 ,0.3001028 ,0.26570048 
3,176,41,1.5598243,78,0.0324367 ,0.2739024 ,0.17149758 
3,177,11,1.2552096,51,0.0087025 ,0.2058752 ,0.10628019 
2,178,38,1.6178579,78,0.0300633 ,0.2868626 ,0.17149758 
3,179,12,1.3455029,59,0.0094937 ,0.2260397 ,0.12560386 
3,180,47,1.6828449,54,0.0371835 ,0.3013756 ,0.11352657 
3,181,8,1.1365665,36,0.0063291 ,0.1793796 ,0.07004831 
3,182,5,0.8870222,25,0.0039557 ,0.1236509 ,0.04347826 
3,183,7,0.98558021,26,0.0055380 ,0.1456611 ,0.04589372 
3,184,12,1.3076391,40,0.0094937 ,0.2175839 ,0.07971014 
3,185,10,1.1768752,47,0.0079114 ,0.1883814 ,0.09661836 
3,186,14,1.3304729,47,0.0110759 ,0.2226832 ,0.09661836 
3,187,47,1.7669872,49,0.0371835 ,0.3201664 ,0.10144928 
3,188,44,1.6132691,47,0.0348101 ,0.2858378 ,0.09661836 
3,189,10,1.1768752,41,0.0079114 ,0.1883814 ,0.08212560 
3,190,10,1.1365665,39,0.0079114 ,0.1793796 ,0.07729469 
3,191,26,1.4135897,60,0.0205696 ,0.2412450 ,0.12801932 
3,192,8,1.0207884,33,0.0063291 ,0.1535238 ,0.06280193 
3,193,6,0.91666669,27,0.0047468 ,0.1302712 ,0.04830918 
3,194,10,1.1365665,36,0.0079114 ,0.1793796 ,0.07004831 
3,195,8,1.238816,40,0.0063291 ,0.2022142 ,0.07971014 
3,196,22,1.3938289,47,0.0174051 ,0.2368320 ,0.09661836 
3,197,10,1.1768752,45,0.0079114 ,0.1883814 ,0.09178744 
2,198,62,1.8077145,111,0.0490506 ,0.3292617 ,0.25120773 
3,199,10,1.1981546,53,0.0079114 ,0.1931336 ,0.11111111 
3,200,6,0.94787496,32,0.0047468 ,0.1372406 ,0.06038647 
3,201,10,1.1058542,33,0.0079114 ,0.1725209 ,0.06280193 
3,202,32,1.4666082,61,0.0253165 ,0.2530852 ,0.13043478 
2,203,18,1.6891669,109,0.0142405 ,0.3027874 ,0.24637681 
2,204,242,2.4571872,205,0.1914557 ,0.4743032 ,0.47826087 
2,205,8,1.6659329,112,0.0063291 ,0.2975988 ,0.25362319 
2,206,13,1.7399356,127,0.0102848 ,0.3141252 ,0.28985507 
2,207,13,1.6030675,124,0.0102848 ,0.2835595 ,0.28260870 
2,208,381,2.7193871,174,0.3014241 ,0.5328582 ,0.40338164 
2,209,16,1.5627899,105,0.0126582 ,0.2745647 ,0.23671498 
3,210,8,1.0952908,58,0.0063291 ,0.1701618 ,0.12318841 
3,211,14,1.3272201,72,0.0110759 ,0.2219568 ,0.15700483 
2,212,90,2.1720436,205,0.0712025 ,0.4106244 ,0.47826087 
2,213,0,1.5763751,103,0.0000000 ,0.2775985 ,0.23188406 
2,214,18,1.6992515,108,0.0142405 ,0.3050395 ,0.24396135 
3,215,5,1.2186118,75,0.0039557 ,0.1977021 ,0.16425121 
2,216,31,1.7164973,107,0.0245253 ,0.3088909 ,0.24154589 
3,217,8,1.2726263,57,0.0063291 ,0.2097648 ,0.12077295 
2,218,1,1.872734,140,0.0007911 ,0.3437820 ,0.32125604 
2,219,20,1.7429162,109,0.0158228 ,0.3147908 ,0.24637681 
2,220,7,1.872734,140,0.0055380 ,0.3437820 ,0.32125604 
3,221,12,1.31797,58,0.0094937 ,0.2198910 ,0.12318841 
2,222,60,1.7914909,103,0.0474684 ,0.3256386 ,0.23188406 
2,223,14,1.7520223,139,0.0110759 ,0.3168244 ,0.31884058 
2,224,120,2.2071013,146,0.0949367 ,0.4184536 ,0.33574879 
3,225,0,1.2724882,83,0.0000000 ,0.2097339 ,0.18357488 
3,226,3,1.1365665,52,0.0023734 ,0.1793796 ,0.10869565 
3,227,2,1.3431821,83,0.0015823 ,0.2255214 ,0.18357488 
3,228,7,1.2726263,65,0.0055380 ,0.2097648 ,0.14009662 
2,229,11,1.6216003,133,0.0087025 ,0.2876983 ,0.30434783 
2,230,287,2.4959579,284,0.2270570 ,0.4829616 ,0.66908213 
2,231,37,2.0037589,175,0.0292722 ,0.3730427 ,0.40579710 
2,232,94,1.9373348,124,0.0743671 ,0.3582088 ,0.28260870 
3,233,14,1.3746208,73,0.0110759 ,0.2325424 ,0.15942029 
3,234,12,1.3272201,61,0.0094937 ,0.2219568 ,0.13043478 
