Cluster_Kmeans_809962,Ref,x1,y1,x2,y2,Choice R7,Integration [HH] R7,Total Connectivity R7,choice归一化,integration归一化,connectivity归一化
2,0,63680.46783,3249.088398,63917.27308,3427.433995,0,1.4229569,1814,0,0.720405308,0.62573913
1,1,63870.17961,3403.081584,65384.66296,3828.737169,30588,1.6498207,2346,0.43959013,0.869716035,0.810782609
1,2,65333.02069,3810.012416,66753.04951,4615.381431,45100,1.7743555,2753,0.648146817,0.951678788,0.952347826
1,3,66732.98127,4597.270605,67190.5372,5562.567428,61801,1.8324332,2890,0.888162339,0.989902707,1
1,4,67165.92015,5547.730875,67311.4818,5585.589665,19627,1.6603624,2592,0.282066022,0.876654069,0.896347826
2,5,67289.91628,5583.329013,68045.7119,5491.249653,15654,1.5167713,2213,0.224968742,0.782149386,0.764521739
2,6,68019.75697,5498.105164,68138.56096,5430.77791,2541,1.3447089,1715,0.03651754,0.668906277,0.591304348
2,7,68116.88726,5448.581774,68185.11929,5364.576188,712,1.2118535,1263,0.010232384,0.58146731,0.434086957
3,8,68163.80665,5395.288801,68291.37995,5164.684809,1039,1.1554135,967,0.014931808,0.544321245,0.331130435
3,9,68279.86395,5178.001094,68362.22549,5105.717486,982,1.1761562,729,0.014112642,0.557973082,0.248347826
2,10,68344.83907,5115.611484,68456.05946,5086.662646,1142,1.3895617,553,0.016412055,0.69842621,0.187130435
2,11,68423.91571,5091.770946,70495.51528,4993.606573,11238,1.8196146,478,0.161504965,0.981466128,0.161043478
2,12,70450.20287,5000.129076,71080.12778,4816.66122,2219,1.5399878,414,0.031889973,0.797429358,0.138782609
3,13,71033.74727,4835.394914,71416.73039,4607.45611,0,1.2007157,385,0,0.574136951,0.128695652
2,14,63683.71157,3221.541198,63920.51683,3399.886795,0,1.4331139,1814,0,0.727090151,0.62573913
1,15,63873.42335,3375.534384,65369.30999,3795.963238,23523,1.6718189,2273,0.338056709,0.884194181,0.785391304
1,16,65336.26443,3782.465215,66756.29325,4587.834231,54546,1.7988352,2671,0.783898366,0.967790136,0.923826087
1,17,66745.25062,4572.752592,67202.80655,5538.049415,69583,1.8477751,2798,1,1,0.968
2,18,67178.1895,5523.212862,67323.75115,5561.071652,15970,1.7014743,2511,0.229510081,0.903711924,0.868173913
2,19,67295.38804,5559.639158,68057.98125,5466.731641,12975,1.5292273,2159,0.186467959,0.79034732,0.74573913
2,20,68015.02107,5481.543962,68133.82506,5414.216708,1832,1.3236413,1873,0.02632827,0.655040606,0.64626087
2,21,68112.15136,5432.020572,68180.38338,5348.014986,841,1.2039025,1602,0.012086285,0.576234348,0.552
2,22,68159.07075,5378.727599,68286.64405,5148.123607,1370,1.1973156,1301,0.019688717,0.57189917,0.447304348
2,23,68275.12804,5161.439892,68350.2984,5095.467544,2924,1.3133818,1272,0.042021758,0.648288302,0.437217391
2,24,68340.10316,5099.050282,68451.32356,5070.101444,3155,1.3422465,1288,0.045341535,0.667285645,0.442782609
2,25,68419.17981,5075.209744,70490.77938,4977.045371,5830,1.3066586,964,0.083784833,0.643863419,0.330086957
3,26,70445.46697,4983.567874,71075.39188,4800.100018,1082,1.1604271,665,0.015549775,0.547620952,0.226086957
3,27,71029.01136,4818.833712,71411.99449,4590.894908,146,1.0145644,442,0.002098214,0.451621212,0.148521739
