Ref,x1,y1,x2,y2,Choice,Choice R3,Choice R5,Choice R7,Choice R9,Choice [Connectivity Wgt],Choice [Connectivity Wgt] R3,Choice [Connectivity Wgt] R5,Choice [Connectivity Wgt] R7,Choice [Connectivity Wgt] R9,Choice [Connectivity Wgt][Norm],Choice [Connectivity Wgt][Norm] R3,Choice [Connectivity Wgt][Norm] R5,Choice [Connectivity Wgt][Norm] R7,Choice [Connectivity Wgt][Norm] R9,Choice [Norm],Choice [Norm] R3,Choice [Norm] R5,Choice [Norm] R7,Choice [Norm] R9,Connectivity,Control,Controllability,Entropy,Entropy R3,Entropy R5,Entropy R7,Entropy R9,Harmonic Mean Depth,Harmonic Mean Depth R3,Harmonic Mean Depth R5,Harmonic Mean Depth R7,Harmonic Mean Depth R9,Integration [HH],Integration [HH] R3,Integration [HH] R5,Integration [HH] R7,Integration [HH] R9,Integration [P-value],Integration [P-value] R3,Integration [P-value] R5,Integration [P-value] R7,Integration [P-value] R9,Integration [Tekl],Integration [Tekl] R3,Integration [Tekl] R5,Integration [Tekl] R7,Integration [Tekl] R9,Intensity,Intensity R3,Intensity R5,Intensity R7,Intensity R9,Line Length,Mean Depth,Mean Depth R3,Mean Depth R5,Mean Depth R7,Mean Depth R9,Mean Depth [Connectivity Wgt],Mean Depth [Connectivity Wgt] R3,Mean Depth [Connectivity Wgt] R5,Mean Depth [Connectivity Wgt] R7,Mean Depth [Connectivity Wgt] R9,Node Count,Node Count R3,Node Count R5,Node Count R7,Node Count R9,RA,RA R3,RA R5,RA R7,RA R9,RA [Penn],RA [Penn] R3,RA [Penn] R5,RA [Penn] R7,RA [Penn] R9,RRA,RRA R3,RRA R5,RRA R7,RRA R9,Relativised Entropy,Relativised Entropy R3,Relativised Entropy R5,Relativised Entropy R7,Relativised Entropy R9,Total Connectivity,Total Connectivity R3,Total Connectivity R5,Total Connectivity R7,Total Connectivity R9,Total Depth,Total Depth R3,Total Depth R5,Total Depth R7,Total Depth R9,xinqiao_try1_Choice_R3,xinqiao_try1_Cluster_Kmeans_850,xinqiao_try1_Integration__HH__R,xinqiao_try1_Total_Connectivity
0,63680.4678251,3249.08839832,63917.2730845,3427.43399532,0,0,0,0,0,4597,200,794,1805,2794,0.00043336779,0.0091572991,0.0024627447,0.0010970657,0.00071123021,0,0,0,0,0,1,0.125,0.125,3.9847417,0.7648139,1.6856215,2.2645013,2.7301235,4.6958513,3.4231975,5.0337033,6.6384902,8.2193012,0.92153698,1.7391399,1.6458234,1.4229569,1.2600054,0.92153698,1.7391399,1.6458234,1.4229569,1.2600054,0.69983745,0.70577097,0.71666062,0.71590424,0.71377474,0.45663017,0.43703651,0.53217477,0.4987013,0.47846961,296.45215,9.7325726,2.8085105,4.1863637,5.5513306,6.7136312,9.1521931,2.6842105,4.0921545,5.4470782,6.5108814,1579,48,221,527,874,0.011074918,0.078630894,0.029099211,0.017338403,0.013104659,0.67367625,0.065934069,0.19425288,0.23636363,0.28209558,1.0851437,0.57499683,0.6075986,0.70276195,0.79364741,3.4518952,2.8105161,2.8705194,3.0126348,3.0746157,4606,209,803,1814,2803,15358,132,921,2920,5861,0,2,1.7391399,209
1,63870.1796092,3403.08158448,65384.6629633,3828.73716885,350858,563,7260,30588,76164,2610346,15088,110268,370881,786786,0.2460822,0.146403,0.13355902,0.13477476,0.15728533,0.28198284,0.075036652,0.11049724,0.1222161,0.15006857,8,2.6791666,0.17021276,3.9819877,1.2128465,1.9761075,2.4981928,2.9280865,5.4286637,24.420185,33.130646,41.508701,48.496914,1.0406277,2.8567924,2.0491352,1.6498207,1.4365231,1.0406277,2.8567924,2.0491352,1.6498207,1.4365231,0.70887691,0.78268468,0.7468732,0.73410189,0.72719055,0.51528919,0.79154193,0.68309891,0.59838474,0.56870824,1573.1632,8.7332067,2.5528455,3.9035814,5.1822033,6.1547618,8.152627,2.3986783,3.8093386,5.026854,5.9086308,1579,124,364,709,1009,0.0098074907,0.025456484,0.016041886,0.011830844,0.010237859,0.70000243,0.21399178,0.26907074,0.29950321,0.35276532,0.96095848,0.35004294,0.48801076,0.60612649,0.69612521,3.3566456,2.2565978,2.5329182,2.7467041,2.8195102,4606,454,1285,2346,3163,13781,314,1417,3669,6204,560,1,2.8567924,454
2,65333.0206864,3810.01241598,66753.0495132,4615.38143148,633828,902,10613,45100,110657,5012040,26950,189539,612261,1254159,0.47249439,0.13537237,0.12933649,0.16156755,0.22086291,0.50940442,0.081806637,0.093094043,0.12411318,0.18678935,12,3.1130953,0.22222222,3.8883245,1.2230722,1.9614842,2.5265918,2.9449825,5.4116597,33.99361,46.20079,56.911903,63.283691,1.1515034,3.0191584,2.1756222,1.7743555,1.5754564,1.1515034,3.0191584,2.1756222,1.7743555,1.5754564,0.71658725,0.79020977,0.75621033,0.74336129,0.73624974,0.55678469,0.79420269,0.67496473,0.62651259,0.61802679,1632.5138,7.9885931,2.5570469,3.9142261,5.0386868,5.7704315,7.3760314,2.4310617,3.7535048,4.7758808,5.4391689,1579,150,479,854,1090,0.0088631492,0.021041175,0.012218976,0.0094804857,0.008769176,0.71813416,0.21355931,0.26761305,0.32411224,0.40122175,0.8684299,0.33121812,0.45963863,0.56358492,0.63473672,3.2330635,2.2635891,2.5414078,2.6487477,2.6578238,4606,631,1712,2753,3370,12606,381,1871,4298,6284,879,1,3.0191584,631
3,66732.9812709,4597.27060492,67190.5371959,5562.56742772,1045423,1166,13661,61801,158037,8559797,32422,252164,874174,1870486,0.80694807,0.13659391,0.13695034,0.20933035,0.30802,0.84020132,0.092827007,0.092835352,0.15621896,0.25310096,14,4.203968,0.25,3.8267231,1.2231045,1.9269885,2.5270729,2.943373,5.6346798,38.114536,51.92194,62.897694,68.998306,1.2036759,3.0717015,2.1886528,1.8324332,1.6214546,1.2036759,3.0717015,2.1886528,1.8324332,1.6214546,0.72001487,0.79251009,0.75817561,0.7468667,0.7391085,0.57279325,0.79229438,0.64828801,0.64167058,0.63253975,1068.2488,7.685678,2.5597484,3.9797423,4.94382,5.6583185,7.0488491,2.4557331,3.7795727,4.6764708,5.3256817,1579,160,544,891,1119,0.0084789833,0.019743651,0.010995358,0.0088724867,0.0083407667,0.7192058,0.21269841,0.25161886,0.34010151,0.41535699,0.83078849,0.32555246,0.45690206,0.54572248,0.61673021,3.1546474,2.2715175,2.6108294,2.5959289,2.6201489,4606,689,1919,2890,3485,12128,407,2161,4400,6326,1165,1,3.0717015,689
4,67165.920152,5547.73087491,67311.481803,5585.58966486,599958,196,3772,19627,56150,5058329,8438,75109,288833,685381,0.47685814,0.078385107,0.06961108,0.085981853,0.11934904,0.48218328,0.035220128,0.048229128,0.063619718,0.094955757,4,0.59920633,0.10526316,3.853117,1.1184514,1.8557607,2.4282575,2.8832002,5.5595546,13.6,19.46562,25.113544,30.136894,1.1071299,2.6388514,1.9924997,1.6603624,1.460963,1.1071299,2.6388514,1.9924997,1.6603624,1.460963,0.71357471,0.77121663,0.74490106,0.73618436,0.72979957,0.53047973,0.70813191,0.61089301,0.57285327,0.56118053,150.40439,8.2686949,2.6037736,4.0479798,5.2455473,6.1433825,7.6415544,2.5280173,3.9251192,5.0239196,5.8220716,1579,107,397,787,1089,0.0092183826,0.030548068,0.015432809,0.01081668,0.0094634453,0.70683706,0.18660288,0.23316391,0.28924388,0.35440701,0.90323639,0.37895274,0.50188214,0.60227817,0.68448001,3.2312176,2.3699467,2.6909795,2.7858198,2.8111882,4606,464,1469,2592,3389,13048,276,1603,4123,6684,193,2,2.6388514,464
5,67289.9162766,5583.32901277,68045.7118955,5491.24965313,581892,278,3558,15654,46176,4893159,7257,56572,214925,557499,0.46128726,0.12932947,0.11269278,0.087771617,0.10740463,0.46766374,0.077871151,0.09307801,0.075138599,0.091163054,9,3.25,0.375,3.9072838,1.1316842,1.9164395,2.366276,2.8122811,5.8562121,20.600376,27.847752,35.304203,42.033073,1.012985,2.4394479,1.8740232,1.5167713,1.3396834,1.012985,2.4394479,1.8740232,1.5167713,1.3396834,0.7068544,0.75969189,0.73399162,0.72504115,0.72129035,0.49218994,0.71562386,0.64813888,0.53122163,0.5094859,761.38403,8.9442329,2.6117647,3.9711192,5.4628482,6.5263157,8.3250113,2.4716418,3.8732536,5.3330321,6.3088145,1579,86,278,647,1008,0.010075121,0.038375352,0.02152985,0.013838289,0.010986711,0.69181603,0.17964073,0.25045538,0.25214007,0.30610973,0.98718148,0.40992883,0.5336113,0.6592952,0.746445,3.3437362,2.3940437,2.6086543,2.9558303,2.9911327,4606,335,1002,2213,3222,14114,222,1100,3529,6572,269,2,2.4394479,335
6,68019.7569687,5498.10516375,68138.5609633,5430.77791026,386907,48,496,2541,9339,3339479,943,7414,32527,112839,0.31481895,0.081630886,0.03498812,0.022117995,0.026413843,0.31095526,0.096774191,0.032207791,0.021560391,0.023136323,3,0.94444442,0.21428572,3.9159031,1.3197978,1.7261472,2.1854556,2.6339631,5.6998839,8.3368425,11.805455,15.332852,18.815075,0.91840458,1.8077145,1.5446566,1.3447089,1.2093291,0.91840458,1.8077145,1.5446566,1.3447089,1.2093291,0.69958752,0.71187919,0.70625246,0.70937085,0.71086276,0.44721618,0.94681144,0.54461324,0.46294776,0.44046205,136.5553,9.7623577,2.46875,4.193182,5.7325101,6.9877644,9.1424227,2.5328948,4.1152072,5.6431489,6.8049951,1579,33,177,487,900,0.011112692,0.094758064,0.036493506,0.019515507,0.013335777,0.67256325,0.22950819,0.19020173,0.20552677,0.24776411,1.0888448,0.55318475,0.64739305,0.74365532,0.82690471,3.4544683,2.0203397,2.8667986,3.1656847,3.2244203,4606,152,651,1715,2923,15405,79,738,2786,6282,47,2,1.8077145,152
7,68116.8872616,5448.58177364,68185.1192855,5364.57618837,347298,7,80,712,3587,3063417,190,1929,11637,55367,0.28879404,0.11296076,0.020110089,0.014590303,0.017946418,0.2791217,0.051470589,0.013845622,0.01101826,0.012908217,2,0.66666669,0.33333334,3.9580636,1.2686099,1.4311405,2.0078983,2.4816239,5.4541874,4.7567568,6.5922236,8.6386337,10.67776,0.83842468,1.2409762,1.2361033,1.2118535,1.1124659,0.83842468,1.2409762,1.2361033,1.2118535,1.1124659,0.69296539,0.63823813,0.67236918,0.69430631,0.7005856,0.41266307,0.9133991,0.42046985,0.41114652,0.3964442,108.22453,10.598226,2.5294118,4.4444447,5.9000001,7.2694368,9.9748154,2.4137931,4.3972602,5.8083925,7.1316423,1579,18,109,361,747,0.012172765,0.19117647,0.064382136,0.02729805,0.016830703,0.65402716,0.16129032,0.11848341,0.17531557,0.21156439,1.192713,0.80581725,0.80899388,0.82518226,0.89890397,3.5619538,2.0459249,3.2579916,3.3352258,3.4018109,4606,58,438,1263,2484,16724,43,480,2124,5423,7,3,1.2409762,58
8,68163.8066506,5395.28880056,68291.3799513,5164.68480874,349617,15,138,1039,4630,3084832,214,2467,14570,65082,0.29081288,0.15236738,0.041694835,0.03116281,0.035605337,0.28098544,0.22727273,0.030907055,0.026600102,0.030445304,3,1.5,0.5,4.0631852,1.4912097,1.5072144,2.0839939,2.5445356,5.6395731,4.8000002,6.7372227,8.7655201,10.781045,0.77238488,1.2123377,1.2045209,1.1554135,1.0601097,0.77238488,1.2123377,1.2045209,1.1554135,1.0601097,0.68710887,0.62951124,0.66674399,0.68488348,0.69076347,0.39025363,1.3846948,0.45075572,0.43313777,0.41301093,263.53964,11.418884,2.25,4.3894739,5.8321428,7.173913,10.792662,2.4150944,4.2877908,5.7590485,7.1464434,1579,13,96,281,553,0.013213551,0.22727273,0.072116464,0.034639016,0.022409847,0.63728023,0.2857143,0.12972973,0.18444847,0.22191781,1.2946913,0.82485271,0.83020556,0.86549097,0.94329858,3.6622193,1.5790722,3.1612635,3.2582114,3.336648,4606,53,344,967,1912,18019,27,417,1633,3960,16,3,1.2123377,53
9,68279.8639452,5178.00109449,68362.2254906,5105.71748554,344943,10,194,982,4010,3053685,336,2750,13048,57915,0.28787661,0.062130179,0.052392926,0.049104229,0.060036667,0.27722898,0.047619049,0.039991755,0.04190135,0.048534878,2,0.66666669,0.33333334,4.1593285,1.1383957,1.7628411,2.323581,2.695281,5.816607,4.8979592,6.9085112,8.8509769,10.807196,0.7151019,1.3235294,1.352298,1.1761562,1.0356216,0.7151019,1.3235294,1.352298,1.1761562,1.0356216,0.68169761,0.65296358,0.68113446,0.68142468,0.6825754,0.36985862,0.75893044,0.58372223,0.52600271,0.45800692,109.58259,12.253486,2.6190476,4.060606,5.4423962,6.90172,11.62462,2.625,3.925926,5.3840876,6.8999281,1579,22,100,218,408,0.014272017,0.16190477,0.062461346,0.041133299,0.029072512,0.62116265,0.12820514,0.2150259,0.24746291,0.25403726,1.3984021,0.75555557,0.73948199,0.85022718,0.96560359,3.7937427,2.2659328,2.7277467,2.9452422,3.2078896,4606,104,324,729,1389,19336,55,402,1181,2809,10,3,1.3235294,104
