Ref,x1,y1,x2,y2,Choice,Choice R3,Choice R7,Choice [Connectivity Wgt],Choice [Connectivity Wgt] R3,Choice [Connectivity Wgt] R7,Choice [Connectivity Wgt][Norm],Choice [Connectivity Wgt][Norm] R3,Choice [Connectivity Wgt][Norm] R7,Choice [Norm],Choice [Norm] R3,Choice [Norm] R7,Connectivity,Control,Controllability,Entropy,Entropy R3,Entropy R7,Harmonic Mean Depth,Harmonic Mean Depth R3,Harmonic Mean Depth R7,Integration [HH],Integration [HH] R3,Integration [HH] R7,Integration [P-value],Integration [P-value] R3,Integration [P-value] R7,Integration [Tekl],Integration [Tekl] R3,Integration [Tekl] R7,Intensity,Intensity R3,Intensity R7,Line Length,Mean Depth,Mean Depth R3,Mean Depth R7,Mean Depth [Connectivity Wgt],Mean Depth [Connectivity Wgt] R3,Mean Depth [Connectivity Wgt] R7,Node Count,Node Count R3,Node Count R7,RA,RA R3,RA R7,RA [Penn],RA [Penn] R3,RA [Penn] R7,RRA,RRA R3,RRA R7,Relativised Entropy,Relativised Entropy R3,Relativised Entropy R7,Total Connectivity,Total Connectivity R3,Total Connectivity R7,Total Depth,Total Depth R3,Total Depth R7
0,63680.4678251,3249.08839832,63917.2730845,3427.43399532,0,0,0,4597,200,1805,0.00043336779,0.0091572991,0.0010970657,0,0,0,1,0.125,0.125,3.9847417,0.7648139,2.2645013,4.6958513,3.4231975,6.6384902,0.92153698,1.7391399,1.4229569,0.92153698,1.7391399,1.4229569,0.69983745,0.70577097,0.71590424,0.45663017,0.43703651,0.4987013,296.45215,9.7325726,2.8085105,5.5513306,9.1521931,2.6842105,5.4470782,1579,48,527,0.011074918,0.078630894,0.017338403,0.67367625,0.065934069,0.23636363,1.0851437,0.57499683,0.70276195,3.4518952,2.8105161,3.0126348,4606,209,1814,15358,132,2920
1,63870.1796092,3403.08158448,65384.6629633,3828.73716885,348632,570,30718,2590479,15622,372468,0.2442093,0.15158455,0.13535146,0.28019381,0.075969614,0.12273552,8,2.6791666,0.17021276,3.9819877,1.2128465,2.4981928,5.4286637,24.420185,41.508701,1.0406277,2.8567924,1.6498207,1.0406277,2.8567924,1.6498207,0.70887691,0.78268468,0.73410189,0.51528919,0.79154193,0.59838474,1573.1632,8.7332067,2.5528455,5.1822033,8.152627,2.3986783,5.026854,1579,124,709,0.0098074907,0.025456484,0.011830844,0.70000243,0.21399178,0.29950321,0.96095848,0.35004294,0.60612649,3.3566456,2.2565978,2.7467041,4606,454,2346,13781,314,3669
2,65333.0206864,3810.01241598,66753.0495132,4615.38143148,631188,869,44590,4984087,26314,610014,0.46985921,0.13217768,0.16097461,0.50728267,0.078813709,0.12270968,12,3.1130953,0.22222222,3.8883245,1.2230722,2.5265918,5.4116597,33.99361,56.911903,1.1515034,3.0191584,1.7743555,1.1515034,3.0191584,1.7743555,0.71658725,0.79020977,0.74336129,0.55678469,0.79420269,0.62651259,1632.5138,7.9885931,2.5570469,5.0386868,7.3760314,2.4310617,4.7758808,1579,150,854,0.0088631492,0.021041175,0.0094804857,0.71813416,0.21355931,0.32411224,0.8684299,0.33121812,0.56358492,3.2330635,2.2635891,2.6487477,4606,631,2753,12606,381,4298
3,66732.9812709,4597.27060492,67190.5371959,5562.56742772,1040534,1159,61839,8521554,32273,876639,0.80334282,0.13596618,0.20992061,0.83627206,0.092269726,0.15631501,14,4.203968,0.25,3.8267231,1.2231045,2.5270729,5.6346798,38.114536,62.897694,1.2036759,3.0717015,1.8324332,1.2036759,3.0717015,1.8324332,0.72001487,0.79251009,0.7468667,0.57279325,0.79229438,0.64167058,1068.2488,7.685678,2.5597484,4.94382,7.0488491,2.4557331,4.6764708,1579,160,891,0.0084789833,0.019743651,0.0088724867,0.7192058,0.21269841,0.34010151,0.83078849,0.32555246,0.54572248,3.1546474,2.2715175,2.5959289,4606,689,2890,12128,407,4400
4,67165.920152,5547.73087491,67311.481803,5585.58966486,601271,196,19780,5090214,8439,295082,0.479864,0.078394398,0.087842099,0.48323855,0.035220128,0.064115651,4,0.59920633,0.10526316,3.853117,1.1184514,2.4282575,5.5595546,13.6,25.113544,1.1071299,2.6388514,1.6603624,1.1071299,2.6388514,1.6603624,0.71357471,0.77121663,0.73618436,0.53047973,0.70813191,0.57285327,150.40439,8.2686949,2.6037736,5.2455473,7.6415544,2.5280173,5.0239196,1579,107,787,0.0092183826,0.030548068,0.01081668,0.70683706,0.18660288,0.28924388,0.90323639,0.37895274,0.60227817,3.2312176,2.3699467,2.7858198,4606,464,2592,13048,276,4123
5,67289.9162766,5583.32901277,68045.7118955,5491.24965313,581605,272,15596,4889864,7097,214275,0.46097663,0.12647806,0.087506168,0.46743307,0.076190479,0.0748602,9,3.25,0.375,3.9072838,1.1316842,2.366276,5.8562121,20.600376,35.304203,1.012985,2.4394479,1.5167713,1.012985,2.4394479,1.5167713,0.7068544,0.75969189,0.72504115,0.49218994,0.71562386,0.53122163,761.38403,8.9442329,2.6117647,5.4628482,8.3250113,2.4716418,5.3330321,1579,86,647,0.010075121,0.038375352,0.013838289,0.69181603,0.17964073,0.25214007,0.98718148,0.40992883,0.6592952,3.3437362,2.3940437,2.9558303,4606,335,2213,14114,222,3529
6,68019.7569687,5498.10516375,68138.5609633,5430.77791026,386637,47,2543,3335699,936,32468,0.31446257,0.08102493,0.022077875,0.31073824,0.094758064,0.021577362,3,0.94444442,0.21428572,3.9159031,1.3197978,2.1854556,5.6998839,8.3368425,15.332852,0.91840458,1.8077145,1.3447089,0.91840458,1.8077145,1.3447089,0.69958752,0.71187919,0.70937085,0.44721618,0.94681144,0.46294776,136.5553,9.7623577,2.46875,5.7325101,9.1424227,2.5328948,5.6431489,1579,33,487,0.011112692,0.094758064,0.019515507,0.67256325,0.22950819,0.20552677,1.0888448,0.55318475,0.74365532,3.4544683,2.0203397,3.1656847,4606,152,1715,15405,79,2786
7,68116.8872616,5448.58177364,68185.1192855,5364.57618837,347016,8,734,3059633,199,11710,0.28843734,0.11831153,0.01468183,0.27889505,0.05882353,0.011358713,2,0.66666669,0.33333334,3.9580636,1.2686099,2.0078983,5.4541874,4.7567568,8.6386337,0.83842468,1.2409762,1.2118535,0.83842468,1.2409762,1.2118535,0.69296539,0.63823813,0.69430631,0.41266307,0.9133991,0.41114652,108.22453,10.598226,2.5294118,5.9000001,9.9748154,2.4137931,5.8083925,1579,18,361,0.012172765,0.19117647,0.02729805,0.65402716,0.16129032,0.17531557,1.192713,0.80581725,0.82518226,3.5619538,2.0459249,3.3352258,4606,58,1263,16724,43,2124
8,68163.8066506,5395.28880056,68291.3799513,5164.68480874,349917,17,1063,3085947,230,14696,0.29091799,0.16375935,0.031432301,0.28122658,0.25757575,0.027214542,3,1.5,0.5,4.0631852,1.4912097,2.0839939,5.6395731,4.8000002,8.7655201,0.77238488,1.2123377,1.1554135,0.77238488,1.2123377,1.1554135,0.68710887,0.62951124,0.68488348,0.39025363,1.3846948,0.43313777,263.53964,11.418884,2.25,5.8321428,10.792662,2.4150944,5.7590485,1579,13,281,0.013213551,0.22727273,0.034639016,0.63728023,0.2857143,0.18444847,1.2946913,0.82485271,0.86549097,3.6622193,1.5790722,3.2582114,4606,53,967,18019,27,1633
9,68279.8639452,5178.00109449,68362.2254906,5105.71748554,345218,10,982,3054686,336,13048,0.28797096,0.062130179,0.049104229,0.27745,0.047619049,0.04190135,2,0.66666669,0.33333334,4.1593285,1.1383957,2.323581,5.816607,4.8979592,8.8509769,0.7151019,1.3235294,1.1761562,0.7151019,1.3235294,1.1761562,0.68169761,0.65296358,0.68142468,0.36985862,0.75893044,0.52600271,109.58259,12.253486,2.6190476,5.4423962,11.62462,2.625,5.3840876,1579,22,218,0.014272017,0.16190477,0.041133299,0.62116265,0.12820514,0.24746291,1.3984021,0.75555557,0.85022718,3.7937427,2.2659328,2.9452422,4606,104,729,19336,55,1181
