Ref,x1,y1,x2,y2,Choice,Choice R3,Choice R7,Choice [Connectivity Wgt],Choice [Connectivity Wgt] R3,Choice [Connectivity Wgt] R7,Choice [Connectivity Wgt][Norm],Choice [Connectivity Wgt][Norm] R3,Choice [Connectivity Wgt][Norm] R7,Choice [Norm],Choice [Norm] R3,Choice [Norm] R7,Connectivity,Control,Controllability,Entropy,Entropy R3,Entropy R7,Harmonic Mean Depth,Harmonic Mean Depth R3,Harmonic Mean Depth R7,Integration [HH],Integration [HH] R3,Integration [HH] R7,Integration [P-value],Integration [P-value] R3,Integration [P-value] R7,Integration [Tekl],Integration [Tekl] R3,Integration [Tekl] R7,Intensity,Intensity R3,Intensity R7,Line Length,Mean Depth,Mean Depth R3,Mean Depth R7,Mean Depth [Connectivity Wgt],Mean Depth [Connectivity Wgt] R3,Mean Depth [Connectivity Wgt] R7,Node Count,Node Count R3,Node Count R7,RA,RA R3,RA R7,RA [Penn],RA [Penn] R3,RA [Penn] R7,RRA,RRA R3,RRA R7,Relativised Entropy,Relativised Entropy R3,Relativised Entropy R7,Total Connectivity,Total Connectivity R3,Total Connectivity R7,Total Depth,Total Depth R3,Total Depth R7
0,-5636.72043099,3141.93995502,-4805.07074754,2911.92099003,46721,54,3497,366606,1260,42692,0.040289126,0.098437503,0.023528082,0.04472043,0.057082452,0.022502784,3,0.77777779,0.2,3.6741116,1.1774589,2.1804049,5.9192548,8.8662424,16.239672,1.0248973,1.9233313,1.3824449,1.0248973,1.9233313,1.3824449,0.70617789,0.7221505,0.71425176,0.47570148,0.76790798,0.46046329,862.87305,8.729599,2.590909,5.7455196,8.2243319,2.4749999,5.665617,1447,45,559,0.010698407,0.073995769,0.017039567,0.68801117,0.17647059,0.20408776,0.97570747,0.51993126,0.72335613,3.1826215,2.2734091,3.1710594,4266,160,1905,12623,114,3206
1,-4829.24011929,2918.94629403,-4050.67267809,2662.9655525,213036,430,20586,1785765,7952,242884,0.19625133,0.15628777,0.08199507,0.20391391,0.13271604,0.077578798,9,2.9761906,0.27272728,3.7924228,1.3209157,2.3892257,6.4088645,23.040001,40.000389,1.1059352,2.6100259,1.5863442,1.1059352,2.6100259,1.5863442,0.71199042,0.77052444,0.73095161,0.52984798,0.91021079,0.54692221,819.56903,8.163209,2.4814816,5.3758574,7.6026721,2.4263322,5.2662282,1447,82,730,0.0099144755,0.037037037,0.012021586,0.72189558,0.24528302,0.26717207,0.90421206,0.38313797,0.63038021,3.2164598,2.1024466,2.8745978,4266,319,2434,11804,201,3919
2,-4094.08678367,2674.61728286,-2258.48562942,2468.35363779,136844,246,9822,1186164,5074,116445,0.13035661,0.13321781,0.058106229,0.13098441,0.088648647,0.056720141,7,2.2873015,0.25925925,3.8788512,1.2424515,2.3529024,6.5429616,18.718662,31.916315,1.0069689,2.4330468,1.4730406,1.0069689,2.4330468,1.4730406,0.70484346,0.75961912,0.72091669,0.49342397,0.82109839,0.52326137,1847.1536,8.8672199,2.5466666,5.5059423,8.3052044,2.4166667,5.4340658,1447,76,590,0.010888886,0.041801803,0.015326334,0.70577282,0.21088435,0.24452035,0.99307936,0.41100731,0.67886794,3.3394985,2.2206297,2.9846635,4266,276,2002,12822,191,3243
3,-2283.84739524,2473.86442225,-1665.4371236,2255.04941435,18266,42,1613,128628,815,16896,0.014135911,0.093549125,0.018323749,0.01748386,0.079545453,0.021484323,3,0.97619045,0.25,3.8968911,1.2459822,2.2336559,6.3387022,8.1290321,14.644862,0.89487362,1.7429162,1.2920872,0.89487362,1.7429162,1.2920872,0.69604772,0.70516574,0.70167768,0.44053137,0.84726793,0.47899234,655.98114,9.8526974,2.5454545,5.677835,9.2925453,2.5,5.6516938,1447,34,389,0.012252868,0.096590906,0.024174858,0.68062973,0.19047619,0.21326397,1.1174762,0.57375103,0.77394158,3.4546084,2.1577387,3.113723,4266,132,1358,14247,84,2203
4,-4829.24011929,2892.63763623,-4061.8542062,2640.33320545,528237,448,39845,4616122,13731,592516,0.50730085,0.12326738,0.14589499,0.50561816,0.072072074,0.10278867,8,1.7337662,0.19512194,3.7370675,1.210292,2.4242625,6.2645211,23.614489,41.879742,1.2067078,2.7567978,1.7256907,1.2067078,2.7567978,1.7256907,0.71876991,0.7776475,0.74127609,0.5696941,0.78599423,0.58087468,807.79865,7.5650067,2.5625,5.1793418,6.9749179,2.4809322,4.9536843,1447,113,882,0.0090865148,0.028153153,0.009498504,0.73501742,0.2081448,0.30066475,0.82870102,0.36273971,0.57947814,3.1396163,2.26771,2.7505403,4266,472,2850,10939,287,4563
5,-4094.08678367,2648.30862506,-2258.48562942,2442.04497999,237897,489,19889,2018579,9024,264152,0.22183703,0.2088019,0.082535893,0.22771038,0.18104406,0.068416908,11,3.7916667,0.34375,3.7861066,1.3888378,2.3142033,6.4592848,24.639999,42.135727,1.0932695,2.6393981,1.5478071,1.0932695,2.6393981,1.5478071,0.71110445,0.77295721,0.72942054,0.52290696,1.0015657,0.5120334,1847.1536,8.2461967,2.4189188,5.5268674,7.6608062,2.3333333,5.3600793,1447,75,764,0.010029337,0.038874492,0.011881542,0.71867365,0.27586207,0.24204521,0.91468757,0.37887424,0.64607531,3.25107,1.9978659,2.9967265,4266,294,2530,11924,179,4217
6,-2283.84739524,2447.55576444,-1665.4371236,2228.74075655,102266,53,3264,801802,1019,43803,0.088116132,0.076705933,0.023913877,0.097887024,0.075391181,0.021540999,3,1.0909091,0.2,3.8313723,1.2571518,2.156162,6.2350812,8.6929131,15.979325,0.96996421,1.8815688,1.3680784,0.96996421,1.8815688,1.3680784,0.70202911,0.71858436,0.71309239,0.46947208,0.86015654,0.45186085,655.98114,9.1673584,2.5263157,5.7822142,8.5937643,2.4907975,5.6995821,1447,39,552,0.011304302,0.082503557,0.017389869,0.69454789,0.20547946,0.19786911,1.0309658,0.53147137,0.73095232,3.3666492,2.1378438,3.2042911,4266,163,1914,13256,96,3186
7,-6492.19139495,4375.83359896,-6360.45406,5050.23572232,28740,22,328,199464,202,3116,0.02192062,0.31172839,0.092189349,0.027509369,0.2820513,0.094090648,3,1.3333334,0.42857143,3.5785353,1.5164965,2.1860754,12.757568,5.3333335,7.0007324,0.67822838,1.3006579,0.83696789,0.67822838,1.3006579,0.83696789,0.67622715,0.64624065,0.62367129,0.30659842,1.4153968,0.47402146,687.14844,12.680498,2.2307692,5.6785712,12.439053,2.0833333,5.7346153,1447,14,85,0.016166778,0.20512821,0.11273666,0.43952215,0.30434781,0.1863354,1.4744296,0.76884174,1.1947889,3.807807,1.5425942,3.2785108,4266,36,260,18336,29,477
8,-6604.72865198,3479.57971069,-6485.07123164,4421.20960584,31570,10,434,220466,154,4462,0.024228688,0.1925,0.044662654,0.03021819,0.10989011,0.03936151,2,0.66666669,0.33333334,3.5687222,1.3797646,2.125787,12.895899,4.5714288,7.5383549,0.74072278,1.1768752,0.97283995,0.74072278,1.1768752,0.97283995,0.68240607,0.62482291,0.65418768,0.33393306,1.0892878,0.44348824,949.20215,11.695021,2.4285715,5.8322148,11.450773,2.25,5.7941833,1447,15,150,0.014802797,0.21978022,0.065300196,0.46133751,0.2,0.17525773,1.3500328,0.84970772,1.0279183,3.6665149,1.8288469,3.2745013,4266,40,447,16911,34,869
9,-6879.78634932,2783.71293787,-6691.32984134,3215.96687619,429394,73,2892,3206815,884,27564,0.35242134,0.22830579,0.10344905,0.41100758,0.20797721,0.096754767,5,2.1666667,0.41666666,3.496701,1.4262178,2.357708,10.716529,9.7674417,16.217821,0.86376697,1.7841618,1.201665,0.86376697,1.7841618,1.201665,0.69345355,0.71033168,0.68598831,0.38154939,1.1092806,0.527749,471.54993,10.171508,2.3703704,5.4897957,9.9212379,2.2954545,5.4643836,1447,28,246,0.012694128,0.10541311,0.036801606,0.51392758,0.27450982,0.24085577,1.1577196,0.56048727,0.83217865,3.4549875,1.860845,2.9611502,4266,88,730,14708,64,1345
