Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice normal,Integration normal,Total Connectivity normal
0,54,1.9233313,160,0.023076923,0.526191228,0.208446866
1,430,2.6100259,319,0.183760684,0.753444775,0.42506812
2,246,2.4330468,276,0.105128205,0.694875612,0.366485014
3,42,1.7429162,132,0.017948718,0.466484961,0.170299728
4,448,2.7567978,472,0.191452991,0.802017219,0.633514986
5,489,2.6393981,294,0.208974359,0.763165161,0.391008174
6,53,1.8815688,163,0.022649573,0.512370418,0.21253406
7,22,1.3006579,36,0.009401709,0.320124749,0.039509537
8,10,1.1768752,40,0.004273504,0.279160313,0.044959128
9,73,1.7841618,88,0.031196581,0.48013471,0.110354223
10,42,1.7001897,94,0.017948718,0.452345126,0.11852861
11,27,1.4724894,58,0.011538462,0.376990375,0.069482289
12,95,1.9768722,105,0.040598291,0.543909963,0.133514986
13,16,1.4652896,75,0.006837607,0.374607685,0.092643052
14,34,1.4666082,56,0.014529915,0.37504406,0.066757493
15,0,0.80638385,26,0,0.156550534,0.025885559
16,44,1.6597091,106,0.018803419,0.438948545,0.134877384
17,114,2.1570766,175,0.048717949,0.603546502,0.228882834
18,105,1.975305,106,0.044871795,0.543391317,0.134877384
19,86,1.8900454,79,0.036752137,0.515175649,0.098092643
20,65,1.8421876,125,0.027777778,0.49933767,0.160762943
21,56,1.7257152,74,0.023931624,0.460792491,0.091280654
22,14,1.390353,62,0.005982906,0.349808294,0.07493188
23,46,1.6071428,63,0.01965812,0.421552342,0.076294278
24,0,0.88468331,32,0,0.182462824,0.034059946
25,10,1.2196002,59,0.004273504,0.293299652,0.070844687
26,8,1.0445806,40,0.003418803,0.235378962,0.044959128
27,22,1.3592209,70,0.009401709,0.339505489,0.085831063
28,122,2.4252028,410,0.052136752,0.692279732,0.549046322
29,12,1.3088794,58,0.005128205,0.322845559,0.069482289
30,6,0.9792943,57,0.002564103,0.213773225,0.068119891
31,10,1.4690225,151,0.004273504,0.375843045,0.196185286
32,18,1.5226898,69,0.007692308,0.39360361,0.084468665
33,73,1.8369439,79,0.031196581,0.497602329,0.098092643
34,14,1.5003179,90,0.005982906,0.386199891,0.113079019
35,54,1.8950444,108,0.023076923,0.51683001,0.13760218
36,57,1.7269484,74,0.024358974,0.461200605,0.091280654
37,14,1.3304729,46,0.005982906,0.329991675,0.053133515
38,22,1.2989333,30,0.009401709,0.319554013,0.03133515
39,18,1.2222222,23,0.007692308,0.294167372,0.021798365
40,0,0.63684219,15,0,0.100442704,0.010899183
41,0,0.42239243,11,0,0.029473064,0.005449591
42,6,0.8619656,19,0.002564103,0.174944664,0.016348774
43,135,2.2131045,188,0.057692308,0.62208828,0.246594005
44,14,1.4538981,109,0.005982906,0.370837801,0.138964578
45,8,1.1708162,75,0.003418803,0.277155157,0.092643052
46,20,1.5887082,99,0.008547009,0.415451627,0.125340599
47,150,2.2438865,159,0.064102564,0.632275223,0.207084469
48,198,2.2104614,133,0.084615385,0.621213577,0.171662125
49,34,1.5688319,81,0.014529915,0.408873798,0.100817439
50,10,1.3624066,93,0.004273504,0.34055976,0.117166213
51,30,1.9090347,172,0.012820513,0.521459936,0.22479564
52,350,2.5860887,230,0.14957265,0.745523038,0.303814714
53,101,1.9851656,82,0.043162393,0.546654567,0.102179837
54,77,1.975305,101,0.032905983,0.543391317,0.128065395
55,11,1.4990026,105,0.004700855,0.385764608,0.133514986
56,42,1.6042534,59,0.017948718,0.420596129,0.070844687
57,66,1.9329244,91,0.028205128,0.529365953,0.114441417
58,8,1.4831443,99,0.003418803,0.380516489,0.125340599
59,0,1.0405263,44,0,0.234037239,0.050408719
60,0,1.1460608,50,0,0.268962647,0.058583106
61,75,1.8344153,92,0.032051282,0.496765518,0.115803815
62,26,1.5469,85,0.011111111,0.401615692,0.10626703
63,23,1.785715,107,0.00982906,0.480648724,0.136239782
64,108,1.9805739,89,0.046153846,0.545134997,0.111716621
65,34,1.5517242,67,0.014529915,0.403212205,0.081743869
66,10,1.2409762,69,0.004273504,0.300373789,0.084468665
67,22,1.3746208,79,0.009401709,0.344601906,0.098092643
68,8,1.0207884,36,0.003418803,0.227505212,0.039509537
69,8,1.0697098,36,0.003418803,0.243695177,0.039509537
