Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3,Integration [HH] R3,Total Connectivity R3
0,0,0.80638385,33,0,0.176575745,0.069892473
1,31,1.5,82,0.035428571,0.435482111,0.201612903
2,28,1.8805417,142,0.032,0.577527057,0.362903226
3,530,2.7575088,226,0.605714286,0.904872902,0.588709677
4,88,2.0531514,163,0.100571429,0.641957145,0.419354839
5,33,1.7890326,140,0.037714286,0.54336942,0.357526882
6,0,0.63684219,26,0,0.113290865,0.051075269
7,18,1.3088794,72,0.020571429,0.364142451,0.174731183
8,26,1.8443592,137,0.029714286,0.564021201,0.349462366
9,559,2.7761164,247,0.638857143,0.911818567,0.64516129
10,26,1.8783784,157,0.029714286,0.576719561,0.403225806
11,27,1.6883124,132,0.030857143,0.505773552,0.336021505
12,0,1.3154316,104,0,0.366588193,0.260752688
13,143,2.3081322,230,0.163428571,0.737133926,0.599462366
14,115,2.2540293,269,0.131428571,0.716938916,0.704301075
15,128,2.4112334,350,0.146285714,0.77561855,0.922043011
16,119,2.228169,265,0.136,0.707286032,0.693548387
17,43,1.9643579,191,0.049142857,0.608813162,0.494623656
18,149,2.3357198,189,0.170285714,0.74743156,0.489247312
19,45,1.785715,131,0.051428571,0.542131058,0.333333333
20,6,0.8870222,32,0.006857143,0.206675653,0.067204301
21,10,1.1768752,58,0.011428571,0.314869193,0.137096774
22,6,0.9792943,45,0.006857143,0.241118095,0.102150538
23,16,1.507236,93,0.018285714,0.438183095,0.231182796
24,16,1.5898042,132,0.018285714,0.469003359,0.336021505
25,214,2.4279311,270,0.244571429,0.781851307,0.706989247
26,78,2.2820642,261,0.089142857,0.727403514,0.682795699
27,82,2.2867606,233,0.093714286,0.729156541,0.607526882
28,142,2.1385241,203,0.162285714,0.673824246,0.52688172
29,34,1.8443592,162,0.038857143,0.564021201,0.416666667
30,169,2.3647449,221,0.193142857,0.75826577,0.575268817
31,0,0.95710868,54,0,0.23283686,0.126344086
32,223,2.2786884,141,0.254857143,0.726143428,0.360215054
33,422,2.6382389,229,0.482285714,0.86035298,0.596774194
34,130,2.1802278,189,0.148571429,0.689391002,0.489247312
35,42,1.7704608,125,0.048,0.536437117,0.317204301
36,160,2.1429529,126,0.182857143,0.675477386,0.319892473
37,24,1.8975395,162,0.027428571,0.583871832,0.416666667
38,310,2.5682681,222,0.354285714,0.834234953,0.577956989
39,16,1.6543651,127,0.018285714,0.493102031,0.322580645
