Ref,x1,y1,x2,y2,Choice,Choice R3,Choice R7,Choice [Connectivity Wgt],Choice [Connectivity Wgt] R3,Choice [Connectivity Wgt] R7,Choice [Connectivity Wgt][Norm],Choice [Connectivity Wgt][Norm] R3,Choice [Connectivity Wgt][Norm] R7,Choice [Norm],Choice [Norm] R3,Choice [Norm] R7,Connectivity,Control,Controllability,Entropy,Entropy R3,Entropy R7,Harmonic Mean Depth,Harmonic Mean Depth R3,Harmonic Mean Depth R7,Integration [HH],Integration [HH] R3,Integration [HH] R7,Integration [P-value],Integration [P-value] R3,Integration [P-value] R7,Integration [Tekl],Integration [Tekl] R3,Integration [Tekl] R7,Intensity,Intensity R3,Intensity R7,Line Length,Mean Depth,Mean Depth R3,Mean Depth R7,Mean Depth [Connectivity Wgt],Mean Depth [Connectivity Wgt] R3,Mean Depth [Connectivity Wgt] R7,Node Count,Node Count R3,Node Count R7,RA,RA R3,RA R7,RA [Penn],RA [Penn] R3,RA [Penn] R7,RRA,RRA R3,RRA R7,Relativised Entropy,Relativised Entropy R3,Relativised Entropy R7,Total Connectivity,Total Connectivity R3,Total Connectivity R7,Total Depth,Total Depth R3,Total Depth R7
0,-7052.58866625,5028.02870703,-6862.04272035,1328.00465382,204804,810,22236,1671686,14501,258123,0.20709272,0.17003089,0.11157731,0.21555343,0.13761468,0.098626785,14,4.477778,0.29166666,3.9244292,1.3737866,2.5173974,4.9722242,34.119858,54.547199,1.0753236,2.9837382,1.6422037,1.0753236,2.9837382,1.6422037,0.70900255,0.78992033,0.73291945,0.53775316,0.97494531,0.60680819,3704.9272,8.3038435,2.4311926,5.15625,7.7707815,2.3171914,4.9897723,1380,110,673,0.010600643,0.026503569,0.012388227,0.75377095,0.27441859,0.30366492,0.92995262,0.33515003,0.60893786,3.3628955,2.0267341,2.7259865,4018,413,2151,11451,265,3465
1,-6914.24190381,339.311526413,-6863.14685826,1397.09568221,14309,44,1013,119942,1249,14211,0.014858721,0.057187334,0.0097999834,0.015060029,0.031930335,0.0075070402,3,0.73809522,0.15789473,3.8207858,1.1718595,2.3126049,4.889679,9.4063396,17.213152,0.98594987,2.0834427,1.4270229,0.98594987,2.0834427,1.4270229,0.70239043,0.73532641,0.71597743,0.48003319,0.76241463,0.51205575,1059.0175,8.9659176,2.5849056,5.5269232,8.4688902,2.4593301,5.3781562,1380,54,521,0.011561563,0.060957909,0.017444789,0.72229242,0.18446602,0.24040014,1.0142503,0.47997481,0.70075953,3.3299775,2.2808917,2.9847536,4018,209,1703,12364,137,2874
2,-7022.79958359,5030.7345212,-6832.25363769,1330.71046799,284377,820,29802,2600347,17129,386064,0.32213762,0.13275002,0.16367021,0.29930294,0.10248719,0.12947202,14,4.311111,0.28,3.944298,1.3049779,2.5553529,4.9758258,35.652733,56.495487,1.0864339,2.994673,1.6932163,1.0864339,2.994673,1.6932163,0.7097941,0.78961611,0.73590273,0.5460605,0.88379455,0.63371265,3704.9272,8.2291517,2.496063,5.0397644,7.6841712,2.4035432,4.8609576,1380,128,680,0.010492237,0.023747033,0.011916709,0.75628895,0.2430279,0.32321736,0.92044258,0.33392626,0.59059197,3.3724623,2.1453512,2.6507611,4018,508,2172,11348,317,3422
3,-6884.45282115,342.017340586,-6833.3577756,1399.80149638,22022,51,1140,201393,1387,16682,0.024949078,0.052897543,0.011032627,0.023177857,0.034343433,0.0079212878,3,0.73809522,0.15789473,3.8414464,1.1523631,2.3483825,4.8933926,9.4426231,17.42071,0.99528205,2.0941937,1.4672898,0.99528205,2.0941937,1.4672898,0.70310229,0.73611546,0.71907252,0.48719752,0.74175096,0.53085279,1059.0175,8.8912258,2.5999999,5.4338918,8.3822794,2.5021834,5.2472687,1380,56,538,0.011453157,0.059259258,0.016544374,0.72489637,0.17757009,0.25616995,1.0047402,0.47751078,0.68152863,3.3298314,2.3129051,2.912689,4018,229,1739,12261,143,2918
4,-8349.27566544,3197.10521867,-5931.67888324,3566.26470758,206052,984,21991,1780009,21730,273221,0.22051205,0.20718522,0.14669977,0.21686694,0.12903225,0.12361022,12,3.5928571,0.20338982,3.991688,1.345745,2.5427089,4.9984274,33.33485,50.613537,1.0214713,3.115623,1.6161147,1.0214713,3.115623,1.6161147,0.70507252,0.79577243,0.72969401,0.51957458,0.95578474,0.61860859,2445.6191,8.6889048,2.4274194,5.118928,8.1378794,2.2663755,4.9295335,1380,125,598,0.011159514,0.023210071,0.013821906,0.74905926,0.27755103,0.30946362,0.97898006,0.32096308,0.61876798,3.4818912,2.0367818,2.7367253,4018,458,1930,11982,301,3056
5,-8360.76867392,3164.17103334,-5950.12261544,3532.26916841,96629,482,12291,811291,10425,142490,0.10050479,0.11543252,0.091479748,0.10170072,0.078951679,0.082307093,9,2.5595238,0.19565217,4.0446787,1.2757446,2.5470922,5.0848145,26.05477,41.551418,0.97917545,2.8548975,1.5972474,0.97917545,2.8548975,1.5972474,0.70187032,0.78298908,0.72728527,0.50467056,0.86074328,0.6242426,2438.5879,9.0210295,2.5045044,5.0895796,8.4636631,2.3364706,4.8957505,1380,112,548,0.011641553,0.027354628,0.014980145,0.7382198,0.23744293,0.31401411,1.0212674,0.35027528,0.62607712,3.5070314,2.1608276,2.6957686,4018,425,1765,12440,278,2784
6,-5969.55614266,3542.39669684,-5852.8738392,3377.72467129,2969,20,1033,28585,692,11153,0.0035411827,0.031086454,0.010712456,0.0031248322,0.017730497,0.010695796,2,0.6111111,0.18181819,4.0173755,0.9434076,2.3269117,4.7941208,6.2682352,11.722367,0.89420903,1.8347672,1.3905202,0.89420903,1.8347672,1.3905202,0.69509411,0.71444088,0.710765,0.45776385,0.56374359,0.52142686,201.8208,9.7831764,2.7291667,5.4749999,9.2289696,2.592417,5.2612615,1380,49,441,0.012747716,0.073581561,0.020387243,0.72220182,0.10752688,0.24818633,1.1183068,0.54502827,0.71915531,3.5669475,2.5956626,2.9504559,4018,211,1443,13491,131,2409
7,-5867.8843919,3391.95550231,-5744.8875785,3297.18545202,2471,6,629,25403,208,8201,0.0031469883,0.061867937,0.0099023832,0.0026006941,0.065934069,0.0088746548,2,1,0.5,3.9408331,1.1651459,2.0989044,4.5091224,3.6363637,6.940309,0.86272579,1.0698866,1.2587818,0.86272579,1.0698866,1.2587818,0.69245428,0.60555691,0.69871116,0.43323109,0.83224702,0.44150576,155.2726,10.103699,2.5714285,5.7692308,9.5793924,2.6829269,5.5982904,1380,15,378,0.013212915,0.24175824,0.025368249,0.71206421,0.12,0.19767961,1.1591169,0.93467849,0.79441887,3.5646546,2.1555278,3.2042594,4018,82,1287,13933,36,2175
8,-5760.53815206,3312.06643836,-5686.62443534,3211.87358528,3686,8,564,32071,156,8215,0.003973037,0.09602955,0.0073119681,0.0038794649,0.12121212,0.00570908,2,0.83333331,0.40000001,3.7748299,1.3845311,1.9197057,4.4574738,4.0975609,7.7282376,0.91382545,1.0697098,1.2399228,0.91382545,1.0697098,1.2399228,0.69670212,0.60170126,0.70039254,0.43956333,1.1249316,0.38256872,124.50641,9.5946341,2.4166667,6.0314608,9.0900946,2.5438597,5.8585725,1380,13,446,0.012474069,0.25757575,0.022664238,0.71949923,0.19047619,0.15477538,1.0943009,0.93483305,0.80650187,3.4893415,1.7917442,3.4552648,4018,57,1499,13231,29,2684
9,-5696.37869074,3233.06379317,-5660.08717652,3061.55120636,12766,34,1817,100504,723,21595,0.012450691,0.080530182,0.012337741,0.013436042,0.064393938,0.011126352,3,1.1666666,0.30000001,3.7112305,1.1599405,2.0618618,4.6237063,7.6972113,14.184613,0.99610591,1.6771457,1.3571032,0.99610591,1.6771457,1.3571032,0.70316488,0.69833374,0.71300066,0.47107229,0.75842261,0.42513379,175.31013,8.8846989,2.6060605,5.8601398,8.3865108,2.5373135,5.6926775,1380,34,573,0.011443685,0.10037879,0.017023256,0.73418897,0.15873016,0.18498974,1.0039093,0.59625107,0.73686361,3.3849287,2.2896702,3.2905669,4018,134,1871,12252,86,3352
