Ref,Choice R3,Integration [HH] R3,Total Depth R3,Choice R3,Integration [HH] R3,Total Depth R3
0,0,1.1561403,31,0,0.397599797,0.255102041
1,0,0.68957245,17,0,0.172143169,0.112244898
2,12,1.2989333,26,0.090909091,0.466600754,0.204081633
3,0,1.2906152,42,0,0.462581252,0.367346939
4,0,1.3057258,23,0,0.469883051,0.173469388
5,0,1.0207884,23,0,0.332194556,0.173469388
6,0,1.2123377,27,0,0.424755711,0.214285714
7,0,1.606352,40,0,0.615152746,0.346938776
8,0,0.84912294,12,0,0.249241742,0.06122449
9,0,1,20,0,0.322149109,0.142857143
10,0,1.1191936,25,0,0.379746277,0.193877551
11,0,1.1191936,25,0,0.379746277,0.193877551
12,0,0.98558021,17,0,0.315181125,0.112244898
13,0,1.3873683,28,0,0.509334639,0.224489796
14,0,0.49860358,12,0,0.079862492,0.06122449
15,8,1.0207884,23,0.060606061,0.332194556,0.173469388
16,22,1.6132691,37,0.166666667,0.618495253,0.316326531
17,0,0.42239243,9,0,0.04303546,0.030612245
18,6,0.8870222,18,0.045454545,0.267555562,0.12244898
19,16,1.4244281,22,0.121212121,0.527242812,0.163265306
20,0,0.8619656,15,0,0.25544762,0.091836735
21,0,0.8619656,15,0,0.25544762,0.091836735
22,0,0.42239243,9,0,0.04303546,0.030612245
23,6,0.8870222,18,0.045454545,0.267555562,0.12244898
24,16,1.3845592,31,0.121212121,0.507977216,0.255102041
25,0,1.2052853,24,0,0.421347824,0.183673469
26,0,1.3006579,29,0,0.467434122,0.234693878
27,0,0.84912294,12,0,0.249241742,0.06122449
28,0,1.1492875,13,0,0.394288362,0.071428571
29,0,0.33333334,6,0,0,0
30,4,0.69804502,10,0.03030303,0.176237316,0.040816327
31,8,0.98510355,14,0.060606061,0.314950791,0.081632653
32,12,1.2123377,27,0.090909091,0.424755711,0.214285714
33,0,0.98558021,17,0,0.315181125,0.112244898
34,0,1.0207884,23,0,0.332194556,0.173469388
35,0,0.98558021,17,0,0.315181125,0.112244898
36,0,1.3006579,29,0,0.467434122,0.234693878
37,0,1.2726263,39,0,0.453888589,0.336734694
38,0,1.2726263,39,0,0.453888589,0.336734694
39,0,1.3873683,28,0,0.509334639,0.224489796
40,0,1.1768752,34,0,0.407619392,0.285714286
41,0,1.0207884,23,0,0.332194556,0.173469388
42,0,0.8870222,18,0,0.267555562,0.12244898
43,0,0.80638385,19,0,0.228589203,0.132653061
44,14,1.5154221,24,0.106060606,0.571213266,0.183673469
45,0,0.68957245,17,0,0.172143169,0.112244898
46,12,1.3057258,23,0.090909091,0.469883051,0.173469388
47,0,1.1191936,25,0,0.379746277,0.193877551
48,0,0.91666669,21,0,0.281880481,0.153061224
49,0,0.33333334,6,0,0,0
50,4,0.70398736,7,0.03030303,0.179108795,0.010204082
51,6,0.84912294,12,0.045454545,0.249241742,0.06122449
52,8,1.0207884,23,0.060606061,0.332194556,0.173469388
53,16,1.3938289,37,0.121212121,0.512456554,0.316326531
54,0,1.3006579,29,0,0.467434122,0.234693878
55,0,0.84912294,12,0,0.249241742,0.06122449
56,0,0.8870222,18,0,0.267555562,0.12244898
57,0,0.8619656,15,0,0.25544762,0.091836735
58,0,1.2063863,21,0,0.421879854,0.153061224
59,0,0.33333334,6,0,0,0
60,4,0.70398736,7,0.03030303,0.179108795,0.010204082
61,6,0.8619656,15,0.045454545,0.25544762,0.091836735
62,10,1.1,19,0.075757576,0.370471475,0.132653061
63,16,1.4244281,22,0.121212121,0.527242812,0.163265306
64,0,1.2063863,21,0,0.421879854,0.153061224
65,0,1.2123377,27,0,0.424755711,0.214285714
66,0,1.1191936,25,0,0.379746277,0.193877551
67,0,1.1,19,0,0.370471475,0.132653061
68,0,0.8619656,15,0,0.25544762,0.091836735
69,0,0.8619656,15,0,0.25544762,0.091836735
70,0,1.1058542,22,0,0.373300363,0.163265306
71,32,1.6474625,31,0.242424242,0.635018313,0.255102041
72,28,1.6531878,23,0.212121212,0.637784913,0.173469388
73,24,1.5364467,38,0.181818182,0.581372851,0.326530612
74,24,1.5395753,44,0.181818182,0.582884664,0.387755102
75,24,1.550553,32,0.181818182,0.588189349,0.265306122
76,20,1.3845592,31,0.151515152,0.507977216,0.255102041
77,0,0.84912294,12,0,0.249241742,0.06122449
78,16,1.7239312,11,0.121212121,0.671969798,0.051020408
79,32,1.6261337,34,0.242424242,0.624711732,0.285714286
80,20,1.3873683,28,0.151515152,0.509334639,0.224489796
81,16,1.3057258,23,0.121212121,0.469883051,0.173469388
82,16,1.3006579,29,0.121212121,0.467434122,0.234693878
83,0,0.8870222,18,0,0.267555562,0.12244898
84,24,1.4864661,27,0.181818182,0.557221042,0.214285714
85,0,0.8870222,18,0,0.267555562,0.12244898
86,0,1.0207884,23,0,0.332194556,0.173469388
87,0,0.84912294,12,0,0.249241742,0.06122449
88,0,0.49860358,12,0,0.079862492,0.06122449
89,8,0.98558021,17,0.060606061,0.315181125,0.112244898
90,18,1.5668709,21,0.136363636,0.596074544,0.153061224
91,0,0.84912294,12,0,0.249241742,0.06122449
92,18,1.5154221,24,0.136363636,0.571213266,0.183673469
93,10,1.1058542,22,0.075757576,0.373300363,0.163265306
94,6,0.91666669,21,0.045454545,0.281880481,0.153061224
95,8,0.98558021,17,0.060606061,0.315181125,0.112244898
96,12,1.2222222,18,0.090909091,0.429532135,0.12244898
97,32,1.7342104,25,0.242424242,0.676936951,0.193877551
98,20,1.4744722,19,0.151515152,0.551425305,0.132653061
99,0,1.2989333,26,0,0.466600754,0.204081633
100,0,1,20,0,0.322149109,0.142857143
101,19,1.6531878,23,0.143939394,0.637784913,0.173469388
102,5,1.2222222,18,0.037878788,0.429532135,0.12244898
103,5,1.1,19,0.037878788,0.370471475,0.132653061
104,12,1.3845592,31,0.090909091,0.507977216,0.255102041
105,0,1.1,19,0,0.370471475,0.132653061
106,14,1.3057258,23,0.106060606,0.469883051,0.173469388
107,10,1.1191936,25,0.075757576,0.379746277,0.193877551
108,12,1.2063863,21,0.090909091,0.421879854,0.153061224
109,26,1.569167,29,0.196969697,0.597184074,0.234693878
110,0,1.3006579,29,0,0.467434122,0.234693878
111,0,0.88468331,25,0,0.266425355,0.193877551
112,18,1.6042534,46,0.136363636,0.614138653,0.408163265
113,50,1.8,46,0.378787879,0.708728043,0.408163265
