Ref,Choice R3,Integration [HH] R3,Total Depth R3,Choice R3 normal,Integration [HH] R3 normal,Total Depth R3 normal
0,0,1.3057258,23,0,0.467586394,0.134920635
1,0,0.84912294,12,0,0.248023519,0.047619048
2,0,1.0207884,23,0,0.330570882,0.134920635
3,0,0.63684219,14,0,0.145945814,0.063492063
4,10,1.2052853,24,0.061728395,0.419288394,0.142857143
5,0,1.2123377,27,0,0.422679624,0.166666667
6,0,0.8619656,15,0,0.254199063,0.071428571
7,0,0.8619656,15,0,0.254199063,0.071428571
8,0,1.0445806,26,0,0.342011642,0.158730159
9,0,1.4635203,36,0,0.543463743,0.238095238
10,0,1.1191936,25,0,0.377890184,0.150793651
11,0,0.84912294,12,0,0.248023519,0.047619048
12,0,1.1365665,28,0,0.386244148,0.174603175
13,0,1.1058542,22,0,0.371475776,0.126984127
14,0,0.8619656,15,0,0.254199063,0.071428571
15,0,1,20,0,0.320574534,0.111111111
16,0,1,20,0,0.320574534,0.111111111
17,0,1,20,0,0.320574534,0.111111111
18,0,0.68957245,17,0,0.171301782,0.087301587
19,12,1.3076391,32,0.074074074,0.468506427,0.206349206
20,0,0.73918515,20,0,0.195158634,0.111111111
21,14,1.4135897,43,0.086419753,0.519454024,0.293650794
22,0,0.42239243,9,0,0.042825115,0.023809524
23,6,0.8619656,15,0.037037037,0.254199063,0.071428571
24,14,1.2989333,26,0.086419753,0.464320141,0.158730159
25,0,1.2989333,26,0,0.464320141,0.158730159
26,0,0.98558021,17,0,0.313640608,0.087301587
27,0,1.3988512,25,0,0.512366842,0.150793651
28,0,0.8870222,18,0,0.266247825,0.095238095
29,0,1.1,19,0,0.368660715,0.103174603
30,0,0.33333334,6,0,0,0
31,4,0.70398736,7,0.024691358,0.178233361,0.007936508
32,6,0.87255627,9,0.037037037,0.259291712,0.023809524
33,6,0.8619656,15,0.037037037,0.254199063,0.071428571
34,8,1,20,0.049382716,0.320574534,0.111111111
35,14,1.3006579,29,0.086419753,0.465149435,0.182539683
36,0,1.0445806,26,0,0.342011642,0.158730159
37,0,1.1768752,34,0,0.405627062,0.222222222
38,0,0.8870222,18,0,0.266247825,0.095238095
39,0,0.42239243,9,0,0.042825115,0.023809524
40,6,0.84912294,12,0.037037037,0.248023519,0.047619048
41,12,1.2063863,21,0.074074074,0.419817823,0.119047619
42,0,1.0207884,23,0,0.330570882,0.134920635
43,0,0.42239243,9,0,0.042825115,0.023809524
44,6,0.8870222,18,0.037037037,0.266247825,0.095238095
45,16,1.3873683,28,0.098765432,0.506845154,0.174603175
46,0,0.63684219,14,0,0.145945814,0.063492063
47,10,1.2222222,18,0.061728395,0.427432702,0.095238095
48,0,0.58170414,11,0,0.119432031,0.03968254
49,8,1.1087778,16,0.049382716,0.372881623,0.079365079
50,0,1.2552096,36,0,0.443295083,0.238095238
51,0,0.58170414,11,0,0.119432031,0.03968254
52,8,1.1492875,13,0.049382716,0.392361191,0.055555556
53,0,0.98510355,14,0,0.3134114,0.063492063
54,0,0.63684219,14,0,0.145945814,0.063492063
55,10,1.2063863,21,0.061728395,0.419817823,0.119047619
56,0,1,20,0,0.320574534,0.111111111
57,0,0.33333334,6,0,0,0
58,4,0.70398736,7,0.024691358,0.178233361,0.007936508
59,6,0.84912294,12,0.037037037,0.248023519,0.047619048
60,8,0.98558021,17,0.049382716,0.313640608,0.087301587
61,12,1.2063863,21,0.074074074,0.419817823,0.119047619
62,0,1.2063863,21,0,0.419817823,0.119047619
63,0,1.238816,33,0,0.435412027,0.214285714
64,0,0.33333334,6,0,0,0
65,4,0.69804502,10,0.024691358,0.175375917,0.031746032
66,8,1.0207884,23,0.049382716,0.330570882,0.134920635
67,18,1.4803609,45,0.111111111,0.551561744,0.30952381
68,0,0.84912294,12,0,0.248023519,0.047619048
69,0,1.0207884,23,0,0.330570882,0.134920635
70,0,1.0207884,23,0,0.330570882,0.134920635
71,32,1.7217885,33,0.197530864,0.667655056,0.214285714
72,0,0.33333334,6,0,0,0
73,4,0.72781962,13,0.024691358,0.189693385,0.055555556
74,10,1.1365665,28,0.061728395,0.386244148,0.174603175
