Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3 normal,Integration [HH] R3 normal,Total Connectivity R3 normal
0,0,0.33333334,7,0,0,0
1,4,0.70398736,9,0.025,0.181512697,0.008695652
2,6,0.87255627,12,0.0375,0.264062449,0.02173913
3,6,0.8619656,21,0.0375,0.2588761,0.060869565
4,8,1.0445806,41,0.05,0.348304352,0.147826087
5,18,1.4724894,66,0.1125,0.557855243,0.256521739
6,0,0.84912294,18,0,0.252586931,0.047826087
7,0,1.1561403,53,0,0.402936167,0.2
8,0,1,35,0,0.32647282,0.12173913
9,0,1.7001897,118,0,0.669362183,0.482608696
10,0,1.2052853,45,0,0.427002928,0.165217391
11,0,0.52799052,14,0,0.095325419,0.030434783
12,6,0.98558021,38,0.0375,0.319411316,0.134782609
13,0,1.2906152,73,0,0.468789768,0.286956522
14,0,0.68957245,26,0,0.174453582,0.082608696
15,12,1.3006579,43,0.075,0.473707771,0.156521739
16,0,1.1365665,44,0,0.393350697,0.160869565
17,0,0.8619656,23,0,0.2588761,0.069565217
18,0,0.80638385,36,0,0.231657204,0.126086957
19,14,1.4644111,66,0.0875,0.553899225,0.256521739
20,0,1.6734514,77,0,0.656268191,0.304347826
21,0,0.84615386,42,0,0.251132945,0.152173913
22,16,1.550553,65,0.1,0.596083709,0.252173913
23,0,0.49860358,21,0,0.080934363,0.060869565
24,8,1.0207884,39,0.05,0.336653092,0.139130435
25,22,1.6037242,67,0.1375,0.622122137,0.260869565
26,0,1.2052853,45,0,0.427002928,0.165217391
27,0,1.3006579,45,0,0.473707771,0.165217391
28,0,1.2552096,61,0,0.451451318,0.234782609
29,0,0.70398736,12,0,0.181512697,0.02173913
30,0,1,37,0,0.32647282,0.130434783
31,0,0.70398736,12,0,0.181512697,0.02173913
32,0,0.69804502,18,0,0.178602678,0.047826087
33,0,0.42239243,14,0,0.043613059,0.030434783
34,6,0.8870222,26,0.0375,0.271146548,0.082608696
35,16,1.3988512,38,0.1,0.521793937,0.134782609
36,0,1.2989333,42,0,0.472863218,0.152173913
37,0,0.76619166,27,0,0.211974717,0.086956522
38,12,1.3988512,42,0.075,0.521793937,0.152173913
39,0,0.33333334,8,0,0,0.004347826
40,4,0.69804502,15,0.025,0.178602678,0.034782609
41,8,0.98558021,27,0.05,0.319411316,0.086956522
42,14,1.31797,51,0.0875,0.482185666,0.191304348
43,0,0.42239243,12,0,0.043613059,0.02173913
44,6,0.84912294,16,0.0375,0.252586931,0.039130435
45,12,1.2671746,20,0.075,0.457310689,0.056521739
46,0,0.8619656,23,0,0.2588761,0.069565217
47,0,0.84912294,16,0,0.252586931,0.039130435
48,0,1.1365665,43,0,0.393350697,0.156521739
49,0,1.1561403,50,0,0.402936167,0.186956522
50,0,0.42239243,12,0,0.043613059,0.02173913
51,6,0.84912294,19,0.0375,0.252586931,0.052173913
52,12,1.2222222,28,0.075,0.435297084,0.091304348
53,0,1,28,0,0.32647282,0.091304348
54,0,1.0207884,38,0,0.336653092,0.134782609
55,0,1,35,0,0.32647282,0.12173913
56,16,1.3988512,47,0.1,0.521793937,0.173913043
57,10,1.1,31,0.0625,0.375443744,0.104347826
58,6,0.8870222,25,0.0375,0.271146548,0.07826087
59,6,0.84912294,16,0.0375,0.252586931,0.039130435
60,6,0.84912294,15,0.0375,0.252586931,0.034782609
61,6,0.8619656,23,0.0375,0.2588761,0.069565217
