Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3 n,Integration [HH] R3 n,Total Connectivity R3 n
0,0,1.1492875,27,0,0.412317263,0.105820106
1,40,1.7269484,88,0.333333333,0.704220379,0.428571429
2,28,1.5365106,72,0.233333333,0.607988512,0.343915344
3,16,1.7217885,61,0.133333333,0.701612983,0.285714286
4,4,1.238816,57,0.033333333,0.457557729,0.264550265
5,10,1.3938289,65,0.083333333,0.535888716,0.306878307
6,24,1.6981779,63,0.2,0.689682094,0.296296296
7,10,1.1561403,47,0.083333333,0.415780115,0.211640212
8,6,0.8870222,30,0.05,0.279789585,0.121693122
9,6,0.8619656,24,0.05,0.267128005,0.08994709
10,8,1.0445806,41,0.066666667,0.359406862,0.17989418
11,18,1.4666082,63,0.15,0.57266549,0.296296296
12,43,1.9244691,72,0.358333333,0.804031372,0.343915344
13,54,1.875,84,0.45,0.779033688,0.407407407
14,0,1.4028426,73,0,0.540443511,0.349206349
15,12,1.3938289,63,0.1,0.535888716,0.296296296
16,5,1.0207884,38,0.041666667,0.347384207,0.164021164
17,7,1.0207884,38,0.058333333,0.347384207,0.164021164
18,16,1.3873683,48,0.133333333,0.532624051,0.216931217
19,33,1.6734514,75,0.275,0.67718732,0.35978836
20,36,1.6741856,95,0.3,0.677558326,0.465608466
21,36,1.6794915,99,0.3,0.680239499,0.486772487
22,32,1.6118186,87,0.266666667,0.646043086,0.423280423
23,16,1.3873369,58,0.133333333,0.532608184,0.26984127
24,6,0.8870222,29,0.05,0.279789585,0.116402116
25,0,0.42239243,14,0,0.045003264,0.037037037
26,25,1.6684235,85,0.208333333,0.674646626,0.412698413
27,0,1.238816,61,0,0.457557729,0.285714286
28,30,1.7925211,75,0.25,0.73735552,0.35978836
29,38,1.7288883,105,0.316666667,0.705200648,0.518518519
30,42,1.7257152,98,0.35,0.703597219,0.481481481
31,30,1.7265038,103,0.25,0.703995714,0.507936508
32,36,1.7288883,106,0.3,0.705200648,0.523809524
33,40,1.7372102,118,0.333333333,0.709405863,0.587301587
34,41,1.8344558,112,0.341666667,0.758545927,0.555555556
35,36,1.6741856,109,0.3,0.677558326,0.53968254
36,0,1.2726263,74,0,0.474642721,0.354497354
37,44,1.7812788,114,0.366666667,0.731674571,0.566137566
38,0,1.1492875,27,0,0.412317263,0.105820106
39,0,1.2063863,38,0,0.441170381,0.164021164
40,32,1.6261337,63,0.266666667,0.65327678,0.296296296
41,24,1.6587812,38,0.2,0.669774187,0.164021164
42,13,1.3873369,55,0.108333333,0.532608184,0.253968254
43,7,1.1561403,50,0.058333333,0.415780115,0.227513228
44,14,1.3938289,57,0.116666667,0.535888716,0.264550265
45,32,1.6132691,58,0.266666667,0.646776052,0.26984127
46,16,1.3076391,48,0.133333333,0.49233536,0.216931217
47,20,1.4644111,54,0.166666667,0.571555253,0.248677249
48,30,1.8,84,0.25,0.741134752,0.407407407
49,14,1.5364467,67,0.116666667,0.607956222,0.317460317
50,22,1.7495173,76,0.183333333,0.715624876,0.365079365
51,16,1.3873369,59,0.133333333,0.532608184,0.275132275
52,8,1.0207884,39,0.066666667,0.347384207,0.169312169
53,6,0.8619656,23,0.05,0.267128005,0.084656085
54,6,0.8619656,21,0.05,0.267128005,0.074074074
55,8,1,31,0.066666667,0.336879431,0.126984127
