Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3 normal,Integration [HH] R3 normal,Total Connectivity R3 normal
0,63,2.1000938,158,0.098746082,0.679834262,0.357819905
1,62,2.2542167,204,0.097178683,0.739139432,0.466824645
2,18,1.3845592,45,0.028213166,0.404502689,0.090047393
3,16,1.3006579,46,0.02507837,0.372218189,0.092417062
4,12,1.31797,53,0.018808777,0.378879736,0.109004739
5,14,1.3006579,43,0.021943574,0.372218189,0.085308057
6,8,1,28,0.012539185,0.256527609,0.049763033
7,6,0.8619656,20,0.009404389,0.203413157,0.030805687
8,6,0.84912294,14,0.009404389,0.198471411,0.016587678
9,6,0.87255627,11,0.009404389,0.207488356,0.009478673
10,4,0.70398736,9,0.006269592,0.142624486,0.004739336
11,0,0.33333334,7,0,0,0
12,8,1.1208336,48,0.012539185,0.303023342,0.097156398
13,8,1,33,0.012539185,0.256527609,0.061611374
14,12,1.2052853,38,0.018808777,0.335519631,0.073459716
15,16,1.3006579,44,0.02507837,0.372218189,0.087677725
16,0,1.2621337,65,0,0.357394407,0.137440758
17,150,2.1594694,143,0.235109718,0.702681484,0.322274882
18,22,1.6178579,84,0.034482759,0.494274027,0.182464455
19,0,1.8344558,132,0,0.57761904,0.296208531
20,104,2.2786884,182,0.163009404,0.748555932,0.414691943
21,36,1.6741856,90,0.056426332,0.515948442,0.196682464
22,33,1.6673985,85,0.051724138,0.513336824,0.184834123
23,27,1.6118186,93,0.042319749,0.491950156,0.203791469
24,42,1.7812788,101,0.065830721,0.557156986,0.222748815
25,45,1.9594067,103,0.070532915,0.625699074,0.227488152
26,60,1.9415878,105,0.094043887,0.618842514,0.232227488
27,60,1.9329244,109,0.094043887,0.615508912,0.241706161
28,51,1.8900454,101,0.079937304,0.599009441,0.222748815
29,21,1.5598243,89,0.032915361,0.471943195,0.194312796
30,17,1.5110798,104,0.026645768,0.45318673,0.22985782
31,14,1.5,103,0.021943574,0.448923318,0.227488152
32,23,1.4803609,81,0.036050157,0.441366361,0.17535545
33,10,1.1768752,52,0.015673981,0.324587668,0.106635071
34,14,1.3006579,44,0.021943574,0.372218189,0.087677725
35,24,1.471094,47,0.037617555,0.437800537,0.09478673
36,18,1.3845592,46,0.028213166,0.404502689,0.092417062
37,18,1.3938289,55,0.028213166,0.40806959,0.113744076
38,18,1.4028426,59,0.028213166,0.411537985,0.123222749
39,20,1.4635203,53,0.031347962,0.434886243,0.109004739
40,32,1.6261337,48,0.05015674,0.497458483,0.097156398
41,28,1.569167,42,0.043887147,0.475538186,0.082938389
42,14,1.2989333,40,0.021943574,0.371554578,0.078199052
43,10,1.1561403,46,0.015673981,0.316609057,0.092417062
44,16,1.4028426,66,0.02507837,0.411537985,0.139810427
45,40,1.7372102,109,0.062695925,0.540199767,0.241706161
46,78,2.0326941,113,0.122257053,0.653899436,0.251184834
47,44,1.7820429,104,0.068965517,0.557451006,0.22985782
48,24,1.5598243,88,0.037617555,0.471943195,0.191943128
49,28,1.6700469,83,0.043887147,0.514355906,0.180094787
50,46,1.8337219,96,0.072100313,0.577336641,0.210900474
51,28,1.6741856,90,0.043887147,0.515948442,0.196682464
52,22,1.4896638,80,0.034482759,0.444946037,0.172985782
53,14,1.3443909,70,0.021943574,0.389046272,0.1492891
54,10,1.1561403,51,0.015673981,0.316609057,0.104265403
55,16,1.4028426,67,0.02507837,0.411537985,0.142180095
56,38,1.7257152,89,0.059561129,0.53577659,0.194312796
57,46,1.8362781,110,0.072100313,0.578320245,0.244075829
58,56,1.8880572,125,0.087774295,0.598244398,0.279620853
59,62,1.9415878,106,0.097178683,0.618842514,0.234597156
60,44,1.7812788,97,0.068965517,0.557156986,0.213270142
61,24,1.5598243,83,0.037617555,0.471943195,0.180094787
62,24,1.5405476,58,0.037617555,0.464525687,0.120853081
63,18,1.4644111,53,0.028213166,0.435229015,0.109004739
64,44,1.8140556,154,0.068965517,0.569769218,0.348341232
65,36,1.6741856,101,0.056426332,0.515948442,0.222748815
66,40,1.7269484,81,0.062695925,0.536251115,0.17535545
67,32,1.6118186,83,0.05015674,0.491950156,0.180094787
68,42,1.7909094,92,0.065830721,0.560862759,0.201421801
69,18,1.4135897,75,0.028213166,0.415673376,0.161137441
70,20,1.4724894,70,0.031347962,0.438337475,0.1492891
71,24,1.606352,63,0.037617555,0.489846655,0.132701422
72,25,1.6132691,60,0.039184953,0.492508296,0.125592417
73,19,1.4635203,58,0.029780564,0.434886243,0.120853081
74,16,1.3873369,53,0.02507837,0.405571524,0.109004739
75,14,1.3006579,45,0.021943574,0.372218189,0.090047393
76,8,1.0207884,34,0.012539185,0.264526807,0.063981043
77,8,1.0207884,34,0.012539185,0.264526807,0.063981043
78,14,1.3006579,42,0.021943574,0.372218189,0.082938389
79,95,2.4129329,214,0.148902821,0.800212063,0.490521327
80,94,2.27426,234,0.147335423,0.746851921,0.537914692
81,78,2.1826198,193,0.122257053,0.711589559,0.440758294
82,20,1.9415878,134,0.031347962,0.618842514,0.300947867
83,38,1.7669872,59,0.059561129,0.551657701,0.123222749
84,50,1.9244691,63,0.078369906,0.612255385,0.132701422
85,25,1.606352,67,0.039184953,0.489846655,0.142180095
86,22,1.4724894,73,0.034482759,0.438337475,0.156398104
87,28,1.6700469,93,0.043887147,0.514355906,0.203791469
88,40,1.8416041,93,0.062695925,0.580369644,0.203791469
89,32,1.7812788,104,0.05015674,0.557156986,0.22985782
90,17,1.5598243,99,0.026645768,0.471943195,0.218009479
91,14,1.5688319,103,0.021943574,0.475409243,0.227488152
92,38,1.7257152,100,0.059561129,0.53577659,0.220379147
93,27,1.6828449,76,0.042319749,0.519280467,0.163507109
94,40,1.7257152,99,0.062695925,0.53577659,0.218009479
95,44,1.8017781,144,0.068965517,0.565044941,0.32464455
96,0,0.8619656,25,0,0.203413157,0.042654028
97,18,1.3845592,44,0.028213166,0.404502689,0.087677725
98,16,1.2989333,37,0.02507837,0.371554578,0.071090047
99,12,1.2052853,36,0.018808777,0.335519631,0.068720379
100,10,1.1365665,43,0.015673981,0.309077226,0.085308057
101,16,1.4135897,67,0.02507837,0.415673376,0.142180095
102,36,1.6700469,88,0.056426332,0.514355906,0.191943128
103,36,1.6700469,89,0.056426332,0.514355906,0.194312796
104,29,1.6684235,76,0.045454545,0.513731236,0.163507109
105,36,1.6666666,75,0.056426332,0.513055196,0.161137441
106,36,1.6684235,69,0.056426332,0.513731236,0.146919431
107,36,1.6828449,69,0.056426332,0.519280467,0.146919431
108,32,1.6071428,86,0.05015674,0.490150948,0.187203791
109,52,1.8900454,105,0.081504702,0.599009441,0.232227488
110,66,2.0876319,119,0.103448276,0.67503903,0.265402844
111,58,1.9415878,107,0.090909091,0.618842514,0.236966825
112,18,1.4896638,82,0.028213166,0.444946037,0.177725118
113,10,1.1768752,56,0.015673981,0.324587668,0.116113744
114,14,1.3076391,51,0.021943574,0.374904495,0.104265403
115,32,1.6132691,55,0.05015674,0.492508296,0.113744076
116,18,1.4635203,53,0.028213166,0.434886243,0.109004739
117,0,0.68957245,27,0,0.137077752,0.047393365
118,12,1.3076391,52,0.018808777,0.374904495,0.106635071
119,40,1.7307693,80,0.062695925,0.537721364,0.172985782
120,75,2.303792,186,0.117554859,0.758215582,0.424170616
121,83,2.2015169,167,0.130094044,0.718861001,0.379146919
122,26,1.7372102,128,0.040752351,0.540199767,0.286729858
123,12,1.2726263,70,0.018808777,0.36143187,0.1492891
124,12,1.2052853,40,0.018808777,0.335519631,0.078199052
125,12,1.2063863,31,0.018808777,0.335943286,0.056872038
126,10,1.1191936,34,0.015673981,0.302392284,0.063981043
127,14,1.3006579,42,0.021943574,0.372218189,0.082938389
128,18,1.3873369,50,0.028213166,0.405571524,0.101895735
129,20,1.4644111,50,0.031347962,0.435229015,0.101895735
130,16,1.569167,48,0.02507837,0.475538186,0.097156398
131,16,1.3845592,53,0.02507837,0.404502689,0.109004739
132,12,1.2726263,61,0.018808777,0.36143187,0.127962085
133,22,1.6037242,67,0.034482759,0.4888355,0.142180095
134,28,1.6684235,70,0.043887147,0.513731236,0.1492891
135,22,1.4896638,81,0.034482759,0.444946037,0.17535545
