Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3 n,Integration [HH] R3 n,Total Connectivity R3 n
0,61,2.040309,113,0.173295455,0.693923359,0.301994302
1,32,1.7812788,105,0.090909091,0.588621854,0.279202279
2,24,1.5785179,104,0.068181818,0.506195064,0.276353276
3,48,1.8337219,106,0.136363636,0.609941134,0.282051282
4,32,1.7821976,93,0.090909091,0.588995367,0.245014245
5,18,1.3443909,74,0.051136364,0.41101726,0.190883191
6,18,1.3304729,71,0.051136364,0.405359285,0.182336182
7,30,1.7379411,77,0.085227273,0.571004121,0.199430199
8,46,1.9174613,83,0.130681818,0.643983052,0.216524217
9,30,1.7495173,68,0.085227273,0.575710102,0.173789174
10,20,1.3938289,58,0.056818182,0.4311149,0.145299145
11,12,1.2052853,40,0.034090909,0.354467757,0.094017094
12,8,1.0207884,36,0.022727273,0.279465687,0.082621083
13,10,1.1365665,40,0.028409091,0.326532045,0.094017094
14,20,1.569167,42,0.056818182,0.502393716,0.0997151
15,36,1.7572933,45,0.102272727,0.578871218,0.108262108
16,16,1.3873369,50,0.045454545,0.428475759,0.122507123
17,0,1.1087778,26,0,0.315235324,0.054131054
18,14,1.375,29,0.039772727,0.423460536,0.062678063
19,18,1.6216003,165,0.051136364,0.523709012,0.45014245
20,12,1.2063863,31,0.034090909,0.354915338,0.068376068
21,10,1.1365665,35,0.028409091,0.326532045,0.07977208
22,26,1.4028426,67,0.073863636,0.434779169,0.170940171
23,8,1.0207884,29,0.022727273,0.279465687,0.062678063
24,6,0.8619656,20,0.017045455,0.214900706,0.037037037
25,6,0.8619656,22,0.017045455,0.214900706,0.042735043
26,8,1.0697098,56,0.022727273,0.299353318,0.13960114
27,34,1.6546941,160,0.096590909,0.537162374,0.435897436
28,8,1.0952908,63,0.022727273,0.30975256,0.15954416
29,8,1.0952908,55,0.022727273,0.30975256,0.136752137
30,30,1.6211112,153,0.085227273,0.523510182,0.415954416
31,33,1.6434549,160,0.09375,0.53259339,0.435897436
32,8,1.0697098,53,0.022727273,0.299353318,0.131054131
33,6,0.8870222,26,0.017045455,0.225086768,0.054131054
34,8,1.0207884,30,0.022727273,0.279465687,0.065527066
35,26,1.3873369,45,0.073863636,0.428475759,0.108262108
36,10,1.1768752,52,0.028409091,0.342918423,0.128205128
37,26,1.4652896,115,0.073863636,0.460165255,0.307692308
38,10,1.2409762,87,0.028409091,0.368976897,0.227920228
39,38,1.7093985,173,0.107954545,0.559400922,0.472934473
40,8,1.1208336,70,0.022727273,0.320136273,0.179487179
41,8,1.0445806,40,0.022727273,0.289137742,0.094017094
42,19,1.3938289,52,0.053977273,0.4311149,0.128205128
43,26,1.5448366,68,0.073863636,0.49250287,0.173789174
44,17,1.4135897,61,0.048295455,0.439148103,0.153846154
45,66,2.3619132,258,0.1875,0.82466258,0.715099715
46,16,1.3938289,48,0.045454545,0.4311149,0.116809117
47,8,1.0207884,32,0.022727273,0.279465687,0.071225071
48,6,0.8870222,25,0.017045455,0.225086768,0.051282051
49,8,1,24,0.022727273,0.271014742,0.048433048
50,22,1.2989333,31,0.0625,0.39253774,0.068376068
51,10,1.1561403,35,0.028409091,0.334489227,0.07977208
52,26,1.3938289,44,0.073863636,0.4311149,0.105413105
53,8,1.0697098,37,0.022727273,0.299353318,0.085470085
54,10,1.1561403,38,0.028409091,0.334489227,0.088319088
55,40,1.6132691,48,0.113636364,0.520322195,0.116809117
56,10,1.1365665,34,0.028409091,0.326532045,0.076923077
57,6,0.91666669,29,0.017045455,0.237137909,0.062678063
58,8,1.0445806,37,0.022727273,0.289137742,0.085470085
59,27,1.4724894,61,0.076704545,0.463092133,0.153846154
60,7,1.1561403,45,0.019886364,0.334489227,0.108262108
61,12,1.31797,50,0.034090909,0.40027658,0.122507123
62,42,1.7081656,139,0.119318182,0.558899721,0.376068376
63,28,1.6178579,91,0.079545455,0.522187644,0.239316239
64,96,2.420898,255,0.272727273,0.848641206,0.706552707
65,25,2.1973,270,0.071022727,0.757743673,0.749287749
66,16,1.3938289,49,0.045454545,0.4311149,0.11965812
67,8,1.0445806,36,0.022727273,0.289137742,0.082621083
68,8,1.0445806,37,0.022727273,0.289137742,0.085470085
69,26,1.4135897,71,0.073863636,0.439148103,0.182336182
70,10,1.1768752,51,0.028409091,0.342918423,0.125356125
71,26,1.4791844,119,0.073863636,0.465813799,0.319088319
72,10,1.3034559,111,0.028409091,0.394376277,0.296296296
73,36,1.9276668,244,0.102272727,0.648131814,0.675213675
74,33,1.8805417,208,0.09375,0.628974418,0.572649573
75,23,1.4516129,106,0.065340909,0.454605374,0.282051282
76,8,1.0445806,39,0.022727273,0.289137742,0.091168091
77,8,1.0445806,39,0.022727273,0.289137742,0.091168091
78,25,1.4516129,106,0.071022727,0.454605374,0.282051282
79,34,1.8358343,196,0.096590909,0.610799871,0.538461538
80,48,1.9710253,224,0.136363636,0.665758003,0.618233618
81,25,1.4931926,130,0.071022727,0.471508442,0.35042735
82,8,1.0207884,37,0.022727273,0.279465687,0.085470085
