Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3,Integration [HH] R3,Total Connectivity R3
0,38,1.785715,136,0.072380952,0.557543046,0.328244275
1,24,1.6211112,128,0.045714286,0.494354625,0.307888041
2,42,2.0180571,154,0.08,0.646734975,0.374045802
3,12,1.2063863,33,0.022857143,0.335149238,0.066157761
4,8,1.0207884,38,0.015238095,0.263901562,0.078880407
5,10,1.1561403,54,0.019047619,0.315860708,0.119592875
6,22,1.6071428,94,0.041904762,0.488992409,0.221374046
7,17,1.7307693,95,0.032380952,0.536450386,0.223918575
8,16,1.7269484,106,0.03047619,0.534983611,0.251908397
9,34,1.7372102,135,0.064761905,0.538922931,0.325699746
10,37,1.8518485,164,0.07047619,0.5829305,0.399491094
11,91,2.1723499,198,0.173333333,0.70596519,0.486005089
12,155,2.4306831,238,0.295238095,0.805134632,0.58778626
13,55,2.1370347,212,0.104761905,0.692408324,0.521628499
14,41,1.8518485,167,0.078095238,0.5829305,0.407124682
15,60,2.0270002,155,0.114285714,0.65016807,0.376590331
16,69,2.1680176,155,0.131428571,0.704302099,0.376590331
17,69,2.1471546,172,0.131428571,0.69629317,0.419847328
18,71,2.1471546,175,0.135238095,0.69629317,0.427480916
19,68,2.1525943,169,0.12952381,0.698381373,0.41221374
20,30,1.8391043,148,0.057142857,0.578038233,0.358778626
21,12,1.3815587,108,0.022857143,0.402394754,0.256997455
22,35,1.9406976,172,0.066666667,0.617038063,0.419847328
23,194,2.4751656,223,0.36952381,0.82221066,0.549618321
24,35,1.9787503,163,0.066666667,0.631645806,0.396946565
25,25,1.7963344,155,0.047619048,0.561619642,0.376590331
26,28,1.7963344,155,0.053333333,0.561619642,0.376590331
27,16,1.31797,51,0.03047619,0.377984202,0.111959288
28,12,1.2052853,36,0.022857143,0.334726584,0.073791349
29,10,1.1191936,36,0.019047619,0.301677538,0.073791349
30,14,1.3076391,45,0.026666667,0.374018356,0.096692112
31,18,1.3845592,43,0.034285714,0.403546591,0.091603053
32,16,1.2989333,38,0.03047619,0.370676357,0.078880407
33,12,1.2123377,46,0.022857143,0.337433873,0.099236641
34,12,1.2906152,76,0.022857143,0.367483189,0.175572519
35,28,1.7841618,119,0.053333333,0.556946801,0.284987277
36,38,1.632839,85,0.072380952,0.498856715,0.198473282
37,38,1.632839,85,0.072380952,0.498856715,0.198473282
38,10,1.1981546,54,0.019047619,0.331989237,0.119592875
39,12,1.2123377,48,0.022857143,0.337433873,0.1043257
40,20,1.4135897,76,0.038095238,0.414690875,0.175572519
41,34,1.8337219,109,0.064761905,0.575972027,0.259541985
42,66,2.0671797,126,0.125714286,0.665592253,0.302798982
43,0,0.76619166,23,0,0.166166479,0.040712468
44,12,1.4744722,31,0.022857143,0.438062566,0.061068702
45,18,1.5154221,37,0.034285714,0.453782491,0.076335878
46,71,2.1525943,167,0.135238095,0.698381373,0.407124682
47,79,2.2015169,165,0.15047619,0.717161874,0.402035623
48,59,2.1680176,152,0.112380952,0.704302099,0.368956743
49,40,1.9805739,146,0.076190476,0.632345853,0.353689567
50,26,1.7164973,156,0.04952381,0.530971623,0.37913486
51,10,1.1561403,54,0.019047619,0.315860708,0.119592875
52,20,1.569167,48,0.038095238,0.474414186,0.1043257
53,20,1.550553,50,0.038095238,0.467268608,0.109414758
54,12,1.2241485,48,0.022857143,0.341967825,0.1043257
55,12,1.2241485,53,0.022857143,0.341967825,0.117048346
56,20,1.4135897,77,0.038095238,0.414690875,0.178117048
57,34,1.8337219,105,0.064761905,0.575972027,0.249363868
58,65,2.1240644,120,0.123809524,0.68742926,0.287531807
59,53,1.9363272,115,0.100952381,0.615360345,0.27480916
60,24,1.5785179,100,0.045714286,0.478003828,0.236641221
61,28,1.6684235,77,0.053333333,0.512516961,0.178117048
62,34,1.6734514,73,0.064761905,0.514447081,0.167938931
63,22,1.4724894,75,0.041904762,0.437301404,0.17302799
64,28,1.6981779,68,0.053333333,0.523939137,0.155216285
65,23,1.9614588,55,0.043809524,0.625007912,0.122137405
66,16,1.6531878,48,0.03047619,0.506668251,0.1043257
67,0,0.84615386,41,0,0.196862521,0.086513995
68,28,1.8369439,108,0.053333333,0.577208894,0.256997455
69,0,1.1561403,54,0,0.315860708,0.119592875
70,36,1.9309677,150,0.068571429,0.61330293,0.363867684
71,70,2.2358572,144,0.133333333,0.730344494,0.348600509
72,43,1.9916508,120,0.081904762,0.636598074,0.287531807
73,15,1.4896638,93,0.028571429,0.443894346,0.218829517
74,7,1.1768752,60,0.013333333,0.323820461,0.134860051
75,14,1.3873683,48,0.026666667,0.404624954,0.1043257
76,18,1.6132691,80,0.034285714,0.491344185,0.185750636
77,46,1.9491093,121,0.087619048,0.620267162,0.290076336
78,0,1.5365106,79,0,0.461877985,0.183206107
79,239,2.417233,173,0.455238095,0.799971382,0.422391858
80,0,1.4337122,94,0,0.422415539,0.221374046
81,14,1.2989333,35,0.026666667,0.370676357,0.071246819
82,8,1,27,0.015238095,0.255921271,0.050890585
83,6,0.8619656,20,0.011428571,0.202932362,0.03307888
84,31,1.8597906,82,0.059047619,0.585979329,0.190839695
85,32,1.6666666,79,0.060952381,0.511842519,0.183206107
86,10,1.2621337,75,0.019047619,0.356549656,0.17302799
87,16,1.4028426,69,0.03047619,0.410565258,0.157760814
88,0,1.4028426,71,0,0.410565258,0.162849873
89,45,1.9731473,97,0.085714286,0.629494916,0.229007634
90,70,2.0270002,119,0.133333333,0.65016807,0.284987277
91,33,1.8344153,111,0.062857143,0.57623821,0.264631043
