Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3 n,Integration [HH] R3 n,Total Connectivity R3 n
0,0,0.87255627,15,0,0.238951019,0.030188679
1,0,1.0189475,18,0,0.303822767,0.041509434
2,0,0.42239243,11,0,0.039465607,0.01509434
3,6,0.87255627,15,0.01875,0.238951019,0.030188679
4,48,1.8979635,55,0.15,0.693349542,0.181132075
5,26,1.6474625,51,0.08125,0.582342636,0.166037736
6,18,1.2989333,42,0.05625,0.427895555,0.132075472
7,10,1.1087778,28,0.03125,0.343630127,0.079245283
8,12,1.2063863,30,0.0375,0.386884316,0.086792453
9,10,1.1365665,41,0.03125,0.3559444,0.128301887
10,16,1.3873369,53,0.05,0.467070688,0.173584906
11,14,1.3076391,42,0.04375,0.431753439,0.132075472
12,39,1.6828449,49,0.121875,0.598021977,0.158490566
13,8,1.0445806,36,0.025,0.315181808,0.109433962
14,0,0.49860358,19,0,0.073237784,0.045283019
15,0,0.88468331,33,0,0.244324991,0.098113208
16,26,1.606352,51,0.08125,0.564124946,0.166037736
17,14,1.3006579,41,0.04375,0.428659793,0.128301887
18,10,1.3006579,39,0.03125,0.428659793,0.120754717
19,23,1.4635203,46,0.071875,0.500830568,0.147169811
20,0,0.78571427,32,0,0.200467892,0.094339623
21,12,1.2671746,21,0.0375,0.413822018,0.052830189
22,8,1,26,0.025,0.29542638,0.071698113
23,8,1.0207884,32,0.025,0.304638542,0.094339623
24,14,1.2989333,36,0.04375,0.427895555,0.109433962
25,0,0.33333334,7,0,0,0
26,4,0.70398736,9,0.0125,0.164251464,0.00754717
27,6,0.87255627,11,0.01875,0.238951019,0.01509434
28,6,0.84912294,13,0.01875,0.228566783,0.022641509
29,6,0.84912294,14,0.01875,0.228566783,0.026415094
30,6,0.84912294,14,0.01875,0.228566783,0.026415094
31,6,0.84912294,14,0.01875,0.228566783,0.026415094
32,6,0.84912294,15,0.01875,0.228566783,0.030188679
33,6,0.8619656,20,0.01875,0.234257874,0.049056604
34,8,1,26,0.025,0.29542638,0.071698113
35,14,1.3057258,31,0.04375,0.43090558,0.090566038
36,12,1.2063863,29,0.0375,0.386884316,0.083018868
37,8,0.98558021,22,0.025,0.2890364,0.056603774
38,6,0.8619656,20,0.01875,0.234257874,0.049056604
39,6,0.8619656,21,0.01875,0.234257874,0.052830189
40,8,1,26,0.025,0.29542638,0.071698113
41,14,1.3057258,31,0.04375,0.43090558,0.090566038
42,24,1.4864661,37,0.075,0.51099876,0.113207547
43,14,1.3443909,48,0.04375,0.448039616,0.154716981
44,6,0.94787496,33,0.01875,0.272327711,0.098113208
45,6,0.84912294,18,0.01875,0.228566783,0.041509434
46,6,0.84912294,14,0.01875,0.228566783,0.026415094
47,6,0.84912294,14,0.01875,0.228566783,0.026415094
48,6,0.84912294,14,0.01875,0.228566783,0.026415094
49,6,0.84912294,14,0.01875,0.228566783,0.026415094
50,6,0.84912294,14,0.01875,0.228566783,0.026415094
51,6,0.84912294,14,0.01875,0.228566783,0.026415094
52,6,0.84912294,14,0.01875,0.228566783,0.026415094
53,6,0.84912294,14,0.01875,0.228566783,0.026415094
54,6,0.84912294,15,0.01875,0.228566783,0.030188679
55,6,0.8619656,19,0.01875,0.234257874,0.045283019
56,8,0.98558021,22,0.025,0.2890364,0.056603774
57,12,1.2063863,29,0.0375,0.386884316,0.083018868
58,16,1.2989333,35,0.05,0.427895555,0.105660377
59,18,1.3873683,37,0.05625,0.467084603,0.113207547
60,104,2.1428571,56,0.325,0.801871588,0.18490566
61,6,0.94787496,33,0.01875,0.272327711,0.098113208
62,14,1.3443909,48,0.04375,0.448039616,0.154716981
63,6,0.84912294,14,0.01875,0.228566783,0.026415094
64,6,0.84912294,18,0.01875,0.228566783,0.041509434
65,6,0.84912294,14,0.01875,0.228566783,0.026415094
66,6,0.84912294,14,0.01875,0.228566783,0.026415094
67,0,0.33333334,8,0,0,0.003773585
68,4,0.69804502,14,0.0125,0.161618178,0.026415094
69,8,0.98510355,18,0.025,0.288825173,0.041509434
70,12,1.2222222,25,0.0375,0.39390183,0.067924528
71,12,1.2063863,30,0.0375,0.386884316,0.086792453
72,10,1.1058542,29,0.03125,0.342334565,0.083018868
73,12,1.2052853,36,0.0375,0.38639642,0.109433962
74,0,0.87255627,15,0,0.238951019,0.030188679
75,10,1.1087778,28,0.03125,0.343630127,0.079245283
76,12,1.238816,42,0.0375,0.4012552,0.132075472
