目标词,匹配词,相似度,是否匹配
江南水乡,3,0.93,TRUE
古镇,3,0.932,TRUE
放慢脚步,5,0.873,TRUE
消费不高,5,0.65,FALSE
周末,4,0.676,FALSE
踩坑,5,0.853,TRUE
金属冰箱贴,2,0.537,FALSE
乌镇,3,1,TRUE
小桥流水,3,1,TRUE
白墙黛瓦,3,0.939,TRUE
船声荡漾,4,0.896,TRUE
如诗如画,5,0.904,TRUE
春天,3,0.941,TRUE
油菜花开,3,0.908,TRUE
踏春游玩,4,0.697,FALSE
西栅,3,0.823,TRUE
精华,5,0.944,TRUE
小桥流水人家,3,0.978,TRUE
亲子游,4,0.738,TRUE
西栅东门地下停车场,2,0.704,FALSE
桐乡火车站,2,0.769,TRUE
乌镇汽车站,2,0.84,TRUE
西栅大巴,2,0.715,FALSE
西栅景区内民宿,2,0.7,FALSE
酒店,2,0.663,FALSE
清晨宁静,5,0.748,TRUE
木心美术馆,2,0.936,TRUE
草本本色染坊,3,0.749,TRUE
定升桥,3,1,TRUE
灵水居,2,0.879,TRUE
昭明书院,2,0.86,TRUE
乌镇邮局,2,0.679,FALSE
龙形田,3,1,TRUE
桥里桥茶楼,2,0.859,TRUE
白莲塔,3,0.892,TRUE
夜景,3,0.94,TRUE
水上市集,2,1,TRUE
早茶客,2,0.855,TRUE
烟火气,5,1,TRUE
拍照好看,5,0.766,TRUE
出片,5,0.938,TRUE
带娃家庭,5,0.837,TRUE
小火车,2,0.602,FALSE
网红树屋,2,0.719,FALSE
稻草人,3,1,TRUE
萌宠动物,2,0.9,TRUE
插秧,4,0.776,TRUE
射箭,4,0.691,FALSE
喂萌宠,4,0.795,TRUE
磨豆浆,4,0.912,TRUE
扔沙包,4,0.769,TRUE
钓鱼,4,0.672,FALSE
儿童托管服务,2,0.736,TRUE
春意读书会,4,0.702,FALSE
情景戏剧,3,0.921,TRUE
听书,2,0.803,TRUE
看戏,4,0.801,TRUE
喝茶,2,0.933,TRUE
看景,4,0.726,TRUE
满春夜集,4,0.976,TRUE
暖锅夜酒,3,1,TRUE
油菜花田市集,3,0.899,TRUE
春茶馆,2,0.752,TRUE
下午茶,2,0.897,TRUE
花伴咖啡屋,2,0.724,TRUE
喝咖啡,2,0.907,TRUE
肆意奔跑,4,0.673,FALSE
书香气息,5,0.745,TRUE
酱粽,3,0.961,TRUE
书生羊肉面,3,0.811,TRUE
葱包烩,3,0.712,FALSE
后街酒家,2,0.748,TRUE
野火饭,3,1,TRUE
运河堤上春风集,3,0.778,TRUE
诗意生活,5,0.887,TRUE
慢节奏,5,0.755,TRUE
临水大床房,2,0.824,TRUE
免费早餐,2,0.56,FALSE
免费游览车,2,0.595,FALSE
