目标词,匹配词,相似度,是否匹配
江南水乡,3+1,0.894,True
古镇,3+2,0.857,True
放慢脚步,5+2,0.873,True
消费不高,5+1,0.408,False
周末,4+1,0.676,False
踩坑,5+1,0.702,False
金属冰箱贴,2+3,0.537,False
乌镇,3+5,0.842,True
小桥流水,3+1,0.783,True
白墙黛瓦,3+2,0.719,False
船声荡漾,4+1,0.896,True
如诗如画,5+2,0.854,True
春天,3+1,0.628,False
油菜花开,3+1,0.728,True
踏春游玩,4+1,0.697,False
西栅,3+2,0.823,True
精华,5+2,0.944,True
小桥流水人家,3+1,0.803,True
亲子游,4+1,0.738,True
西栅东门地下停车场,2+3,0.704,False
桐乡火车站,2+1,0.769,True
乌镇汽车站,2+3,0.791,True
西栅大巴,2+3,0.677,False
西栅景区内民宿,2+1,0.7,False
酒店,2+1,0.663,False
清晨宁静,5+2,0.728,True
木心美术馆,2+1,0.936,True
草本本色染坊,3+2,0.749,True
定升桥,3+2,0.926,True
灵水居,2+1,0.879,True
昭明书院,2+1,0.86,True
乌镇邮局,2+1,0.658,False
龙形田,3+1,0.889,True
桥里桥茶楼,2+1,0.845,True
白莲塔,3+2,0.868,True
夜景,3+1,0.912,True
水上市集,2+3,0.66,False
早茶客,2+1,0.772,True
烟火气,5+2,0.958,True
拍照好看,5+2,0.766,True
出片,5+2,0.938,True
带娃家庭,5+2,0.837,True
小火车,2+3,0.602,False
网红树屋,2+1,0.668,False
稻草人,3+1,0.908,True
萌宠动物,2+3,0.757,True
插秧,4+1,0.776,True
射箭,4+1,0.691,False
喂萌宠,4+1,0.795,True
磨豆浆,4+1,0.912,True
扔沙包,4+1,0.769,True
钓鱼,4+1,0.672,False
儿童托管服务,2+3,0.524,False
春意读书会,4+1,0.702,False
情景戏剧,3+3,0.788,True
听书,2+1,0.803,True
看戏,4+1,0.801,True
喝茶,2+1,0.788,True
看景,4+1,0.726,True
满春夜集,4+1,0.976,True
暖锅夜酒,3+4,1.0,True
油菜花田市集,3+1,0.688,False
春茶馆,2+1,0.7,False
下午茶,2+1,0.871,True
花伴咖啡屋,2+1,0.724,True
喝咖啡,2+1,0.907,True
肆意奔跑,4+1,0.673,False
书香气息,5+2,0.745,True
酱粽,3+4,0.927,True
书生羊肉面,3+4,0.771,True
葱包烩,3+4,0.686,False
后街酒家,2+1,0.748,True
野火饭,3+4,1.0,True
运河堤上春风集,3+1,0.748,True
诗意生活,5+2,0.724,True
慢节奏,5+2,0.755,True
临水大床房,2+1,0.824,True
免费早餐,2+3,0.509,False
免费游览车,2+3,0.595,False
手摇船体验,4+1,0.795,True
扎染体验,4+1,0.718,False
乌镇民宿,2+1,0.896,True
民宿1.5米临水大床,2+3,0.471,False
开盲盒,4+1,0.546,False
临水房,2+2,0.663,False
民宿套票,2+3,0.581,False
两天大部分活动,4+1,0.489,False
入住西栅景区,2+1,0.751,True
民宿提供的早餐,2+3,0.53,False
早茶客市集,2+1,0.724,True
新市,3+4,0.882,True
历史感,5+2,0.934,True
沉浸场景,5+2,0.815,True
内容体验,5+2,0.685,False
运营能力,5+1,0.668,False
服务质量,5+1,0.472,False
怀旧情结,5+3,0.755,True
情绪,5+3,0.645,False
审美价值,5+2,0.729,True
文化财富,3+3,0.601,False
古镇原貌,3+2,0.832,True
童年的梦,5+3,0.5,False
水乡韵味,5+2,0.79,True
枕水人家,3+2,0.785,True
青旅,2+1,0.909,True
经济型酒店,2+3,0.505,False
茅盾故居,3+2,0.846,True
木心故居纪念馆,3+2,0.835,True
百床馆,2+1,0.844,True
西栅大剧院,2+1,0.822,True
草木本色染坊,3+2,0.798,True
摇橹船,2+3,0.682,False
当地居民,5+1,0.714,False
生活气息,5+2,0.835,True
羊肉面,3+4,0.839,True
吴妈馄饨,3+4,0.84,True
定胜糕,3+4,0.959,True
乌镇酱鸭,3+4,0.924,True
萝卜丝饼,3+4,0.892,True
白水鱼,3+4,0.728,True
三白酒,3+4,0.814,True
汉服,3+3,0.765,True
旗袍,3+4,0.885,True
传统水乡早餐文化,3+4,0.732,True
氛围感,5+2,0.75,True
世外桃源,5+2,0.752,True
静谧,5+2,0.702,False
