评论,打分,积极评价要素词汇_1,积极评价要素词汇_2,积极评价要素词汇_3,积极评价要素词汇_4,积极评价要素词汇_5,积极评价要素词汇_6,积极评价要素词汇_7,积极评价要素词汇_8,积极评价要素词汇_9,积极评价要素词汇_10,积极评价要素词汇_11,积极评价要素词汇_12,积极评价要素词汇_13,积极评价要素词汇_14,积极评价要素词汇_15,积极评价要素词汇_16,积极评价要素词汇_17,积极评价要素词汇_18,积极评价要素词汇_19,积极评价要素词汇_20,积极评价要素词汇_21,积极评价要素词汇_22,积极评价要素词汇_23,积极评价要素词汇_24,积极评价要素词汇_25,积极评价要素词汇_26,积极评价要素词汇_27,积极评价要素词汇_28,积极评价要素词汇_29,积极评价要素词汇_30,积极评价要素词汇_31
我是裸辞旅行的小晏哥逛了很多江浙沪古镇在苏州找到了一个本地人都很少知道的地方震泽古镇震泽古镇游客极少免费无门票却有近千年的历史被称为丝绸之镇有着两处值得观赏的全国文保师俭堂和慈云禅寺我一个人沿河漫步半天在没有人挤人的江南水乡闲逛就很舒服???? 如何去震泽古镇震泽古镇位于??苏州吴江区古镇免费开放部分景点需要小门票自驾直接导航震泽古镇公交可以乘坐苏州7501路到师俭堂站?? 必逛景点推荐1?? 慈云禅寺始建于宋朝的古寺也是全国重点文物宝物单位六面五层高的慈云寺塔是震泽古镇的地标还有明清壁画遗留很值得观赏2?? 师俭堂典型的江南大宅建于清朝里面的锄经园被称为国内最袖珍的江南园林小而立体极美??3?? 禹迹桥与慈云寺相邻的清朝拱桥可以拍拱桥倒影4?? 宝塔街沿街很多茶店小吃非常有烟火气??震泽古镇不大都是当地人在里面生活可以安排半天时间慢逛坐在河边喝茶小憩茶店都不贵就很惬意,9,"震泽古镇,游客极少,免费无门票,近千年历史,丝绸之镇,沿河漫步,没有人挤人,慈云禅寺,师俭堂,全国文保,禹迹桥,宝塔街,烟火气,当地人在里面生活,河边喝茶,惬意",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
相比其他古镇的热闹上午八点的震泽老街格外清冷倒也不是古镇风光不够好实在是周庄同里乌镇南浔的名气太响了吧[笑哭R]震泽老街不算大却很有特点1??慈云禅寺全国重点文物保护单位相传是三国时期孙夫人的望夫塔2??禹迹桥老街水路的制高点登高可以俯瞰老街远眺文昌阁和頔塘桥3??仁里坊可以拍到宝塔老街弄堂三轮车的经典机位周边的师俭堂和四碗茶楼很有名4??老街茶楼沿河的宝塔街和南横街都是茶馆天气凉快的时候本地人最爱去一盏熏豆绿茶加一碟零食是标配,8,"清冷,古寺,慈云禅寺,禹迹桥,仁里坊,宝塔,老街,弄堂,三轮车,师俭堂,四碗茶楼,茶馆,熏豆绿茶",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
师俭堂始建于清朝嘉庆六年它以宝塔街为界分南北两部分是集河埠行栈商铺街道厅堂内宅花园下房等于一体的江南民居古建筑群堂内有处花园名为锄经园占地仅有半亩其间沿壁回廊假山半亭花卉树木均布局巧妙??索尼7CM2????????我是雨晴烟晚一位喜欢花花草草喜欢猫猫狗狗的摄影爱好者不定时分享苏州园林美景小动物等原图可??雨晴烟晚85自取照片均为原创创作不易禁止二改商用等转载请@本人感谢支持| 苏州旅行 | 苏州攻略 | 苏州拍照 | 每日打卡 || 记录生活 | 日常碎片 | 夏日赏花 | 每日壁纸 || 摄影日常 | 周末去哪儿 | 周末好去处 |,9,师俭堂,清朝嘉庆六年,宝塔街,河埠行栈,商铺街道,厅堂内宅,花园,下房,江南民居古建筑群,锄经园,假山半亭,花卉树木,布局巧妙,,,,,,,,,,,,,,,,,,
人少景美的千年古镇不收门票停车还免费,9,"人少,景美,千年古镇,不收门票,停车免费",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
震泽古镇 一个被人遗忘的江南小镇,4,"震泽古镇, 江南小镇, 被人遗忘",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
震泽古镇???一个被夏日阳光??眷顾的江南秘境??在这里??古朴的青石板路仿佛会讲故事??古老的建筑群像??是在诉说着千年的过往走在这座冷门的苏州古镇???你会发现这里的每一块砖瓦都有自己的历史??每一个角落都有属于自己的故事??-??景区门票古镇免费开放古镇内部分景点需小门票??地址苏州市吴江区震泽镇宝塔街12号??交通攻略乘坐苏州公交781路至石墩浜桥站或乘坐75017502路至师俭堂-??不可错过的震泽三绝1???慈云寺塔&禹迹桥两者的相互辉映是震泽的灵魂所在也是摄影爱好者的天堂??2???师俭堂这个百年老宅保存完好一步一景每个角落都散发着浓厚的历史韵味3???宝塔街这里汇集了各种当地特色小吃让你在品味传统美食的同时也能感受到浓浓的烟火气??-??美食推荐来到震泽别忘了尝试一下当地的特色小吃海棠糕定胜糕萝卜丝饼这些看似简单的食物却藏着让人回味无穷的味道-PS如果逛完古镇也可以去旁边的柴米多农场体验农耕文化的乐趣也??以坐在在田边的柴米多咖啡馆欣赏远离城市喧嚣的田园风光-@薯队长 @薯条小助手 @生活薯 @摄影薯 @日常薯 @城市情报官 @走走薯 @本地薯,10,"震泽古镇,夏日阳光,江南秘境,古朴,青石板路,古老,建筑群,千年的过往,冷门,苏州古镇,砖瓦,历史,故事,景区门票,古镇免费开放,慈云寺塔,禹迹桥,震泽的灵魂,摄影爱好者,师俭堂,百年老宅,一步一景,历史韵味,宝塔街,特色小吃,传统美食,烟火气,震泽三绝,海棠糕,定胜糕,萝卜丝饼,柴米多农场,农耕文化,柴米多咖啡馆,田园风光,城市喧嚣",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
??AAAA景区门票免费????自驾导航宝塔街停车场???免费??停车古镇不大纯逛的话一个多小时特色是??很多的茶楼价格实惠临河喝茶??非常惬意推荐这个卤菜馆听评弹吃卤菜缺点是人太多了??小吃的话比较多的就是糕点还有绕绕糖童年的回忆 人均五十能够吃饱喝足啦,8,"门票免费,停车古镇,茶楼价格实惠,临河喝茶,童年的回忆,人均五十",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
去了好几次木渎古镇总和明月古寺擦肩而过而在这座低调的千年古刹里却有着苏州人自己的小西天????周末走进这里一整个被震撼住了??天王殿里巨龙昂扬盘飞天王怒目而视脚踩小gui大雄宝殿里三大面墙的五百罗汉姿态各异活灵活现真的太太太太震撼了??现在还是泥塑阶段不敢想象等到彩绘完成后会有多惊艳??和我妹在里面慢慢地逛了一个多小时找到了熟悉的玄奘活佛济公哪吒还有腿巨巨巨长的罗汉三头六臂的泥塑??吹拉弹唱掏耳朵搓澡的罗汉??肚子上有只??型脸的天王而且从不同角度看天王有不同的感觉某个角度对视上感觉他们好像活了真的好有意思啊如果你周末想反向找个人少又有意思的地方那一定要来这里慢慢逛逛看看哦?苏州木渎古镇明月古寺门票????下午1-3点去光照斜在龙身上超有感觉??附近景点虹饮山房严家花园古松园灵岩山,10,"低调,震撼,巨龙,昂扬,盘飞,天王,怒目而视,脚踩小gui,大雄宝殿,三大面墙,五百罗汉,姿态各异,活灵活现,泥塑,彩绘,玄奘,活佛,济公,哪吒,腿巨巨巨长,罗汉,三头六臂,吹拉弹唱,掏耳朵,搓澡,肚子上有只??型脸,从不同角度看,感觉他们好像活了,有意思,人少",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
??震泽古镇真的是个很低调的古镇人少而且很惬意个人很喜欢这种人少安静的古镇小朋友可以肆意奔跑玩耍在这里你可以看到好多人在湖边茶馆点上一壶茶跟亲朋好友聊聊天晒晒太阳待到傍晚再赏个落日慢慢悠悠得回家去了??苏州市吴江区震泽古镇??门票免费??部分景点需收费?开放时间全天开放??师俭堂8:45-16:30文昌阁8:00-17:00???停车场宝塔街停车场免费??游玩景点这里拥有着二千多年历史是蚕丝之乡但是这里却极为低调保留着原生态人少很安静特别适合跟朋友家人坐在湖边茶馆喝杯茶聊聊天度过一个悠闲周末时光??景点打卡宝塔街师俭堂慈云寺塔禹迹桥 文昌阁??美食??阿婆圆子萝卜丝团子??老字号仁昌顺桂花糕定胜糕??铜锣鸡腿鸡腿??腌制入味的鸡腿炸得焦香酥脆肉质鲜嫩多汁萝卜丝饼也可以尝尝??四碗茶??38/套分别是待帝茶水铺鸡蛋熏豆茶和绿茶非常有特色店家还赠送瓜子花生果条干??贴心tips?古镇多为石板路不适合推推车?拍照建议清晨傍晚适合拍照?附近游玩太湖雪蚕桑文化园@薯队长@薯队长@薯条小助手@薯条小助手@生活薯@生活薯@摄影薯  @日常薯@日常薯@城市情报官  @走走薯@走走薯@本地薯,9,"低调,人少,安静,惬意,小朋友,奔跑,玩耍,湖边,茶馆,亲朋好友,聊聊天,晒晒太阳,落日,慢慢悠悠,回家,二千多年历史,蚕丝之乡,极为低调,保留,原生态,悠闲周末时光,宝塔街,师俭堂,慈云寺塔,禹迹桥,文昌阁,阿婆圆子,萝卜丝团子,仁昌顺,桂花糕,定胜糕,铜锣鸡腿,腌制入味,焦香酥脆,肉质鲜嫩多汁,萝卜丝饼,四碗茶,待帝茶,水铺鸡蛋,熏豆茶,绿茶,特色,赠送,瓜子,花生,果条干,石板路,不适合推推车,清晨,傍晚,适合拍照,太湖雪蚕桑文化园",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"如画般的婉约苏州如果你喜欢江南水乡的宁静古朴苏州一定不会让你失望but, 苏州除了园林就是古镇基本没啥山山水水的自然景观[笑哭R]P2震泽古镇位于吴江区一点点大出片的就是慈云禅寺这一块P3山塘街白居易码头这个位置朝西适合日落时候拍如果有火烧云就更好了P4垂虹桥遗址有2段免费的小公园周边很多特色美食饭店图中这一段适合日落断桥另一头适合日出P5退思园位于同里古镇避开苏州市内知名园林人流的好去处精致小巧该有的都有非常出片的小园子P6同里积善堂避开人流的好地方P7阳澄湖天主教堂经典日落打卡机位P8石湖的天镜阁LKS相机漂流带火的地方推荐傍晚亮灯去拍P9东太湖阅湖台也是日落拍照的好地方有无人机的话可以俯瞰整个东太湖苏州湾P10金鸡湖周围一圈都是拍照的好地方天气好都很出片",1,"婉约,宁静,古朴,慈云禅寺,白居易码头,日落,火烧云,垂虹桥遗址,特色美食,饭店,退思园,同里古镇,积善堂,阳澄湖天主教堂,石湖,天镜阁,东太湖,阅湖台,金鸡湖",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
苏州市吴江区震泽古镇宝塔街上的市俭堂里的右侧仅数十平米的一小缕土地竟也能如此蔚为大观叠石起势为山低洼处落雨为水藤蔓缠绕青苔密布寥寥数支便可郁郁葱葱不规则的地块闪转腾挪间门洞廊桥半亭要素密布这弹丸之地竟然有山竟然有水竟然有林还有亭台楼阁廊腰缦回说实话这屁大点地方还没别处一个洗手间面积大这手笔惊了我因地制宜方寸之间早已龙飞凤舞于细微处做实于方寸之间见乾坤此乃中华根惊鸿一瞥这一瞥怕是要瞥到真东西了??,9,"蔚为大观,叠石起势,落雨为水,藤蔓缠绕,青苔密布,郁郁葱葱,门洞廊桥,半亭,山,水,林,亭台楼阁,廊腰缦回,因地制宜,方寸之间,龙飞凤舞,细微处,见乾坤,中华根惊鸿一瞥",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-来震泽古镇玩真的要来逛逛本地人推荐的丝绸工厂店就在盛泽这边好多纺织厂 买丝绸的店也老多??这家工厂店听朋友说国内外奢牌的丝绸供应商江浙沪附近的?都是节假日开着车来买果真买丝绸就得去产地啊????居然还看到了ffq同款?真能挑到宝选的眼花缭乱??大人小孩 ??男士女士配饰?都有 ??地址苏州市吴江区北环路1988号?华佳工厂店进厂直走200米,9,"震泽古镇,丝绸工厂店,纺织厂,买丝绸,产地,ffq同款,宝,眼花缭乱,配饰,地址,华佳工厂店",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
震泽是一个小众但宁静致远的迷你古镇免费进入连停车场都免费的可以在自驾南浔古镇的路上留一个小时来打卡震泽古镇完全绰绰有余这两个景点之间大概11公里左右千万不要特地自驾而来关于景色这里没有沸腾的商业气息也没有接踵而至的游客但不影响古镇散发的闲散魅力宝塔街入口进去走到慈云禅寺上桥后可以眺望到古镇最美的水乡精致下桥后可以随意找一家茶馆沿河而坐不用特地四碗茶伺候你也能怡然自得的享受着慢时光关于美食老严卤菜馆这一整墙的荣誉和拿得出的卤菜绝对是这个镇子的重磅黑豆干咸甜度刚好口干扎实还有炖的酥烂的牛腱肉片配上苏式红汤面望一眼窗外临河的精致太下面饭了宝塔街入口处的仁昌顺超多点心门面外头有刚出炉的麦芽塌饼油墩子和各种米糕get了让人无法理解的苏轼绿豆汤初次尝试不觉得有啥不适糯米有嚼劲绿豆颗粒感十足冰薄荷风味恰如其分提神醒脑没感觉到是在喝风油精还搭配了五仁月饼里的青红丝这一杯把清凉解暑的气质拿捏的死死的还是很推荐尝试的头脑无比清醒的情况下还配了一快薄荷糕定胜糕的化身加持淡淡的青绿色跟古镇绝配,1,"小众,宁静致远,迷你古镇,免费进入,停车场,自驾,南浔古镇,震泽古镇,景点,商业气息,游客,闲散魅力,宝塔街,慈云禅寺,水乡精致,茶馆,慢时光,老严卤菜馆,荣誉,卤菜,黑豆干,咸甜度,口干扎实,牛腱肉片,苏式红汤面,临河,仁昌顺,点心,麦芽塌饼,油墩子,米糕,苏轼绿豆汤,糯米,嚼劲,绿豆颗粒感,冰薄荷风味,提神醒脑,风油精,五仁月饼,青红丝,清凉解暑,薄荷糕,定胜糕,青绿色",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
考运福地糕粽古镇??除了定胜糕你还能吃点啥????,4,"考运福地,糕粽古镇,定胜糕",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1??定胜糕 超好吃的糕点不会特别甜造型也很漂亮2??油墩 香香香香的不行里面的肉还带点汤汁超喜欢3??萝卜丝饼 四块钱一个略贵 但是味道还是很不错的,1,"定胜糕,超好吃,糕点,不会特别甜,造型,漂亮,油墩,香香香香,肉,汤汁,超喜欢,萝卜丝饼,略贵,味道,不错",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
相比江南六大古镇我更喜欢人少景美的震泽古镇,9,"人少,景美",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
在师俭堂里的锄经园因为地处震泽而远离了游客喧嚣绿意盎然藤蔓交错纸墙斑驳苔花如米所呈现出的一方幽静天地足够我发呆一整天,9,"师俭堂,锄经园,震泽,游客喧嚣,绿意盎然,藤蔓交错,纸墙斑驳,苔花如米,幽静天地",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
休闲就想走走看看喝喝茶聊聊天推荐黎里古镇还是震泽古镇?,6,休闲,走走,看看,喝喝茶,聊聊天,黎里古镇,震泽古镇,,,,,,,,,,,,,,,,,,,,,,,,
休闲就想走走看看喝喝茶聊聊天推荐黎里古镇还是震泽古镇?,7,"休闲,走走,看看,喝喝茶,聊聊天,黎里古镇,震泽古镇",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
震泽古镇白墙黛瓦古桥流水漫步其间邂逅江南旧梦感受岁月静好,10,"震泽古镇,白墙黛瓦,古桥流水,漫步,邂逅,江南旧梦,感受,岁月静好",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
这是个并不出名的江南小镇远不及十几公里外南浔古镇的热闹但是在这里你可以走可以停可以想也可以不想最重要的是你可以不被人群和所谓的机位裹挟......,7,"江南小镇,热闹,走,停,想,不被人群,机位,裹挟",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应该是游客最少的江南小镇了吧比邻南浔古镇却鲜有游客傍晚的夕阳伴着古塔暮钟炊烟袅袅吃完晚饭的居民在河边遛弯闲谈好不悠闲大学的每个寒暑假都在这里度过当时并无心思去欣赏它的悠闲与美丽多年后再次返回才慢慢感受到它的一点魅力那是一种飘摇中的安心路过一家花店四十多度的高温两只猫咪被笼养在门外店主不知所踪猫咪热得直吐舌头哈大气真让人生气??给吃的还是大米饭这么热都馊了,4,"游客最少,江南小镇,南浔古镇,鲜有游客,夕阳,古塔暮钟,炊烟袅袅,居民,河边遛弯闲谈,悠闲,美丽,飘摇中的安心,花店,猫咪,笼养,高温,店主不知所踪,大米饭,热都馊了",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
古镇一衣带水老房子寺庙与塔都在同一边地方不大但造型优美别致特别是墙面很有特色古镇离南浔古镇不远开车仅17分钟游南浔时有时间可以将震泽古镇一并游了虽距离不远却是从浙江湖州到苏州了震泽古镇是江苏吴江的一个镇临近春节圆拱门遮了一个布帘圆拱门与塔同框的照最近拍不了了看到了河边玉兰含苞待放看到了枯萎的凌霄藤想来花开时候的震泽古镇更漂亮春夏秋三季回程特意绕了下去双林镇看三塔文昌阁在河边位于东边西边就是三桥有无人机的朋友拍拍桥上日出不错文昌阁楼上可观三桥但今天去时在维修上不了楼,8,"古镇,老房子,寺庙,塔,地方不大,造型优美别致,墙面,特色,南浔古镇,震泽古镇,江苏吴江,圆拱门,塔,河边,玉兰,含苞待放,凌霄藤,花开,春夏秋,双林镇,三塔,文昌阁,河边,东边,西边,三桥,无人机,桥上日出,维修",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
七都八都都应该知道的巨好吃本帮菜馆开了27年老店每天都爆满可想而知有多好吃材料基本都是自己家做的又便宜又真材实料白切肥肠好软糯第一次吃这么duang的肥肠还有烩三鲜里自家炸的排骨怎么能这么香去柴米多稻田咖啡不知道去哪吃饭可以试试这家,27,"好吃,本帮菜馆,开了27年,老店,爆满,材料,自己家做的,便宜,真材实料,白切肥肠,软糯,duang,烩三鲜,自家炸,排骨,香",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
最近都在看稻田发现苏州震泽的柴米多农场有一个坐拥65亩稻田风光的咖啡馆而且杭州开车过去才1.5小时之前总觉得开车去苏州至少要2个半小时以上另外农场还有民宿餐厅和果园和家属带着宝宝去农场住了一晚感叹了一下还得是江苏的农村啊-柴米多的稻田咖啡馆建筑本身就很好看和边上的自然教育中心像阅读室偶尔有展览一起整个长条形的像船只加上65亩稻田包括荷塘水杉林白色房屋和木栈道如果航拍应该会更好看就像船只漂浮在水面上也因为生态丰富所以在稻田里散步奔跑的时候很有乡下生活的惬意感-落地窗面朝稻田室内外各有各的惬意也因为稻田面积特别大所以如果国庆去也不怕人挤人也能拍出没人的照片-咖啡馆里有自己的创意饮品是稻米和咖啡的结合一份咖啡里有一杯浓缩一杯米乳一杯稻米冰淇淋一杯冰水先吃冰淇淋再品尝一下米乳最后把浓缩分别倒进以上饮品自制特调味道竟然还不错而且米乳19月龄宝宝也能喝-除了咖啡馆我们还在柴米多住民宿吃云南菜还去了震泽古镇2天1晚的行程很轻松等我攻略-??店名柴米多稻田咖啡馆??地址在苏州震泽导航柴米多稻田咖啡馆就可以边上不远就有个公共停车场?营业时间09:00-18:00??小贴士上午人很少傍晚时分的稻田在夕阳下会更金黄拍照会更好看,1,"稻田风光,咖啡馆,民宿,餐厅,果园,宝宝,江苏,农村,柴米多,稻田咖啡馆,建筑,自然教育中心,阅读室,展览,荷塘,水杉林,白色房屋,木栈道,生态,乡下生活,落地窗,室内外,国庆,人挤人,创意饮品,稻米,咖啡,米乳,稻米冰淇淋,冰水,特调,味道,云南菜,震泽古镇,行程",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
锄经园是江苏震泽古镇上的老宅师俭堂中的一方庭院园主是清朝同治年间的当地首富徐汝福因在太平天国运动发展迅猛时倡导节俭并囤积粮食组织团练保卫乡里后得到李鸿章赏识出任江苏抚恤总局局长成为了集官儒商于一身的一代名流如果要把园主的人生成功经验总结成一点一个俭字足以不要小看节俭这个看似老掉牙的美德对于徐汝福来说是他在社会动荡时期自救救人的密钥从潜意识空间拓扑来看它是锄经园中截断洄游并大规模蓄能的四面厅从个人能量层面来说它能挽救内耗让我们意识保持高频率与家运而言是保持家宅充满爱与福泽的基础从修行角度来看它是去往彼岸的机票储蓄罐另想借此机会特别感谢一下@骀宕 从我第一次研习锄经园时就非常慷慨地让我引用了他所绘制的平面图和照片后期还特地把更完整的资料发给了我在这个大环境中能遇到这样优秀且慷慨友善的陌生人非常感动此篇的平面图来自他所提供的资料特此感谢??,9,"锄经园,师俭堂,徐汝福,节俭,太平天国运动,李鸿章,江苏抚恤总局局长,官儒商,美德,社会动荡,自救救人,四面厅,内耗,家运,爱与福泽,修行,彼岸,机票储蓄罐,平面图,照片,资料,骀宕,优秀,慷慨友善,陌生人",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
