评论,打分,积极评价要素词汇_1,积极评价要素词汇_2,积极评价要素词汇_3,积极评价要素词汇_4,积极评价要素词汇_5,积极评价要素词汇_6,积极评价要素词汇_7,积极评价要素词汇_8,积极评价要素词汇_9,积极评价要素词汇_10,积极评价要素词汇_11,积极评价要素词汇_12,积极评价要素词汇_13,积极评价要素词汇_14,积极评价要素词汇_15
作为比较有代表性的江南水乡古镇之一乌镇有一种会让人放慢脚步的魔力消费也不是很高只需要一个周末就够了但如果没有做好攻略也容易踩累多花冤枉钱这个视频给大家作为参考避免踩坑?,8,"江南水乡,古镇,放慢脚步,消费不高,周末,攻略,踩坑",,,,,,,,,,,,,,
??此款金属冰箱贴取景自乌镇染坊西栅有草木本色染坊东栅有宏源泰染坊晒场竖立着密集的高杆晒布架无数蓝印花布悬挂晾晒于此风景独特规模壮观故而也相当受游人青睐-非遗蓝印花布那抹古朴典雅的靛蓝--@乌镇文创,8,金属冰箱贴,乌镇染坊,草木本色染坊,宏源泰染坊,蓝印花布,风景独特,规模壮观,非遗,古朴典雅,靛蓝,,,,,
乌镇这里被国家地理评为最美古镇小桥流水白墙黛瓦船声荡漾如诗如画现在正值乌镇春天好好生活节油菜花开的正好很适合踏春游玩马上清明五一了如果你只去一个古镇我建议你来这.??但乌镇人很多怎么才能避开人且玩到精华呢游玩避堵攻略来啦.?知识点[一R]乌镇有东栅西栅北栅第一次来不用考虑直冲西栅这是乌镇精华所在可看小桥流水人家[二R]乌村是乌镇适合亲子游的地方.??怎么去??自驾建议停西栅东门地下停车场不用担心日晒雨淋??火车到桐乡火车站转K282/K281到乌镇汽车站转K350到西栅景区飞机各地飞杭州萧山机场机场有直达西栅大巴.?划重点建议住西栅景区内民宿或酒店可按实际入住人数免西栅门票一张门票玩两天欣赏清晨宁静的乌镇.?二日游Day1前台办入住-木心美术馆-草本本色染坊-定升桥-灵水居-昭明书院-乌镇邮局-龙形田-桥里桥茶楼-白莲塔-看夜景.Day2水上市集早茶客-坐摇橹船-乌村-返程.?介绍[一R]水上市集吃刘若英同款早茶客感受满满的烟火气.[二R]草本本色染坊拍照好看.[三R]定升桥拍照很出片.[四R]乌 村带娃家庭一定要来这这里有小火车网红树屋稻草人还有很多萌宠动物从早到晚都有不同的活动插秧射箭喂萌宠磨豆浆扔沙包钓鱼还有儿童托管服务娃参加各种活动大人就能解放双手了很适合懒人遛娃.[五R]灵水居下午有春意读书会和情景戏剧可在这听书看戏喝茶看景晚上还有满春夜集暖锅夜酒很舒服放松.[六R]龙形田油菜花田市集在早来春茶馆享用下午茶去花伴咖啡屋喝咖啡在油菜花田肆意奔跑很惬意美好.[七R]昭明书院感受浓浓的书香气息.?美食酱粽书生羊肉面葱包烩后街酒家要尝这里的野火饭很好吃.??住宿景区里有民宿和酒店爱看河景的选河边民宿要品质高的选酒店设施齐全.??4.18号乌镇还有运河堤上春风集的活动哦别错过了,9,"乌镇,小桥流水,白墙黛瓦,船声荡漾,如诗如画,春天,油菜花开,踏春游玩,西栅,精华,小桥流水人家,乌村,亲子游,西栅东门地下停车场,桐乡火车站,K282,K281,乌镇汽车站,K350,杭州萧山机场,西栅大巴,西栅景区内民宿,酒店,免西栅门票,门票玩两天,清晨宁静,木心美术馆,草本本色染坊,定升桥,灵水居,昭明书院,乌镇邮局,龙形田,桥里桥茶楼,白莲塔,夜景,水上市集,早茶客,烟火气,拍照好看,出片,带娃家庭,小火车,网红树屋,稻草人,萌宠动物,插秧,射箭,喂萌宠,磨豆浆,扔沙包,钓鱼,儿童托管服务,春意读书会,情景戏剧,听书,看戏,喝茶,看景,满春夜集,暖锅夜酒,油菜花田市集,春茶馆,下午茶,花伴咖啡屋,喝咖啡,肆意奔跑,书香气息,酱粽,书生羊肉面,葱包烩,后街酒家,野火饭,运河堤上春风集",,,,,,,,,,,,,,
游遍江浙沪之乌镇感受江南水乡的诗意生活淡季慢节奏游玩攻略请收下??交通1上海虹桥-桐乡站40min52r打车至乌镇西栅景区50min50块左右??交通2上海长途客运南站-西栅景区门口2小时55块??住宿一定要住西栅景区里面我12月份去的临水大床房只要819一晚包含房费+门票2张+免费早餐+免费游览车+手摇船体验+扎染体验??住宿官方预订乌镇旅游官方商城??乌镇民宿??民宿1.5米临水大床??等待随机分配体验开盲盒也可以拨打官方电话备注你喜欢的房间号我住的是临水大床9栋2093??临水房最好提前一个月订和打电话备注不然很容易没好房间了??花费2天1夜人均700民宿套票人均400包含了两天大部分活动景区里需要自费的就丰俭由人啦我们在里面人均花了不到200??早茶客7:00-9:00只面向入住西栅景区内的游客每天免费名额300个办入住的时候一定要先预约上没约上也可以吃民宿提供的早餐免费的跟早茶客市集吃的差不多或者直接去自费购买,9,"江南水乡,诗意生活,慢节奏,临水大床房,819一晚,房费,门票,免费早餐,免费游览车,手摇船体验,扎染体验,官方预订,乌镇旅游官方商城,乌镇民宿,民宿1.5米临水大床,随机分配,开盲盒,官方电话,房间号,临水房,提前一个月订,打电话备注,人均700,民宿套票,人均400,两天大部分活动,自费,早茶客,7:00-9:00,入住西栅景区,免费名额,300个,预约,民宿提供的早餐,早茶客市集",,,,,,,,,,,,,,
前几天分享了一些历史卫星图其中一张是乌镇在1969年的航拍可以看到乌镇其实相比临近的西塘南浔新市这些古镇当年并不起眼东栅的规模还稍微大一点西栅基本只有一些沿河的民房今天鼎鼎大名的乌镇其实里面大量的建筑都是新建的仿古建筑但是这不妨碍它在2003年成为首批中国历史文化名镇陈向宏从1999年接手慢慢深入乌镇的设计建设运营最终打造了中国文旅古镇的标杆和顶流乌镇为什么这么吸引人除了过硬的运营能力和服务质量它提供了一个充满历史感丰满的沉浸场景和内容体验之前几次关于历史修旧如旧的讨论其实就可以看出来很多人对这类历史内容的态度其实是非常模糊这里有一丝吊诡的地方在于有一些朋友对传统和历史建筑表达出强烈的关心和在意对历史建筑外貌进行现代设计改造抱有抵触心理但是对这类假文物式的场景又能欣然接受著名历史学家遗产研究学者David Lowenthal很系统地探讨过这个问题他作为遗产研究届的泰斗跳出遗产从人类更普世的过往这个概念入手写下了著作The Past is a Foreign Country过往是带有浪漫色彩的词汇日常的动荡和变化让人们渴望链接过往从而得到一种确信和慰籍人们改造过去为今天的需求和未来的希望服务对于绝大多数普通人记忆历史遗产这些内容其实都是主观的带有偏见的经过美化和改造的这是一个很有趣的现实话题可以延展出很多不同的讨论我们到底有着怎样的历史观和怀旧情结我们如何面对过往与记忆历史对我们的价值是什么不同的人不同的身份不同的诉求会有不同的看法学者在意的是真相而实践者需要抓住的是大多数人的情绪从商业的角度乌镇今天的历史气质不在于学术考证而是在于在提供一种情绪和审美价值从乡村振兴的角度而言历史是一笔宝贵的文化和内容财富但是历史不应该成为发展的镣铐何况我们普通人的历史情结可能从来就不是从真实性出发的拓展阅读19年互联网上有一篇很火的文章乌镇是假的陈向宏为此专门回应了一篇真做假时假亦真感兴趣的朋友可以去看看,8,"新市,古镇,历史感,沉浸场景,内容体验,运营能力,服务质量,怀旧情结,情绪,审美价值,文化财富",,,,,,,,,,,,,,
??交通乘坐高铁到桐乡站或嘉兴南站再转公交或打车前往乌镇  自驾也很方便上海出发约2h杭州出发约1.5h  乌镇内部以步行和摇橹船为主感受水乡韵味  ??-??住宿想体验水乡夜景可住西栅景区内的枕水人家乌镇民宿等  追求性价比可选择景区外的青旅或经济型酒店  ???-??门票东栅门票110元西栅门票150元东西栅联票190元  ??-??游玩东栅适合白天游玩可参观茅盾故居木心故居纪念馆百床馆等感受原生态水乡风貌和文化底蕴  ??西栅夜景超美必去乌镇大剧院木心美术馆草木本色染坊等还可乘坐摇橹船欣赏夜景  ??南栅北栅免费开放可感受当地居民的生活气息  ???????????-??美食??羊肉面肉质鲜嫩汤头鲜美冬天来一碗超暖和  ??吴妈馄饨皮薄馅大汤鲜味美  ????定胜糕口感软糯甜而不腻  ??还有乌镇酱鸭萝卜丝饼白水鱼三白酒等也值得一试  ??-??小贴士穿单色长裙或汉服旗袍进景区拍照超美  记得提前预yue早茶客体验传统水乡早餐文化  游玩时可将行李寄存至服务中心  ??-,8,"古镇原貌,童年的梦,水乡韵味,夜景,枕水人家,乌镇民宿,青旅,经济型酒店,茅盾故居,木心故居纪念馆,百床馆,西栅大剧院,木心美术馆,草木本色染坊,摇橹船,南栅,北栅,当地居民,生活气息,羊肉面,吴妈馄饨,定胜糕,乌镇酱鸭,萝卜丝饼,白水鱼,三白酒,单色长裙,汉服,旗袍,早茶客,传统水乡早餐文化",,,,,,,,,,,,,,
"作品阿丽拉乌镇设计/竣工2014/2018规模25,000地点嘉兴服务范围建筑室内一体化设计[氛围感R]阿丽拉乌镇毗邻乌镇东南的一片湿地景区与著名的西栅景区相距约3km是一个闹中取静的世外桃源酒店拥有126间别墅式套房整体格局以江南村落为原型保留了传统聚落的空间形态基本元素建筑尺度和色彩关系静谧的水面与纯净的建筑形式相协调彰显了建筑之间建筑与植物之间建筑与水面之间多层次半透明的关系建筑师对传统空间再造的可能性进行了探索根据度假酒店的使用需求街巷院落等空间类型被赋予了新的功能和场所精神与此同时经典江南村落曲折迂回错落有致的空间韵味依然得以传承酒店设计遵循了东方文化中的极简审美倾向建筑师捕捉和提炼了江南建筑简约精致宁静的意趣摈弃一切直白的装饰性元素代之以具有现代基调的细腻的材料简练的构造以及淡雅的色彩使形式纯粹的单体建筑重复出现有机生长这种单一个体和复杂群体的矛盾对立正是传统村落最为重要的构型特征??2021年度工程勘察建筑设计行业和市政公用工程优秀勘察设计民用一等奖国优2021璞缇客精品酒店榜?全国榜钻石奖一钻酒店2021上海市建筑学会第九届建筑创作奖?-?公共建筑与工业建筑?-?优秀奖2020年浙江省勘察设计行业优秀勘察设计综合类一等奖2020/2021?ADA年度亚洲设计大奖 - 优秀创作奖2019-2020?A'Design?-?建筑设计?-?金奖2018WAF世界建筑节?-?休闲主导发展领域?-?最佳未来项目?-?高度赞誉奖2018第六届A+Awards?-?最佳酒店类在建项目?-?专业评审奖2018年第55届金块奖?-?最佳国际在建项目?-?大奖2017年世界华人建筑创作优秀奖[飞机R]冬去春来出游佳期欢迎入住打卡的朋友于评论区分享入住体验?",9,"氛围感,世外桃源,静谧,水面,建筑形式,空间形态,基本元素,建筑尺度,色彩关系,多层次,半透明,传统空间再造,场所精神,空间韵味,极简审美,宁静,意趣,材料,构造,色彩,单体建筑,复杂群体,构型特征",,,,,,,,,,,,,,
和姐妹出去旅游怎么能不拍一套闺蜜写真呢看腻了千篇一律的网红妆造这套民国双生花真的不要太新颖[害羞R][害羞R][害羞R],8,"姐妹,旅游,闺蜜写真,网红妆造,民国双生花",,,,,,,,,,,,,,
北方孩子对江南水乡总有一种特别的向往而爱上乌镇是从一个菠萝头垃圾桶开始的垃圾桶都这么好看你说这乌镇得有多秀气初见乌镇无疑是漂亮的水乡模样只需住上一宿你就会发现一个完全不同的真江南早起寻一临水桌椅点上一壶茶水几样小点边吃早茶边听戏曲大爷大娘架船摆摊吆喝叫卖热热闹闹的水上集市市井烟火这等闲情雅趣怎能错过白日里随意闲逛街头巷尾里街弄堂推开的每扇窗都是完全不同的江南画卷傍晚熙熙攘攘的游客散去被灯光装点过的水桥和街巷寂静到只有猫咪和我共享流光溢彩的灯笼下深夜热气腾腾的羊肉面配上只有在影视剧听过的打更声那一刻真的很难形容内心的感受乌镇好像就是有种魔力让一切都慢下来茅盾在这里出生长大木心写下一首从前慢汤国梨留诗一首春水鸭头绿夕阳牛背红瓜皮鱼艇子摇出小桥东不同于其他千万个古镇钟灵俊秀文人荟萃是它的底色每年限定的戏剧幻城又是多少人心中的乌托邦我们跌进不同的故事线里大梦一场然后各自离开但雨绵绵船慢慢时光静静构成了千百个再来乌镇的理由快来加入城市达人计划发表态写留言成为城市生活的代言人[飞吻R],9,"江南水乡,菠萝头垃圾桶,秀气,漂亮,真江南,早茶,戏曲,大爷大娘,水上集市,市井烟火,闲情雅趣,街头巷尾,街弄堂,江南画卷,灯光,猫咪,流光溢彩,灯笼,深夜羊肉面,打更声,茅盾,木心,从前慢,汤国梨,钟灵俊秀,文人荟萃,戏剧幻城,乌托邦,雨绵绵,船慢慢,时光静静",,,,,,,,,,,,,,
去乌镇听点不一样的大实话吧哭晕了??为什么去乌镇前没有刷到这篇攻略去过乌镇才知道做攻略的重要性??乌镇春天已经next level??送给即将去乌镇的姐妹??结合本地人真诚建议里面包含了行程交通建议和美食希望即将去乌镇游玩的姐妹能够避坑-,8,"乌镇,春天,攻略,行程,交通,美食,避坑",,,,,,,,,,,,,,
