评论,打分,积极评价要素词汇_1,积极评价要素词汇_2,积极评价要素词汇_3,积极评价要素词汇_4,积极评价要素词汇_5,积极评价要素词汇_6,积极评价要素词汇_7,积极评价要素词汇_8,积极评价要素词汇_9,积极评价要素词汇_10,积极评价要素词汇_11,积极评价要素词汇_12,积极评价要素词汇_13,积极评价要素词汇_14,积极评价要素词汇_15,积极评价要素词汇_16,积极评价要素词汇_17,积极评价要素词汇_18,积极评价要素词汇_19,积极评价要素词汇_20,积极评价要素词汇_21,积极评价要素词汇_22,积极评价要素词汇_23
最近发掘了杭州超有韵味的宝藏地  祥符桥传统风貌街区踏入祥符桥传统风貌街区就像开启了一场时空交错的旅行传统江南建筑的白墙黑瓦错落有致飞檐翘角间藏着悠悠古韵仿佛在诉说着旧时光的故事??与现代建筑元素巧妙融合简洁明快的线条时尚的玻璃幕墙碰撞出别具一格的美感?这里的街巷一步一景沿着河道漫步??水波荡漾倒映着两岸建筑既有江南水乡的温婉柔情又不失现代都市的精致格调明代古桥祥符桥静静伫立与新建的现代感桥梁平波桥卧虹桥相映成趣仿佛穿越时空随手一拍都是大片??逛累了随便走进一家小店咖啡香茶香弥漫还能淘到各种创意十足的手工艺品??你们打卡过哪些超美的特色建筑快在评论区分享分享咱们一起 种草 更多宝藏地[黄金薯R]项目名称祥符桥传统风貌街区设计公司goa大象设计空间摄影奥观建筑视觉AOGVISION?,10,"白墙黑瓦,飞檐翘角,玻璃幕墙,街巷,水波荡漾,祥符桥,平波桥,卧虹桥,小店,咖啡香,茶香,手工艺品",,,,,,,,,,,,,,,,,,,,,,
平时真的有人会去这吗?,3,无,,,,,,,,,,,,,,,,,,,,,,
河南中路上有条百年老弄堂就是位于河南中路531--541弄的吉祥里它也是上海千百万石库门中的一条里弄有砖木二层结构17幢1876年竣工属于早期的石库门里弄住宅吉祥里的装饰意味很浓厚不论是大片青砖墙与水泥装饰线条的搭配厢房立面上的几何装饰花纹还是天井外墙上的中式琉璃花窗都甚为精美建筑单元采用行列式排列单元为三间两厢内设天井的形制石料门框配黑漆厚木门扇单元与单元之间采用风火山墙分隔并且装饰有西式的装饰构件或许由于是上海市优秀历史建筑的缘故吉祥里的外观保存情况甚佳很难令人相信眼前的是已然经历了一百四十多年风雨的老房子,8,"砖木二层结构,大片青砖墙,水泥装饰线条,几何装饰花纹,中式琉璃花窗,石料门框,黑漆厚木门扇,风火山墙,西式装饰构件,上海市优秀历史建筑,外观保存情况甚佳",,,,,,,,,,,,,,,,,,,,,,
前几天在杭州的吉祥里看到了潮汕英歌舞它不愧为中华战舞几位舞者以独特的步伐和身法将英歌舞展现给观众时而如蛟龙出海刚劲迅猛时而似彩凤展翅灵动轻盈看到这样的演出也是感慨中华文化的传承真的非常的重要杭州吉祥里位于杭州祥符桥附近这次春节他们举办的活动都非常的精彩是值得大家关注并且一去的文化街区,10,"潮汕英歌舞,中华战舞,舞者,步伐,身法,英歌舞,蛟龙出海,刚劲迅猛,彩凤展翅,灵动轻盈,中华文化,传承,杭州吉祥里,祥符桥,春节,活动,文化街区",,,,,,,,,,,,,,,,,,,,,,
??不想去人挤人想要一个既小众又惬意的地方遛娃来来来告诉你个好去处上周带娃去了祥符桥传统风貌街区老街新造适合遛娃散步还可以解决晚饭吃完饭后漫步河边打发夏日的夜晚??地址绿城吉祥里祥符桥传统风貌街区??地铁十号线花园岗站B出口步行10分钟???停车有地下停车场2h免费超出5r/小时?开放时间全天开放??业态有书店美学生活空间餐厅奶茶店咖啡馆酒吧茶室涂鸦滑板的运动场地等??落日音乐会周末的晚上会在桥头树下举办落日音乐会晚风徐徐音乐缭绕让自己放松一刻汉堡坐着听了40分钟不肯走??花食酒肆这里还有小河直街同款的花食酒肆烤肉店在小河直街嫌人太多就可以来这里不用排队??夏日限定泳池有专门为儿童放置的游泳池工作人员打上漫天的泡沫泡沫喷出的一刹那孩子们都兴奋得尖叫??露天电影在鸟檐餐厅外有露天电影还是吸引了一波大小朋友围观??山外事茶吧在祥符老街的z高处可以爬上去看街区全景享一杯香茗适合放空自己另外茶吧下的树木晚上有很漂亮的球形灯适合拍照??游玩tips??带宝宝的姐妹记得做好驱蚊工作??爱拍照的姐妹可傍晚去灯火辉煌的祥符桥陷入了浪漫的氛围拍照很出片??要是还没逛尽兴还可以去周边游玩拱墅运河体育公园??1.7km大兜路历史文化街区??4.2km小河历史文化街区??4.6km小河公园??5.2km拱宸桥西历史文化街区??5.4km,9,"祥符桥传统风貌街区,老街新造,散步,解决晚饭,河边,业态,书店,美学生活空间,餐厅,奶茶店,咖啡馆,酒吧,茶室,涂鸦滑板的运动场地,落日音乐会,花食酒肆,夏日限定泳池,露天电影,山外事茶吧,全景,香茗,球形灯,驱蚊工作,灯火辉煌,浪漫氛围,拍照,拱墅运河体育公园,大兜路历史文化街区,小河历史文化街区,小河公园,拱宸桥西历史文化街区",,,,,,,,,,,,,,,,,,,,,,
?? 位于杭州市拱墅区的祥符里历史街区/吉祥里经过精心改造保留了街区的传统风貌同时注入了现代活力??? 祥符里拥有约800年历史的祥符桥是宋代运河文化的重要传承地这里曾是老工业区和城郊结合部现在则焕发出了新的生机?? 设计理念是在保留街区市井风貌的基础上激发活力古建元素与现代风格相融合江南风韵与新潮业态碰撞打造出独特的祥符记号?? 街区将围绕祥符市井文化花木文化茶道文化展开引入美术馆餐饮滑板运动品牌等业态这不仅为周边城市提供了高品质公共空间还为老旧街区引入了外部人流激发了活力[鼓掌R][鼓掌R]不过街区现在人气还不旺入驻的商业业态不够丰富希望以后会越来越好,8,"传统风貌,现代活力,祥符桥,宋代运河文化,市井风貌,古建元素,现代风格,江南风韵,新潮业态,祥符记号,祥符市井文化,花木文化,茶道文化,美术馆,餐饮,滑板运动品牌,高品质公共空间",,,,,,,,,,,,,,,,,,,,,,
偶然路过想起他们家的茶冻吸引我一时便去坐坐没想到惊艳了我[哇R]进店后茶艺师姐姐们亲切的接待了我们并带着我们参观了一遍茶室一进门就看到了超多茶叶种类以后我也要把茶袋收集起来还有尺八葫芦丝古琴等传统乐器茶点做的超级精致老板说出品会以模型为准~????茶室分两块区域有公共和包厢区公共区不定期还有讲座开放很期待?茶冻中红茶的滋味非常明显配上桂花蜜糖恰到好处的甜恰到好处的味~[飞吻R]整体古色古朴的装修又与现代的风格融合的恰到好处外面是周边小区的居民活动的场所茶室属于是闹中取静了!整体茶室的氛围很舒适平和真真宝藏茶室[赞R][赞R][赞R],10,"茶冻,亲切,参观,茶叶种类,茶袋,尺八,葫芦丝,古琴,茶点,精致,模型,红茶,桂花蜜糖,甜,味,古色古朴,现代风格,融合,居民活动,闹中取静,氛围,舒适,平和",,,,,,,,,,,,,,,,,,,,,,
??打卡九宫格杭州地标第一篇??? 路线在图三哦 免费打卡1??第一站 绿城吉祥里杭州地标墙不是很好玩就是去打了个卡就是一个刚建好的小街区类似于小区周边商街那样就花了10分钟左右就走了2??第二站 运河天地公园地标打卡地标准的公园直接走到拱宸桥也不是很远适合下午去溜达找地方到完事大概花了20分钟3??第三站 拱宸桥附近财神庙门口地标打卡地拱宸桥标准的江南风格古街道沿着街道走就到里面的一个财神庙地标墙就在财神庙的门口这里不光可以打卡还比较适合慢悠悠的逛一下可以花1个小时左右4??第四站 丝联166文创园丝联166文创园原址是杭州的丝联厂房建于20世纪50年代文创园在保留原有厂房结构的基础上进行了改造去的时候人很少不过里面拍照非常好看建议这个去打卡一下大概需要30-60分钟其实丝联路边上很近还有一个小河直街的地标墙的由于下午赶时间而且饿了就没有去留给第二篇地标墙打卡吧[微笑R]最后去吃了拱墅区大兜路142号的江南驿很好吃赞一个冲冲冲,166,"江南风格,古街道,文创园,厂房结构,拍照",,,,,,,,,,,,,,,,,,,,,,
??传承800年的徽州非遗瞻淇鱼灯空降祥符老街的吉祥里一场提前跨年氛围的瞻淇鱼灯巡游点亮了整个街区由2条4米的大鱼10余条小鱼组成的巡游队伍年味也在舞动的鱼灯中渐渐来临今天拿着相机??提前感受下跨年氛围杭州今年的跨年活动挺丰富期待下,9,"瞻淇鱼灯,祥符老街,吉祥里,跨年氛围,舞动,鱼灯,相机,跨年活动",,,,,,,,,,,,,,,,,,,,,,
晚饭到家门口看见对面停了好多车于是决定去一探究竟一到那里发现果然很精彩啊靠近长廊和碗池河边广场有烟火大会看完烟火大会以为就结束了准备绕到碗池溜达回家结果还有天台快闪音乐会还得是吉祥里主办方会玩据说明天晚上六点四十五还有一场住的不远的可以来玩啊今天又是家门口溜达的一天,9,"烟火大会,天台快闪音乐会,主办方会玩",,,,,,,,,,,,,,,,,,,,,,
