评论,打分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蟠龙天地??地址青浦区蟠鼎路123弄8号??公共交通地铁17号线蟠龙路站3号口出??停车5个停车场8R/小时?时间逛3-4小时左右最好下午4点左右到既可以感受白天的喧嚣傍晚的日暮霞光还可以看到绝美的夜景???蟠龙天地围绕Culture(文化唤醒)Nature(自然融合)Future(城市焕新)三大主题打造了一个现代商业邂逅江南古镇的商业群吃喝玩乐拍照遛娃带宠物撒欢等都很适合Culture(文化唤醒)Part??蟠龙新十景古寺鸣钟十字街香花桥影溪桥渔泊烟雨廊桥程祠故里龙江古渡曲水萦居蟠龙湾艺海听竹其中龙江古渡50R/人单程15分钟200R/船(最多坐6人)??余德耀美术馆自然与传统现代融为一体会定期呈现高品质的艺术展览Nature(自然融合)Part??儿童乐园有大型的亲子乐园包含蹦床滑滑梯攀爬滑板公园马术公园法布尔花园喷泉广场等??宠物乐园有撸猫馆撸狗馆动物乐园等??户外探索夏山营地洛克公园四季花谷等Future(城市焕新)Part??蟠龙水集各种小玩意小吃摊 夜景氛围感满满??沿河咖啡沿河很多咖啡馆坐在河边喝着咖啡 吹着晓风松弛感拉满??各色美食西餐中餐选择性很多露天小酒吧驻场歌手的歌声很美帐篷营地烤肉很香??品茶作为中国的传统饮料这边茶铺也很多加上古建加持真的有种在古代茶馆里喝茶的惬意,10,"蟠龙天地, Culture, Nature, Future, 蟠龙新十景, 古寺鸣钟, 十字街, 香花桥, 溪桥渔泊, 烟雨廊桥, 程祠故里, 龙江古渡, 曲水萦居, 蟠龙湾, 艺海听竹, 余德耀美术馆, 儿童乐园, 宠物乐园, 户外探索, 蟠龙水集, 沿河咖啡, 各色美食, 品茶, 古建",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
酷暑终于要过去了~ 本街溜子又开始出没了hhh.蟠龙已经没有去年刚开业时那么人山人海了但周末还是比较火的不过呢也还好倒也不至于没地儿停车.我觉得这里不是传统古镇而是一个古镇style的现代商场感觉特别适合周边居住的住户来吃吃喝喝和遛弯遛娃遛宠 特意大老远专程过来可能会失望哦[吧唧R].[皱眉R]这个商圈最大的亮点是对遛宠物遛娃的人非常友好基本上每家店都是可以进宠物的而且宠物主人们都看上去很体面很有素质 还可以租借婴儿车 还有不少专门的遛娃遛宠的场地见图8.???停车我习惯停PL1因为这个入口在街边不大需要在蟠龙天地里面绕啊绕进去可以停C区离吃吃喝喝的地方比较近[喝奶茶R]蟠龙天地吃喝消费送的积分还算大方1块钱对应1积分拿着结账单或者消费截图到指示牌指示的i的服务台去兑换积分然后在i天地小程序里积分兑换停车券??工作日200积分免停2小时周末是400积分2小时还可以和新天地的积分通用.吃吃喝喝的选择也很多~ 已经吃了好几家都没踩雷~.之后估计搬到这附近后还会经常来的~,8,"古镇style,现代商场,吃吃喝喝,遛弯遛娃遛宠,遛宠物,遛娃,遛宠,场地,停车,积分,消费,通用,选择,没踩雷",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
出差逛了一圈蟠龙天地工作日的中午绕了15分钟才找到一个停车位总体感觉它既是古镇又是区域商业保留了古镇的格局古镇建筑的体量主路空间用的是大块青石板老料和新材料的拼接还有一些小栋的建筑保留了原有的外立面这些都是现代商业街区模仿不出来的韵味沿河岸的餐厅咖啡店都有景观位坐在河边吹吹风看看小桥流水放空一下真的非常舒服宠物友好好多带狗子去玩儿的对于爱狗人士好感度简直拉满总之吃喝玩乐遛弯遛娃遛宠都很适合,1,"古镇格局,古镇建筑体量,主路空间,大块青石板老料,新材料拼接,小栋建筑原有外立面,韵味,沿河岸餐厅咖啡店景观位,小桥流水,宠物友好,带狗子玩儿,爱狗人士好感度",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
做文化生产者用创意去激发场景再做文化运营者将商业带入社区日常蟠龙天地造出了一个自己的文化品牌也因此实现了一场人造江南水镇的新城市叙事给消费者提供一个更具有生命力的社区氛围呈现了有吸引力的城市微度假商业面貌[自拍R]从现象反推策略文化对于商业项目的赋能论证也就有了具像化,9,"文化, 创意, 场景, 商业, 社区, 文化品牌, 城市叙事, 社区氛围, 吸引力, 城市微度假, 商业面貌, 文化赋能",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我赶在烟雨朦胧中到访了位于青浦的蟠龙天地正值雨季又不是周未整个街区人气略显一般这里开业至今有一年了已成了上海周边区域型消费度假的又一场所整个街区以河为界分为南市和北市蟠龙天地是在1400多年的蟠龙古镇的旧址上进行改建23万方的公园绿地是占地面积最大的因此也被称之为公园式商业你不能当它是一个古镇从案名上来讲它就是瑞安集团天地系列的一个商业项目从英译的案名XINTIANDI便可以看出守旧中创新的并不是在物业形态上严格意义来讲蟠龙天地没有脱离传统江南古镇的影子除了余德耀美术馆COCO-MAT酒店之外没有那种特别出跳的建筑它还是在原来的江南古镇的雏形上进行了空间材料景观等方面的焕新江浙沪太多古镇了江南六大古镇便足以让古镇这种景区式的商业同质化更别说周边还有朱家角枫泾古镇新场古场南翔古镇等这也是项目规划之初必须要面对的课题作为城中村改造项目瑞安在开发过程中必须考虑到整体项目盈利点又要考虑作为配套的商业部分能够运营起来权衡这种关系势必需要利用自身的优势进行考良可凭借新天地强大的商业IP在招商过程发挥强大的优势因此商业部分以自持的方式运营也保证了商业操盘中最核心的部分统一运营管理这确保了不受小业主干扰更不会涉及返租包租免租等售后问题通过商业价值的提升服务管理来带动区域版块价值进而拉升住宅部分的溢价这一点和万科良渚文化村类似万科通过自持商业部分玉鸟流苏食街玉鸟集前身匹配了君澜度假酒店大屋顶艺术中心教堂养老社区茶语公园等来带动了文化村整体版块的价值提升而且这两个项目都提出了同一个定位微度假社区模式两者具备了地理属性操盘思路商业运营等诸多的类似之处回到商业的业态上那么问题来了设想更新改造后的商业街区如果还卖臭豆腐还卖土特产还卖腊肉腊肠这个商业街区不就成了和其它古镇一样的商业了吗这对于瑞安这样具备强大商业操盘能力的开发企业来讲肯定不是选择因此我们现在所看到的商业业态的选择是必然中的必然用现代场景商业反哺周边社区配套因此它不是景区它是区域商业如果把蟠龙天地当成旅游景区大致会有一些失落感的,7,"烟雨朦胧,青浦,蟠龙天地,雨季,周未,街区人气,开业至今,一年,上海周边区域型消费度假,场所,街区,河,南市,北市,1400多年,蟠龙古镇,旧址改建,23万方,公园绿地,占地面积最大,公园式商业,古镇原貌,商业水平不高,童年的梦,江南六大古镇,景区式商业同质化,朱家角,枫泾古镇,新场古场,南翔古镇,城中村改造项目,瑞安集团,天地系列,商业项目,英译案名XINTIANDI,守旧中创新,物业形态,传统江南古镇,余德耀美术馆,COCO-MAT酒店,建筑,江南古镇雏形,空间材料景观焕新,江浙沪古镇,项目规划,课题,整体项目盈利点,配套商业部分运营,自身优势,新天地商业IP,招商过程,强大优势,商业部分自持运营,统一运营管理,小业主干扰,返租包租免租问题,商业价值提升,服务管理,区域版块价值拉升,住宅部分溢价,万科良渚文化村,自持商业部分玉鸟流苏食街玉鸟集前身,君澜度假酒店,大屋顶艺术中心,教堂,养老社区,茶语公园,文化村整体版块价值提升,地理属性,操盘思路,商业运营,类似之处,微度假社区模式,商业业态选择,更新改造后的商业街区,臭豆腐,土特产,腊肉腊肠,强大商业操盘能力开发企业,现代场景商业,反哺周边社区配套,区域商业,旅游景区失落感",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
没想到在上海市区的高楼大厦旁也能找到这样一座江南水乡蟠龙天地实际上是一座由老村镇改建的综合商业市集离虹桥机场仅10分钟车程非常适合周末来半日吃喝玩乐[喝奶茶R]整个市集既保有了原本水乡古镇的小桥流水白墙青瓦也拥有各类餐厅和工艺小店而且还宠物友好??在小巷里穿行经常会在某个转角遇到有意思的店铺而在夜幕降临后平静的河面上倒映临水建筑与树木上的光影搭配市集内各类小摊前的烟火气让整体氛围更显松弛傍晚在水边走走正好可以避避暑??打车/开车可以直接导航蟠龙天地停车???可以从P1进一定要记好上去的楼梯门位置不然晚上走的时候很容易找不到车[薯券R]蟠龙天地里有几个比较好玩/出片的地方详见图2的地图??晚上临河的餐位在Galla R的门口有两个河边的位置坐在河边一边吃饭一边欣赏古镇夜景非常惬意??烟雨廊桥无论是白天还是晚上这作为整个古镇位置最高的桥可以顺着河拍到过往的木船??蟠龙水集烟雨廊桥一段的一片集市里面有几十个各类小摊有玩小游戏卖小吃也有做彩扇和乐器个人感觉晚上更好看一些??宠物公园草坪在游客中心附近的骑马场对面有一片大草坪可供宠物们奔跑天气好的下午这里能看到十几只各类狗狗????水曲桥这里是整个古镇横纵两条河道的交叉点拍人拍景的最佳机位之一????广场看鸽子很多白鸽聚集不仅可以喂鸽子还可以拍鸽子集体起飞,9,"江南水乡,小桥流水,白墙青瓦,餐厅,工艺小店,宠物友好,小巷,店铺,河面,临水建筑,树木,光影,烟火气,水边,古镇夜景,烟雨廊桥,木船,小摊,彩扇,乐器,宠物公园,草坪,骑马场,狗狗,水曲桥,河道,广场,白鸽",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
解密全球100个典型低碳案例31-上海蟠龙天地?,100,古镇原貌,商业水平不高,童年的梦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
这是我逛过非常特别的古镇虽然商业化程度较高但却巧妙地融合了商业与文化虽然网红人家也能长红集合微度假文旅城市更新非标商业等标签于一身蟠龙天地简直就是古镇里的海底捞你真的学不来蟠龙天地拥有现代人渴望的日常Gap感但它与西岸梦中心的气质又有所不同这里既松弛却又不完全放松古镇内的小巷子和转角总是能勾起我们的探索和发现欲望逛一天蟠龙天地下来你别说还挺累的但正是这种微妙的平衡让蟠龙天地成为了一个充满趣味让人想要再次探索的目的地,1,"特别,古镇,商业化,融合,文化,网红,长红,微度假,文旅,城市更新,非标商业,标签,海底捞,日常Gap感,西岸梦中心,气质,松弛,探索,发现欲望,趣味,目的地",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
周末遛娃一天竟然溜了三个古镇妈咪最喜欢歇马桥因为很悠闲小可乐最喜欢还是蟠龙天地又好看 又好玩 又好逛 还好吃玩到不肯回家 [哭惹R][哭惹R][哭惹R]位于上海市虹桥商务区瑞安集团打造的UrbanRetreat城市微度假目的地商业 住宅 酒店 绿地于一体延续新天地开放式街区形态打造的公园里的新天地概念所以蟠龙天地并不是那种传统意义上的文化景点它虽然有一些历史元素元代石桥香花桥百年程祠故里但更多的还是仿古商业街区的氛围比较更适合朋友聚会的休闲地[有R]交通便利??上海市青浦区双联路161号自驾导航蟠龙天地古镇即可有三个地下停车场??? 我们停在P3停车场出来即是花园草坪小朋友就不肯走了一定要在这里晒太阳[哭惹R][哭惹R]??地铁也很方便17号线蟠龙路站2号出口站左转过马路既能看到[彩虹R]游玩场地围绕着阉市-南市-北市三个街区我们带娃就是随意闲逛蓝瓶咖啡宁波特产糕点坊中式蛋糕..等等等快乐的游逛吧,9,"悠闲,好看,好玩,好逛,好吃,UrbanRetreat城市微度假目的地,商业,住宅,酒店,绿地,开放式街区形态,公园里的新天地,仿古商业街区,朋友聚会,休闲地,交通便利,地下停车场,花园草坪,晒太阳,地铁,游玩场地,街区,蓝瓶咖啡,宁波特产糕点坊,中式蛋糕",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
??No.1 M+马利 P3-41??坐标静安区新丰路西康路交叉口2??mamafufu集市有颜料店书店衣服手工艺等装修五彩斑斓蛮出片3??酒吧邂逅火塘有好听的民谣????No.2苏河湾万象天地 P51??坐标静安区福建北路100号2??沿苏州河向东直达外白渡桥外滩那块全程2公里夜景强推白天也???苏州河沿线很chill??No.3M+黑石P61??坐标徐汇区复兴中路1331号2??幸福集荟书店很大值得逛3?? 推荐两家餐厅和一家清吧如有需要见M+黑石那篇笔记这里写不下啦??No.4蟠龙天地P7-81??坐标青浦区蟠鼎路123弄2??非常经典的江南水乡风情的商业街巷3??这里很大可以游船???逛的超多旁边还有一个童心乐园遛娃一下午妥??No.5 EKA天物P91??坐标浦东新区金桥路535号2??年轻化且艺术感十足的园区阳光明媚的时候太出片啦临水的餐厅外摆区氛围超好园区挺大遛一下午没问题3??园区不远江对岸的上海国际时尚中心有奥特莱斯逛哦??No.6上生新所P101??坐标长宁区番禺路60号2??市区年轻时尚街区代表一二期都开了还蛮大很多潮牌店舒适的餐饮店3??3处历史建筑1924年的茑屋书店和海军俱乐部泳池出片??1931年的孙科别墅4??附近新华路很多老洋房梧桐夹道推荐一起逛??No.7龙华会p11-121??坐标徐汇区龙华路2778号2??周边有龙华塔龙华寺烈士陵园适合一日Citywalk一些好玩店铺推荐见龙华会那篇笔记??No.8陕康里P13-141??坐标静安区康定路358号2??园区很chill两座百年建筑值得逛原印度锡克教堂现在是画廊原英租界巡捕房现在是设计共和一个创意家居集合店餐饮推荐见陕康里那篇笔记??No.9鸿寿坊P15-161??坐标普陀区长寿路261号2??一个有烟火气的石库门海派街巷鸿寿坊市集两层很多品类可逛,9,"江南水乡风情,商业街巷,童心乐园",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
