原词,大类,小类
腊味,3,4
乌篷船,2,3
粉墙黛瓦,3,2
台门民居,3,2
年味,5,2
烟火气,5,2
画卷,5,2
小桥,3,2
特色,3,3
晚上的古镇,5,2
美,5,3
仁昌酱园,2,1
母子酱油,3,4
师爷馆,2,1
石雕馆,2,1
中国银行旧址,2,1
文化馆,2,1
民俗风情馆,2,1
穗康钱庄,2,1
酒酿馒头,3,4
南瓜花,3,4
黄酒奶茶,3,4
黄酒棒冰,3,4
黄酒酱鸭,3,4
特色腊鹌鹑,3,4
腊肠串,3,4
孝店王酒酿馒头,3,4
舌尖上中国,3,4
腐乳组合,3,4
火腿腐乳,3,4
咖啡黄酒,3,4
忠美饭店,2,1
咸菜冬笋炒肉,3,4
腊肉拼盘,3,4
红烧排骨,3,4
风骨,3,3
江南旧梦,5,3
廊棚,3,2
岁月,5,3
幽长,3,2
青石板路,3,2
往昔,5,3
繁华,5,2
沧桑,5,2
船桨,2,3
天光云影,3,1
宁静,5,2
安详,5,2
针线,3,3
时光,5,3
详细,5,2
保姆级,5,2
游览攻略,4,1
小红心,5,3
收藏,5,2
江南水乡,3,1
温婉,5,2
东湖,3,1
十里荷塘,3,1
犭央犭茶湖,3,1
西小路历史街区,3,2
兰亭,3,2
避风石塘,3,1
古纤道,3,2
崖壁岩洞石桥湖面,3,1
桃花源记,3,5
建筑层峦叠嶂,3,2
江南百景图,3,5
王羲之真迹,3,3
老绍兴人的回忆,5,3
科技光影,3,2
十里荷塘接天莲叶无穷碧映日荷花别样红,3,1
江南烟火气,5,2
慢生活,5,2
芳香扑鼻,5,2
人来人往,5,2
古镇,3,2
日落,3,1
金灿灿,3,1
太阳,3,1
河面,3,1
倒影,3,1
古建,3,2
拍照,4,1
安昌桥,3,2
师爷馄饨店,3,4
桥,3,2
打卡路线,4,1
1号停车场,2,3
高桥,3,2
游船码头,2,3
城隍殿,3,2
师爷馄饨,3,4
天官第文创园,2,1
天官第,3,2
师爷戏台,3,2
美食,3,4
特色小吃,3,4
糕点,3,4
安昌方印糕,3,4
南瓜花糯米蛋,3,4
腊肠,3,4
腊肉,3,4
鹅喜蛋,3,4
臭豆腐,3,4
桂花酒酿,3,4
孝王店酒酿馒头,3,4
玫瑰,3,1
梅干菜,3,4
经典酒酿,3,4
卤味,3,4
酱菜,3,4
笋干肉夹馍,3,4
红烧肉,3,4
笋干,3,4
香味,5,2
甜香,3,4
青砖黛瓦,3,2
橹船慢摇,4,1
具象化,3,2
书圣故里,3,2
小桥流水,3,1
酱鸭腊肠,3,4
茂林修竹,3,1
古镇原貌,3,2
商业水平不高,5,1
童年的梦,5,3
祝福,5,3
江南,3,5
冬至,3,3
食材,3,4
绍兴人,3,4
鹌鹑,3,4
鸭子,3,1
猪头,3,4
鳊鱼,3,4
萝卜,3,4
酱,3,4
腌,3,4
传统,3,3
储存肉食,2,3
鱼干,3,4
腊月,3,1
饭桌,2,3
黄酒,3,4
螺蛳青,3,4
青鱼,3,1
腌制,3,4
晾晒,3,2
盐,3,4
酒,3,4
咸鲜适口,3,4
日头,3,1
光线,3,1
酒红色,3,2
闲时,5,2
花糕,3,4
脂白肉红,3,2
软糯,3,4
油脂,3,4
质感,5,2
鱼骨,3,1
满齿生香,3,4
清蒸鱼干,3,4
油炸花生米,3,4
暖和,5,2
冬日午后,5,2
市井长巷,3,2
活色生香,5,2
烟雨廊,3,2
石板巷,3,2
斜阳,3,1
一城一碗,3,4
滋味,5,2
人见食见江湖,3,4
冬日暖阳,3,1
酱货,3,4
腊月风情节,3,4
双休日,5,2
早上的光线,5,2
逆光,5,2
河边长廊,2,2
收费的场馆,2,3
镇里,3,2
老巷子,3,2
老台门,3,2
地道,5,2
老绍兴风情,3,3
水乡,3,1
冬日,3,1
暖阳,5,2
酱肉,3,4
酱香,3,4
年节氛围,5,2
清风廊,2,2
绍兴宣卷馆,2,1
安昌民俗风情馆,2,1
中国银hang旧址,2,1
展馆联票,2,3
自驾,4,1
停车费,2,3
高铁,2,3
打车,2,3
酱油棒冰,3,4
安昌印糕,3,4
拍摄攻略,4,1
夜景,3,1
摇橹船,2,3
舌尖上的中国,3,4
酱缸,3,4
广角拍摄,4,1
腊味风情,3,4
春天,3,1
惬意,5,2
童年乐园,5,3
水乡韵味,3,2
千亩油菜花,3,1
沉浸式感受,5,2
童年时光,5,3
手工酒酿扯白糖,3,4
鉴湖里,3,1
烟波缥缈,3,1
花香扑鼻,3,1
鲜美河虾,3,4
手工挂面,3,4
西施传说,3,3
浣纱石,3,1
次坞打面汤,3,4
出行便捷,5,1
单车,2,3
电动车,2,3
河边洗衣的阿婆,4,1
廊棚下晒酱货的店家,3,3
乌篷船上摇橹的船夫,2,3
路边卖糯米酒的大爷,3,4
生活最本真的温度,5,2
人间烟火藏诗意,5,2
腊肠飘香,3,4
水墨画,3,2
百年非遗酱缸阵列,3,3
舌尖取景地,3,4
天下师爷出安昌,3,3
清代幕府文化展览,3,3
桥头黄昏,3,1
福禄万安如意三桥,3,2
灯笼亮起,5,2
乌篷船摇曳,2,3
水乡生活,5,2
腊味拼盘,3,4
商业化不重,5,1
烟雨江南味,5,2
薄雾古镇,3,1
八字桥,3,2
崖壁,3,1
岩洞,3,1
石桥,3,2
湖面,3,1
园林,3,2
环山路,2,2
王羲之,3,3
大白鹅,3,1
老绍兴人,5,2
镜湖,3,1
荷花,3,1
铺子,2,1
岸边,3,1
围炉煮茶,2,1
商业化很低,5,1
停车场,2,3
原汁原味,5,2
石板路,3,2
老宅院,3,2
碧水贯街,3,1
彩虹跨河,3,1
交通,2,3
地铁,2,3
24h不打烊,2,3
萝卜丝饼,3,4
扯白糖,3,4
肉,3,4
酱油冰淇淋,3,4
酱文化,3,3
小桥流水人家,3,1
人间烟火气,5,2
古宅,3,2
原生态建筑,3,2
酱货行走,3,4
香气,5,2
手工艺品,3,4
新市古镇,3,2
烟雨,3,1
山水,3,1
墨染,3,2
