笔记标题,笔记链接,用户ID,用户名,头像链接,IP属地,笔记发布时间,笔记收藏数量,笔记评论数量,笔记点赞数量,笔记转发数量,笔记内容
蟠龙天地|一秒穿越“东京梦华录”,https://www.xiaohongshu.com/explore/6673b286000000001c0379de?xsec_token=ABEjxIU5KJ4HNQlHqNR_4QNeJ2AQF60sh7g703XivG7Js=&xsec_source=pc_feed,661a0c5b0000000003033acf,飞行的栗子,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo313p03e7rhm6g5pgq1hdguemftqnv4cg,未知,2024.06.20,850,66,1068,3577,蟠龙天地📍地址：青浦区蟠鼎路123弄8号🚇公共交通：地铁17号线蟠龙路站3号口出🚗停车：5个停车场，8R/小时⏰时间：逛3-4小时左右，最好下午4点左右到，既可以感受白天的喧嚣，傍晚的日暮霞光，还可以看到绝美的夜景🏘️蟠龙天地围绕“Culture(文化唤醒)，Nature(自然融合)、Future(城市焕新)三大主题打造了一个现代商业邂逅江南古镇的商业群，吃喝玩乐，拍照，遛娃，带宠物撒欢等都很适合	Culture(文化唤醒)Part📍蟠龙新十景古寺鸣钟，十字街，香花桥影，溪桥渔泊，烟雨廊桥，程祠故里，龙江古渡，曲水萦居，蟠龙湾，艺海听竹其中龙江古渡，50R/人，单程15分钟，200R/船(最多坐6人)📍余德耀美术馆自然与传统、现代融为一体会定期呈现高品质的艺术展览	Nature(自然融合)Part📍儿童乐园：有大型的亲子乐园，包含蹦床、滑滑梯、攀爬，滑板公园，马术公园，法布尔花园，喷泉广场等📍宠物乐园：有撸猫馆，撸狗馆，动物乐园等📍户外探索：夏山营地，洛克公园，四季花谷等	Future(城市焕新)Part📍蟠龙水集：各种小玩意，小吃摊 ，夜景氛围感满满📍沿河咖啡：沿河很多咖啡馆，坐在河边，喝着咖啡 吹着晓风，松弛感拉满📍各色美食：西餐，中餐选择性很多，露天小酒吧驻场歌手的歌声很美，帐篷营地烤肉很香📍品茶：作为中国的传统饮料，这边茶铺也很多，加上古建加持，真的有种在古代茶馆里喝茶的惬意#周末去哪儿[话题]# #城市摄影[话题]# #上海citywalk[话题]# #蟠龙天地[话题]# #江南水乡[话题]# #周末遛娃[话题]# #梦华录[话题]# #城市探寻计划[话题]#
真的很爱逛蟠龙天地啊～,https://www.xiaohongshu.com/explore/66dc011d000000000c01b430?xsec_token=AB_KWyrALefJ6Bqdse5GPb7SCvbdnBv2pGPD-x4gC7kOw=&xsec_source=pc_feed,5b8770e054e3c20001b430a4,心满意足的Andrea安追鸭,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo30uvth0bfl6504am50soe0c54em9n080,未知,2024.09.07,720,31,794,2247,酷暑终于要过去了~ 本街溜子又开始出没了hhh.蟠龙已经没有去年刚开业时那么人山人海了，但周末还是比较火的，不过呢也还好，倒也不至于没地儿停车～.我觉得这里不是传统古镇，而是一个古镇style的现代商场，感觉特别适合周边居住的住户来吃吃喝喝和遛弯遛娃遛宠～ 特意大老远专程过来可能会失望哦[吧唧R].[皱眉R]这个商圈最大的亮点是对遛宠物、遛娃的人非常友好！基本上每家店都是可以进宠物的，而且宠物主人们都看上去很体面很有素质～ 还可以租借婴儿车～ 还有不少专门的遛娃、遛宠的场地（见图8）.🅿️停车：我习惯停PL1，因为这个入口在街边，不大需要在蟠龙天地里面绕啊绕。进去可以停C区，离吃吃喝喝的地方比较近～[喝奶茶R]蟠龙天地吃喝消费送的积分还算大方，1块钱对应1积分。拿着结账单或者消费截图到指示牌指示的“i”的服务台去兑换积分，然后在“i天地”小程序里积分兑换停车券：➡️工作日200积分免停2小时，周末是400积分2小时～还可以和新天地的积分通用～.吃吃喝喝的选择也很多~ 已经吃了好几家，都没踩雷~.之后估计搬到这附近后还会经常来的~#美丽的古镇美丽的景色[话题]# #享受美食生活[话题]# #氛围感餐厅[话题]# #最美古镇攻略[话题]# #蟠龙天地[话题]# #大虹桥徐泾[话题]# #上海周末好去处[话题]# #魔都探店[话题]# #魔都打卡[话题]#  @城市情报官 @薯队长 #上海周末去哪儿玩[话题]#
离上海虹桥站仅20分钟的蟠龙古镇逛吃攻略‼️,https://www.xiaohongshu.com/explore/66bb2a68000000001e01e5ea?xsec_token=AB44XEq2EV0rYxfUFlMIcjBdOTNOVgRBaiaOp_BjaCKoc=&xsec_source=pc_feed,5a797fef4eacab3bcfa5fd4e,CC的🥣,https://sns-avatar-qc.xhscdn.com/avatar/648abe4e11835bace16738e3.jpg,未知,2024.08.13,1698,22,1806,1805,#上海[话题]# #上海美食[话题]# #上海美食探店[话题]# #上海周末去哪儿[话题]# #上海吃喝玩乐[话题]# #寻找吃喝表态侠[话题]# #上海贵州菜[话题]# #上海蟠龙天地[话题]# #蟠龙古镇[话题]# #虹桥机场[话题]# @吃货薯 @本地薯
古镇里最像商场 商场里最像古镇 的蟠龙天地,https://www.xiaohongshu.com/explore/67332bb5000000001d038d1a?xsec_token=ABD6BtkE_Ev7dOPqxPGK-26dDkz9U4FSGqfck9hBoUOu4=&xsec_source=pc_feed,62c83a2e000000000e00cb91,明扬,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31c0lr7dhgk605om878n3hisht3mbejo,未知,2024.11.12,23,2,44,148,出差逛了一圈蟠龙天地，工作日的中午绕了15分钟才找到一个停车位。总体感觉它既是古镇，又是区域商业。保留了古镇的格局、古镇建筑的体量、主路空间用的是大块青石板老料和新材料的拼接，还有一些小栋的建筑保留了原有的外立面，这些都是现代商业街区模仿不出来的韵味。沿河岸的餐厅咖啡店都有景观位，坐在河边吹吹风，看看小桥流水，放空一下真的非常舒服。宠物友好，好多带狗子去玩儿的，对于爱狗人士，好感度简直拉满～总之，吃喝玩乐，遛弯遛娃遛宠都很适合。#蟠龙天地[话题]# #旧城改造[话题]# #上海古镇[话题]# #蟠龙古镇[话题]# #商业模式[话题]# #宠物友好[话题]# #商场分享[话题]# #青浦[话题]# #记录吧就现在[话题]# #探店[话题]#
上海100家商场｜NO.55｜上海蟠龙天地,https://www.xiaohongshu.com/explore/67f79748000000001b03d161?xsec_token=ABTtdhmnWjUrxyNbi4axgydw9zxXfk7EKj1fsD6opMoJ0=&xsec_source=pc_feed,64e8d1e40000000001013b2c,洋沐沐的生活日记,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo315h3bac00u3g5p78q7i0aepc4m8rl9g,上海,2025.04.10,24,1,33,113,#上海citywalk[话题]# #上海商场[话题]# #古镇[话题]# #上海蟠龙天地[话题]# #蟠龙天地[话题]# #蟠龙古镇[话题]# #沉浸式街区[话题]# #免费游古镇[话题]# #上海商场推荐[话题]# #上海周末去哪[话题]# #宠物友好[话题]# #上海打卡地[话题]#
蟠龙天地，做城市微度假的“文化品牌”。,https://www.xiaohongshu.com/explore/66bed5e2000000001e01faa2?xsec_token=ABslbWQEKKLW1vPmnaP-lYQC828sQ_RtVMJKbM1QGXGQ0=&xsec_source=pc_feed,5b1b662711be102963127e5b,山止川商业记,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo313mnkugthi004a6343j2evirfragadg,未知,2024.08.17,110,6,143,66,做文化生产者，用创意去激发场景；再做文化运营者，将商业带入社区日常。	蟠龙天地，造出了一个自己的文化品牌，也因此实现了一场人造江南水镇的新城市叙事、给消费者提供一个更具有生命力的社区氛围、呈现了有吸引力的城市微度假商业面貌。[自拍R]	从现象反推策略，文化对于商业项目的赋能论证也就有了具像化。	#商业[话题]#  #商业设计[话题]#  #设计[话题]#  #上海[话题]#  #古镇[话题]#  #蟠龙天地[话题]#  #文化[话题]#  #品牌[话题]#  #逛街[话题]#   #度假[话题]#  #旅游[话题]#  #日常[话题]#
蟠龙天地｜瑞安集团打造“微度假型社区”,https://www.xiaohongshu.com/explore/668e6afb0000000025006a8f?xsec_token=ABYqtueDxVZS7l-Qx2AI2-5UB0cYnltivCO12zUE60sP4=&xsec_source=pc_feed,5de77c8d000000000100be5a,黎叔,https://sns-avatar-qc.xhscdn.com/avatar/5de77ce385fdf60001673103.jpg,未知,2024.07.10,93,6,115,97,我赶在烟雨朦胧中，到访了位于青浦的蟠龙天地。正值雨季，又不是周未，整个街区人气略显一般。这里开业至今有一年了，已成了上海周边区域型消费度假的又一场所。	整个街区以河为界分为南市和北市，蟠龙天地是在1400多年的蟠龙古镇的旧址上进行改建，23万方的公园绿地是占地面积最大的，因此，也被称之为公园式商业。你不能当它是一个古镇，从案名上来讲，它就是瑞安集团“天地系列”的一个商业项目，从英译的案名（XINTIANDI）便可以看出。	守旧中创新的并不是在物业形态上，严格意义来讲蟠龙天地没有脱离传统江南古镇的影子，除了余德耀美术馆、COCO-MAT酒店之外没有那种特别出跳的建筑，它还是在原来的江南古镇的雏形上进行了空间、材料、景观等方面的焕新。	江浙沪太多古镇了，江南六大古镇便足以让古镇这种景区式的商业同质化，更别说周边还有朱家角、枫泾古镇、新场古场、南翔古镇等。这也是项目规划之初必须要面对的课题。	作为“城中村”改造项目，瑞安在开发过程中，必须考虑到整体项目盈利点，又要考虑作为配套的商业部分能够运营起来，权衡这种关系，势必需要利用自身的优势进行考良。可凭借新天地强大的商业IP，在招商过程发挥强大的优势。因此，商业部分以自持的方式运营，也保证了商业操盘中最核心的部分，统一运营管理，这确保了不受小业主干扰，更不会涉及返租、包租、免租等售后问题。通过商业价值的提升、服务管理来带动区域版块价值，进而拉升住宅部分的溢价。	这一点和万科良渚文化村类似，万科通过自持商业部分玉鸟流苏、食街（玉鸟集前身），匹配了君澜度假酒店、大屋顶艺术中心、教堂、养老社区、茶语公园等来带动了文化村整体版块的价值提升。而且这两个项目都提出了同一个定位：微度假社区模式。两者具备了地理属性、操盘思路、商业运营等诸多的类似之处。	回到商业的业态上，那么问题来了，设想更新改造后的商业街区，如果还卖臭豆腐、还卖土特产、还卖腊肉腊肠，这个商业街区不就成了和其它古镇一样的商业了吗？这对于瑞安这样具备强大商业操盘能力的开发企业来讲肯定不是选择，因此，我们现在所看到的商业业态的选择是必然中的必然。用现代场景商业反哺周边社区配套。	因此，它不是景区，它是区域商业。如果把蟠龙天地当成旅游景区，大致会有一些失落感的。#商业项目[话题]# #城市有机更新[话题]# #上海citywalk[话题]#
【夜游上海蟠龙天地】,https://www.xiaohongshu.com/explore/66e04927000000002603171c?xsec_token=ABUC77zh02Gb-MJCkTyyKld-1VbjEAXu6OCWoHxg3fNks=&xsec_source=pc_feed,6075a32e0000000001005b46,姜Jonas,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo317ccqa8e44605o3lkcn08mq6lj516so,未知,2024.09.10,19,46,95,30,#周末去哪儿[话题]#上海蟠龙天地是在蟠龙古镇基础上修建而成，建筑承袭了江南水乡传统“粉墙黛瓦”的特色，有着古色古香的韵味。同时，它以十字形街巷格局为基底，融合了3公里原生天然水系，围绕传统的“蟠龙十景”古镇风貌进行再创作。既保留了江南古镇的风情，又融入了现代的商业元素和休闲娱乐设施，非常适合休闲度假。#vivo影像 #vivo手机 #vivo#街头摄影 #把生活拍成作品 #把生活拍成了电影 #手机摄影 #citywalk #生活影像诗 #人生照片 #用摄影写一封情书 #手机摄影 #摄影 #审美积累 #影像与想象 #平凡摄影 #小红书摄影大赛[话题]#@摄影薯  @薯队长  @小红书创作助手
蟠龙天地市集·上海市内的“江南水乡”🇨🇳,https://www.xiaohongshu.com/explore/66b447d0000000001e01fbc7?xsec_token=AB5vVgtNhwBoNqvolGMFe9Bl_skWOOajAt_RasRpvsUWw=&xsec_source=pc_feed,5d8f6aee0000000001000955,THE大卫德在旅途,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo30nfudvdbmm005ncfdbn082al4irm3vg,未知,2024.08.08,225,9,244,1357,没想到在上海市区的高楼大厦旁，也能找到这样一座“江南水乡”。蟠龙天地实际上是一座由老村镇改建的综合商业市集，离虹桥机场仅10分钟车程，非常适合周末来半日吃喝玩乐[喝奶茶R]	整个市集既保有了原本水乡古镇的小桥流水，白墙青瓦，也拥有各类餐厅和工艺小店，而且还宠物友好🐱。在小巷里穿行，经常会在某个转角遇到有意思的店铺。而在夜幕降临后，平静的河面上倒映临水建筑与树木上的光影，搭配市集内各类小摊前的烟火气，让整体氛围更显松弛。傍晚在水边走走，正好可以避避暑	🚗打车/开车可以直接导航蟠龙天地，停车🅿️可以从P1进，一定要记好上去的楼梯门位置，不然晚上走的时候很容易找不到车	[薯券R]蟠龙天地里有几个比较好玩/出片的地方，详见【图2】的地图	📍【晚上临河的餐位】在Galla R的门口有两个河边的位置，坐在河边一边吃饭，一边欣赏古镇夜景非常惬意	📍【烟雨廊桥】无论是白天还是晚上，这作为整个古镇位置最高的桥，可以顺着河拍到过往的木船	📍【蟠龙水集】烟雨廊桥一段的一片集市，里面有几十个各类小摊，有玩小游戏，卖小吃，也有做彩扇和乐器。个人感觉晚上更好看一些	📍【宠物公园草坪】在游客中心附近的骑马场对面，有一片大草坪可供宠物们奔跑。天气好的下午，这里能看到十几只各类狗狗🐶	📍【水曲桥】这里是整个古镇横纵两条河道的交叉点，拍人拍景的最佳机位之一📷	📍【广场看鸽子】很多白鸽聚集，不仅可以喂鸽子，还可以拍鸽子集体起飞	#日常碎片PLOG[话题]# #旅行日记[话题]# #周末出游[话题]#  #蟠龙天地[话题]# #蟠龙天地古镇[话题]# #上海周末[话题]# #周末去哪玩[话题]# #上海周末去哪儿[话题]# #上海周末好去处[话题]# #上海周末去哪儿玩[话题]# #想记录下此刻[话题]# #这个模板有点东西[话题]#
,https://www.xiaohongshu.com/explore/66e78c36000000001e01a9a1?xsec_token=ABhPVg4FHbkzOeCuhRPzR_gcwCZsdi8vfRzt0rHy43_5w=&xsec_source=pc_feed,5c24ffc8000000000703ea9a,深圳可持续发展研究院,https://sns-avatar-qc.xhscdn.com/avatar/6125e160d5d1f39a5115ec97.jpg,未知,2024.09.16,0,0,0,1,解密全球100个典型低碳案例31-上海蟠龙天地 #可持续发展[话题]#  #ESG[话题]#  #科技创新[话题]#  #碳中和[话题]#  #碳达峰[话题]#  #零碳建筑[话题]#  #零碳[话题]#  #零碳行动[话题]#  #低碳[话题]#
