笔记标题,笔记链接,用户ID,用户头像,用户名,IP属地,笔记发布时间,笔记收藏数量,笔记评论数量,笔记点赞数量,笔记内容
杭州吉祥里，你觉得爆改成功吗？,https://www.xiaohongshu.com/explore/66bc2685000000000d033338?xsec_token=ABpeRaRUiHkTShkp0wnU-6wObGjYSq8d53fZSp1VjpuO4=&xsec_source=pc_feed,65f97d25000000000600e0f3,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31e4959nvh0105pfpfkihho7joth1dm0?imageView2/2/w/80/format/jpg,包叔,,编辑于 2024-08-,23,28,39,#杭州旅游 #吉祥里 #几何书店 #祥符老街 #古镇 #杭州商场 #天热还得进商场 #商场分享 #杭州逛街#吉祥里
杭州宝藏地打卡 | 祥符桥的古韵新章,https://www.xiaohongshu.com/explore/67e0f907000000001c004106?xsec_token=ABb7G4jrVbs6t0TIDBbNvM2eir7ZY47A4-VIrhDn9S_AI=&xsec_source=pc_feed,61c6c3c700000000210203ca,https://sns-avatar-qc.xhscdn.com/avatar/c57dbb59-514d-3cfc-9b41-b080e60165d0?imageView2/2/w/80/format/jpg,奥观建筑视觉,,编辑于 03-,6,0,9,最近发掘了杭州超有韵味的宝藏地 —— 祥符桥传统风貌街区。	踏入祥符桥传统风貌街区，就像开启了一场时空交错的旅行。传统江南建筑的白墙黑瓦错落有致，飞檐翘角间藏着悠悠古韵，仿佛在诉说着旧时光的故事📜。与现代建筑元素巧妙融合，简洁明快的线条、时尚的玻璃幕墙，碰撞出别具一格的美感✨。	这里的街巷，一步一景。沿着河道漫步🚶，水波荡漾，倒映着两岸建筑，既有江南水乡的温婉柔情，又不失现代都市的精致格调。明代古桥祥符桥静静伫立，与新建的现代感桥梁平波桥、卧虹桥相映成趣，仿佛穿越时空，随手一拍都是大片。📷！	逛累了，随便走进一家小店，咖啡香、茶香弥漫，还能淘到各种创意十足的手工艺品🎁。	你们打卡过哪些超美的特色建筑？快在评论区分享分享，咱们一起 “种草” 更多宝藏地！[黄金薯R]	项目名称：祥符桥传统风貌街区设计公司：goa大象设计空间摄影：奥观建筑视觉AOGVISION﻿#杭州吉祥里﻿  ﻿#建筑美学﻿  ﻿#江南风情﻿  ﻿#奥观建筑摄影﻿  ﻿#建筑摄影﻿  ﻿#摄影﻿  ﻿#城市打卡﻿  ﻿#杭州旅游﻿  ﻿#要春游更要村游﻿
空无一人的绿城吉祥里,https://www.xiaohongshu.com/explore/6717a8b5000000001b0123f0?xsec_token=AB2WswtkpibQ8AV9magjhudPqfsVcqr7kJ9s733jAjcDM=&xsec_source=pc_feed,6648a4280000000007004a23,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31ecdr6utgm4g5pi8kgk1oih3nemvbig?imageView2/2/w/80/format/jpg,cccyk,,2024-10-,13,73,42,平时真的有人会去这吗❓
魔都百年老建筑  |  河南中路吉祥里,https://www.xiaohongshu.com/explore/6674d96c000000001d01adc2?xsec_token=ABzV4db_GHGtlRf-jLv4zsdO9CjYqNd9hbl9K-_-90rsw=&xsec_source=pc_feed,5f943a90000000000101dd09,https://sns-avatar-qc.xhscdn.com/avatar/5f9c23043fd9bc000102d80d.jpg?imageView2/2/w/80/format/jpg,老张,,2024-06-,9,3,27,河南中路上有条百年老弄堂，就是位于河南中路531--541弄的吉祥里，它也是上海千百万石库门中的一条里弄，有砖木二层结构17幢，1876年竣工，属于早期的石库门里弄住宅。吉祥里的装饰意味很浓厚，不论是大片青砖墙与水泥装饰线条的搭配，厢房立面上的几何装饰花纹，还是天井外墙上的中式琉璃花窗，都甚为精美。建筑单元采用行列式排列，单元为三间两厢，内设天井的形制，石料门框配黑漆厚木门扇。单元与单元之间采用风火山墙分隔，并且装饰有西式的装饰构件。或许由于是上海市优秀历史建筑的缘故，吉祥里的外观保存情况甚佳，很难令人相信眼前的是已然经历了一百四十多年风雨的老房子。#记录我的城市 #最美上海 #周末去哪儿 #上海老建筑 #上海城市考古 #上海旅行 #上海石库门 #随手拍 #上海经典老建筑 #建筑设计
中华战舞丨英歌舞,https://www.xiaohongshu.com/explore/67b73c90000000000703670e?xsec_token=ABZfJUFHjrmCXTJH-yWPxzwKlRObwmPmZ5FFx8mkNu34Q=&xsec_source=pc_feed,5b635b5d7afe9700011265db,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo315r1q5p01a004a8hobdlqpereb2s7d8?imageView2/2/w/80/format/jpg,爱摁快门的小潘,,编辑于 02-,10,8,30,前几天在杭州的吉祥里看到了潮汕英歌舞。它不愧为中华战舞，几位舞者以独特的步伐和身法将英歌舞展现给观众，时而如蛟龙出海，刚劲迅猛，时而似彩凤展翅，灵动轻盈。看到这样的演出也是感慨中华文化的传承真的非常的重要！杭州吉祥里位于杭州祥符桥附近，这次春节他们举办的活动都非常的精彩，是值得大家关注并且一去的文化街区。#唱跳迎新春 #这才是过年该有的气氛 #国粹 #杭州旅游 #浙江旅游 #传统文化 #民族文化 #民族风 #春节档影评大赛 #摄影 #潮汕英歌舞 #英歌舞把年味拉满了 #民俗文化 #民俗 #川剧变脸 #弘扬戏曲文化 #武术 #自古英雄出少年 #民族元素运用 #弘扬国粹传承民族文化@杭州吉祥里@杭州吉祥里@浙江文旅 @杭州文旅
避开人群🔥人少景美🌟杭州小众遛娃地,https://www.xiaohongshu.com/explore/66a1d4000000000005004efe?xsec_token=ABqjzoyaQJmeZdHWsOLuEtfPYpejm4Jl6W0aisReMHWtI=&xsec_source=pc_feed,5aa48a39e8ac2b7fdb6102c8,https://sns-avatar-qc.xhscdn.com/avatar/64872a519cf4c9c14e108cc4.jpg?imageView2/2/w/80/format/jpg,汉堡很忙,,2024-07-,105,5,106,🌈不想去人挤人，想要一个既小众又惬意的地方遛娃，来来来，告诉你个好去处，上周带娃去了祥符桥传统风貌街区，老街新造，适合遛娃散步，还可以解决晚饭，吃完饭后漫步河边，打发夏日的夜晚	📍地址：绿城吉祥里（祥符桥传统风貌街区）🚇地铁：十号线花园岗站B出口，步行10分钟🅿️停车：有地下停车场，2h免费，超出5r/小时⏰开放时间：全天开放	🔮业态：有书店、美学生活空间、餐厅、奶茶店、咖啡馆、酒吧、茶室、涂鸦滑板的运动场地等	🔹落日音乐会：周末的晚上会在桥头树下举办落日音乐会，晚风徐徐，音乐缭绕，让自己放松一刻，汉堡坐着听了40分钟不肯走	🔹花食酒肆：这里还有小河直街同款的花食酒肆烤肉店，在小河直街嫌人太多就可以来这里不用排队	🔹夏日限定泳池：有专门为儿童放置的游泳池，工作人员打上漫天的泡沫，泡沫喷出的一刹那，孩子们都兴奋得尖叫	🔹露天电影：在鸟檐餐厅外有露天电影，还是吸引了一波大小朋友围观	🔹山外事茶吧：在祥符老街的z高处，可以爬上去看街区全景，享一杯香茗，适合放空自己，另外茶吧下的树木，晚上有很漂亮的球形灯，适合拍照	🎨游玩tips：◽️带宝宝的姐妹记得做好驱蚊工作◽️爱拍照的姐妹可傍晚去，灯火辉煌的祥符桥陷入了浪漫的氛围，拍照很出片◽️要是还没逛尽兴，还可以去周边游玩：拱墅运河体育公园➡️1.7km大兜路历史文化街区➡️4.2km小河历史文化街区➡️4.6km小河公园➡️5.2km拱宸桥西历史文化街区➡️5.4km	#周末去哪儿 #杭州遛娃好去处 #杭州周末去哪儿 #杭州旅游 #杭州拍照 #杭州小众景点 #祥符老街 #历史老街 #杭州祥符桥 #杭州老街
杭州祥符里/吉祥里历史街区,https://www.xiaohongshu.com/explore/67a83596000000001902dede?xsec_token=ABAX63Uf2tMq63c4obpWHjwOSL1UWHGJuReVhxtqLPvBQ=&xsec_source=pc_feed,5a213750e8ac2b4e455ba975,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31f8cm8qvmi6g4a01borl1abl9co5u60?imageView2/2/w/80/format/jpg,柯柯,,02-,23,0,21,🎉 位于杭州市拱墅区的祥符里历史街区/吉祥里，经过精心改造，保留了街区的传统风貌，同时注入了现代活力。🏛️ 祥符里拥有约800年历史的祥符桥，是宋代运河文化的重要传承地。这里曾是老工业区和城郊结合部，现在则焕发出了新的生机。🌿 设计理念是在保留街区“市井”风貌的基础上，激发活力。古建元素与现代风格相融合，江南风韵与新潮业态碰撞，打造出独特的祥符记号。🎨 街区将围绕祥符市井文化、花木文化、茶道文化展开，引入美术馆、餐饮、滑板运动品牌等业态。这不仅为周边城市提供了高品质公共空间，还为老旧街区引入了外部人流，激发了活力。[鼓掌R][鼓掌R]不过街区现在人气还不旺，入驻的商业业态不够丰富，希望以后会越来越好。#逛大家的春节庙会 #新年探新店 #新年版citywalk #杭州逛街 #杭州人少
赴一场古韵晚安茶,https://www.xiaohongshu.com/explore/6661395300000000150115c3?xsec_token=AB2qPQ2bTqluYJhcNYQ5A7-LHaxGgii4j9CEgUx19Llh4=&xsec_source=pc_feed,5b86a8be065847000170cdeb,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo312fq8sof6m6g4als1gkbtjfb8579uq0?imageView2/2/w/80/format/jpg,行之,,2024-06-,2,3,8,偶然路过，想起他们家的茶冻吸引我一时，便去坐坐，没想到惊艳了我！[哇R]	进店后茶艺师姐姐们亲切的接待了我们，并带着我们参观了一遍茶室一进门就看到了超多茶叶种类（以后我也要把茶袋收集起来！）还有尺八、葫芦丝、古琴等传统乐器茶点做的超级精致，老板说出品会以模型为准~👍🏻茶室分两块区域，有公共和包厢区，公共区不定期还有讲座开放，很期待！	✨茶冻中红茶的滋味非常明显，配上桂花蜜糖，恰到好处的甜，恰到好处的味~[飞吻R]	整体古色古朴的装修，又与现代的风格融合的恰到好处外面是周边小区的居民活动的场所，茶室属于是闹中取静了!整体茶室的氛围很舒适平和，真真宝藏茶室！！！[赞R][赞R][赞R]#茶香慰人心 #茶香 #绿城吉祥里 #茶室 #安利 #茶冻@山外事茶生活
才知道的🔥杭州新晋地标网红墙❗️必去1️⃣,https://www.xiaohongshu.com/explore/6676f831000000001e0134b7?xsec_token=ABU1m9aht-DL9zrvD65Jsg3mkrUqWiVAhX_diPKhW4Mh0=&xsec_source=pc_feed,5fff9c80000000000100b954,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo313gshi64j8005nvvji009eakns2kia0?imageView2/2/w/80/format/jpg,红星出行记👣,,编辑于 2024-06-,172,39,281,📍打卡九宫格杭州地标第一篇🗺️ 路线在图三哦 ，免费打卡1️⃣第一站 绿城吉祥里杭州地标墙	不是很好玩，就是去打了个卡，就是一个刚建好的小街区，类似于小区周边商街那样，就花了10分钟左右就走了2️⃣第二站 运河天地公园地标打卡地	标准的公园，直接走到拱宸桥也不是很远，适合下午去溜达，找地方到完事大概花了20分钟3️⃣第三站 拱宸桥附近财神庙门口地标打卡地	拱宸桥标准的江南风格古街道，沿着街道走就到里面的一个财神庙，地标墙就在财神庙的门口，这里不光可以打卡，还比较适合慢悠悠的逛一下，可以花1个小时左右4️⃣第四站 丝联166文创园	丝联166文创园原址是杭州的丝联厂房，建于20世纪50年代，文创园在保留原有厂房结构的基础上进行了改造，去的时候人很少，不过里面拍照非常好看，建议这个去打卡一下，大概需要30-60分钟。	其实丝联路边上很近还有一个小河直街的地标墙的，由于下午赶时间而且饿了就没有去，留给第二篇地标墙打卡吧[微笑R]，最后去吃了拱墅区大兜路142号的江南驿，很好吃赞一个，冲冲冲	#周末去哪儿 #小众旅行地 #摄影搭子 #旅行 #人文景点分享 #一日游 #说走就走 #吃喝玩乐 #周末好去处 #小众旅游
杭州拍照📸 | 吉祥里提前感受杭城跨年氛围,https://www.xiaohongshu.com/explore/67709634000000000b00f0ff?xsec_token=ABE8r7raCOiB0LziIZu28qnXJCGrw7pg43KEUp_Mu1-wE=&xsec_source=pc_feed,550838072e1d9301dc6291b4,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo311svk8791s00406vpos0f4dkaokocjo?imageView2/2/w/80/format/jpg,Eagle-杰,,2024-12-,73,48,147,🎏传承800年的徽州非遗瞻淇鱼灯空降祥符老街的吉祥里一场提前跨年氛围的瞻淇鱼灯巡游点亮了整个街区！由2条4米的大鱼10余条小鱼组成的巡游队伍年味也在舞动的鱼灯中渐渐来临今天拿着相机📷提前感受下跨年氛围杭州今年的跨年活动挺丰富期待下#我镜头下的年味儿 #我的城市换上新年 #用影像定格烟火人间 #杭州拍照 #杭州周末去哪儿 #城市摄影 #跨年拍照 #开始期待跨年了 #瞻淇鱼灯 #祥符老街@杭州吉祥里 @瞻淇鱼灯@摄影薯 @薯队长 @日常薯 @城市情报官
