笔记标题,笔记链接,用户ID,用户名,头像链接,IP属地,笔记发布时间,笔记收藏数量,笔记评论数量,笔记点赞数量,笔记转发数量,笔记内容
不愧是曾是被央妈评为年味十足的安昌古镇！,https://www.xiaohongshu.com/explore/67a425e30000000018007fd6?xsec_token=ABTk-q0l6j58lIAgFM6mA0YlS0547fUxenH7DQeUXD5eA=&xsec_source=pc_feed,6031ce9200000000010055ce,苍穹sky,https://sns-avatar-qc.xhscdn.com/avatar/1000g2jo2lssvcn0iu0505o1hpq908lee77hto8g,未知,2025.02.06,94,21,171,241,🌈绍兴师爷的故乡——安昌镇，走进古镇，家家户户门前挂满了腊味，穿梭来往的乌篷船、粉墙黛瓦的台门民居与这满满的年味和烟火气，构成了一副绝美的画卷！	📍地址：绍兴市柯桥区安昌古镇🚗交通:自驾到景区停车场，高铁到绍兴北站打车约20，或乘坐802、805直达安昌人民医院站或安昌大酒店站下车步行🍀门票：免费（小景点收费，不推荐）🕓开放时间：全天	➡️推荐游览路线：从右侧一路逛到古镇的尾，而后再从古镇左岸逛回来，路线很简单。🌸乌篷船：平日40元/船，可乘3人;节假日50元/船。	✅打卡：1⃣依河古街市：安昌古镇的小桥最有特色，特别是晚上的古镇真的好美。2⃣腊味：腊味是安昌的特色，可以带份回去。3⃣仁昌酱园：上过舌尖上的中国，可以买瓶母子酱油。4⃣付费景点：师爷馆、石雕馆、中国银行旧址、文化馆、民俗风情馆、穗康钱庄等六个展览馆需付费参观。	😍特色美食：酒酿馒头、南瓜花、黄酒奶茶、黄酒棒冰、黄酒、酱鸭等，沿路都有买，价格都差不多。@本地薯 @土拨薯 @生活薯 #新年旅行第一站[话题]# #反向旅行出门溜溜[话题]# #城市达人计划[话题]# #先出发再说[话题]# #不为打卡的旅行[话题]# #不早起旅行日记[话题]# #新年版citywalk[话题]# #旅行记忆放映计划[话题]# #一键放映旅行攻略[话题]# #安昌古镇[话题]#
国家地理没骗我，真是江浙沪宝藏烟火气古镇,https://www.xiaohongshu.com/explore/66861a21000000001f006959?xsec_token=ABaSHVDOGqBfbuq4sLnox4VLpRaFIaqQpJhmzR1CkPNzY=&xsec_source=pc_feed,5f43da7c000000000100163d,北海道的夏天,https://sns-avatar-qc.xhscdn.com/avatar/5f43da7c000000000100163d.jpg,未知,2024.07.04,141,5,124,326,充满烟火气的古镇惊动央视的冷门古镇这里没有传统古镇的人潮喧嚣，只有安静的生活气息，在这里不用担心过度的商业化，曾被国家地理评为最具人气的江南水乡。特别是过年，江南年味的顶级选择！这里有著名的酱鸭鱼干、黄酒奶茶，热闹非凡的水乡社戏、喜庆的船上迎亲、穿梭的乌篷船，还能体验包粽子、扯白糖等江南传统风俗，尽在安昌古镇。📍地点：绍兴市柯桥区安昌镇🎫门票：免门票。整个古镇进入不收费，不收费！🚘自驾：导航到安昌古镇停车场，面积大，空位多，便宜；安昌古镇带点啥？→咸菜、黄酒、各种腊肉制品、酱油等✨仁昌酱园舌尖上的中国拍摄地之一是一个集展示、生产、销售的老工厂，上过很多节目，有专门纪录片。创立于清朝光绪年间里面可以买酱油，配料表很干净。Plus：这个古镇没有被过度商业开发，都是原住民为主，人流也很少，小伙伴们快来看看江南水乡应该有的样子！#江南古镇[话题]#  #最美古镇攻略[话题]#  #江浙沪自驾游[话题]#  #周末去哪玩[话题]#  #周末亲子游[话题]#  #古镇[话题]#  #绍兴旅行[话题]#  #绍兴吃喝玩乐[话题]#  #我的小众旅行攻略[话题]#  #小众旅游景点[话题]#  #江浙沪周边游[话题]#  #小众旅行[话题]#  #上海周边古镇游[话题]#  #上海周边自驾游[话题]#  #浙江周边自驾游[话题]#  #江苏周边游[话题]#  #苏州周边游好去处[话题]#  #上海周边一日游[话题]#  #安昌古镇[话题]#  #安昌古镇攻略[话题]#  #最美古镇[话题]#  #最美古镇攻略[话题]#  #古镇打卡[话题]#  #乌镇[话题]#  #西塘古镇[话题]#  #周庄古镇[话题]#  #南浔古镇[话题]#  #五一必打卡古镇推荐[话题]#  #中秋国庆古镇等你[话题]#  #古镇国庆活动[话题]#  #中秋假期的古镇[话题]#  #网红古镇打卡[话题]#  #古镇拍照姿势[话题]#  #古镇拍照[话题]#  #周末亲子游好去处[话题]#  #杭州周边游[话题]#  #杭州周末去哪儿[话题]#  #上海周末去哪儿[话题]#
江浙沪周末最强古镇！景色超美物价感人😢,https://www.xiaohongshu.com/explore/67b3fed9000000002a00ec26?xsec_token=ABCtzFO3Ksf9n8aPojJu6hfE8FE-ZhPYmB1LwbwuvDCUE=&xsec_source=pc_feed,56bdab5082ec39671202b1c2,天！奇遇记🌴🌊🎬,https://sns-avatar-qc.xhscdn.com/avatar/6752ab12884b05f8f9fd849c.jpg,未知,2025.02.18,29,1,43,41,宁波出发，挑战100旅行目的地 之 绍兴·安昌古镇。[派对R][清单R]文字版攻略放在下面啦！	🚘导航：宁波市区-安昌古镇（推荐1号停车场，出来就是古镇大门口！）🚘时长：1个半小时	[赞R]古镇美食/伴手礼：1️⃣特色腊鹌鹑和腊肠串，古镇内外都有卖，味道大同小异。价格基本为鹌鹑5元一只、腊肠10元一串。（购买的时候尽量要锅里下方的串，摆在上面的基本都是凉的，略肥腻…）	2️⃣孝店王酒酿馒头（1店），很便宜！馒头2-3元➕不等，带肉馅儿的贵一点，口感很蓬松，气孔丰富，是好吃的！但他家酒酿类饮品个人觉得一般，大概8-10元➕一杯。	3️⃣仁昌酱园，舌尖上中国同款。主要卖酱油，店里还有酱菜酱料和一些腊味。因为我不做饭，就只买了20元➕（具体忘了）的三种口味腐乳组合（6小盒，适合一人食尝鲜，可能是安昌古镇限定，网上暂时没找到）其中的火腿腐乳真的惊艳到了！带火腿丝的腐乳我还是第一次吃，肉食星人爱了！！拌面好香～	4️⃣咖啡黄酒：18一瓶，河岸的卖酒店铺随意买的，滴🍷不沾的我感觉这个口味太呛了！还有浓浓的咖啡（香精？）味道，但瓶子很漂亮，两瓶还有一个手提袋，而且黄酒是绍兴特色，买了一些给朋友当伴手礼了（不喝🍷的慎买，喝完有点上头…）	[彩虹R][彩虹R][彩虹R]	[星R]：最后推荐一家在古镇附近的美食，“忠美饭店”（太饿了没拍在视频里），真的好好吃！！饭店旁边有少量停车位，但饭点比较紧张，推荐早一点过去～[清单R]强烈推荐点单：咸菜冬笋炒肉（一定要点！超级鲜美！！）、腊肉拼盘（不咸！）、红烧排骨（炸的甜口）。	#宁波周末出游[话题]# #江浙沪周末游[话题]# #江浙沪古镇[话题]# ##最美古镇攻略[话题]# #安昌古镇[话题]# #安昌古镇攻略[话题]# #宁波自驾游[话题]# #江浙沪自驾[话题]# #周末去哪儿[话题]# #绍兴旅行[话题]#
🗺️安昌古镇：镜头下的水墨江南🎏人均50元,https://www.xiaohongshu.com/explore/66fe8272000000002c016812?xsec_token=AB4YNNlgEgjJfa8S4sCm55kaJsuzjqe6XxV1DKuLwCLwM=&xsec_source=pc_feed,58a2dd9850c4b46a409406eb,柚在逛gai,https://sns-avatar-qc.xhscdn.com/avatar/604f65723b21ddd25cef009a.jpg,未知,2024.10.03,561,36,712,739,这个假期让我找到了一个免费古镇里的劳模——安昌[斜眼R]#趣享金秋悦见柯桥[话题]# #老绍兴金柯桥[话题]##绍兴打卡[话题]##国庆划得来逛吃指南[话题]#  #本地人才知道的小众景点[话题]# #旅行记忆放映计划[话题]# #国庆攻略突击复习[话题]# @生活薯 @本地薯 @视频薯 @薯队长
摇橹船，摇醒了沉睡千年的江南旧梦｜电影感,https://www.xiaohongshu.com/explore/67aefb4e00000000290334c5?xsec_token=ABsx0pguznWSqJe1JF3FYgsW7RBoH8n-53LTNNRBtgiJU=&xsec_source=pc_feed,5fb906270000000001008739,爱拍照的杨同学,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31f5fte756m6g5ntp0ojg91ppp04rc70,未知,2025.02.14,75,21,228,11,绍兴·安昌古镇，有风有骨的江南旧梦依河而建的廊棚，蜿蜒着岁月的幽长，青石板路，每一块都镌刻着往昔的繁华与沧桑。乌篷船悠悠划过，船桨轻摇，搅碎了水面的天光云影，仿佛摇醒了沉睡的江南旧梦。老人坐在门口，守着一份宁静与安详，手中的针线编织着时光的细密。	📍 安昌古镇📸 尼康 z5  24-70F/S#浪漫生活的记录者[话题]# #我的摄影日记[话题]# #电影感画面[话题]# #绍兴[话题]#
安昌古镇保姆级游览攻略,https://www.xiaohongshu.com/explore/675fbbfc000000000603f3ec?xsec_token=ABg_sf08B3GU4x7BgEkaXB0zRqJcd1BIlj2CHaz9UrNys=&xsec_source=pc_feed,65e8fa6e000000000500ed6c,绍兴菲菲,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo311l4c5l86u005pf8v9n19rbcp3eaik0,未知,2024.12.16,754,36,818,680,这是一条全网最详细绍兴安昌古镇保姆级游览攻略，不知道怎么玩的看这一条就够了，记得提前点小红心收藏好。#绍兴文旅[话题]# #安昌古镇[话题]# #江南水乡古镇游攻略[话题]# #人文景点分享[话题]# #绍兴柯桥[话题]#
接下来的绍兴，就是苏轼笔下的“真江南”……,https://www.xiaohongshu.com/explore/67f931da0000000009014a18?xsec_token=AB0CxUac5rN9UOWlESx4Ln-4-xbp80V_ANdps2jL7Zmq8=&xsec_source=pc_feed,5fee738400000000010087f0,涛涛在路上,https://sns-avatar-qc.xhscdn.com/avatar/66559266d0a6d335db252906.jpg,江苏,2025.04.11,1054,96,1292,1072,“你的一句春不晚，我就到了真江南”，这个梗出自苏轼的《惠崇春江晚景》因为喜欢江南水乡的温婉定居在了苏州一直以为苏州的美没有那座江南城市可以超过直到我来了绍兴，突然觉得还是有可以跟苏州媲美的江南水乡的…….想把这座小城很真诚地推荐给大家但也怕这里被嘈杂的声音所扰动不管怎样，带你看看我眼中的绍兴吧～.🚶绍兴3️⃣天2️⃣夜游玩攻略Day1⃣️ 苏州自驾出发抵达 ➡️东湖 ➡️十里荷塘 ➡️ 犭央(ang)犭茶(sang)湖 ➡️ 西小路历史街区  ➡️ 入住绍兴市区Day2⃣️ 仓桥直街 ➡️ 书圣故里 ➡️ 八字桥 ➡️ 鲁迅故里 ➡️ 兰亭 ➡️ 入住安昌古镇Day3️⃣：安昌古镇➡️柯桥古镇➡️苏州.📷推荐必打卡的地方.1️⃣犭央犭茶 湖（ang sang）建于明代的避风石塘古纤道，小众到不能再小众的地方，工作日来的话基本没人.2️⃣东湖以崖壁、岩洞、石桥、湖面巧妙结合，也是绍兴的一大园林。来此乘船进入岩洞，仿若进入了桃花源记的世界。.3️⃣西小路藏在闹市里的江南水乡，建筑层峦叠嶂，好像现实版的“江南百景图”.4️⃣环山路这里阴天晴天都别有一番韵味，而且游人稀少，街边的绿树配上粉墙黛瓦，非常江南～.5️⃣兰亭这里有日本琉璃光院的同款天章之寺，也有王羲之的真迹，还有应景的大白鹅～.6️⃣安昌古镇这是非常小众的一个古镇，里面有着老绍兴人的回忆，不妨来此小住一日吧～.7️⃣柯桥古镇傍晚的柯桥古镇，随着科技的光影，这里成了江南的另一种画面～.8️⃣镜湖十里荷塘“接天莲叶无穷碧，映日荷花别样红”在这里得以具像化～.9️⃣鲁迅故里做先生书迷，访先生故里。读了那么多年先生的书，总要来次他的家乡吧.🔟仓桥直街江南烟火气，最抚凡人心～来这里感受绍兴人的慢生活.⚠️注意：现在小红书上线了「100天运动打卡挑战」活动，可以参与领取背包挂件等哦～跟我一样带着可爱的包挂一起旅行环游世界吧#绍兴旅行[话题]#﻿#绍兴[话题]#﻿#江浙沪周边游[话题]# ﻿ #跟着兴趣去旅行[话题]# #我是兴趣小导游[话题]##先出发再说[话题]# #我是地球背包客[话题]# #100天运动打卡挑战[话题]# #100天运动打卡心情件[话题]#   #春天是一个动词[话题]#      #斐济天生快乐[话题]#
我就说央视诚不欺我！这个古镇年味绝了！,https://www.xiaohongshu.com/explore/6787d8f90000000018017b6c?xsec_token=AB7Z-eYQ-T6xpcZsF6h7ib1zbZojDzoMFntgJkUugB1xc=&xsec_source=pc_feed,668baf4b0000000003030b7d,潇然,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31bm774ve0s605pkblt5gu2rt0jik5b8,未知,2025.01.15,283,49,507,198,绍兴柯桥，你可太低调了！这座藏在江南水乡的安昌古镇比乌镇更有韵味，却一直不声张！.👀如果你受够了城市喧嚣急需寻一处静谧之地放松身心那安昌古镇绝对是不二之选能让你领略最原汁原味的江南水乡风情.一踏入古镇，满街腊肠酱鸭熏鱼，香味扑鼻还有热气腾腾的本地臭豆腐每一口都散发着浓浓的人间烟火气尤其是临近春节，烟火气更是化作了醉人的年味.强烈建议大家工作日来，游客较少大多是悠闲的当地居民吃完午饭，不早起旅行约上好友来这儿漫步，惬意得很.😗下午两三点抵达最佳足够时间赏遍古镇白天的美景而当夜幕降临，才是安昌古镇真正惊艳时刻灯光亮起，昏黄的光线勾勒出古镇的轮廓河水倒映着灯光，波光粼粼沿岸的红灯笼随风轻晃影子在水中摇曳，宛如一幅灵动的水墨画.街边店铺灯火通明和家人朋友走在石板路上脚下是被灯光拉长的影子身旁是热闹的吆喝声处处透着温馨与欢乐年的氛围愈发浓厚了！.⭐交通指南：🚗自驾：从杭州出发，约1小时车程🅿️停车：西街停车场免费🚝高铁：到绍兴北站，打车20分钟左右🚇地铁：坐绍兴1号线到越州大道站，再打车15分钟#用一场旅行跨进2025[话题]# #2024旅行结算[话题]# #拍拍身边烟火气[话题]# #镜头里的年味[话题]# #不早起旅行日记[话题]# #新年版citywalk[话题]# #新年旅行第一站[话题]# #反向旅行出门溜溜[话题]#
一生温暖纯良，不舍爱与自由。,https://www.xiaohongshu.com/explore/67a97e4c0000000029010397?xsec_token=ABFAxztdz7VjxukotJ4DqdWHFnOuDMJ3DB0vbbAiJAi6c=&xsec_source=pc_feed,5bab2ea46a10cd0001acff5d,秦桑低绿枝,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31a2hutdv6o6g4b5s5dna9vqtjmutf78,未知,2025.02.23,195,14,418,36,﻿#江南烟雨美如画[话题]#﻿ ﻿#唯美意境[话题]#﻿ ﻿#治愈系风景[话题]#﻿ ﻿#永远被江南古镇美景折服[话题]#﻿ ﻿#古韵与现代[话题]#﻿ ﻿#古镇慢生活[话题]#﻿ ﻿#醉美的意境[话题]#﻿ ﻿#既有苏州园林的小桥流水[话题]#﻿ ﻿#风景素材[话题]#﻿ ﻿#江南烟雨色[话题]#﻿
江浙沪最有“人味”的古镇！趁没有商业化快去！,https://www.xiaohongshu.com/explore/67e15ca1000000001c03e2f8?xsec_token=ABN0vK9Qefh9v9XdQfcMGWwZ-D6EOdltEgHQnzql7LyOI=&xsec_source=pc_feed,62d8dbb8000000000303e374,Sia希娅,https://sns-avatar-qc.xhscdn.com/avatar/665c78d481905a84ead8ec9b.jpg,上海,2025.03.24,16,5,13,17,安昌古镇，趁它还没有完全商业化之前，一定要来逛逛～感受这个腊味芳香扑鼻，人来人往都是烟火气的古镇！	🎫古镇免大门票🆓❣️小景点联票8个50r（个人感觉没啥必要）⌚️超级建议在5-6点日落的时候去，金灿灿的太阳洒在河面上倒影出古建～绝美！📷拍照点位1⃣️安昌桥附近2⃣️师爷馄饨店门口的桥	🗺️收好详细路线图！🌟具体打卡路线：安昌古镇1号停车场➡️安昌桥➡️高桥➡️游船码头➡️城隍殿➡️师爷馄饨➡️天官第文创园➡️师爷馆➡️民俗风情馆➡️中国银行旧址➡️仁昌酱园➡️高桥➡️停车场	🧾游玩项目🔸坐乌篷船（单程）：非节假日💰65/趟，节假日80/趟（每趟限3人-含怀抱小宝宝）🔸免费景点：仁昌酱园、天官第、师爷戏台...😋美食1️⃣仁昌酱园可以进去逛一下，免费！2️⃣ 特色小吃糕点：安昌方印糕、黄酒棒冰、南瓜花、糯米蛋、腊肠、腊肉、鹅喜蛋、臭豆腐、桂花酒酿3️⃣孝王店酒酿馒头：玫瑰和梅干菜都很好吃，喝的一定要选经典酒酿～好喝！———👋🏻Hi，这里是Sia希娅的旅行日志，一起探索这个有趣的世界呀 #sia希娅[话题]# #夜游的快乐我知道[话题]# #古镇夜景天花板[话题]# #春天就要上春山[话题]# #要春游更要村游[话题]# #春景里的中式浪漫[话题]#
