原词,大类,小类
江南水乡,3,1
古镇,3,2
放慢脚步,5,2
消费不高,5,1
周末,4,1
踩坑,5,1
金属冰箱贴,2,3
乌镇,3,5
小桥流水,3,1
白墙黛瓦,3,2
船声荡漾,4,1
如诗如画,5,2
春天,3,1
油菜花开,3,1
踏春游玩,4,1
西栅,3,2
精华,5,2
小桥流水人家,3,1
亲子游,4,1
西栅东门地下停车场,2,3
桐乡火车站,2,1
乌镇汽车站,2,3
西栅大巴,2,3
西栅景区内民宿,2,1
酒店,2,1
清晨宁静,5,2
木心美术馆,2,1
草本本色染坊,3,2
定升桥,3,2
灵水居,2,1
昭明书院,2,1
乌镇邮局,2,1
龙形田,3,1
桥里桥茶楼,2,1
白莲塔,3,2
夜景,3,1
水上市集,2,3
早茶客,2,1
烟火气,5,2
拍照好看,5,2
出片,5,2
带娃家庭,5,2
小火车,2,3
网红树屋,2,1
稻草人,3,1
萌宠动物,2,3
插秧,4,1
射箭,4,1
喂萌宠,4,1
磨豆浆,4,1
扔沙包,4,1
钓鱼,4,1
儿童托管服务,2,3
春意读书会,4,1
情景戏剧,3,3
听书,2,1
看戏,4,1
喝茶,2,1
看景,4,1
满春夜集,4,1
暖锅夜酒,3,4
油菜花田市集,3,1
春茶馆,2,1
下午茶,2,1
花伴咖啡屋,2,1
喝咖啡,2,1
肆意奔跑,4,1
书香气息,5,2
酱粽,3,4
书生羊肉面,3,4
葱包烩,3,4
后街酒家,2,1
野火饭,3,4
运河堤上春风集,3,1
诗意生活,5,2
慢节奏,5,2
临水大床房,2,1
免费早餐,2,3
免费游览车,2,3
手摇船体验,4,1
扎染体验,4,1
乌镇民宿,2,1
民宿1.5米临水大床,2,3
开盲盒,4,1
临水房,2,2
民宿套票,2,3
两天大部分活动,4,1
入住西栅景区,2,1
民宿提供的早餐,2,3
早茶客市集,2,1
新市,3,4
历史感,5,2
沉浸场景,5,2
内容体验,5,2
运营能力,5,1
服务质量,5,1
怀旧情结,5,3
情绪,5,3
审美价值,5,2
文化财富,3,3
古镇原貌,3,2
童年的梦,5,3
水乡韵味,5,2
枕水人家,3,2
青旅,2,1
经济型酒店,2,3
茅盾故居,3,2
木心故居纪念馆,3,2
百床馆,2,1
西栅大剧院,2,1
草木本色染坊,3,2
摇橹船,2,3
当地居民,5,1
生活气息,5,2
羊肉面,3,4
吴妈馄饨,3,4
定胜糕,3,4
乌镇酱鸭,3,4
萝卜丝饼,3,4
白水鱼,3,4
三白酒,3,4
汉服,3,3
旗袍,3,4
传统水乡早餐文化,3,4
氛围感,5,2
世外桃源,5,2
静谧,5,2
水面,3,1
建筑形式,3,2
空间形态,2,2
基本元素,3,2
建筑尺度,3,2
色彩关系,3,2
多层次,5,2
半透明,3,2
传统空间再造,3,2
场所精神,5,2
空间韵味,3,2
极简审美,3,2
宁静,5,2
意趣,5,3
构造,3,2
色彩,3,2
单体建筑,2,1
构型特征,3,2
姐妹,5,3
旅游,4,1
