原词,大类,小类
白墙黑瓦,3,2
飞檐翘角,3,2
玻璃幕墙,2,1
街巷,3,2
水波荡漾,3,1
祥符桥,3,2
平波桥,3,2
卧虹桥,3,2
小店,2,1
咖啡香,2,1
茶香,3,4
手工艺品,3,4
砖木二层结构,3,2
大片青砖墙,3,2
水泥装饰线条,3,2
几何装饰花纹,3,2
中式琉璃花窗,3,2
石料门框,3,2
黑漆厚木门扇,3,2
风火山墙,3,2
西式装饰构件,3,2
上海市优秀历史建筑,3,2
外观保存情况甚佳,3,2
潮汕英歌舞,3,3
中华战舞,4,1
舞者,4,1
步伐,5,2
身法,3,3
英歌舞,3,3
蛟龙出海,3,3
刚劲迅猛,5,3
彩凤展翅,3,3
灵动轻盈,5,2
中华文化,3,3
传承,3,3
春节,4,1
活动,4,1
文化街区,2,1
祥符桥传统风貌街区,3,2
老街新造,3,2
散步,4,1
解决晚饭,4,1
河边,3,1
业态,2,1
书店,2,1
美学生活空间,2,2
餐厅,2,1
奶茶店,2,1
咖啡馆,2,1
酒吧,2,1
茶室,2,1
涂鸦滑板的运动场地,2,1
落日音乐会,4,1
花食酒肆,2,1
夏日限定泳池,2,3
露天电影,4,1
山外事茶吧,2,1
全景,3,1
香茗,2,1
球形灯,2,3
驱蚊工作,2,3
灯火辉煌,5,2
浪漫氛围,5,2
拍照,4,1
拱墅运河体育公园,2,1
大兜路历史文化街区,3,2
小河历史文化街区,3,2
小河公园,2,1
拱宸桥西历史文化街区,3,2
传统风貌,3,2
现代活力,5,2
宋代运河文化,3,3
市井风貌,3,2
古建元素,3,2
现代风格,3,2
江南风韵,3,2
新潮业态,2,1
祥符记号,3,3
祥符市井文化,3,3
花木文化,3,3
茶道文化,3,3
美术馆,2,1
餐饮,2,1
滑板运动品牌,4,1
高品质公共空间,2,2
茶冻,3,4
亲切,5,3
参观,4,1
茶叶种类,3,4
茶袋,2,3
尺八,3,3
葫芦丝,3,4
古琴,3,3
茶点,3,4
精致,5,2
红茶,3,4
桂花蜜糖,3,4
甜,3,4
味,3,4
古色古朴,3,2
融合,5,2
居民活动,4,1
闹中取静,5,2
氛围,5,2
舒适,5,2
平和,5,2
江南风格,3,2
古街道,3,2
文创园,2,1
厂房结构,2,1
瞻淇鱼灯,3,4
祥符老街,3,2
吉祥里,3,2
跨年氛围,5,2
舞动,4,1
鱼灯,3,4
相机,2,3
跨年活动,4,1
烟火大会,4,1
天台快闪音乐会,4,1
主办方会玩,5,2
小鱼,3,1
人山人海,5,2
热闹非凡,5,2
桥西直街,2,2
粮仓艺术公园,2,1
丝联166,2,1
绿城吉祥里,2,1
运河天地,2,1
武林夜市,2,1
小河直街,3,2
古色古香,3,2
商场,2,1
安静,5,2
晚风,5,2
河,3,1
亭子,2,1
唱歌,4,1
和声,5,3
时间暂停,5,3
放假,4,1
小河对面,3,1
开发,5,1
不大,5,1
逛逛,4,1
不错,5,2
出圈,5,3
烟雨江南,3,2
西湖,3,1
法喜寺,2,1
鲜椒鱼蛙,3,4
杭州博物馆,2,1
棒老二烈火烤活鱼,3,4
市井生活,5,2
艺文社交,2,1
潮趣大赏,4,1
乌瓦黛墙,3,2
老桥粮仓,3,2
