原词,大类,小类
蟠龙天地,3,2
Culture,3,3
Nature,3,1
古寺鸣钟,3,2
十字街,2,1
香花桥,3,2
溪桥渔泊,3,2
烟雨廊桥,3,2
程祠故里,3,2
龙江古渡,3,2
曲水萦居,3,2
蟠龙湾,3,1
艺海听竹,2,1
余德耀美术馆,2,1
儿童乐园,2,1
宠物乐园,2,1
户外探索,4,1
蟠龙水集,3,1
沿河咖啡,2,1
各色美食,3,4
品茶,2,1
古建,3,2
古镇style,3,2
现代商场,2,1
吃吃喝喝,5,2
遛弯遛娃遛宠,4,1
遛宠物,4,1
遛娃,4,1
遛宠,4,1
场地,2,2
停车,2,3
消费,5,1
选择,4,1
没踩雷,5,3
古镇格局,3,2
古镇建筑体量,3,2
主路空间,2,2
大块青石板老料,3,2
新材料拼接,3,2
小栋建筑原有外立面,3,2
韵味,5,2
沿河岸餐厅咖啡店景观位,2,1
小桥流水,3,1
宠物友好,2,3
带狗子玩儿,4,1
爱狗人士好感度,5,2
文化,3,3
创意,5,2
场景,2,2
商业,5,1
社区,2,1
文化品牌,3,3
城市叙事,5,2
社区氛围,5,2
吸引力,5,3
城市微度假,4,1
商业面貌,5,1
文化赋能,3,3
烟雨朦胧,3,1
雨季,3,1
周未,5,2
街区人气,5,1
场所,2,1
街区,2,1
河,3,1
1400多年,3,2
旧址改建,2,1
公园绿地,3,1
公园式商业,2,1
古镇原貌,3,2
商业水平不高,5,1
童年的梦,5,3
江南六大古镇,3,5
景区式商业同质化,5,1
枫泾古镇,3,2
新场古场,3,2
天地系列,3,3
商业项目,2,1
守旧中创新,5,2
物业形态,2,1
传统江南古镇,3,2
COCO-MAT酒店,2,1
建筑,3,2
江南古镇雏形,3,2
空间材料景观焕新,3,2
江浙沪古镇,3,5
配套商业部分运营,2,3
自身优势,5,1
新天地商业IP,2,1
强大优势,5,1
商业部分自持运营,5,1
小业主干扰,5,1
商业价值提升,5,1
区域版块价值拉升,5,1
万科良渚文化村,2,1
自持商业部分玉鸟流苏食街玉鸟集前身,2,1
君澜度假酒店,2,1
大屋顶艺术中心,2,1
教堂,2,1
养老社区,2,1
茶语公园,2,1
文化村整体版块价值提升,3,3
操盘思路,5,1
类似之处,5,2
微度假社区模式,5,1
商业业态选择,2,1
更新改造后的商业街区,5,1
臭豆腐,3,4
土特产,3,4
腊肉腊肠,3,4
现代场景商业,2,1
反哺周边社区配套,2,3
区域商业,5,1
旅游景区失落感,5,3
江南水乡,3,1
白墙青瓦,3,2
餐厅,2,1
工艺小店,2,1
小巷,3,2
店铺,2,1
河面,3,1
临水建筑,2,2
树木,3,1
光影,3,1
烟火气,5,2
水边,3,1
古镇夜景,3,1
木船,2,3
小摊,2,3
彩扇,3,4
乐器,3,3
宠物公园,2,3
草坪,3,1
骑马场,2,1
水曲桥,3,2
河道,3,1
广场,2,2
白鸽,3,1
特别,5,3
古镇,3,2
商业化,5,1
融合,5,2
网红,5,1
长红,5,2
微度假,5,2
文旅,3,3
海底捞,3,4
日常Gap感,5,2
西岸梦中心,3,5
气质,5,2
松弛,5,2
探索,4,1
发现欲望,5,3
趣味,5,3
悠闲,5,2
好看,5,2
好玩,5,3
好逛,5,2
好吃,5,2
UrbanRetreat城市微度假目的地,5,2
住宅,2,1
酒店,2,1
绿地,3,1
开放式街区形态,3,2
公园里的新天地,2,1
仿古商业街区,2,1
朋友聚会,4,1
休闲地,2,1
交通便利,5,1
地下停车场,2,3
花园草坪,3,1
晒太阳,4,1
地铁,2,3
游玩场地,2,2
蓝瓶咖啡,2,1
宁波特产糕点坊,2,1
中式蛋糕,3,4
江南水乡风情,3,1
商业街巷,2,1
童心乐园,3,4
商业氛围,5,1
闲散,5,2
咖啡馆,2,1
甜点店,2,1
临河,3,1
茶馆,2,1
日落,3,1
周末,4,1
舒服,5,2
春天,3,1
治愈,5,3
宝藏,5,3
赏春地,3,1
值得,5,3
赏花,4,1
花船,2,3
花坞,3,1
春日活动,4,1
装饰,3,2
拍照氛围,5,2
梦呓花船,4,1
沪上,3,5
梦幻,5,3
水岸花坞,2,2
樱花装置,2,3
可爱,5,3
花瀑布,3,1
惊艳,5,3
唯美,5,3
樱花径,3,1
